r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,61216,2248688,46/37/25/88,0/0/0/0,227/1169/-98/-226,318/353/-444,0/0,1182/2892/-13689,-625/209/392,206/189/470,#l_jy
r,61217,2248722,46/37/25/88,0/0/1/0,232/1169/137/-231,318/353/-443,0/0,1220/2984/-13778,-624/166/445,206/189/470,#l_jy
r,61218,2248756,46/37/25/88,1/0/4/0,230/1166/368/-223,318/353/-443,0/0,1350/3064/-14028,-582/146/494,206/189/470,#l_jy
r,61219,2248796,46/37/25/88,1/0/4/5,235/1169/384/221,318/354/-443,0/0,1484/3180/-14239,-532/96/529,206/189/470,#l_jy
r,61220,2248836,46/37/25/88,0/0/5/24,233/1168/386/247,317/354/-443,0/0,1606/3316/-14358,-496/56/562,206/189/471,#l_jy
r,61221,2248876,46/37/25/88,2/0/10/20,232/1170/398/309,317/354/-443,0/0,1626/3358/-14428,-470/23/606,206/189/471,#l_jy
r,61222,2248917,46/37/25/88,7/0/14/22,228/1168/376/297,317/355/-443,0/0,1556/3368/-14550,-465/3/659,205/188/473,#l_jy
r,61223,2248957,46/37/25/88,22/0/19/52,239/1168/463/317,316/356/-443,0/0,1528/3341/-14603,-472/-2/697,205/188/475,#l_jy
r,61224,2248997,46/37/25/88,35/0/22/55,258/1167/445/317,315/358/-442,0/0,1524/3380/-14632,-454/-24/709,204/187/478,#l_jy
r,61225,2249037,46/37/26/89,43/0/28/60,323/1166/424/346,313/360/-442,0/0,1596/3432/-14672,-442/-38/707,204/185/482,#l_jy
r,61226,2249077,46/37/26/89,68/0/26/87,313/1167/415/382,311/363/-441,0/0,1580/3416/-14756,-409/-67/701,204/184/487,#l_jy
r,61227,2249116,47/37/26/89,102/0/40/127,327/1169/454/394,309/367/-440,0/0,1542/3366/-14862,-378/-84/675,203/182/493,#l_jy
r,61228,2249157,47/37/26/90,105/0/37/117,399/1166/437/438,305/371/-439,0/0,1434/3300/-14939,-339/-110/669,203/179/501,#l_jy
