r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,68084,1408844,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1462/-332/-14889,-705/324/531,-1722/-130/55,#
r,68085,1408865,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1476/-364/-14874,-700/321/535,-1722/-130/55,#
r,68086,1408892,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1484/-364/-14874,-698/318/538,-1722/-130/55,#
r,68087,1408912,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1480/-352/-14892,-703/321/542,-1722/-130/55,#
r,68088,1408932,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1470/-326/-14908,-709/323/542,-1722/-130/55,#
r,68089,1408951,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1466/-300/-14906,-712/324/545,-1722/-130/55,#
r,68090,1408978,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1482/-282/-14894,-707/318/550,-1722/-130/55,#
r,68091,1408997,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1492/-278/-14853,-702/315/552,-1722/-130/55,#
r,68092,1409019,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1506/-274/-14862,-701/312/558,-1722/-130/55,#
r,68093,1409043,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1518/-266/-14858,-704/312/563,-1722/-130/55,#
r,68094,1409064,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1554/-250/-14874,-710/312/568,-1722/-130/55,#
r,68095,1409083,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1572/-240/-14853,-710/309/577,-1722/-130/55,#
r,68096,1409104,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1582/-184/-14866,-719/309/592,-1722/-130/55,#
r,68097,1409123,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1588/-128/-14810,-708/301/601,-1722/-130/55,#
r,68098,1409144,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1600/-94/-14742,-705/295/615,-1722/-130/55,#
r,68099,1409165,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1621/-24/-14639,-690/281/638,-1722/-130/55,#
r,68100,1409192,18/61/17/80,0/0/0/0,0/0/0/0,540/-132/-232,0/0,-1629/18/-14574,-683/274/649,-1722/-130/55,#
r,68101,1409211,18/61/17/80,2/0/0/0,0/0/0/0,540/-132/-232,0/0,-1621/34/-14514,-676/267/658,-1722/-130/55,#
r,68102,1409231,18/61/17/80,13/0/0/0,0/0/0/0,540/-132/-232,0/0,-1632/24/-14444,-667/262/661,-1722/-130/55,#
r,68103,1409252,18/61/17/80,13/0/0/0,0/0/0/0,540/-133/-232,0/0,-1654/44/-14356,-653/249/673,-1722/-130/56,#
r,68104,1409271,18/61/17/80,13/0/0/0,0/0/0/0,540/-133/-232,0/0,-1648/84/-14260,-645/241/687,-1722/-130/56,#
r,68105,1409291,18/61/17/80,12/0/0/0,0/0/0/0,540/-133/-232,0/0,-1632/84/-14225,-639/236/685,-1723/-131/56,#
r,68106,1409312,18/61/17/80,16/0/0/0,0/0/0/0,540/-134/-232,0/0,-1666/68/-14152,-624/224/694,-1723/-131/57,#
r,68107,1409332,18/61/17/80,40/0/0/0,0/0/0/0,540/-134/-232,0/0,-1706/110/-14058,-609/212/705,-1723/-131/57,#
r,68108,1409352,18/61/17/80,29/0/0/0,0/0/0/0,540/-135/-232,0/0,-1714/180/-14017,-612/208/716,-1723/-131/58,#
r,68109,1409372,18/61/17/80,46/0/0/0,0/0/0/0,540/-136/-232,0/0,-1729/224/-13982,-611/203/730,-1723/-131/58,#
r,68110,1409392,18/61/17/80,45/0/0/0,0/0/0/0,540/-136/-232,0/0,-1758/220/-13922,-603/196/742,-1723/-131/59,#
r,68111,1409412,18/61/17/80,58/0/0/0,0/0/0/0,539/-137/-232,0/0,-1778/196/-13880,-594/191/743,-1723/-131/60,#
r,68112,1409432,18/61/17/80,45/0/0/0,0/0/0/0,539/-138/-232,0/0,-1787/200/-13906,-601/195/750,-1724/-131/61,#
r,68113,1409452,19/61/17/80,67/0/0/0,0/0/0/0,539/-140/-232,0/0,-1764/192/-13862,-588/191/754,-1724/-131/62,#
r,68114,1409472,19/61/17/80,81/0/0/1,0/0/0/0,539/-141/-232,0/0,-1836/132/-13839,-575/182/760,-1724/-131/63,#
r,68115,1409492,19/61/17/80,71/0/0/1,0/0/0/0,538/-142/-232,0/0,-1810/78/-13836,-572/183/737,-1724/-132/65,#
r,68116,1409511,19/61/17/80,77/0/0/1,0/0/0/0,538/-144/-232,0/0,-1779/66/-13817,-574/186/735,-1725/-132/66,#
r,68117,1409531,19/61/17/80,68/0/0/0,0/0/0/0,538/-145/-232,0/0,-1754/36/-13772,-560/181/730,-1725/-132/68,#
r,68118,1409552,19/61/17/80,72/0/0/0,0/0/0/0,537/-147/-232,0/0,-1728/16/-13758,-559/181/717,-1726/-132/69,#
r,68119,1409572,19/61/17/80,84/0/0/0,0/0/0/0,537/-149/-232,0/0,-1700/6/-13725,-554/180/712,-1726/-132/71,#
r,68120,1409591,20/61/17/80,109/0/0/0,0/0/0/0,536/-151/-232,0/0,-1679/56/-13670,-554/179/728,-1726/-133/73,#
r,68121,1409612,20/61/17/80,87/0/0/0,0/0/0/0,536/-153/-232,0/0,-1682/64/-13628,-544/175/730,-1727/-133/75,#
r,68122,1409631,20/61/17/80,120/0/0/0,0/0/0/0,535/-155/-232,0/0,-1698/50/-13610,-543/175/728,-1727/-133/77,#
r,68123,1409652,20/61/17/80,115/0/0/0,0/0/0/0,535/-157/-232,0/0,-1694/56/-13560,-537/171/735,-1728/-133/79,#
r,68124,1409672,20/61/17/80,125/0/0/0,0/0/0/0,534/-160/-232,0/0,-1684/76/-13500,-536/173/742,-1728/-134/81,#
r,68125,1409692,21/61/17/80,92/0/0/0,0/0/0/0,534/-162/-232,0/0,-1664/42/-13408,-524/170/731,-1729/-134/84,#
r,68126,1409712,21/61/17/80,137/0/0/0,0/0/0/0,534/-165/-232,0/0,-1666/0/-13317,-507/160/724,-1729/-134/86,#
r,68127,1409732,21/61/17/80,137/0/0/0,0/0/0/0,533/-168/-232,0/0,-1598/26/-13236,-497/157/718,-1730/-135/89,#
r,68128,1409752,21/61/17/80,133/0/0/0,0/0/0/0,532/-171/-232,0/0,-1536/20/-13192,-495/160/702,-1731/-135/91,#
r,68129,1409771,22/61/17/80,117/0/0/0,0/0/0/0,531/-173/-232,0/0,-1504/-8/-13142,-479/155/691,-1731/-135/94,#
r,68130,1409792,22/61/17/80,138/0/0/0,0/0/0/0,531/-176/-232,0/0,-1518/-12/-13130,-483/156/697,-1732/-136/97,#
r,68131,1409812,22/61/17/80,157/0/0/0,0/0/0/0,530/-179/-232,0/0,-1536/-36/-13153,-495/164/696,-1733/-136/100,#
r,68132,1409831,22/61/17/80,152/0/0/0,0/0/0/0,529/-182/-232,0/0,-1562/-82/-13139,-491/164/696,-1733/-136/103,#
r,68133,1409852,23/61/17/80,114/0/0/0,0/0/0/0,529/-185/-232,0/0,-1576/-100/-13130,-484/162/698,-1734/-137/105,#
