r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,39237,807567,61/63/42/68,0/0/-1/0,0/0/0/0,369/-470/-62,0/0,-1864/-1374/-13224,-174/44/390,-1588/-3/400,#
r,39238,807587,61/63/42/68,0/0/1/-1,0/0/0/0,369/-470/-62,0/0,-1850/-1436/-13136,-153/37/365,-1588/-3/400,#
r,39239,807608,61/63/42/68,-1/0/2/0,0/0/0/0,369/-470/-62,0/0,-1870/-1518/-13078,-104/16/347,-1588/-3/400,#
r,39240,807628,61/63/42/68,-1/0/4/-1,0/0/0/0,369/-470/-62,0/0,-1886/-1580/-13053,-69/-2/335,-1588/-3/400,#
r,39241,807648,61/63/42/68,-4/0/10/-1,0/0/0/0,369/-470/-62,0/0,-1914/-1616/-13064,-56/-6/325,-1588/-3/400,#
r,39242,807668,61/63/42/68,-4/0/10/-1,0/0/0/0,369/-470/-62,0/0,-1932/-1664/-13136,-56/-1/316,-1587/-3/400,#
r,39243,807687,61/63/42/68,-7/0/12/-3,0/0/0/0,369/-469/-62,0/0,-1958/-1750/-13200,-43/-6/301,-1587/-3/399,#
r,39244,807707,61/63/42/68,-13/0/16/-5,0/0/0/0,370/-469/-62,0/0,-1995/-1804/-13264,-35/-9/296,-1587/-3/399,#
r,39245,807728,61/63/42/68,-10/0/16/-7,0/0/0/0,370/-469/-62,0/0,-2014/-1824/-13350,-49/0/294,-1587/-2/399,#
r,39246,807749,61/63/42/68,-17/0/19/-10,0/0/0/0,370/-469/-61,0/0,-2045/-1895/-13406,-40/-3/275,-1586/-2/399,#
r,39247,807768,61/63/42/68,-12/0/20/-11,0/0/0/0,370/-468/-61,0/0,-2080/-1914/-13388,-20/-13/277,-1586/-2/398,#
r,39248,807789,60/63/42/68,-22/0/22/-16,0/0/0/0,371/-468/-61,0/0,-2106/-1892/-13428,-31/-8/288,-1585/-1/398,#
r,39249,807809,60/63/42/68,-20/0/32/-16,0/0/0/0,371/-467/-60,0/0,-2146/-1921/-13472,-30/-2/284,-1585/-1/397,#
r,39250,807829,60/63/42/68,-23/0/32/-21,0/0/0/0,371/-467/-60,0/0,-2172/-1954/-13462,-8/-19/264,-1584/0/396,#
r,39251,807849,60/63/42/68,-24/0/62/-39,0/0/0/0,371/-466/-60,0/0,-2192/-1998/-13474,11/-30/264,-1583/0/395,#
r,39252,807869,60/63/42/68,-32/0/39/-46,0/0/0/0,372/-465/-59,0/0,-2212/-2002/-13536,5/-28/265,-1582/0/395,#
r,39253,807889,60/63/42/68,-43/0/36/-40,0/0/0/0,373/-464/-59,0/0,-2230/-2010/-13570,-6/-23/263,-1582/1/394,#
r,39254,807909,60/63/42/68,-45/0/80/-54,0/0/0/0,373/-463/-58,0/0,-2224/-2004/-13532,2/-29/265,-1580/2/392,#
r,39255,807929,60/63/42/68,-58/0/61/-54,0/0/0/0,374/-462/-57,0/0,-2220/-1998/-13502,-4/-23/264,-1579/3/391,#
r,39256,807949,60/63/43/68,-42/0/49/-71,0/0/0/0,375/-460/-57,0/0,-2186/-2006/-13516,-26/-6/261,-1578/4/389,#
r,39257,807969,60/63/43/67,-65/0/89/-82,0/0/0/0,376/-459/-56,0/0,-2180/-2018/-13544,-51/8/260,-1577/5/388,#
r,39258,807989,60/63/43/67,-48/0/55/-63,0/0/0/0,376/-457/-55,0/0,-2184/-2040/-13534,-63/16/258,-1575/6/386,#
r,39259,808009,60/63/43/67,-75/0/61/-84,0/0/0/0,378/-456/-54,0/0,-2208/-2028/-13538,-76/21/262,-1574/8/384,#
r,39260,808029,60/63/43/67,-54/0/88/-54,0/0/0/0,379/-454/-54,0/0,-2202/-1992/-13572,-103/33/267,-1572/9/382,#
r,39261,808049,59/63/43/67,-64/0/89/-92,0/0/0/0,380/-452/-53,0/0,-2168/-1942/-13606,-132/49/270,-1571/10/379,#
r,39262,808069,59/63/43/67,-54/0/102/-77,0/0/0/0,381/-450/-52,0/0,-2122/-1884/-13586,-159/66/272,-1569/12/377,#
r,39263,808093,59/63/44/66,-80/0/68/-106,0/0/0/0,383/-448/-51,0/0,-2076/-1856/-13592,-191/85/257,-1567/14/374,#
r,39264,808118,59/63/44/66,-45/0/64/-102,0/0/0/0,384/-445/-50,0/0,-2020/-1826/-13700,-246/114/258,-1566/15/371,#
r,39265,808138,59/63/44/66,-49/0/99/-70,0/0/0/0,386/-443/-50,0/0,-2026/-1744/-13778,-283/130/286,-1564/17/368,#
r,39266,808158,59/63/44/66,-59/0/75/-117,0/0/0/0,387/-441/-49,0/0,-2014/-1708/-13828,-314/145/299,-1562/19/365,#
r,39267,808178,59/63/44/66,-61/0/95/-117,0/0/0/0,388/-438/-48,0/0,-1986/-1690/-13867,-334/165/300,-1561/20/362,#
r,39268,808198,59/63/44/65,-64/0/105/-135,0/0/0/0,390/-436/-47,0/0,-1954/-1654/-13944,-402/194/313,-1559/22/359,#
r,39269,808217,58/63/45/65,-84/0/76/-131,0/0/0/0,392/-433/-47,0/0,-1937/-1574/-13998,-450/218/338,-1558/24/356,#
r,39270,808238,58/63/45/65,-67/0/66/-131,0/0/0/0,393/-430/-46,0/0,-1912/-1512/-14022,-461/236/353,-1556/25/352,#
r,39271,808257,58/63/45/65,-73/0/63/-141,0/0/0/0,395/-427/-46,0/0,-1868/-1444/-14052,-524/257/368,-1555/27/348,#
r,39272,808278,58/63/45/64,-63/0/42/-155,0/0/0/0,397/-425/-45,0/0,-1840/-1370/-14084,-557/275/384,-1553/29/345,#
r,39273,808298,58/63/45/64,-76/0/47/-152,0/0/0/0,398/-422/-45,0/0,-1779/-1294/-14094,-582/291/390,-1552/30/341,#
r,39274,808318,58/63/45/64,-80/0/34/-124,0/0/0/0,400/-419/-45,0/0,-1736/-1272/-14122,-593/297/384,-1551/32/337,#
r,39275,808337,58/63/45/63,-68/0/35/-160,0/0/0/0,402/-416/-44,0/0,-1686/-1262/-14175,-590/310/378,-1550/33/333,#
r,39276,808357,57/63/45/63,-79/0/24/-168,0/0/0/0,403/-413/-44,0/0,-1674/-1214/-14280,-651/330/390,-1550/35/329,#
r,39277,808377,57/63/45/63,-86/0/13/-120,0/0/0/0,405/-410/-44,0/0,-1642/-1192/-14389,-678/346/394,-1549/36/324,#
r,39278,808398,57/63/45/63,-70/0/3/-125,0/0/0/0,407/-407/-45,0/0,-1634/-1210/-14425,-686/350/394,-1549/37/320,#
r,39279,808418,57/63/45/62,-61/0/-1/-163,0/0/0/0,409/-404/-45,0/0,-1642/-1208/-14438,-690/353/402,-1549/38/316,#
r,39280,808438,57/63/45/62,-73/0/-3/-134,0/0/0/0,410/-401/-45,0/0,-1628/-1166/-14489,-706/362/414,-1548/39/311,#
r,39281,808458,57/63/45/62,-62/0/-8/-131,0/0/0/0,412/-399/-46,0/0,-1636/-1130/-14500,-713/365/425,-1548/40/307,#
r,39282,808477,57/63/45/61,-73/0/-12/-176,0/0/0/0,414/-396/-46,0/0,-1620/-1092/-14475,-712/364/432,-1548/41/303,#
r,39283,808497,56/63/45/61,-67/0/-15/-173,0/0/0/0,415/-393/-47,0/0,-1612/-1084/-14488,-715/365/439,-1548/42/298,#
r,39284,808518,56/63/45/61,-64/0/-18/-173,0/0/0/0,417/-390/-47,0/0,-1602/-1100/-14534,-725/371/438,-1548/43/294,#
r,39285,808537,56/63/45/60,-59/0/-30/-165,0/0/0/0,419/-387/-48,0/0,-1582/-1122/-14564,-728/373/437,-1549/44/289,#
r,39286,808558,56/63/45/60,-74/0/-21/-187,0/0/0/0,420/-384/-48,0/0,-1562/-1114/-14624,-740/381/433,-1549/45/285,#
r,39287,808577,56/63/45/60,-68/0/-31/-152,0/0/0/0,421/-381/-49,0/0,-1526/-1084/-14702,-763/397/432,-1549/46/280,#
r,39288,808597,56/63/45/59,-63/-2/-35/-166,0/0/0/0,423/-379/-50,0/0,-1502/-1054/-14746,-777/404/437,-1550/46/275,#
r,39289,808618,56/63/45/59,-71/-12/-29/-183,0/0/0/0,425/-376/-51,0/0,-1488/-1034/-14700,-758/393/439,-1550/47/271,#
r,39290,808638,56/63/45/59,-48/-20/-61/-159,0/0/0/0,426/-373/-52,0/0,-1492/-996/-14660,-746/384/444,-1551/47/266,#
r,39291,808658,55/63/45/58,-35/-15/-36/-189,0/0/0/0,427/-370/-53,0/0,-1498/-918/-14675,-760/387/464,-1552/48/261,#
r,39292,808678,55/63/45/58,-35/-22/-56/-161,0/0/0/0,429/-367/-55,0/0,-1502/-864/-14708,-777/395/479,-1553/48/257,#
r,39293,808697,55/62/45/57,-42/-26/-43/-175,0/0/0/0,431/-364/-56,0/0,-1470/-868/-14750,-788/404/471,-1554/48/252,#
r,39294,808726,55/62/44/57,-40/-36/-75/-181,0/0/0/0,431/-362/-58,0/0,-1440/-860/-14824,-805/415/473,-1556/48/247,#
r,39295,808746,55/62/44/57,-25/-61/-67/-164,0/0/0/0,433/-359/-60,0/0,-1416/-826/-14888,-818/421/482,-1557/48/242,#
r,39296,808767,55/62/44/56,-47/-70/-103/-157,0/0/0/0,434/-356/-62,0/0,-1398/-780/-14888,-817/419/492,-1559/47/237,#
r,39297,808787,55/62/44/56,-23/-75/-100/-181,0/0/0/0,436/-353/-65,0/0,-1368/-704/-14864,-807/415/503,-1561/47/232,#
r,39298,808807,55/62/44/56,-32/-55/-86/-205,0/0/0/0,436/-351/-67,0/0,-1354/-654/-14844,-798/409/519,-1564/46/228,#
r,39299,808827,55/62/44/55,-38/-89/-100/-191,0/0/0/0,437/-348/-70,0/0,-1350/-644/-14839,-794/404/526,-1566/45/223,#
r,39300,808846,55/62/43/55,-35/-70/-70/-175,0/0/0/0,438/-346/-73,0/0,-1314/-626/-14898,-803/410/525,-1569/44/218,#
r,39301,808866,55/61/43/55,-25/-95/-116/-197,0/0/0/0,439/-343/-76,0/0,-1312/-592/-14978,-819/417/533,-1572/43/213,#
r,39302,808887,55/61/43/54,-20/-92/-72/-209,0/0/0/0,440/-341/-80,0/0,-1306/-536/-15028,-830/422/545,-1575/42/208,#
r,39303,808907,55/61/43/54,-17/-115/-75/-171,0/0/0/0,441/-338/-83,0/0,-1328/-500/-15024,-831/417/559,-1578/40/203,#
r,39304,808926,55/61/43/53,-13/-88/-89/-178,0/0/0/0,442/-335/-87,0/0,-1292/-414/-15002,-827/411/578,-1582/39/198,#
r,39305,808946,55/61/42/53,-22/-130/-118/-154,0/0/0/0,442/-333/-91,0/0,-1268/-300/-14964,-820/403/602,-1586/37/194,#
r,39306,808967,55/60/42/53,-6/-143/-118/-199,0/0/0/0,443/-330/-95,0/0,-1240/-198/-14882,-798/389/619,-1590/35/189,#
r,39307,808987,55/60/42/52,-4/-146/-148/-191,0/0/0/0,444/-328/-100,0/0,-1236/-122/-14778,-773/369/642,-1594/33/184,#
r,39308,809006,55/60/42/52,-1/-150/-154/-154,0/0/0/0,444/-326/-104,0/0,-1238/-46/-14766,-768/361/662,-1599/30/180,#
r,39309,809026,55/59/41/52,0/-128/-133/-174,0/0/0/0,445/-323/-109,0/0,-1246/-2/-14789,-773/360/678,-1603/28/175,#
r,39310,809052,55/59/41/51,8/-182/-121/-181,0/0/0/0,445/-319/-118,0/0,-1252/-6/-14775,-767/352/691,-1613/22/167,#
r,39311,809072,55/58/41/51,10/-175/-143/-169,0/0/0/0,445/-317/-123,0/0,-1234/42/-14778,-768/352/699,-1617/20/163,#
r,39312,809093,55/58/40/50,17/-197/-127/-134,0/0/0/0,445/-314/-128,0/0,-1250/142/-14700,-748/336/730,-1622/16/159,#
r,39313,809113,55/58/40/50,14/-175/-146/-160,0/0/0/0,445/-312/-133,0/0,-1300/294/-14470,-690/292/779,-1628/13/155,#
r,39314,809134,55/57/40/50,28/-204/-155/-151,0/0/0/0,445/-310/-138,0/0,-1362/382/-14325,-658/266/812,-1633/10/152,#
r,39315,809159,55/57/39/50,35/-170/-168/-98,0/0/0/0,445/-308/-144,0/0,-1380/466/-14284,-656/262/834,-1638/7/148,#
r,39316,809192,55/56/39/49,54/-171/-167/-130,0/0/0/0,444/-305/-154,0/0,-1368/536/-14253,-648/255/849,-1649/0/142,#
r,39317,809213,55/56/38/49,34/-174/-173/-138,0/0/0/0,443/-303/-159,0/0,-1372/594/-14239,-641/248/863,-1654/-2/140,#
r,39318,809233,55/55/38/49,38/-176/-143/-98,0/0/0/0,443/-302/-164,0/0,-1352/650/-14224,-632/242/872,-1660/-6/138,#
r,39319,809253,55/55/38/48,68/-188/-130/-95,0/0/0/0,442/-301/-169,0/0,-1312/634/-14189,-612/235/856,-1665/-10/136,#
r,39320,809273,55/55/38/48,46/-170/-137/-92,0/0/0/0,442/-300/-174,0/0,-1268/636/-14124,-585/222/842,-1671/-13/134,#
r,39321,809294,55/54/37/48,38/-191/-147/-103,0/0/0/0,441/-299/-179,0/0,-1298/746/-13975,-538/189/876,-1676/-17/132,#
r,39322,809314,55/54/37/48,48/-169/-115/-95,0/0/0/0,440/-298/-184,0/0,-1318/834/-13902,-520/174/899,-1681/-21/131,#
r,39323,809334,56/54/37/48,79/-158/-115/-77,0/0/0/0,439/-297/-188,0/0,-1322/850/-13844,-505/167/901,-1687/-24/131,#
r,39324,809359,56/53/36/48,84/-164/-155/-68,0/0/0/0,438/-297/-193,0/0,-1318/862/-13822,-497/164/899,-1692/-28/130,#
r,39325,809378,56/53/36/48,53/-177/-126/-40,0/0/0/0,437/-296/-197,0/0,-1328/884/-13782,-486/157/908,-1697/-31/130,#
r,39326,809399,56/53/36/47,100/-172/-137/-45,0/0/0/0,436/-296/-202,0/0,-1324/930/-13736,-464/144/922,-1702/-34/130,#
r,39327,809419,56/52/36/47,102/-141/-120/-21,0/0/0/0,435/-297/-206,0/0,-1308/974/-13670,-431/125/930,-1707/-38/131,#
r,39328,809439,56/52/35/47,95/-165/-135/-11,0/0/0/0,433/-297/-210,0/0,-1298/1036/-13584,-400/104/943,-1711/-41/132,#
r,39329,809458,57/52/35/47,98/-124/-88/-1,0/0/0/0,431/-298/-214,0/0,-1268/1116/-13550,-386/97/960,-1716/-44/134,#
r,39330,809479,57/51/35/47,118/-149/-108/3,0/0/0/0,431/-299/-217,0/0,-1228/1172/-13522,-378/98/962,-1720/-47/136,#
r,39331,809499,57/51/35/47,81/-139/-132/1,0/0/0/0,429/-300/-221,0/0,-1218/1188/-13478,-358/89/964,-1725/-50/138,#
r,39332,809518,57/51/35/47,137/-117/-70/6,0/0/0/0,427/-301/-224,0/0,-1220/1172/-13394,-328/74/959,-1729/-53/140,#
r,39333,809539,58/51/34/47,130/-137/-106/20,0/0/0/0,425/-303/-227,0/0,-1212/1148/-13353,-310/66/950,-1732/-56/142,#
r,39334,809558,58/50/34/47,136/-89/-74/26,0/0/0/0,424/-305/-230,0/0,-1184/1096/-13364,-307/72/930,-1736/-58/145,#
r,39335,809579,58/50/34/48,143/-102/-57/33,0/0/0/0,422/-307/-232,0/0,-1144/1052/-13358,-294/74/910,-1739/-60/148,#
r,39336,809599,58/50/34/48,147/-64/-82/31,0/0/0/0,420/-309/-235,0/0,-1158/1032/-13242,-252/50/917,-1742/-63/152,#
r,39337,809618,59/50/34/48,171/-73/-61/38,0/0/0/0,419/-311/-237,0/0,-1164/1008/-13128,-211/26/916,-1745/-65/155,#
r,39338,809639,59/50/34/48,171/-47/-50/51,0/0/0/0,416/-314/-239,0/0,-1118/930/-13066,-202/27/883,-1748/-66/159,#
r,39339,809658,59/50/34/48,154/-38/-56/62,0/0/0/0,414/-317/-240,0/0,-1086/902/-13003,-189/26/867,-1750/-68/164,#
r,39340,809678,60/49/33/48,174/-38/-35/76,0/0/0/0,413/-320/-241,0/0,-1096/872/-12967,-169/16/863,-1752/-69/168,#
r,39341,809699,60/49/33/48,165/-21/-19/53,0/0/0/0,411/-323/-242,0/0,-1068/806/-12972,-170/21/847,-1753/-70/173,#
r,39342,809718,60/49/33/48,189/-20/-25/63,0/0/0/0,409/-327/-243,0/0,-1080/756/-12972,-178/28/850,-1754/-71/178,#
r,39343,809739,61/49/33/49,195/-8/-3/89,0/0/0/0,407/-331/-243,0/0,-1088/708/-12980,-187/35/845,-1755/-72/183,#
r,39344,809759,61/49/33/49,184/0/0/87,0/0/0/0,404/-335/-243,0/0,-1068/616/-13000,-194/49/821,-1756/-73/188,#
r,39345,809778,61/49/33/49,206/0/0/120,0/0/0/0,403/-339/-244,0/0,-1044/490/-12939,-169/45/792,-1757/-73/194,#
r,39346,809799,62/49/33/49,204/8/15/84,0/0/0/0,400/-343/-243,0/0,-1042/410/-12822,-153/45/764,-1757/-74/200,#
r,39347,809819,62/49/33/49,181/13/29/125,0/0/0/0,398/-347/-243,0/0,-1088/402/-12690,-129/31/772,-1757/-74/206,#
r,39348,809838,62/49/33/50,175/21/41/137,0/0/0/0,396/-352/-243,0/0,-1114/326/-12594,-99/17/753,-1757/-75/212,#
r,39349,809858,63/49/33/50,207/24/27/98,0/0/0/0,393/-357/-242,0/0,-1066/180/-12594,-107/34/704,-1757/-75/218,#
r,39350,809879,63/50/34/50,175/19/35/130,0/0/0/0,391/-361/-242,0/0,-1008/34/-12646,-130/65/651,-1756/-75/225,#
r,39351,809899,64/50/34/50,197/20/61/166,0/0/0/0,388/-366/-241,0/0,-908/-64/-12654,-144/88/586,-1756/-75/231,#
r,39352,809919,64/50/34/51,180/29/46/126,0/0/0/0,386/-370/-240,0/0,-984/-222/-12622,-101/68/563,-1755/-75/237,#
r,39353,809938,64/50/34/51,185/34/38/143,0/0/0/0,384/-375/-239,0/0,-1062/-318/-12560,-86/59/562,-1754/-76/243,#
r,39354,809961,65/50/34/51,161/17/46/171,0/0/0/0,381/-379/-238,0/0,-1040/-396/-12504,-101/77/530,-1754/-76/250,#
r,39355,809989,65/50/34/52,166/30/46/144,0/0/0/0,379/-384/-237,0/0,-1012/-534/-12384,-54/65/474,-1753/-76/256,#
r,39356,810008,65/50/34/52,165/27/46/144,0/0/0/0,376/-389/-236,0/0,-1018/-658/-12310,-10/47/428,-1752/-76/263,#
r,39357,810028,66/50/34/52,153/40/71/139,0/0/0/0,374/-393/-235,0/0,-1100/-652/-12274,11/27/456,-1750/-76/268,#
r,39358,810048,66/50/35/52,152/54/58/138,0/0/0/0,371/-397/-234,0/0,-1112/-652/-12286,-6/39/440,-1749/-75/274,#
r,39359,810069,66/50/35/53,140/32/65/125,0/0/0/0,370/-401/-232,0/0,-1028/-780/-12320,-22/63/374,-1747/-75/280,#
r,39360,810088,66/50/35/53,147/33/75/139,0/0/0/0,367/-405/-230,0/0,-1032/-862/-12342,-4/55/359,-1746/-75/285,#
r,39361,810108,67/50/35/53,106/39/62/118,0/0/0/0,365/-408/-229,0/0,-1080/-914/-12344,11/42/356,-1744/-74/290,#
r,39362,810128,67/50/35/53,78/56/73/130,0/0/0/0,364/-412/-227,0/0,-1058/-954/-12320,18/39/330,-1742/-74/295,#
r,39363,810148,67/50/35/54,106/62/97/134,0/0/0/0,362/-415/-225,0/0,-1046/-924/-12250,35/31/332,-1739/-73/300,#
r,39364,810168,67/51/36/54,92/79/124/127,0/0/0/0,360/-418/-223,0/0,-1070/-930/-12216,59/16/334,-1737/-73/304,#
r,39365,810189,67/51/36/54,55/64/140/111,0/0/0/0,359/-421/-220,0/0,-1120/-962/-12208,77/2/334,-1734/-72/308,#
r,39366,810208,67/51/36/54,52/55/139/112,0/0/0/0,357/-424/-218,0/0,-1154/-993/-12226,63/9/327,-1730/-71/312,#
r,39367,810228,68/51/36/55,72/96/150/98,0/0/0/0,356/-426/-215,0/0,-1210/-1012/-12256,51/14/331,-1727/-70/315,#
r,39368,810248,68/51/37/55,64/53/151/107,0/0/0/0,355/-429/-212,0/0,-1276/-1054/-12284,52/10/342,-1723/-69/319,#
r,39369,810268,68/51/37/55,33/62/126/65,0/0/0/0,354/-431/-209,0/0,-1324/-1068/-12308,51/8/342,-1719/-67/321,#
r,39370,810288,68/51/37/55,35/67/155/89,0/0/0/0,354/-433/-206,0/0,-1354/-1090/-12308,43/12/345,-1715/-66/324,#
r,39371,810308,68/52/38/55,18/107/182/102,0/0/0/0,353/-435/-202,0/0,-1376/-1124/-12300,43/13/344,-1711/-64/327,#
r,39372,810328,68/52/38/56,5/89/200/73,0/0/0/0,353/-436/-199,0/0,-1390/-1200/-12314,37/18/321,-1706/-63/329,#
r,39373,810348,68/52/38/56,0/67/200/66,0/0/0/0,352/-438/-195,0/0,-1392/-1296/-12382,30/25/287,-1701/-61/331,#
r,39374,810368,68/52/39/56,-2/96/190/54,0/0/0/0,352/-439/-191,0/0,-1382/-1384/-12434,6/41/257,-1696/-59/333,#
r,39375,810389,68/52/39/56,-1/96/197/76,0/0/0/0,352/-440/-187,0/0,-1382/-1418/-12462,-12/54/243,-1690/-57/334,#
r,39376,810409,68/52/40/56,-13/112/201/52,0/0/0/0,352/-441/-183,0/0,-1442/-1454/-12458,-12/50/257,-1685/-55/336,#
r,39377,810429,68/53/40/56,-16/77/231/46,0/0/0/0,352/-442/-179,0/0,-1468/-1500/-12488,-31/57/254,-1679/-53/337,#
r,39378,810448,68/53/41/56,-36/73/214/34,0/0/0/0,352/-443/-174,0/0,-1452/-1476/-12560,-71/79/261,-1674/-50/338,#
r,39379,810469,68/53/41/56,-36/100/216/30,0/0/0/0,352/-443/-170,0/0,-1468/-1420/-12620,-113/99/285,-1668/-48/339,#
r,39380,810489,68/53/41/56,-25/61/218/17,0/0/0/0,353/-443/-166,0/0,-1502/-1408/-12606,-131/103/303,-1662/-46/339,#
r,39381,810508,68/53/42/57,-24/77/274/28,0/0/0/0,353/-443/-162,0/0,-1506/-1358/-12596,-169/117/318,-1656/-43/339,#
r,39382,810528,68/53/42/57,-39/78/246/11,0/0/0/0,354/-443/-158,0/0,-1538/-1304/-12662,-215/136/331,-1651/-41/339,#
