r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,13304,497855,17/36/62/62,0/0/0/0,-233/1578/726/-235,449/4/-263,0/0,-421/-110/-15367,-432/214/316,-23/-72/-104,#l_mh
r,13305,497892,17/36/62/62,0/0/0/0,-230/1579/575/-234,449/4/-263,0/0,-432/-108/-15412,-425/208/313,-23/-72/-104,#l_mh
r,13306,497924,17/36/62/62,0/0/0/0,-228/1579/485/-235,449/4/-263,0/0,-467/-128/-15467,-419/204/308,-23/-72/-104,#l_mh
r,13307,497960,17/36/62/62,0/0/-1/0,-232/1578/396/-238,449/4/-263,0/0,-500/-102/-15503,-409/194/314,-23/-72/-104,#l_mh
r,13308,497993,17/36/62/62,0/0/0/0,-229/1579/544/-237,449/4/-263,0/0,-490/-32/-15500,-395/183/321,-23/-72/-104,#l_mh
r,13309,498026,17/36/62/62,0/0/5/0,-226/1579/558/-235,449/4/-263,0/0,-590/52/-15528,-371/156/345,-23/-72/-104,#l_mh
r,13310,498061,17/36/62/62,0/0/1/0,-234/1579/565/-235,449/4/-263,0/0,-646/266/-15528,-336/119/379,-23/-72/-104,#l_mh
r,13311,498094,17/36/62/62,0/0/2/0,-231/1579/550/-234,449/4/-263,0/0,-804/592/-15422,-273/58/432,-23/-72/-104,#l_mh
r,13312,498126,17/36/62/62,0/0/0/0,-230/1580/660/-238,449/4/-263,0/0,-918/790/-15270,-196/1/479,-23/-73/-104,#l_mh
r,13313,498161,17/36/62/62,1/8/2/0,-236/1806/706/-236,449/5/-263,0/0,-1070/976/-15050,-106/-61/559,-23/-73/-104,#l_mh
r,13314,498195,17/36/62/62,16/7/15/0,235/1832/734/-232,449/5/-262,0/0,-1492/688/-15152,-105/-70/608,-23/-73/-103,#l_mh
r,13315,498234,18/36/62/62,42/5/17/1,298/1840/733/-97,449/6/-262,0/0,-1642/638/-15303,-73/-87/655,-23/-74/-102,#l_mh
r,13316,498274,18/36/62/62,56/10/23/10,304/1836/756/250,449/7/-261,0/0,-1418/708/-15220,31/-148/600,-24/-76/-100,#l_mh
r,13317,498314,18/36/62/62,36/26/35/17,324/1852/803/261,450/9/-259,0/0,-1132/794/-15180,66/-165/547,-25/-78/-98,#l_mh
r,13318,498354,18/36/63/62,34/51/83/8,332/1875/843/270,450/11/-257,0/0,-1064/524/-15038,124/-189/517,-26/-82/-96,#l_mh
r,13319,498387,18/36/63/62,53/38/85/6,296/1922/881/246,450/12/-255,0/0,-1268/469/-15052,85/-168/583,-27/-84/-95,#l_mh
r,13320,498427,18/36/63/62,44/65/73/18,316/1936/869/266,451/14/-252,0/0,-1645/400/-14988,120/-203/650,-29/-89/-92,#l_mh
r,13321,498467,19/37/64/62,51/92/116/30,329/1949/856/281,452/17/-247,0/0,-1706/528/-15122,75/-187/691,-32/-95/-88,#l_mh
r,13322,498508,19/37/64/62,69/80/95/20,374/1958/886/281,452/21/-242,0/0,-1524/508/-14956,121/-220/636,-35/-102/-84,#l_mh
r,13323,498548,19/37/65/63,87/98/150/47,406/2008/889/343,453/25/-236,0/0,-1288/534/-14808,122/-215/617,-39/-111/-78,#l_mh
r,13324,498588,20/38/65/63,101/104/147/28,371/2066/972/312,454/30/-229,0/0,-1282/378/-14525,138/-215/618,-43/-120/-72,#l_mh
r,13325,498627,20/38/66/63,73/153/151/36,405/2115/1034/312,455/34/-222,0/0,-1448/105/-14402,78/-172/638,-48/-131/-66,#l_mh
r,13326,498668,20/39/67/63,122/150/178/49,399/2162/1044/356,456/40/-213,0/0,-1544/-220/-14134,92/-168/621,-54/-143/-58,#l_mh
r,13327,498706,21/39/67/63,129/138/236/52,459/2179/1077/344,457/46/-204,0/0,-1434/-250/-13824,104/-165/602,-60/-155/-50,#l_mh
r,13328,498741,21/40/68/64,135/160/231/40,452/2215/1069/339,457/52/-194,0/0,-1086/-416/-13660,104/-145/485,-68/-169/-41,#l_mh
r,13329,498775,22/41/69/64,97/153/269/60,470/2232/1116/436,457/57/-183,0/0,-950/-728/-13675,68/-109/426,-75/-183/-32,#l_mh
r,13330,498807,22/41/70/64,92/180/275/52,442/2280/1114/442,457/60/-178,0/0,-812/-1024/-13464,70/-91/365,-80/-190/-28,#l_mh
r,13331,498841,22/42/71/64,98/158/283/62,426/2295/1135/435,457/65/-167,0/0,-868/-884/-13128,76/-92/416,-88/-205/-19,#l_mh
r,13332,498874,23/42/72/64,76/182/281/53,432/2298/1130/407,456/70/-156,0/0,-847/-982/-12975,28/-53/388,-98/-220/-9,#l_mh
r,13333,498908,23/43/72/64,105/173/269/40,424/2338/1144/424,456/72/-150,0/0,-780/-1268/-12764,17/-29/328,-102/-228/-5,#l_mh
r,13334,498942,23/43/73/65,99/178/281/62,468/2391/1203/404,455/76/-139,0/0,-668/-1336/-12552,-17/1/300,-112/-244/4,#l_mh
r,13335,498974,24/44/75/65,83/155/286/40,429/2384/1213/409,453/80/-127,0/0,-542/-1438/-12206,20/-7/259,-122/-259/13,#l_mh
r,13336,499009,24/44/75/65,81/162/318/37,409/2366/1202/373,452/81/-122,0/0,-500/-1480/-12038,0/14/239,-128/-267/17,#l_mh
r,13337,499049,24/45/77/65,45/155/306/27,416/2418/1222/416,451/83/-110,0/0,-476/-1628/-11706,18/10/204,-139/-284/26,#l_mh
r,13338,499088,24/46/78/65,30/156/326/17,336/2420/1212/371,449/84/-99,0/0,-454/-1824/-11522,6/25/167,-150/-301/33,#l_mh
r,13339,499128,24/46/79/65,25/146/316/1,335/2452/1219/344,447/84/-88,0/0,-444/-1960/-11182,55/5/138,-161/-317/40,#l_mh
r,13340,499167,24/47/80/65,0/137/322/0,267/2392/1218/114,445/83/-78,0/0,-368/-1876/-10954,56/7/127,-172/-333/46,#l_mh
