r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,108221,2238659,0/48/24/59,0/0/0/7,0/0/0/0,470/185/-312,0/0,-1682/806/-15366,-510/189/555,-1700/-121/-329,#
r,108222,2238680,0/48/24/59,0/0/0/4,0/0/0/0,470/185/-312,0/0,-1698/812/-15378,-512/188/555,-1700/-121/-329,#
r,108223,2238699,0/48/24/59,0/0/0/0,0/0/0/0,470/185/-312,0/0,-1714/814/-15389,-512/188/554,-1700/-121/-329,#
r,108224,2238719,0/48/24/59,0/0/0/-1,0/0/0/0,470/185/-312,0/0,-1726/838/-15378,-507/185/556,-1700/-121/-329,#
r,108225,2238739,0/48/24/59,0/0/0/-1,0/0/0/0,470/185/-312,0/0,-1729/862/-15372,-506/183/558,-1700/-121/-329,#
r,108226,2238759,0/48/24/59,0/0/0/-10,0/0/0/0,470/185/-312,0/0,-1737/882/-15372,-505/182/559,-1700/-121/-329,#
r,108227,2238779,0/48/24/59,0/0/0/-19,0/0/0/0,470/185/-312,0/0,-1754/896/-15360,-503/181/560,-1700/-121/-329,#
r,108228,2238800,0/48/24/59,0/0/0/-16,0/0/0/0,470/186/-312,0/0,-1786/934/-15374,-510/182/576,-1700/-121/-329,#
r,108229,2238820,0/48/24/59,0/0/0/-16,0/0/0/0,470/186/-312,0/0,-1771/938/-15384,-510/182/568,-1700/-121/-330,#
r,108230,2238839,0/48/24/59,0/0/0/-5,0/0/0/0,470/186/-312,0/0,-1779/889/-15394,-510/184/560,-1700/-121/-330,#
r,108231,2238860,0/48/24/59,0/0/0/-3,0/0/0/0,470/186/-312,0/0,-1798/893/-15398,-509/182/564,-1700/-121/-330,#
r,108232,2238879,0/48/24/59,0/0/0/-1,0/0/0/0,470/186/-312,0/0,-1844/935/-15375,-510/178/579,-1700/-121/-330,#
r,108233,2238899,0/48/24/59,0/0/0/0,0/0/0/0,470/186/-312,0/0,-1871/974/-15372,-506/171/579,-1700/-121/-330,#
r,108234,2238925,0/48/24/59,0/0/0/0,0/0/0/0,470/186/-312,0/0,-1904/1058/-15338,-504/166/590,-1700/-121/-330,#
r,108235,2238945,0/48/24/59,0/0/0/5,0/0/0/0,470/186/-312,0/0,-1948/1172/-15310,-500/157/607,-1700/-121/-330,#
r,108236,2238965,0/48/24/59,1/0/0/2,0/0/0/0,470/186/-312,0/0,-2004/1322/-15284,-488/141/634,-1700/-121/-330,#
r,108237,2238985,0/48/24/59,1/0/0/10,0/0/0/0,470/186/-312,0/0,-2036/1448/-15230,-470/126/652,-1700/-121/-330,#
r,108238,2239004,0/48/24/59,3/0/0/12,0/0/0/0,470/185/-312,0/0,-2060/1558/-15166,-463/117/673,-1700/-121/-329,#
r,108239,2239026,0/48/24/59,5/0/0/9,0/0/0/0,470/185/-312,0/0,-2076/1664/-15108,-460/112/691,-1700/-121/-329,#
r,108240,2239045,0/48/24/59,10/0/0/14,0/0/0/0,470/185/-312,0/0,-2092/1714/-15064,-456/108/703,-1700/-121/-329,#
r,108241,2239065,0/48/24/59,10/0/0/13,0/0/0/0,470/185/-312,0/0,-2082/1740/-15014,-454/107/704,-1700/-121/-328,#
r,108242,2239085,0/48/24/59,23/0/0/10,0/0/0/0,470/184/-312,0/0,-2062/1758/-14962,-447/103/707,-1700/-121/-327,#
r,108243,2239106,0/48/24/59,17/0/0/22,0/0/0/0,471/184/-312,0/0,-2032/1778/-14903,-446/104/706,-1700/-122/-327,#
r,108244,2239126,0/48/24/60,32/0/0/14,0/0/0/0,471/183/-312,0/0,-1992/1779/-14858,-444/105/696,-1700/-122/-326,#
r,108245,2239146,0/48/24/60,21/0/0/14,0/0/0/0,471/182/-312,0/0,-1964/1795/-14808,-441/104/692,-1700/-122/-325,#
r,108246,2239165,1/48/24/60,21/0/0/30,0/0/0/0,471/181/-312,0/0,-1952/1821/-14732,-431/97/693,-1700/-122/-324,#
r,108247,2239186,1/48/24/60,30/0/0/30,0/0/0/0,472/181/-312,0/0,-1929/1864/-14666,-430/96/698,-1701/-122/-323,#
r,108248,2239207,1/48/24/60,38/0/0/29,0/0/0/0,472/180/-312,0/0,-1924/1884/-14602,-426/94/701,-1701/-122/-322,#
r,108249,2239227,1/48/24/60,27/0/0/29,0/0/0/0,473/179/-312,0/0,-1940/1912/-14539,-420/88/712,-1701/-123/-321,#
r,108250,2239247,1/48/24/60,44/0/0/26,0/0/0/0,473/178/-312,0/0,-1954/1908/-14510,-420/86/720,-1701/-123/-319,#
r,108251,2239267,1/48/24/60,38/0/0/38,0/0/0/0,473/176/-312,0/0,-1954/1914/-14489,-426/89/724,-1701/-123/-318,#
r,108252,2239287,1/48/24/60,66/0/0/32,0/0/0/0,474/175/-312,0/0,-1956/1937/-14453,-424/86/730,-1701/-123/-316,#
r,108253,2239308,1/48/24/60,39/0/0/34,0/0/0/0,474/174/-312,0/0,-1952/1990/-14416,-417/79/738,-1701/-124/-314,#
r,108254,2239327,1/48/24/60,85/0/0/29,0/0/0/0,474/172/-312,0/0,-1906/2044/-14374,-412/77/731,-1701/-124/-312,#
r,108255,2239347,1/48/24/60,79/0/0/39,0/0/0/0,475/170/-312,0/0,-1860/2080/-14298,-403/73/726,-1702/-124/-310,#
r,108256,2239367,2/48/24/60,68/0/0/40,0/0/0/0,475/168/-313,0/0,-1810/2110/-14188,-387/67/720,-1702/-125/-308,#
