r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,82748,3047793,21/95/1/58,0/0/0/0,-245/2135/413/-223,567/64/57,0/0,-216/-3312/-10996,22/83/232,-20/-54/-115,#l_mj
r,82749,3047827,21/95/1/58,0/0/0/0,-241/2135/410/-228,567/64/57,0/0,-202/-3316/-10864,42/74/238,-20/-54/-115,#l_mj
r,82750,3047861,21/95/1/58,0/0/0/0,-242/2135/411/-229,567/64/57,0/0,-188/-3398/-10794,43/79/236,-20/-54/-115,#l_mj
r,82751,3047893,21/95/1/58,0/0/0/0,-241/2135/412/-228,567/64/57,0/0,-166/-3614/-10698,76/68/212,-20/-54/-115,#l_mj
r,82752,3047926,21/95/1/58,0/0/0/0,-244/2130/413/-232,567/64/57,0/0,-146/-3709/-10542,94/61/203,-20/-54/-115,#l_mj
r,82753,3047960,21/95/1/58,0/0/0/0,-244/2129/412/-227,567/64/57,0/0,-152/-3843/-10330,149/35/199,-20/-54/-115,#l_mj
r,82754,3047993,21/95/1/58,0/2/0/0,-244/2334/414/-230,567/64/57,0/0,-142/-3918/-10256,166/30/198,-20/-54/-115,#l_mj
r,82755,3048027,21/95/1/58,0/4/0/0,-246/2377/412/-230,567/64/57,0/0,-144/-4025/-10370,143/49/189,-20/-54/-115,#l_mj
r,82756,3048059,21/95/1/58,0/3/0/0,-240/2368/410/-230,567/64/58,0/0,-190/-4236/-10336,161/40/165,-20/-54/-115,#l_mj
r,82757,3048093,21/95/1/58,0/6/0/0,-244/2373/412/-228,567/64/58,0/0,-244/-4314/-10300,175/28/160,-20/-54/-115,#l_mj
r,82758,3048126,21/95/1/58,0/14/0/-1,-242/2365/409/-234,567/64/58,0/0,-224/-4336/-10314,180/29/151,-20/-55/-115,#l_mj
r,82759,3048159,21/95/1/58,0/21/0/0,-245/2407/416/-225,567/64/59,0/0,-408/-4200/-10444,178/19/193,-21/-56/-115,#l_mj
r,82760,3048192,21/95/1/58,0/27/0/0,-243/2400/412/-230,567/64/60,0/0,-526/-4270/-10742,125/44/186,-21/-56/-115,#l_mj
