r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,77414,1596076,26/35/35/85,0/0/0/1,0/0/0/0,425/-202/-390,0/0,-794/692/-14975,-572/209/504,-1777/-221/185,#
r,77415,1596098,26/35/35/85,0/0/0/0,0/0/0/0,425/-202/-390,0/0,-754/688/-14966,-573/212/498,-1777/-221/185,#
r,77416,1596122,26/35/35/85,0/0/0/0,0/0/0/0,425/-202/-390,0/0,-708/676/-14964,-574/218/491,-1777/-221/185,#
r,77417,1596149,26/35/35/85,0/0/0/-11,0/0/0/0,425/-202/-390,0/0,-682/650/-14960,-574/224/485,-1777/-221/185,#
r,77418,1596170,26/35/35/85,0/0/0/-10,0/0/0/0,425/-201/-390,0/0,-622/586/-14922,-568/231/459,-1777/-221/185,#
r,77419,1596190,26/35/35/85,0/0/0/-9,0/0/0/0,425/-201/-390,0/0,-566/512/-14920,-573/242/438,-1777/-221/185,#
r,77420,1596210,26/35/35/85,0/0/0/-10,0/0/0/0,425/-201/-390,0/0,-518/508/-14928,-580/249/427,-1777/-221/184,#
r,77421,1596230,26/35/35/85,0/0/0/-5,0/0/0/0,426/-201/-390,0/0,-480/506/-14936,-586/255/415,-1777/-221/184,#
r,77422,1596250,26/35/35/85,0/0/0/-7,0/0/0/0,426/-201/-390,0/0,-428/514/-14952,-592/264/399,-1777/-221/184,#
r,77423,1596270,26/35/35/85,0/0/0/-10,0/0/0/0,426/-201/-390,0/0,-376/532/-14978,-597/272/388,-1777/-221/184,#
r,77424,1596290,26/35/35/85,0/0/0/-5,0/0/0/0,426/-201/-390,0/0,-352/540/-14962,-594/276/388,-1777/-221/184,#
r,77425,1596310,26/35/35/85,0/0/0/-4,0/0/0/0,426/-201/-390,0/0,-326/536/-14948,-590/282/380,-1777/-221/183,#
r,77426,1596329,26/35/35/85,0/0/0/-7,0/0/0/0,426/-201/-390,0/0,-282/498/-14952,-595/295/357,-1777/-221/183,#
r,77427,1596350,26/35/35/85,0/0/0/-7,0/0/0/0,426/-201/-390,0/0,-209/530/-14988,-608/310/337,-1777/-221/183,#
r,77428,1596370,26/35/35/85,0/0/0/-7,0/0/0/0,426/-200/-390,0/0,-130/548/-15022,-614/322/317,-1777/-221/183,#
r,77429,1596390,26/35/35/85,0/0/0/-9,0/0/0/0,426/-200/-390,0/0,-62/516/-15062,-609/331/286,-1777/-221/183,#
r,77430,1596410,26/35/35/85,0/0/0/-10,0/0/0/0,426/-200/-390,0/0,-16/452/-15074,-595/333/243,-1777/-221/183,#
r,77431,1596430,26/35/35/85,-2/0/0/-15,0/0/0/0,426/-200/-390,0/0,30/454/-15092,-585/338/216,-1777/-221/182,#
r,77432,1596449,26/35/35/85,-9/0/0/-22,0/0/0/0,426/-200/-390,0/0,108/526/-15142,-583/345/204,-1777/-221/182,#
r,77433,1596470,26/35/35/85,-19/0/0/-36,0/0/0/0,426/-199/-390,0/0,180/544/-15224,-587/358/184,-1776/-221/181,#
r,77434,1596490,26/35/35/85,-21/0/0/-24,0/0/0/0,427/-198/-390,0/0,242/524/-15262,-581/363/141,-1776/-221/180,#
r,77435,1596510,25/35/35/85,-28/0/0/-38,0/0/0/0,427/-197/-390,0/0,272/524/-15300,-582/370/125,-1776/-220/178,#
r,77436,1596529,25/35/35/85,-37/0/0/-60,0/0/0/0,427/-196/-390,0/0,302/554/-15322,-572/368/119,-1776/-220/177,#
r,77437,1596549,25/35/35/85,-42/0/0/-65,0/0/0/0,428/-195/-390,0/0,312/510/-15360,-564/368/88,-1775/-220/175,#
r,77438,1596570,25/35/35/85,-42/0/0/-58,0/0/0/0,429/-193/-390,0/0,356/480/-15367,-557/369/70,-1775/-220/172,#
r,77439,1596589,25/35/35/84,-46/0/0/-81,0/0/0/0,429/-191/-390,0/0,390/452/-15375,-545/365/60,-1774/-219/170,#
r,77440,1596610,25/35/35/84,-102/0/0/-67,0/0/0/0,430/-189/-389,0/0,408/421/-15362,-518/350/60,-1773/-219/166,#
r,77441,1596630,25/35/35/84,-95/0/0/-122,0/0/0/0,431/-186/-389,0/0,392/392/-15389,-498/339/62,-1773/-219/163,#
