r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,27701,1012893,-10/61/6/80,0/0/0/0,47/1857/204/230,516/-161/-299,0/0,318/1786/-14456,-501/231/463,-42/225/-208,#l_sk
r,27702,1012933,-10/61/6/80,0/0/0/0,47/1858/200/229,516/-161/-299,0/0,330/1782/-14472,-504/232/463,-42/225/-208,#l_sk
r,27703,1012967,-10/61/6/80,0/0/0/0,48/1855/201/228,516/-161/-299,0/0,322/1795/-14467,-505/232/463,-42/225/-208,#l_sk
r,27704,1013006,-10/61/6/80,0/0/0/0,46/1855/202/228,516/-161/-299,0/0,336/1821/-14450,-507/232/463,-42/225/-208,#l_sk
r,27705,1013047,-10/61/6/80,0/0/0/0,47/1856/204/228,516/-161/-299,0/0,382/1862/-14400,-503/231/463,-42/225/-208,#l_sk
r,27706,1013087,-10/61/6/80,0/0/0/0,46/1858/207/229,516/-161/-299,0/0,482/1978/-14275,-490/229/464,-42/225/-208,#l_sk
r,27707,1013127,-10/61/6/80,0/0/0/0,47/1858/203/229,516/-161/-299,0/0,670/2258/-14022,-463/221/483,-42/225/-208,#l_sk
r,27708,1013166,-10/61/6/80,0/0/0/0,47/1855/203/228,516/-161/-299,0/0,876/2620/-13780,-426/208/506,-42/225/-208,#l_sk
r,27709,1013207,-10/61/6/80,0/0/0/0,47/1856/202/227,516/-161/-299,0/0,989/2802/-13562,-391/199/514,-42/225/-208,#l_sk
r,27710,1013247,-10/61/6/80,0/0/0/0,47/1853/199/230,516/-161/-299,0/0,1110/2900/-13402,-384/203/498,-42/225/-208,#l_sk
r,27711,1013287,-10/61/6/80,0/0/0/0,46/1854/200/228,516/-161/-299,0/0,1220/3040/-13320,-386/210/477,-42/225/-208,#l_sk
r,27712,1013327,-10/61/6/80,-1/0/0/0,108/1856/200/228,516/-161/-299,0/0,1694/3375/-13417,-442/255/397,-42/225/-208,#l_sk
r,27713,1013367,-10/61/6/80,-10/10/1/0,-154/2058/204/90,516/-162/-299,0/0,2138/3590/-12478,-256/155/347,-42/225/-208,#l_sk
r,27714,1013407,-10/62/6/80,-23/16/2/-21,-76/2149/452/-234,516/-163/-298,0/0,1912/3406/-12889,-375/228/367,-42/224/-209,#l_sk
r,27715,1013446,-10/62/6/80,-1/5/2/-6,-111/2141/447/-282,516/-163/-298,0/0,1404/3591/-12634,-324/185/511,-42/224/-210,#l_sk
r,27716,1013486,-10/62/6/80,5/7/4/1,278/2085/422/-245,516/-163/-298,0/0,1364/3609/-12294,-263/155/531,-42/223/-210,#l_sk
r,27717,1013526,-10/62/6/80,16/13/15/5,256/2121/451/230,516/-163/-297,0/0,1570/3578/-12512,-324/198/469,-42/223/-209,#l_sk
r,27718,1013566,-10/62/6/80,5/5/23/12,279/2105/470/258,517/-162/-296,0/0,1940/3548/-12304,-291/189/394,-41/222/-208,#l_sk
r,27719,1013601,-10/62/6/80,-7/13/22/9,-86/2091/491/258,517/-162/-295,0/0,2146/3522/-12196,-271/191/341,-41/220/-208,#l_sk
r,27720,1013635,-10/62/6/80,-8/26/34/2,-103/2138/509/248,518/-162/-294,0/0,1864/3596/-12144,-266/180/415,-41/218/-208,#l_sk
r,27721,1013668,-10/62/6/80,0/20/44/0,-114/2156/516/234,518/-163/-293,0/0,1695/3504/-12228,-292/198/430,-40/217/-208,#l_sk
r,27722,1013702,-10/62/6/80,11/19/42/0,292/2145/550/237,518/-162/-291,0/0,1584/3525/-12144,-264/180/455,-40/214/-207,#l_sk
r,27723,1013735,-10/62/7/80,1/31/82/0,275/2118/583/239,519/-162/-288,0/0,1837/3422/-12140,-243/183/378,-39/211/-207,#l_sk
r,27724,1013768,-10/62/7/80,-1/35/77/0,280/2135/591/231,520/-162/-287,0/0,2016/3440/-11974,-209/171/346,-38/209/-207,#l_sk
r,27725,1013802,-10/62/7/80,-18/63/67/0,-146/2183/591/235,521/-163/-284,0/0,2202/3346/-11940,-210/188/294,-38/204/-207,#l_sk
r,27726,1013837,-10/63/7/80,-12/70/80/-4,-71/2205/615/-251,523/-164/-279,0/0,2045/3368/-11880,-216/192/339,-37/199/-207,#l_sk
r,27727,1013876,-10/63/8/80,-4/66/118/-13,-114/2246/642/-239,524/-165/-274,0/0,2014/3300/-11862,-223/203/345,-36/192/-207,#l_sk
r,27728,1013917,-10/63/8/80,0/92/124/-9,-141/2256/681/-264,526/-165/-268,0/0,2052/3164/-11894,-242/219/326,-34/185/-207,#l_sk
r,27729,1013957,-10/64/8/80,0/98/115/-7,-11/2349/685/-247,529/-166/-261,0/0,2172/2962/-11960,-249/228/281,-32/176/-207,#l_sk
r,27730,1013997,-10/64/9/80,0/99/139/-15,-83/2398/743/-254,530/-167/-254,0/0,2200/2726/-12042,-274/252/249,-31/167/-207,#l_sk
r,27731,1014037,-10/64/9/80,0/109/158/-7,-17/2322/756/-272,533/-168/-246,0/0,2026/2588/-12006,-274/250/275,-29/157/-207,#l_sk
r,27732,1014077,-10/65/10/80,0/154/131/-7,102/2415/786/-259,535/-168/-237,0/0,1902/2528/-12090,-311/271/297,-26/146/-207,#l_sk
r,27733,1014117,-10/66/11/80,0/134/115/-17,117/2470/728/-268,538/-169/-228,0/0,1864/2314/-12270,-333/300/277,-24/135/-207,#l_sk
r,27734,1014157,-10/66/11/80,0/112/116/-7,24/2471/785/-250,540/-170/-218,0/0,1942/2132/-12282,-362/307/241,-22/124/-207,#l_sk
r,27735,1014197,-10/67/12/80,-1/161/163/-13,-89/2452/827/-266,542/-171/-209,0/0,2032/2060/-12398,-402/337/212,-20/113/-207,#l_sk
r,27736,1014234,-10/67/12/80,-11/95/145/-23,-68/2512/829/-273,545/-172/-200,0/0,2045/1914/-12902,-511/411/179,-18/102/-208,#l_sk
r,27737,1014275,-10/68/13/79,-25/116/120/-32,-41/2549/878/-264,545/-174/-191,0/0,1898/1568/-13089,-544/438/154,-16/91/-209,#l_sk
r,27738,1014314,-10/68/14/79,-29/105/136/-38,7/2492/840/-288,546/-176/-184,0/0,1920/1496/-12928,-525/432/137,-15/82/-211,#l_sk
r,27739,1014355,-10/68/14/79,-45/105/133/-39,118/2463/828/-332,547/-178/-177,0/0,2060/1632/-12830,-522/432/130,-13/73/-214,#l_sk
r,27740,1014395,-10/69/15/79,-28/73/140/-69,194/2464/807/-305,548/-181/-171,0/0,2176/1708/-12812,-528/435/114,-12/65/-217,#l_sk
r,27741,1014435,-10/69/15/79,-25/51/116/-63,173/2457/807/-336,548/-184/-165,0/0,2142/1829/-12698,-517/419/140,-11/58/-221,#l_sk
r,27742,1014475,-10/69/16/78,-21/44/116/-65,182/2442/846/-348,547/-187/-160,0/0,2234/2037/-12340,-463/384/148,-10/51/-224,#l_sk
r,27743,1014515,-10/69/16/78,-14/64/115/-89,197/2467/890/-404,547/-190/-155,0/0,2260/2424/-12174,-466/374/194,-8/44/-229,#l_sk
r,27744,1014555,-10/70/17/78,-10/54/133/-99,225/2488/880/-415,547/-193/-150,0/0,2266/2420/-12126,-474/373/185,-7/37/-233,#l_sk
r,27745,1014594,-10/70/17/77,0/87/96/-118,195/2468/894/-428,547/-195/-144,0/0,2154/2670/-11962,-469/351/258,-6/30/-237,#l_sk
r,27746,1014635,-10/70/18/77,1/71/140/-127,407/2467/867/-440,547/-197/-138,0/0,2122/2834/-11848,-470/341/288,-4/22/-241,#l_sk
r,27747,1014674,-10/70/18/76,7/70/118/-128,631/2544/895/-450,546/-200/-131,0/0,2000/2866/-11940,-511/356/324,-2/14/-246,#l_sk
r,27748,1014715,-10/71/19/76,10/108/151/-131,589/2541/891/-458,546/-202/-124,0/0,1940/2792/-11940,-520/360/331,-1/5/-251,#l_sk
