r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,5928,217059,86/64/53/88,0/0/0/0,-228/2265/686/238,59/615/-19,0/0,-1244/-1180/-12554,-301/131/444,-266/-19/845,#l_hm
r,5929,217092,86/64/53/88,0/0/0/0,-229/2267/688/235,59/615/-19,0/0,-1254/-1186/-12560,-301/131/444,-266/-19/845,#l_hm
r,5930,217125,86/64/53/88,0/0/0/0,-227/2271/688/235,59/615/-19,0/0,-1292/-1182/-12518,-294/125/445,-266/-19/845,#l_hm
r,5931,217160,86/64/53/88,0/0/0/0,-231/2268/690/236,59/615/-19,0/0,-1316/-1136/-12442,-281/113/446,-266/-19/845,#l_hm
r,5932,217193,86/64/53/88,0/0/0/0,-227/2269/689/237,59/615/-19,0/0,-1344/-1056/-12302,-259/97/455,-266/-19/845,#l_hm
r,5933,217225,86/64/53/88,0/0/0/0,-230/2269/687/237,59/615/-19,0/0,-1402/-988/-12224,-237/76/472,-266/-19/845,#l_hm
r,5934,217260,86/64/53/88,0/0/0/0,-234/2267/686/237,59/615/-19,0/0,-1410/-928/-12218,-255/83/483,-266/-19/845,#l_hm
r,5935,217294,86/64/53/88,0/0/0/0,-231/2272/689/235,59/615/-19,0/0,-1436/-872/-12158,-251/78/496,-266/-19/845,#l_hm
r,5936,217327,86/64/53/88,0/0/0/0,-229/2269/687/237,59/615/-19,0/0,-1486/-776/-12090,-246/68/514,-266/-19/845,#l_hm
r,5937,217360,86/64/53/88,0/0/0/0,-229/2266/687/237,59/615/-19,0/0,-1516/-724/-12056,-259/68/513,-266/-19/845,#l_hm
r,5938,217395,86/64/53/88,0/0/0/0,-231/2270/686/236,59/615/-19,0/0,-1621/-664/-11970,-249/54/533,-266/-19/845,#l_hm
r,5939,217426,86/64/53/88,0/0/0/0,-227/2270/688/235,59/615/-19,0/0,-1710/-612/-11876,-250/48/548,-266/-19/845,#l_hm
r,5940,217460,86/64/53/88,0/0/0/0,-226/2270/689/237,59/615/-19,0/0,-1806/-526/-11774,-248/38/571,-266/-19/845,#l_hm
r,5941,217494,86/64/53/88,0/0/0/0,-227/2269/689/237,59/615/-19,0/0,-1898/-450/-11666,-231/19/589,-266/-19/845,#l_hm
r,5942,217534,86/64/53/88,2/0/0/0,158/2266/687/236,59/615/-19,0/0,-2048/-348/-11654,-230/2/617,-266/-19/845,#l_hm
r,5943,217574,86/64/53/88,24/0/0/0,253/2267/689/236,59/615/-19,0/0,-2126/-318/-11688,-221/-16/626,-266/-19/845,#l_hm
r,5944,217614,86/64/53/88,23/0/0/0,255/2267/687/235,58/615/-19,0/0,-2094/-256/-11676,-216/-24/637,-266/-18/846,#l_hm
r,5945,217654,86/64/53/88,32/0/0/0,319/2268/687/236,56/615/-19,0/0,-2128/-232/-11726,-200/-43/659,-266/-18/848,#l_hm
r,5946,217694,86/64/53/88,48/0/0/0,333/2262/690/231,54/615/-19,0/0,-2184/-314/-11892,-218/-37/676,-266/-17/849,#l_hm
r,5947,217734,86/64/53/88,79/0/0/0,370/2268/687/230,52/615/-19,0/0,-2266/-368/-11934,-214/-41/711,-266/-16/852,#l_hm
r,5948,217773,87/64/53/88,88/0/0/0,369/2264/687/228,49/616/-19,0/0,-2254/-467/-11964,-192/-54/704,-266/-14/854,#l_hm
r,5949,217814,87/64/53/88,70/0/0/2,364/2269/688/232,46/616/-19,0/0,-2260/-534/-12004,-209/-43/729,-266/-13/858,#l_hm
r,5950,217854,88/64/53/88,112/0/0/2,406/2265/687/236,42/616/-19,0/0,-2268/-626/-12144,-240/-19/729,-266/-11/862,#l_hm
r,5951,217894,88/64/53/88,130/0/0/10,412/2262/687/231,37/617/-19,0/0,-2312/-640/-12194,-250/-14/743,-266/-9/866,#l_hm
r,5952,217927,88/64/53/89,126/0/0/9,442/2268/688/252,35/617/-19,0/0,-2216/-666/-12236,-270/3/724,-267/-7/869,#l_hm
r,5953,217967,89/64/53/89,163/0/0/17,452/2268/685/269,29/617/-19,0/0,-2138/-742/-12308,-290/24/710,-267/-5/875,#l_hm
r,5954,218007,89/64/53/89,166/0/0/13,487/2267/690/271,23/617/-19,0/0,-2074/-838/-12402,-335/61/683,-267/-2/881,#l_hm
r,5955,218048,90/64/53/89,155/0/0/35,499/2271/690/254,17/617/-19,0/0,-1987/-804/-12446,-365/85/659,-267/0/888,#l_hm
r,5956,218086,91/64/53/89,156/0/0/20,512/2266/686/284,11/617/-19,0/0,-1952/-692/-12384,-365/86/665,-267/3/895,#l_hm
r,5957,218128,91/64/53/89,182/0/0/23,523/2267/687/300,4/617/-19,0/0,-1871/-788/-12596,-441/143/623,-267/6/903,#l_hm
r,5958,218167,92/64/53/89,203/-1/0/42,524/2053/686/331,-3/617/-19,0/0,-1600/-734/-12640,-487/192/531,-266/10/911,#l_hm
r,5959,218207,93/64/53/89,210/-3/-4/32,553/2032/458/335,-11/617/-19,0/0,-1470/-500/-12572,-531/228/501,-266/13/919,#l_hm
r,5960,218247,94/64/53/89,161/-5/-4/31,549/2016/449/325,-18/616/-20,0/0,-1108/-746/-12916,-643/332/347,-265/16/927,#l_hm
r,5961,218287,94/64/53/90,194/-14/-12/22,521/2021/433/308,-25/616/-20,0/0,-1112/-802/-12846,-683/380/350,-264/19/934,#l_hm
r,5962,218327,95/64/53/90,168/-20/-14/10,539/1999/433/307,-31/615/-22,0/0,-1226/-1080/-12768,-697/392/283,-263/22/941,#l_hm
r,5963,218367,96/63/53/90,130/-49/-25/0,481/2030/492/248,-36/615/-23,0/0,-1226/-1040/-12844,-755/429/269,-260/24/946,#l_hm
r,5964,218406,96/63/53/90,130/-42/-55/-4,525/1941/388/-228,-41/615/-26,0/0,-1096/-876/-12934,-784/448/247,-257/27/951,#l_hm
r,5965,218447,97/63/52/90,131/-48/-36/-13,472/1960/348/-231,-45/614/-29,0/0,-1036/-862/-13164,-828/469/261,-253/28/955,#l_hm
r,5966,218487,97/63/52/89,82/-83/-81/-16,452/1833/406/-225,-49/614/-33,0/0,-1076/-802/-13302,-846/473/295,-248/29/958,#l_hm
r,5967,218528,97/63/52/89,93/-102/-95/-25,446/1838/305/-286,-51/615/-38,0/0,-1020/-752/-13308,-846/471/294,-242/30/961,#l_hm
r,5968,218568,98/62/51/89,61/-103/-103/-17,425/1785/268/-291,-53/615/-45,0/0,-958/-660/-13220,-809/447/285,-233/30/963,#l_hm
r,5969,218608,98/62/51/89,32/-142/-133/-26,365/1725/201/-299,-55/615/-53,0/0,-1102/-724/-13436,-832/446/332,-224/30/964,#l_hm
r,5970,218648,98/61/51/89,37/-162/-114/-39,314/1733/165/-305,-55/615/-62,0/0,-1200/-760/-13458,-789/414/366,-212/29/965,#l_hm
r,5971,218689,98/60/50/89,25/-201/-171/-23,324/1722/169/-309,-56/616/-73,0/0,-1122/-506/-13286,-740/374/363,-199/27/965,#l_hm
r,5972,218728,98/59/49/89,10/-188/-186/-27,261/1621/147/-288,-56/616/-85,0/0,-1050/-252/-13300,-732/359/384,-185/26/965,#l_hm
r,5973,218768,98/59/49/89,0/-196/-163/-20,258/1585/83/-283,-55/616/-97,0/0,-1048/-58/-13008,-621/284/383,-170/24/965,#l_hm
r,5974,218808,98/58/48/89,0/-201/-158/-26,256/1589/97/-294,-55/615/-110,0/0,-1088/184/-12828,-531/211/390,-155/22/965,#l_hm
r,5975,218848,98/57/47/89,0/-193/-202/-17,256/1566/81/-270,-55/615/-123,0/0,-928/276/-12620,-431/157/352,-139/19/965,#l_hm
r,5976,218888,98/56/46/89,0/-190/-160/-10,255/1521/75/-279,-55/614/-136,0/0,-843/346/-12762,-416/147/313,-124/17/965,#l_hm
r,5977,218928,98/55/46/88,0/-184/-177/-16,256/1524/91/-260,-54/613/-149,0/0,-734/132/-12562,-302/106/276,-109/15/965,#l_hm
r,5978,218968,98/55/45/88,0/-169/-176/-14,264/1479/-11/-258,-54/611/-160,0/0,-618/32/-12556,-307/119/237,-95/13/964,#l_hm
r,5979,219008,98/54/44/88,-13/-185/-157/-16,-229/1506/43/-255,-53/610/-171,0/0,-640/-70/-12646,-289/118/241,-82/11/964,#l_hm
r,5980,219048,98/53/44/88,-16/-162/-122/-16,-251/1479/54/-294,-51/608/-182,0/0,-642/-105/-12678,-248/95/210,-69/9/963,#l_hm
r,5981,219088,98/53/43/88,-18/-143/-103/-21,-211/1513/51/-281,-50/607/-192,0/0,-546/-182/-12908,-288/118/189,-57/8/961,#l_hm
r,5982,219128,98/52/43/88,-34/-132/-126/-38,-294/1408/37/-295,-49/605/-202,0/0,-469/22/-12782,-203/69/172,-46/6/959,#l_hm
r,5983,219168,98/51/42/88,-39/-145/-138/-38,-283/1461/88/-299,-46/604/-210,0/0,-484/54/-12934,-198/55/158,-36/4/956,#l_hm
r,5984,219209,98/51/42/88,-40/-137/-68/-35,-316/1434/104/-327,-44/602/-218,0/0,-469/34/-13086,-206/62/144,-26/3/952,#l_hm
r,5985,219250,97/50/42/88,-54/-138/-68/-77,-308/1408/96/-323,-40/601/-225,0/0,-467/54/-13148,-192/51/121,-18/2/948,#l_hm
r,5986,219289,97/50/41/87,-49/-115/-50/-86,-358/1350/100/-382,-36/599/-231,0/0,-314/0/-13084,-192/65/125,-11/1/943,#l_hm
r,5987,219329,97/49/41/87,-55/-125/-47/-87,-373/1410/138/-418,-32/598/-237,0/0,-190/-8/-12806,-138/49/96,-5/0/936,#l_hm
r,5988,219368,96/49/41/86,-65/-77/-39/-89,-377/1371/146/-422,-27/597/-242,0/0,-182/-62/-12888,-204/98/114,0/0/929,#l_hm
r,5989,219403,96/49/41/86,-70/-65/-15/-114,-373/1376/151/-426,-22/596/-245,0/0,-300/-104/-12874,-197/93/141,3/0/921,#l_hm
r,5990,219437,96/49/41/86,-100/-48/-8/-103,-356/1465/180/-458,-16/595/-248,0/0,-350/-30/-12860,-209/94/185,6/0/911,#l_hm
r,5991,219469,95/48/41/85,-119/-39/0/-141,-418/1452/184/-474,-12/595/-249,0/0,-170/-62/-12784,-194/95/176,7/0/907,#l_hm
r,5992,219509,95/48/41/85,-138/-30/0/-134,-438/1398/414/-458,-5/595/-251,0/0,-172/38/-12718,-187/86/240,9/0/897,#l_hm
r,5993,219549,95/48/41/84,-109/-24/3/-174,-479/1441/707/-476,0/594/-252,0/0,-142/-78/-12792,-213/104/245,10/0/886,#l_hm
r,5994,219589,94/48/41/83,-149/-35/11/-176,-452/1494/734/-502,8/594/-253,0/0,-204/-114/-12788,-224/111/290,11/0/874,#l_hm
r,5995,219629,94/48/41/83,-141/-25/7/-185,-456/1480/765/-522,15/593/-254,0/0,-284/-122/-12738,-220/105/345,11/0/863,#l_hm
r,5996,219669,93/48/41/82,-129/-13/10/-184,-459/1511/753/-511,22/593/-254,0/0,-208/-158/-12722,-216/108/349,11/0/851,#l_hm
r,5997,219709,93/48/41/81,-86/-1/6/-210,-462/1529/752/-521,30/592/-254,0/0,-198/-242/-12790,-229/118/356,11/0/838,#l_hm
r,5998,219749,92/48/41/81,-119/0/5/-168,-465/1777/733/-516,37/591/-254,0/0,-242/-336/-12866,-242/123/377,11/0/826,#l_hm
r,5999,219789,92/48/41/80,-133/0/4/-180,-447/1788/741/-521,46/590/-254,0/0,-220/-278/-12750,-203/100/396,11/0/813,#l_hm
r,6000,219826,91/48/41/79,-79/0/4/-162,-454/1786/729/-521,54/589/-254,0/0,-184/-152/-12694,-194/92/427,11/0/801,#l_hm
r,6001,219865,91/48/41/78,-124/0/10/-182,-443/1787/736/-519,61/588/-253,0/0,-160/-136/-12776,-190/85/430,10/0/788,#l_hm
r,6002,219905,90/48/41/77,-103/0/7/-181,-481/1786/739/-533,69/587/-253,0/0,-186/-50/-12860,-187/76/456,10/0/776,#l_hm
r,6003,219945,90/48/41/77,-100/0/16/-176,-448/1787/736/-515,76/585/-253,0/0,-104/-68/-12778,-140/52/436,9/0/764,#l_hm
r,6004,219985,89/48/41/76,-79/0/24/-210,-440/1996/757/-528,83/584/-252,0/0,-48/-4/-12682,-116/38/450,9/0/752,#l_hm
r,6005,220026,89/48/41/75,-93/3/19/-187,-460/2027/766/-527,90/582/-252,0/0,-24/120/-12638,-126/39/474,7/0/740,#l_hm
r,6006,220066,89/48/41/74,-109/2/48/-226,-431/2025/772/-558,97/580/-251,0/0,32/110/-12522,-93/29/463,6/0/729,#l_hm
r,6007,220106,88/48/42/74,-99/0/47/-215,-412/2014/788/-538,103/578/-250,0/0,70/176/-12392,-62/8/471,4/0/717,#l_hm
r,6008,220145,88/48/42/73,-73/0/44/-174,-431/2003/831/-532,110/576/-249,0/0,144/238/-12304,-47/2/475,2/0/706,#l_hm
r,6009,220186,88/48/42/72,-98/0/64/-200,-388/2013/830/-532,116/574/-247,0/0,156/186/-12306,-40/3/476,0/0/695,#l_hm
r,6010,220225,87/48/42/71,-86/0/121/-171,-361/1789/843/-548,122/572/-245,0/0,44/318/-12246,-15/-26/522,-3/0/684,#l_hm
r,6011,220266,87/48/43/70,-54/0/78/-215,-397/1788/945/-552,128/569/-243,0/0,56/460/-12252,3/-40/554,-8/0/674,#l_hm
r,6012,220305,87/48/43/70,-73/1/141/-203,-356/1789/906/-526,133/567/-240,0/0,38/616/-12226,43/-77/580,-13/0/664,#l_hm
r,6013,220346,87/48/44/69,-43/8/130/-208,-363/2020/906/-525,137/565/-237,0/0,206/528/-12340,-2/-45/540,-19/-1/655,#l_hm
r,6014,220385,86/48/45/68,-60/11/158/-172,-331/2036/961/-514,142/563/-234,0/0,232/512/-12246,20/-59/541,-25/-1/646,#l_hm
r,6015,220424,86/48/45/68,-28/29/201/-178,-352/2042/1007/-522,147/561/-229,0/0,192/482/-12104,41/-73/550,-33/-2/638,#l_hm
r,6016,220458,86/48/46/67,-21/35/249/-144,-349/2083/986/-514,150/559/-224,0/0,150/492/-12040,24/-61/571,-43/-2/630,#l_hm
r,6017,220491,86/48/47/67,-14/43/212/-171,-305/2112/1007/-505,152/558/-221,0/0,90/452/-12020,5/-52/588,-48/-3/626,#l_hm
r,6018,220525,86/48/47/66,-2/57/271/-170,-256/2100/1029/-520,155/557/-215,0/0,105/464/-11916,-17/-39/587,-59/-4/620,#l_hm
r,6019,220558,86/49/48/65,0/78/239/-165,-235/2193/1053/-528,157/555/-208,0/0,120/450/-11744,6/-53/584,-71/-4/614,#l_hm
r,6020,220592,86/49/49/65,0/65/263/-160,-236/2235/1043/-518,158/555/-204,0/0,114/440/-11754,-54/-17/590,-78/-5/611,#l_hm
r,6021,220625,86/49/50/64,0/71/270/-146,-236/2261/1108/-516,161/554/-195,0/0,40/324/-11734,-92/6/595,-92/-6/605,#l_hm
r,6022,220659,86/49/51/64,0/106/281/-140,-236/2280/1116/-496,163/552/-186,0/0,-122/290/-11714,-132/19/637,-106/-7/600,#l_hm
r,6023,220691,86/50/52/64,0/84/292/-86,-236/2300/1142/-501,164/552/-182,0/0,-140/304/-11618,-155/30/656,-114/-7/598,#l_hm
r,6024,220725,86/50/53/63,0/115/302/-109,-236/2245/1156/-487,166/550/-172,0/0,-78/284/-11538,-184/52/651,-130/-8/593,#l_hm
r,6025,220760,86/50/54/63,0/98/321/-134,-235/2335/1151/-456,168/549/-162,0/0,-52/233/-11456,-209/65/652,-147/-10/589,#l_hm
r,6026,220798,86/51/56/62,0/106/316/-125,-233/2356/1164/-466,169/547/-152,0/0,-10/120/-11486,-268/100/638,-165/-11/585,#l_hm
r,6027,220839,86/51/57/62,0/129/323/-86,-239/2396/1154/-394,171/545/-141,0/0,-58/84/-11480,-308/120/668,-182/-12/582,#l_hm
r,6028,220879,86/52/58/62,0/122/315/-62,-236/2364/1163/-356,172/543/-131,0/0,-84/74/-11362,-325/130/687,-200/-13/580,#l_hm
r,6029,220918,86/52/60/61,0/92/330/-45,-235/2445/1186/-356,173/541/-121,0/0,-72/60/-11312,-358/147/689,-217/-14/578,#l_hm
r,6030,220952,86/52/60/61,0/100/320/-38,-237/2437/1183/-308,173/541/-117,0/0,-12/6/-11278,-397/168/677,-225/-15/577,#l_hm
r,6031,220986,86/53/61/61,0/114/315/-24,-236/2406/1235/-264,174/539/-107,0/0,14/-74/-11218,-409/176/666,-242/-16/577,#l_hm
r,6032,221020,86/53/63/61,0/110/317/2,-234/2428/1233/-187,174/536/-98,0/0,-28/-62/-11226,-447/193/685,-259/-17/577,#l_hm
r,6033,221057,86/54/64/61,0/107/316/14,-235/2427/1225/306,173/534/-89,0/0,-136/-60/-11048,-447/187/716,-275/-18/578,#l_hm
r,6034,221092,86/54/65/61,0/63/301/16,-236/2443/1244/343,173/533/-84,0/0,-112/80/-11114,-540/234/731,-284/-18/578,#l_hm
r,6035,221132,86/54/66/61,0/77/310/28,-236/2469/1253/376,172/531/-75,0/0,-76/92/-11024,-575/254/719,-300/-19/580,#l_hm
r,6036,221172,86/54/67/62,0/76/292/32,-235/2432/1250/354,171/529/-67,0/0,-82/90/-10904,-603/265/724,-314/-20/582,#l_hm
r,6037,221212,86/55/68/62,0/84/272/48,-235/2445/1242/377,170/527/-60,0/0,-28/104/-10870,-644/291/716,-328/-21/584,#l_hm
r,6038,221252,86/55/69/62,0/57/255/49,-239/2421/1237/475,169/524/-53,0/0,-72/196/-10796,-670/298/727,-341/-22/587,#l_hm
r,6039,221292,86/55/70/62,0/42/279/74,-234/2416/1236/510,168/522/-47,0/0,-72/256/-10752,-707/318/726,-353/-22/591,#l_hm
r,6040,221332,86/55/71/63,0/15/260/122,-236/2388/1227/527,166/521/-41,0/0,-68/282/-10704,-727/331/710,-364/-23/596,#l_hm
r,6041,221372,86/55/72/63,0/0/246/109,-239/2321/1202/593,164/519/-37,0/0,-62/274/-10640,-737/335/700,-373/-23/601,#l_hm
r,6042,221412,86/55/73/64,0/0/184/134,-235/2080/1194/579,162/518/-33,0/0,-26/250/-10718,-770/353/664,-382/-24/606,#l_hm
r,6043,221453,86/55/74/64,0/-1/172/145,-238/1840/1196/617,159/517/-29,0/0,-98/332/-10728,-804/369/699,-389/-24/613,#l_hm
r,6044,221492,86/55/74/65,0/-2/165/201,146/1873/1167/597,156/516/-26,0/0,-60/430/-10554,-788/361/670,-395/-25/620,#l_hm
r,6045,221532,86/55/75/66,14/0/148/197,252/2122/1158/651,152/516/-22,0/0,-98/402/-10626,-802/366/663,-401/-25/628,#l_hm
r,6046,221572,86/55/75/67,28/0/121/242,283/2132/1102/660,148/517/-19,0/0,-88/288/-10524,-776/359/632,-406/-24/638,#l_hm
r,6047,221612,86/55/76/68,26/0/109/239,298/2133/1185/623,143/517/-16,0/0,-96/374/-10620,-803/375/629,-410/-24/648,#l_hm
r,6048,221652,86/55/76/69,29/0/93/261,271/2135/1158/608,138/519/-14,0/0,-246/410/-10480,-759/347/638,-413/-23/659,#l_hm
