r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,75111,2764364,0/50/59/77,0/0/0/0,-229/1855/552/-243,502/-67/-136,0/0,144/-412/-12402,-585/327/439,0/-187/-123,#l_jy
r,75112,2764398,0/50/59/77,0/0/0/0,-229/1854/552/-240,502/-67/-136,0/0,152/-534/-12402,-582/334/416,0/-187/-123,#l_jy
r,75113,2764432,0/50/59/77,0/-4/0/0,-230/1642/554/-244,502/-67/-136,0/0,132/-642/-12428,-583/341/395,0/-187/-123,#l_jy
r,75114,2764463,0/50/59/77,0/-5/0/0,-225/1619/554/-243,502/-67/-136,0/0,117/-654/-12388,-562/332/400,0/-187/-123,#l_jy
r,75115,2764497,0/50/59/77,0/-2/0/0,-231/1583/553/-244,502/-67/-136,0/0,154/-744/-12378,-554/341/367,0/-187/-123,#l_jy
r,75116,2764532,0/50/59/77,0/0/0/0,-228/1619/553/-246,502/-67/-136,0/0,132/-885/-12412,-548/343/336,0/-187/-123,#l_jy
r,75117,2764570,0/50/59/77,-1/0/0/0,-223/2009/554/-242,502/-67/-136,0/0,222/-962/-12304,-505/331/292,0/-187/-123,#l_jy
r,75118,2764609,0/50/59/77,0/0/0/0,-236/1998/552/-244,502/-67/-136,0/0,256/-893/-12200,-473/317/280,0/-187/-123,#l_jy
r,75119,2764650,0/50/59/77,-1/0/0/0,-230/2002/552/-242,502/-67/-136,0/0,446/-722/-11966,-405/299/242,0/-187/-123,#l_jy
r,75120,2764685,0/50/59/77,0/1/0/0,-228/1957/554/-242,502/-67/-136,0/0,526/-528/-11942,-411/302/235,0/-187/-123,#l_jy
r,75121,2764719,0/50/59/77,-4/0/0/0,-224/1873/554/-240,502/-67/-136,0/0,768/-580/-12038,-454/341/123,0/-187/-123,#l_jy
r,75122,2764760,0/50/59/77,-23/4/0/-5,-255/2051/553/-230,502/-68/-136,0/0,1444/120/-11656,-349/273/80,0/-187/-124,#l_jy
r,75123,2764799,0/50/59/77,-63/32/4/-13,-317/2094/788/-239,502/-71/-135,0/0,1406/74/-11760,-340/269/44,0/-188/-127,#l_jy
r,75124,2764840,0/50/59/77,-62/23/0/-27,-396/2125/790/-300,502/-74/-135,0/0,814/-4/-11824,-325/250/138,1/-189/-131,#l_jy
r,75125,2764880,-1/50/59/77,-89/31/0/-22,-443/2130/551/-296,502/-78/-133,0/0,660/-14/-11600,-236/207/154,2/-190/-135,#l_jy
r,75126,2764919,-1/51/59/77,-52/39/0/-36,-381/2156/553/-314,501/-81/-132,0/0,606/-370/-11604,-138/160/107,3/-192/-139,#l_jy
r,75127,2764960,-1/51/59/77,-74/49/0/-57,-325/2226/552/-319,501/-84/-130,0/0,518/-1022/-11592,-27/114/-17,4/-194/-143,#l_jy
r,75128,2764999,-1/51/59/77,-88/53/0/-75,-308/2210/552/-352,501/-88/-128,0/0,876/-920/-11966,-8/112/-89,5/-196/-148,#l_jy
r,75129,2765040,-2/51/59/76,-132/70/7/-92,-356/2198/766/-356,501/-93/-125,0/0,824/-842/-11870,165/-16/-96,6/-199/-155,#l_jy
r,75130,2765079,-2/52/59/76,-133/85/20/-106,-492/2217/825/-432,500/-100/-121,0/0,292/-1064/-12254,194/-49/12,8/-203/-164,#l_jy
r,75131,2765119,-3/52/59/76,-137/92/40/-87,-469/2322/832/-412,499/-108/-117,0/0,-108/-1096/-12376,296/-141/66,10/-208/-174,#l_jy
r,75132,2765160,-3/53/59/75,-145/118/72/-144,-495/2317/895/-438,498/-115/-111,0/0,-314/-1060/-12568,420/-258/141,12/-215/-184,#l_jy
r,75133,2765200,-4/53/59/75,-113/139/118/-146,-461/2411/900/-473,496/-123/-104,0/0,-516/-1364/-13103,392/-269/116,15/-224/-195,#l_jy
r,75134,2765240,-4/54/60/74,-109/144/120/-152,-505/2365/903/-448,495/-131/-96,0/0,-616/-1304/-13198,430/-325/169,18/-234/-206,#l_jy
r,75135,2765280,-5/54/60/73,-76/180/169/-138,-455/2353/1002/-463,493/-138/-87,0/0,-760/-1022/-13192,480/-373/256,21/-247/-217,#l_jy
r,75136,2765313,-5/55/61/73,-74/203/215/-141,-451/2499/1034/-481,491/-145/-76,0/0,-1130/-1344/-13360,483/-413/270,25/-261/-229,#l_jy
r,75137,2765346,-5/55/62/72,-60/197/236/-134,-431/2543/1098/-493,490/-149/-70,0/0,-1274/-1534/-13400,380/-352/339,26/-269/-234,#l_jy
r,75138,2765380,-6/56/62/72,-55/180/272/-169,-405/2491/1159/-486,487/-154/-59,0/0,-1188/-1428/-13267,391/-368/318,30/-285/-244,#l_jy
r,75139,2765413,-6/57/63/71,-42/206/261/-160,-376/2519/1146/-449,484/-159/-46,0/0,-962/-934/-13203,280/-319/366,33/-304/-253,#l_jy
r,75140,2765445,-6/58/64/71,-24/233/262/-166,-355/2529/1158/-446,482/-161/-40,0/0,-784/-872/-12894,244/-300/377,35/-314/-258,#l_jy
r,75141,2765486,-6/58/65/70,-14/253/295/-159,-311/2646/1189/-428,478/-165/-26,0/0,-748/-684/-12972,-77/-118/465,39/-335/-267,#l_jy
r,75142,2765525,-6/59/67/70,-2/207/317/-102,-254/2594/1205/-433,474/-168/-12,0/0,-570/-120/-12464,-208/-39/556,42/-356/-275,#l_jy
r,75143,2765566,-6/60/68/69,3/245/315/-121,158/2637/1232/-389,470/-170/1,0/0,-580/374/-12566,-515/129/666,46/-378/-282,#l_jy
r,75144,2765605,-6/61/69/69,29/242/322/-85,231/2628/1248/-399,466/-171/15,0/0,-728/120/-12014,-492/121/674,49/-401/-288,#l_jy
r,75145,2765645,-6/62/70/69,63/238/306/-52,281/2726/1245/-378,462/-170/29,0/0,-646/272/-12210,-699/239/699,52/-423/-291,#l_jy
r,75146,2765685,-5/63/72/68,93/229/286/-76,355/2700/1237/-308,458/-168/41,0/0,-462/598/-11888,-728/259/706,53/-444/-293,#l_jy
r,75147,2765725,-5/64/73/68,83/232/279/-22,382/2706/1264/-354,454/-166/54,0/0,-430/847/-12334,-949/384/720,53/-464/-292,#l_jy
r,75148,2765765,-5/65/74/68,111/234/236/-8,370/2666/1231/-219,451/-162/65,0/0,-522/884/-11914,-906/355/725,53/-484/-290,#l_jy
r,75149,2765805,-4/66/75/68,133/216/227/5,398/2704/1236/110,448/-158/76,0/0,-626/930/-12314,-1069/457/756,51/-502/-285,#l_jy
r,75150,2765845,-4/67/76/68,143/203/200/19,448/2735/1223/374,446/-152/86,0/0,-604/766/-11680,-946/395/703,46/-519/-277,#l_jy
r,75151,2765885,-3/67/76/68,168/178/182/40,480/2771/1172/424,444/-145/96,0/0,-494/952/-12184,-1125/506/708,40/-534/-267,#l_jy
r,75152,2765926,-2/68/77/69,169/172/137/87,504/2710/1194/445,442/-137/105,0/0,-342/536/-11704,-1007/453/594,31/-548/-253,#l_jy
r,75153,2765961,-1/69/77/69,183/150/85/65,494/2753/1140/482,442/-128/113,0/0,-416/1178/-12186,-1203/559/714,21/-560/-237,#l_jy
r,75154,2766001,-1/69/78/69,206/135/52/98,525/2698/1044/536,442/-118/120,0/0,-396/658/-11742,-1093/518/595,8/-569/-218,#l_jy
r,75155,2766042,0/70/78/70,246/104/15/140,539/2720/1015/567,442/-108/126,0/0,-352/888/-12054,-1204/596/630,-5/-576/-196,#l_jy
r,75156,2766082,1/70/78/70,273/105/-18/140,566/2703/417/585,443/-96/130,0/0,-216/762/-11768,-1170/578/567,-22/-580/-172,#l_jy
r,75157,2766121,2/71/78/71,279/74/-42/174,576/2684/419/541,444/-83/135,0/0,-50/976/-12296,-1312/664/582,-39/-582/-146,#l_jy
r,75158,2766161,4/71/77/71,263/67/-77/149,576/2660/273/558,447/-70/138,0/0,204/696/-11966,-1232/647/440,-57/-582/-118,#l_jy
r,75159,2766201,5/71/77/72,294/40/-115/182,582/2588/247/562,449/-56/139,0/0,136/814/-12106,-1263/673/512,-74/-579/-91,#l_jy
r,75160,2766241,6/71/76/73,272/15/-151/198,608/2537/197/571,452/-42/140,0/0,406/314/-11472,-1074/605/367,-91/-573/-64,#l_jy
r,75161,2766282,7/71/76/73,298/-2/-163/169,569/2453/138/588,455/-27/139,0/0,390/256/-11718,-1127/642/388,-106/-564/-38,#l_jy
r,75162,2766322,8/71/75/74,272/-8/-217/174,603/1972/157/580,458/-12/138,0/0,496/-294/-11382,-988/602/290,-119/-554/-13,#l_jy
r,75163,2766361,9/71/74/75,297/-23/-247/167,610/1939/88/590,462/2/135,0/0,512/-388/-11442,-953/600/294,-130/-542/9,#l_jy
r,75164,2766402,10/71/73/76,276/-19/-273/197,592/1923/81/597,466/18/132,0/0,696/-634/-11132,-846/572/224,-139/-528/30,#l_jy
r,75165,2766442,11/71/72/77,242/-23/-293/184,606/1949/58/587,469/33/128,0/0,588/-988/-11040,-787/548/205,-146/-514/50,#l_jy
r,75166,2766481,12/71/70/77,231/-25/-336/184,592/1932/50/597,474/48/123,0/0,640/-1196/-10888,-714/521/168,-151/-498/68,#l_jy
r,75167,2766521,13/71/69/78,210/-27/-356/178,620/1998/33/592,478/63/118,0/0,922/-1488/-11222,-759/577/27,-154/-481/83,#l_jy
r,75168,2766555,14/71/68/79,183/-36/-382/137,601/1960/52/620,481/76/112,0/0,1202/-1286/-10934,-687/537/21,-154/-464/95,#l_jy
r,75169,2766588,15/71/67/79,136/-23/-395/185,586/1964/40/589,484/82/109,0/0,1210/-1428/-11084,-745/586/-10,-153/-455/100,#l_jy
r,75170,2766623,15/71/65/80,145/-36/-438/162,503/2010/37/509,488/93/102,0/0,896/-1412/-11058,-741/583/44,-150/-437/108,#l_jy
r,75171,2766663,16/70/63/80,141/-30/-443/97,512/1940/22/507,493/103/94,0/0,888/-1226/-10708,-696/564/73,-145/-418/114,#l_jy
r,75172,2766703,16/70/62/81,125/-11/-467/93,470/1918/19/482,497/112/86,0/0,835/-1558/-10746,-677/561/4,-140/-399/119,#l_jy
r,75173,2766743,17/70/60/81,106/-22/-494/124,466/1922/21/433,502/120/78,0/0,847/-1424/-10866,-683/564/22,-134/-380/122,#l_jy
r,75174,2766783,17/70/58/81,67/-1/-488/106,479/1927/-12/446,507/127/69,0/0,1344/-1552/-11024,-689/584/-108,-127/-361/124,#l_jy
r,75175,2766822,17/70/56/82,3/1/-544/79,306/2191/22/452,513/131/60,0/0,1272/-1444/-10886,-643/547/-58,-118/-341/122,#l_jy
r,75176,2766863,17/70/53/82,-5/0/-546/22,-219/2209/-18/381,518/134/51,0/0,1090/-1686/-10926,-627/549/-58,-109/-321/119,#l_jy
r,75177,2766902,17/70/51/82,-18/0/-565/6,-267/2200/-21/293,523/135/40,0/0,734/-1368/-10872,-572/493/58,-100/-300/114,#l_jy
r,75178,2766943,17/70/49/82,-26/0/-563/-3,-246/2200/-8/290,529/137/30,0/0,904/-1929/-10730,-414/432/-74,-91/-279/109,#l_jy
r,75179,2766982,17/70/47/82,-47/0/-570/-17,-254/2200/-28/-198,534/136/18,0/0,1040/-1858/-11014,-388/415/-78,-82/-257/103,#l_jy
r,75180,2767022,16/70/44/82,-90/0/-568/-34,-349/2200/-23/-255,539/134/7,0/0,924/-2108/-10822,-197/300/-81,-73/-236/96,#l_jy
r,75181,2767063,16/70/42/82,-83/7/-560/-62,-385/2425/-47/-301,544/131/-3,0/0,682/-2018/-11246,-148/267/-3,-64/-215/87,#l_jy
r,75182,2767102,15/70/40/81,-76/6/-570/-48,-455/2448/-120/-364,548/126/-14,0/0,332/-2284/-11294,82/114/44,-56/-194/78,#l_jy
r,75183,2767142,15/70/38/81,-114/5/-517/-67,-372/2393/-111/-383,552/120/-25,0/0,452/-2360/-11660,206/47/13,-48/-174/69,#l_jy
r,75184,2767183,14/70/36/81,-143/7/-521/-65,-426/2390/-131/-387,556/113/-36,0/0,530/-2154/-12320,301/-34/43,-41/-155/59,#l_jy
r,75185,2767223,14/70/34/80,-165/10/-479/-71,-467/2388/-117/-385,560/105/-46,0/0,636/-2042/-13272,341/-71/40,-34/-136/47,#l_jy
r,75186,2767264,13/70/32/80,-150/4/-461/-128,-492/2375/-143/-394,563/95/-56,0/0,522/-1632/-14089,373/-122/125,-28/-119/35,#l_jy
r,75187,2767303,12/71/30/80,-150/8/-424/-138,-497/2367/-130/-454,566/85/-65,0/0,430/-1378/-14462,373/-139/229,-23/-103/22,#l_jy
r,75188,2767343,12/71/28/79,-156/3/-378/-114,-497/2391/-189/-443,567/75/-74,0/0,504/-1444/-15178,408/-174/197,-18/-88/10,#l_jy
r,75189,2767384,11/71/27/79,-176/0/-355/-131,-510/2077/-169/-470,569/64/-82,0/0,772/-1074/-15396,421/-189/248,-14/-74/-2,#l_jy
r,75190,2767423,10/71/26/78,-178/0/-334/-130,-514/2060/-172/-475,571/53/-89,0/0,962/-758/-15972,433/-216/267,-11/-61/-14,#l_jy
r,75191,2767464,10/71/24/78,-198/0/-281/-140,-518/2061/-153/-476,572/41/-95,0/0,1030/-158/-16300,439/-241/360,-8/-49/-28,#l_jy
r,75192,2767504,9/71/23/77,-186/0/-240/-130,-523/2057/-148/-495,573/30/-101,0/0,1136/370/-16708,421/-256/447,-6/-39/-41,#l_jy
