r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,150385,3106258,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1096/-421/-15150,-509/209/383,-1712/-219/-200,#
r,150386,3106278,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1108/-446/-15094,-507/208/383,-1712/-219/-200,#
r,150387,3106298,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1102/-454/-15066,-513/211/383,-1712/-219/-200,#
r,150388,3106318,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1090/-452/-15044,-516/215/382,-1712/-219/-200,#
r,150389,3106338,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1080/-458/-15017,-516/215/378,-1712/-219/-200,#
r,150390,3106357,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1072/-473/-14984,-515/217/374,-1712/-219/-200,#
r,150391,3106378,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1056/-492/-14956,-515/218/370,-1712/-219/-200,#
r,150392,3106398,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1050/-504/-14944,-514/219/367,-1712/-219/-200,#
r,150393,3106418,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1030/-504/-14944,-517/221/367,-1712/-219/-200,#
r,150394,3106438,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-1018/-512/-14962,-519/223/369,-1712/-219/-200,#
r,150395,3106460,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-993/-530/-14944,-515/224/365,-1712/-219/-200,#
r,150396,3106480,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-960/-534/-14903,-508/223/359,-1712/-219/-200,#
r,150397,3106505,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-946/-528/-14858,-500/220/357,-1712/-219/-200,#
r,150398,3106526,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-878/-556/-14803,-487/216/345,-1712/-219/-200,#
r,150399,3106546,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-822/-580/-14766,-472/213/333,-1712/-219/-200,#
r,150400,3106571,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-772/-598/-14762,-463/213/321,-1712/-219/-200,#
r,150401,3106593,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-726/-638/-14756,-458/213/309,-1712/-219/-200,#
r,150402,3106612,40/72/0/74,0/0/0/0,0/0/0/0,540/186/-206,0/0,-712/-682/-14730,-453/212/301,-1712/-219/-200,#
r,150403,3106638,40/72/0/74,1/0/0/0,0/0/0/0,540/186/-206,0/0,-714/-728/-14692,-446/208/296,-1712/-219/-200,#
r,150404,3106658,40/72/0/74,2/0/0/0,0/0/0/0,540/186/-206,0/0,-714/-762/-14642,-436/203/294,-1712/-219/-200,#
r,150405,3106678,40/72/0/74,8/0/0/0,0/0/0/0,540/186/-206,0/0,-720/-796/-14608,-420/195/296,-1712/-219/-200,#
r,150406,3106699,40/72/0/74,7/0/0/0,0/0/0/0,540/185/-206,0/0,-732/-804/-14575,-410/190/297,-1712/-219/-200,#
r,150407,3106718,40/72/0/74,17/0/0/0,0/0/0/0,540/185/-206,0/0,-736/-796/-14517,-408/189/296,-1712/-219/-200,#
r,150408,3106739,40/72/0/74,19/0/0/0,0/0/0/0,540/185/-206,0/0,-746/-778/-14478,-410/189/297,-1712/-219/-199,#
r,150409,3106760,40/72/0/74,16/0/0/0,0/0/0/0,540/185/-206,0/0,-746/-760/-14448,-417/193/300,-1712/-218/-199,#
r,150410,3106785,40/72/0/74,21/0/0/0,0/0/0/0,540/184/-206,0/0,-726/-774/-14412,-421/199/291,-1712/-218/-198,#
r,150411,3106805,40/72/0/74,30/0/0/0,0/0/0/0,540/183/-206,0/0,-710/-804/-14364,-422/202/283,-1711/-218/-198,#
r,150412,3106826,41/72/0/74,30/0/0/0,0/0/0/0,540/183/-206,0/0,-696/-830/-14338,-424/204/272,-1711/-218/-197,#
r,150413,3106846,41/72/0/74,23/0/0/0,0/0/0/0,540/182/-206,0/0,-698/-842/-14316,-427/205/264,-1711/-218/-196,#
r,150414,3106868,41/72/0/74,35/0/0/1,0/0/0/0,540/181/-206,0/0,-720/-856/-14289,-427/203/267,-1711/-218/-196,#
r,150415,3106888,41/72/0/74,30/0/0/1,0/0/0/0,541/180/-206,0/0,-730/-884/-14286,-420/201/263,-1710/-218/-195,#
r,150416,3106908,41/72/0/74,32/0/0/1,0/0/0/0,541/179/-206,0/0,-718/-893/-14294,-422/204/262,-1710/-218/-194,#
r,150417,3106928,41/72/0/74,49/0/0/4,0/0/0/0,541/178/-206,0/0,-720/-868/-14286,-430/207/270,-1710/-218/-193,#
r,150418,3106947,41/72/0/74,65/0/0/4,0/0/0/0,542/177/-206,0/0,-736/-839/-14272,-432/205/284,-1709/-217/-192,#
r,150419,3106967,41/72/0/74,57/0/0/4,0/0/0/0,542/176/-206,0/0,-742/-820/-14262,-426/200/291,-1709/-217/-190,#
r,150420,3106988,41/72/0/74,43/0/0/5,0/0/0/0,542/175/-206,0/0,-746/-828/-14239,-414/193/291,-1708/-217/-189,#
r,150421,3107008,41/72/0/74,51/0/0/4,0/0/0/0,543/173/-206,0/0,-738/-846/-14200,-398/185/294,-1708/-217/-188,#
r,150422,3107028,41/72/0/74,77/0/0/4,0/0/0/0,543/172/-206,0/0,-714/-862/-14166,-392/181/294,-1707/-217/-186,#
r,150423,3107048,42/72/0/74,53/0/0/17,0/0/0/0,544/170/-206,0/0,-700/-854/-14128,-387/177/289,-1707/-216/-184,#
r,150424,3107067,42/72/0/74,98/0/0/11,0/0/0/0,544/168/-206,0/0,-676/-824/-14100,-385/173/294,-1706/-216/-183,#
r,150425,3107088,42/72/0/74,94/0/0/16,0/0/0/0,545/166/-206,0/0,-664/-816/-14075,-375/165/301,-1706/-216/-181,#
r,150426,3107109,42/72/0/74,75/0/0/16,0/0/0/0,545/164/-206,0/0,-676/-835/-14052,-359/156/310,-1705/-215/-179,#
