r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,11711,436246,14/118/12/64,0/0/0/1,-229/2403/620/371,491/-8/354,0/0,-340/-2104/-11222,-145/138/316,-110/-383/-87,#l_ch
r,11712,436281,14/118/12/64,0/0/0/0,-229/2402/626/148,491/-8/354,0/0,-334/-2106/-11226,-150/143/314,-110/-383/-87,#l_ch
r,11713,436312,14/118/12/64,0/0/0/0,-227/2404/622/132,491/-8/354,0/0,-256/-2116/-11220,-160/157/299,-110/-383/-87,#l_ch
r,11714,436347,14/118/12/64,0/0/0/-2,-229/2404/626/-94,491/-8/354,0/0,-110/-2098/-11176,-184/183/263,-110/-383/-87,#l_ch
r,11715,436382,14/118/12/64,-1/0/0/-1,-226/2405/618/-100,491/-8/354,0/0,130/-2154/-11200,-213/220/220,-110/-383/-87,#l_ch
r,11716,436422,14/118/12/64,-10/0/0/-1,-221/2402/621/-89,491/-8/354,0/0,618/-2264/-11342,-266/292/130,-110/-383/-88,#l_ch
r,11717,436461,13/118/12/64,-30/0/0/-7,-282/2402/625/-90,491/-9/354,0/0,1206/-2370/-11316,-292/354/26,-109/-384/-89,#l_ch
r,11718,436502,13/118/12/64,-48/0/0/-11,-302/2404/624/-103,491/-11/354,0/0,1466/-2388/-11014,-295/383/-7,-108/-384/-91,#l_ch
r,11719,436534,13/118/12/64,-56/0/0/-16,-320/2404/622/-126,491/-12/354,0/0,1486/-2410/-10870,-293/395/7,-107/-384/-93,#l_ch
r,11720,436568,13/118/12/64,-72/0/0/-23,-314/2405/623/-113,491/-16/353,0/0,1596/-2632/-10618,-268/405/-27,-104/-385/-98,#l_ch
r,11721,436601,13/118/12/63,-127/0/0/-21,-361/2403/620/-131,491/-20/353,0/0,1860/-2852/-10426,-253/425/-81,-101/-385/-104,#l_ch
r,11722,436634,12/118/12/63,-143/0/0/-30,-411/2404/622/-126,491/-23/353,0/0,2180/-2862/-10258,-274/461/-128,-100/-386/-107,#l_ch
r,11723,436667,12/118/12/63,-178/0/0/-55,-416/2402/621/-205,490/-29/353,0/0,2194/-2698/-9968,-257/451/-101,-95/-387/-116,#l_ch
r,11724,436701,11/118/12/63,-214/0/0/-62,-469/2405/621/-242,490/-38/353,0/0,2032/-2460/-9698,-227/425/-53,-90/-388/-128,#l_ch
r,11725,436733,11/118/12/63,-177/0/0/-68,-501/2404/626/-199,489/-42/352,0/0,2016/-2412/-9526,-203/404/-73,-86/-388/-134,#l_ch
r,11726,436768,10/118/12/63,-225/0/0/-60,-485/2405/624/-238,488/-52/352,0/0,1982/-2336/-9332,-167/369/-90,-80/-390/-148,#l_ch
r,11727,436801,9/118/12/62,-259/0/0/-85,-533/2404/622/-223,487/-64/351,0/0,1966/-2037/-9308,-183/366/-42,-72/-391/-164,#l_ch
r,11728,436840,8/118/12/62,-255/3/0/-88,-542/2542/623/-276,485/-76/351,0/0,1840/-1920/-9200,-143/330/-50,-63/-392/-182,#l_ch
