r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,55002,2015756,-5/60/8/90,0/0/0/0,-242/1646/179/244,529/-55/-308,0/0,660/1096/-12452,-620/328/516,-20/222/-57,#l_jy
r,55003,2015792,-5/60/8/90,0/0/1/0,-242/1647/152/242,529/-55/-308,0/0,646/1164/-12430,-627/327/532,-20/222/-57,#l_jy
r,55004,2015826,-5/60/8/90,0/0/1/0,-245/1642/153/243,529/-55/-308,0/0,614/1302/-12432,-643/325/554,-20/222/-57,#l_jy
r,55005,2015857,-5/60/8/90,0/0/-1/0,-241/1646/87/244,529/-55/-308,0/0,548/1460/-12448,-661/323/587,-20/222/-57,#l_jy
r,55006,2015893,-5/60/8/90,0/0/-1/0,-241/1648/81/243,529/-55/-308,0/0,488/1590/-12440,-682/326/621,-20/222/-57,#l_jy
r,55007,2015926,-5/60/8/90,0/0/-1/0,-241/1649/85/230,529/-55/-308,0/0,442/1636/-12418,-691/330/645,-20/222/-57,#l_jy
r,55008,2015958,-5/60/8/90,4/0/-1/0,130/1646/51/229,529/-55/-308,0/0,436/1568/-12406,-696/338/642,-20/222/-57,#l_jy
r,55009,2015992,-5/60/8/90,9/0/0/0,240/1648/-24/230,529/-54/-308,0/0,528/1508/-12400,-693/348/625,-20/222/-56,#l_jy
r,55010,2016031,-5/60/8/90,19/0/-1/0,279/1645/-30/230,529/-54/-308,0/0,682/1232/-12386,-667/357/534,-20/222/-56,#l_jy
r,55011,2016072,-5/60/8/90,11/0/-1/0,270/1647/-25/229,529/-53/-308,0/0,754/1170/-12346,-643/361/491,-19/222/-55,#l_jy
r,55012,2016112,-5/60/8/90,7/0/-6/0,287/1650/-21/229,529/-52/-308,0/0,843/1074/-12242,-607/370/419,-19/222/-54,#l_jy
r,55013,2016147,-5/60/8/90,2/0/-4/0,245/1645/-29/229,529/-52/-308,0/0,889/1154/-12062,-573/365/376,-19/223/-54,#l_jy
r,55014,2016179,-5/60/8/90,0/0/-2/0,240/1649/-35/228,529/-52/-308,0/0,946/1056/-11778,-507/355/303,-19/223/-54,#l_jy
r,55015,2016219,-5/60/8/90,0/0/0/0,228/1649/-27/230,529/-52/-308,0/0,978/1006/-11372,-374/291/242,-19/223/-54,#l_jy
r,55016,2016259,-5/60/8/90,0/0/1/0,226/1797/206/228,529/-52/-308,0/0,956/992/-11156,-311/268/212,-19/223/-54,#l_jy
r,55017,2016299,-5/60/8/90,0/0/4/0,232/1802/457/229,529/-52/-308,0/0,938/935/-10998,-251/244/169,-19/222/-54,#l_jy
r,55018,2016338,-5/60/8/90,0/0/8/0,228/1811/452/101,530/-52/-308,0/0,893/850/-10942,-214/225/134,-19/222/-54,#l_jy
r,55019,2016373,-5/60/8/90,-4/0/11/-13,294/1871/470/-235,530/-52/-308,0/0,1200/818/-11292,-291/287/35,-19/222/-54,#l_jy
r,55020,2016407,-5/60/8/90,-43/14/14/-38,-262/1878/442/-277,530/-53/-307,0/0,1602/852/-10696,-129/192/-59,-19/221/-56,#l_jy
r,55021,2016439,-5/60/8/89,-57/17/13/-23,-301/1977/483/-282,530/-55/-307,0/0,1616/734/-10956,-222/252/-43,-19/220/-57,#l_jy
r,55022,2016474,-5/60/8/89,-46/16/10/-47,-359/1989/498/-351,530/-58/-306,0/0,1100/758/-10890,-216/233/124,-20/219/-61,#l_jy
r,55023,2016508,-5/60/8/89,-42/34/18/-43,-316/1980/486/-326,531/-61/-304,0/0,930/568/-10566,-103/184/121,-21/217/-65,#l_jy
r,55024,2016548,-5/60/8/89,-49/70/44/-64,-330/2036/520/-358,531/-65/-302,0/0,794/600/-10408,-59/155/115,-21/214/-69,#l_jy
r,55025,2016588,-6/60/9/89,-60/58/51/-50,-358/2094/507/-361,532/-68/-299,0/0,748/104/-10758,-66/170/5,-21/210/-74,#l_jy
r,55026,2016628,-6/61/9/88,-57/45/51/-89,-366/2100/527/-386,533/-72/-295,0/0,750/286/-10904,-73/169/6,-22/207/-79,#l_jy
r,55027,2016668,-6/61/9/88,-86/61/55/-114,-343/2027/514/-362,534/-78/-291,0/0,1038/426/-10436,68/82/-51,-22/202/-86,#l_jy
r,55028,2016701,-6/61/9/88,-76/80/46/-107,-379/2079/609/-427,534/-81/-289,0/0,1070/366/-10532,26/105/-57,-22/199/-89,#l_jy
r,55029,2016734,-7/61/9/87,-71/106/58/-87,-414/2156/679/-420,536/-88/-283,0/0,622/232/-10850,-66/141/61,-23/192/-98,#l_jy
r,55030,2016769,-7/62/10/87,-122/131/108/-135,-428/2174/670/-470,537/-95/-276,0/0,354/82/-10928,-51/126/122,-23/184/-107,#l_jy
r,55031,2016800,-7/62/10/86,-126/124/75/-154,-453/2249/707/-463,538/-99/-273,0/0,298/117/-10630,22/79/143,-23/180/-112,#l_jy
r,55032,2016835,-8/63/10/86,-101/159/99/-166,-439/2226/671/-477,540/-107/-265,0/0,294/116/-10744,-15/98/142,-23/171/-122,#l_jy
