r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,16127,590999,-10/61/15/76,0/0/-28/0,257/1924/-17/-227,520/-191/-251,0/0,992/2298/-13128,-473/273/404,-25/135/-249,#l_sk
r,16128,591039,-10/61/15/76,0/0/-25/0,258/1925/-28/-231,520/-191/-251,0/0,1044/2318/-13124,-471/273/394,-26/136/-249,#l_sk
r,16129,591078,-10/61/15/76,0/0/-22/0,252/1925/15/-229,520/-191/-252,0/0,1044/2370/-13094,-475/270/408,-26/137/-249,#l_sk
r,16130,591118,-10/61/15/76,0/0/-13/0,255/1923/-23/-230,519/-191/-252,0/0,992/2376/-12972,-469/263/435,-26/138/-249,#l_sk
r,16131,591158,-10/61/15/76,0/0/-14/0,255/1925/11/-229,519/-191/-252,0/0,854/2486/-12800,-456/242/489,-26/138/-249,#l_sk
r,16132,591197,-10/61/15/76,4/0/0/0,478/1923/-31/-230,519/-191/-252,0/0,722/2560/-12506,-418/206/516,-26/138/-249,#l_sk
r,16133,591232,-10/61/15/76,11/1/3/0,417/1921/271/-229,520/-191/-252,0/0,582/2770/-12194,-376/161/576,-26/138/-248,#l_sk
r,16134,591266,-10/61/15/76,13/10/10/0,345/2172/515/-229,520/-190/-252,0/0,502/2856/-11928,-347/136/598,-26/138/-248,#l_sk
r,16135,591299,-10/61/15/76,20/19/20/0,381/2178/532/-229,520/-190/-252,0/0,354/2952/-11786,-340/119/644,-26/137/-247,#l_sk
r,16136,591332,-10/62/15/76,49/28/16/0,308/2205/540/-231,521/-188/-250,0/0,240/2870/-11694,-327/104/660,-25/136/-246,#l_sk
r,16137,591366,-10/62/15/76,40/51/30/0,297/2194/559/-231,522/-187/-248,0/0,142/2898/-11590,-326/95/694,-24/134/-244,#l_sk
r,16138,591399,-10/62/15/76,48/49/23/0,306/2262/566/134,523/-186/-247,0/0,120/2892/-11512,-327/92/702,-24/132/-243,#l_sk
r,16139,591435,-10/62/15/76,43/71/22/11,339/2282/558/245,524/-183/-244,0/0,48/2936/-11426,-332/87/732,-23/129/-240,#l_sk
r,16140,591478,-10/62/15/76,48/62/25/16,353/2299/600/247,526/-180/-241,0/0,24/2854/-11328,-325/81/736,-21/126/-236,#l_sk
r,16141,591514,-9/63/15/76,53/98/27/24,379/2259/625/253,529/-177/-236,0/0,-6/2806/-11158,-296/64/744,-20/121/-232,#l_sk
r,16142,591554,-9/63/15/76,99/137/40/42,402/2345/658/284,531/-173/-231,0/0,-6/2822/-11010,-279/51/749,-18/116/-227,#l_sk
r,16143,591594,-9/63/15/77,123/157/38/46,383/2442/690/315,534/-168/-225,0/0,26/2804/-10958,-285/58/741,-16/109/-221,#l_sk
r,16144,591635,-8/64/16/77,143/174/46/66,390/2450/704/332,538/-163/-217,0/0,-286/2652/-10626,-206/7/791,-14/101/-214,#l_sk
r,16145,591674,-8/65/16/77,147/159/83/81,462/2458/760/359,542/-156/-208,0/0,-290/2506/-10856,-284/78/749,-12/92/-206,#l_sk
r,16146,591714,-7/65/16/78,169/181/76/87,490/2462/681/393,546/-148/-198,0/0,0/2546/-10506,-231/62/685,-10/82/-196,#l_sk
