r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,19967,737213,96/37/42/66,0/0/1/0,-231/1512/134/229,75/523/-348,0/0,-404/1682/-14052,-584/209/575,107/-10/722,#l_ec
r,19968,737244,96/37/42/66,0/0/1/0,-228/1513/535/226,75/523/-348,0/0,-412/1692/-14074,-582/209/575,107/-10/722,#l_ec
r,19969,737279,96/37/42/66,0/0/1/0,-230/1512/590/227,75/523/-348,0/0,-368/1684/-14132,-577/208/560,107/-10/722,#l_ec
r,19970,737313,96/37/42/66,0/0/0/0,-232/1512/444/232,75/523/-348,0/0,-320/1658/-14156,-577/210/540,107/-10/722,#l_ec
r,19971,737345,96/37/42/66,0/0/-2/0,-226/1512/341/230,75/523/-348,0/0,-258/1637/-14208,-581/219/510,107/-10/722,#l_ec
r,19972,737378,96/37/42/66,0/0/-2/0,-227/1511/175/230,75/523/-348,0/0,-226/1632/-14286,-576/218/486,107/-10/722,#l_ec
r,19973,737413,96/37/42/66,0/0/-1/0,-231/1511/92/229,75/523/-348,0/0,-182/1652/-14412,-581/222/465,107/-10/722,#l_ec
r,19974,737445,96/37/42/66,0/0/-1/0,-229/1512/58/228,75/523/-348,0/0,-112/1745/-14586,-563/229/438,107/-11/722,#l_ec
r,19975,737480,96/37/42/66,0/0/0/0,-226/1513/109/229,75/523/-348,0/0,-28/1779/-14653,-578/230/405,107/-11/722,#l_ec
r,19976,737513,96/37/42/66,-1/0/1/0,-227/1511/345/231,75/523/-348,0/0,96/1795/-14658,-578/243/360,107/-10/722,#l_ec
r,19977,737546,96/37/42/66,-5/0/1/0,-233/1512/568/225,75/523/-348,0/0,272/1874/-14648,-592/265/310,107/-10/722,#l_ec
r,19978,737579,96/37/42/66,-16/0/1/0,-247/1513/589/229,76/523/-348,0/0,492/2032/-14606,-642/311/245,107/-10/721,#l_ec
r,19979,737613,96/37/42/66,-37/0/0/0,-265/1513/582/229,76/523/-348,0/0,640/2190/-14432,-689/352/214,107/-10/720,#l_ec
r,19980,737645,96/37/42/66,-32/0/0/0,-249/1514/581/226,76/523/-348,0/0,792/2292/-14230,-716/384/198,107/-10/720,#l_ec
r,19981,737679,95/37/42/66,-67/0/0/0,-307/1512/590/228,78/523/-348,0/0,950/2286/-14103,-741/415/183,107/-10/718,#l_ec
r,19982,737714,95/37/42/66,-97/0/-4/0,-370/1512/231/228,80/522/-348,0/0,1116/2264/-14117,-776/449/158,107/-9/715,#l_ec
r,19983,737752,95/37/42/66,-109/0/-13/0,-400/1513/90/229,82/522/-348,0/0,1354/2238/-14114,-798/481/133,107/-9/712,#l_ec
r,19984,737792,94/37/42/66,-92/0/-6/0,-403/1513/92/229,86/521/-348,0/0,1564/2258/-14020,-788/495/111,108/-8/708,#l_ec
r,19985,737832,94/37/42/66,-165/0/-15/0,-413/1512/67/231,90/520/-349,0/0,1710/2214/-14032,-775/502/69,108/-7/703,#l_ec
r,19986,737872,93/37/42/66,-181/0/-18/-21,-452/1510/76/-228,95/519/-349,0/0,1795/2240/-14230,-813/531/46,109/-6/696,#l_ec
r,19987,737906,93/37/42/66,-205/0/-12/-19,-469/1511/45/-270,98/518/-349,0/0,1812/2214/-14242,-799/527/46,110/-5/691,#l_ec
r,19988,737947,92/37/41/66,-245/0/-23/-51,-494/1513/77/-294,105/516/-350,0/0,1914/2244/-14272,-804/540/39,110/-3/681,#l_ec
r,19989,737987,91/37/41/66,-232/0/-26/-82,-497/1511/71/-321,114/514/-350,0/0,2050/2330/-14322,-809/547/27,111/-2/670,#l_ec
r,19990,738026,90/37/41/66,-281/0/-26/-99,-509/1512/84/-350,123/511/-350,0/0,2056/2262/-14272,-779/532/16,112/0/657,#l_ec
r,19991,738067,89/37/41/65,-312/0/-18/-94,-540/1513/83/-395,134/507/-351,0/0,2120/2029/-14366,-781/538/-2,113/2/641,#l_ec
r,19992,738106,87/37/41/65,-336/-4/-35/-97,-543/1291/106/-382,145/502/-351,0/0,2346/1642/-14506,-792/561/-89,114/5/624,#l_ec
r,19993,738146,86/37/41/64,-374/-13/-27/-103,-592/1244/65/-437,157/496/-352,0/0,2100/2042/-13964,-660/468/62,116/8/605,#l_ec
r,19994,738187,84/37/41/64,-386/1/-23/-156,-571/1272/122/-449,172/489/-352,0/0,1921/2170/-14042,-670/462/110,117/11/584,#l_ec
r,19995,738226,83/37/41/63,-405/0/-16/-158,-625/1683/17/-481,186/482/-352,0/0,1576/2036/-14256,-703/469/184,117/14/561,#l_ec
r,19996,738265,81/37/41/62,-426/0/-16/-171,-619/1455/51/-471,201/473/-352,0/0,1462/1948/-14074,-635/421/215,118/18/537,#l_ec
r,19997,738306,79/37/41/62,-439/0/-16/-175,-601/1441/-26/-518,216/463/-352,0/0,1564/2024/-13596,-512/352/202,118/21/513,#l_ec
r,19998,738346,78/37/41/61,-448/13/-6/-228,-618/1682/-4/-509,231/453/-352,0/0,1536/2058/-13284,-451/307/255,117/25/487,#l_ec
r,19999,738386,76/37/41/60,-468/2/0/-218,-602/1694/2/-535,246/441/-351,0/0,1370/1636/-13096,-385/272/230,116/29/460,#l_ec
r,20000,738426,74/37/41/59,-462/0/3/-270,-619/1456/278/-542,261/428/-350,0/0,954/1645/-12856,-326/225/345,115/33/432,#l_ec
r,20001,738466,72/37/41/58,-464/0/5/-231,-639/1443/528/-556,276/414/-350,0/0,956/1436/-12680,-282/206/334,114/36/404,#l_ec
r,20002,738506,70/37/41/57,-469/0/12/-237,-641/1446/515/-562,290/399/-349,0/0,864/1444/-12544,-260/190/386,112/40/375,#l_ec
r,20003,738547,68/37/41/56,-480/0/17/-240,-640/1443/565/-567,305/383/-348,0/0,1040/1290/-12446,-243/190/349,110/43/347,#l_ec
r,20004,738588,66/37/41/55,-469/0/20/-240,-635/1442/566/-574,318/366/-347,0/0,1136/1220/-12290,-212/177/354,108/47/317,#l_ec
r,20005,738628,64/37/41/54,-499/0/24/-243,-634/1447/562/-573,331/349/-346,0/0,1208/1168/-12152,-205/180/367,105/50/287,#l_ec
r,20006,738668,62/37/41/53,-480/0/19/-250,-650/1443/560/-572,343/331/-345,0/0,1104/1124/-11984,-151/142/413,103/53/258,#l_ec
r,20007,738708,60/37/41/52,-471/0/25/-294,-652/1649/580/-566,354/313/-343,0/0,1076/1142/-12004,-177/157/471,100/56/228,#l_ec
r,20008,738748,59/37/41/51,-449/0/49/-257,-641/1656/572/-583,364/294/-342,0/0,984/1100/-11910,-163/145/475,96/58/199,#l_ec
r,20009,738787,57/37/41/50,-453/7/64/-256,-634/1658/633/-574,373/275/-340,0/0,956/1210/-11878,-189/148/512,93/60/170,#l_ec
r,20010,738828,55/38/42/49,-448/17/64/-254,-650/1687/611/-584,381/256/-338,0/0,974/1156/-11794,-175/144/489,89/62/141,#l_ec
r,20011,738867,53/38/42/48,-458/26/47/-234,-646/1720/627/-582,390/237/-336,0/0,854/1218/-11776,-181/140/527,84/62/113,#l_ec
r,20012,738908,51/38/42/47,-413/30/64/-251,-636/1730/700/-568,397/219/-333,0/0,832/1124/-11774,-197/151/532,79/62/84,#l_ec
r,20013,738947,50/38/42/46,-437/42/82/-246,-643/1753/707/-594,403/200/-330,0/0,796/1136/-11696,-188/144/541,73/62/56,#l_ec
r,20014,738988,48/38/43/45,-396/51/98/-251,-626/1739/726/-577,409/182/-326,0/0,736/1078/-11728,-204/154/548,67/60/29,#l_ec
r,20015,739027,46/38/43/44,-406/63/105/-256,-626/1778/685/-564,414/164/-322,0/0,808/878/-11624,-189/154/500,61/58/2,#l_ec
r,20016,739067,45/39/44/43,-394/56/109/-232,-618/1830/733/-572,420/146/-318,0/0,720/868/-11670,-214/167/512,54/54/-23,#l_ec
r,20017,739107,43/39/44/42,-387/83/110/-226,-629/1828/761/-562,424/128/-313,0/0,758/682/-11622,-206/167/478,47/50/-49,#l_ec
r,20018,739143,42/39/45/41,-399/70/115/-219,-637/1826/742/-571,427/111/-309,0/0,612/650/-11702,-230/181/504,41/46/-75,#l_ec
r,20019,739184,40/40/45/40,-390/100/141/-269,-641/1881/744/-571,430/93/-304,0/0,544/432/-11724,-241/189/461,34/40/-101,#l_ec
r,20020,739224,38/40/46/39,-371/68/131/-275,-626/1867/702/-583,432/76/-299,0/0,364/440/-11780,-274/198/495,27/34/-127,#l_ec
r,20021,739264,37/40/46/38,-361/75/139/-249,-628/1918/775/-583,434/59/-294,0/0,366/244/-11860,-284/210/442,21/28/-151,#l_ec
r,20022,739303,36/41/47/37,-368/68/148/-274,-615/1910/752/-556,435/42/-289,0/0,188/192/-11994,-325/222/464,15/21/-176,#l_ec
r,20023,739344,34/41/47/36,-342/78/162/-248,-623/1933/735/-559,435/25/-285,0/0,74/0/-12074,-335/221/452,9/14/-200,#l_ec
r,20024,739383,33/41/48/35,-347/60/160/-235,-620/1918/767/-581,435/9/-281,0/0,-70/8/-12242,-359/228/463,4/7/-224,#l_ec
r,20025,739423,31/41/49/34,-342/42/158/-235,-620/1902/785/-552,434/-6/-277,0/0,-144/-96/-12308,-377/234/443,0/0/-248,#l_ec
r,20026,739464,30/42/49/33,-325/33/158/-241,-608/1853/782/-575,432/-22/-274,0/0,-222/-168/-12470,-416/250/433,-3/-6/-271,#l_ec
r,20027,739504,29/42/50/32,-316/29/130/-264,-602/1880/765/-572,430/-38/-271,0/0,-392/-296/-12532,-417/241/448,-7/-13/-294,#l_ec
r,20028,739544,28/42/50/31,-316/10/157/-230,-615/1806/793/-576,426/-53/-269,0/0,-454/-334/-12572,-413/236/425,-10/-19/-316,#l_ec
r,20029,739584,26/42/51/30,-281/0/163/-287,-604/1526/768/-556,423/-68/-267,0/0,-510/-286/-12690,-451/247/417,-12/-25/-338,#l_ec
r,20030,739624,25/42/52/29,-284/-5/155/-269,-580/1280/728/-568,419/-83/-266,0/0,-626/-378/-12726,-453/240/422,-14/-30/-360,#l_ec
r,20031,739664,24/42/52/28,-289/-8/149/-266,-593/1254/717/-593,414/-97/-265,0/0,-666/-473/-12726,-445/235/397,-16/-35/-382,#l_ec
r,20032,739704,23/42/53/26,-264/-11/152/-261,-615/1238/670/-572,409/-110/-265,0/0,-816/-442/-12714,-444/229/422,-17/-40/-403,#l_ec
r,20033,739744,22/42/53/25,-245/0/94/-269,-609/1271/703/-586,403/-123/-264,0/0,-938/-610/-12622,-415/210/408,-18/-45/-423,#l_ec
r,20034,739784,21/42/54/24,-201/0/139/-269,-596/1728/655/-565,398/-135/-263,0/0,-1076/-750/-12858,-478/243/393,-19/-50/-443,#l_ec
r,20035,739823,20/42/54/23,-186/0/137/-299,-530/1731/689/-576,392/-146/-263,0/0,-1086/-680/-12764,-437/216/401,-20/-55/-463,#l_ec
r,20036,739864,20/42/55/22,-203/0/141/-299,-552/1749/684/-583,387/-156/-262,0/0,-934/-546/-12656,-407/197/350,-21/-60/-481,#l_ec
r,20037,739903,19/42/55/21,-190/1/128/-297,-518/1751/663/-584,381/-165/-262,0/0,-974/-528/-12568,-393/185/351,-22/-64/-500,#l_ec
r,20038,739944,18/42/56/20,-182/0/99/-282,-538/1454/678/-575,375/-175/-262,0/0,-980/-508/-12698,-431/207/350,-23/-69/-519,#l_ec
r,20039,739985,18/42/56/18,-146/0/94/-313,-557/1444/679/-583,369/-184/-262,0/0,-1030/-680/-12664,-414/198/333,-23/-73/-537,#l_ec
r,20040,740026,17/42/56/17,-139/0/110/-323,-507/1446/615/-596,362/-192/-262,0/0,-1106/-740/-12768,-450/213/349,-24/-77/-555,#l_ec
r,20041,740064,17/42/57/16,-150/0/88/-313,-483/1445/645/-518,356/-200/-262,0/0,-1144/-784/-12722,-442/203/348,-24/-81/-573,#l_ec
r,20042,740104,16/42/57/15,-96/0/93/-327,-495/1443/597/-537,349/-207/-263,0/0,-1158/-624/-12810,-478/212/369,-24/-85/-590,#l_ec
r,20043,740144,16/42/57/13,-114/0/66/-324,-496/1444/558/-524,343/-213/-264,0/0,-1120/-516/-12652,-443/186/364,-25/-89/-607,#l_ec
r,20044,740185,15/42/58/12,-103/0/67/-308,-443/1446/517/-530,336/-219/-264,0/0,-1134/-419/-12670,-467/194/383,-25/-92/-624,#l_ec
r,20045,740225,15/42/58/11,-80/0/94/-324,-431/1443/550/-535,330/-224/-265,0/0,-1178/-498/-12724,-476/194/384,-25/-95/-640,#l_ec
r,20046,740265,15/42/58/10,-45/0/79/-324,-455/1443/556/-538,323/-229/-266,0/0,-1306/-526/-12770,-500/195/412,-25/-98/-655,#l_ec
r,20047,740304,14/42/59/8,-42/0/57/-327,-406/1367/531/-522,317/-233/-267,0/0,-1398/-482/-12786,-510/189/432,-26/-100/-670,#l_ec
r,20048,740344,14/42/59/7,-21/0/68/-311,-326/1372/491/-546,311/-237/-268,0/0,-1462/-192/-12664,-496/169/484,-26/-103/-684,#l_ec
r,20049,740385,14/42/59/6,-7/0/56/-319,-269/1369/504/-522,305/-239/-270,0/0,-1452/66/-12514,-476/145/530,-27/-105/-697,#l_ec
r,20050,740425,14/42/59/4,3/0/35/-304,167/1369/432/-544,300/-242/-271,0/0,-1564/302/-12544,-479/128/607,-27/-106/-710,#l_ec
r,20051,740466,14/42/59/3,6/4/25/-307,251/1586/417/-559,295/-244/-272,0/0,-1720/402/-12654,-530/144/656,-28/-108/-721,#l_ec
r,20052,740505,14/42/60/2,22/15/34/-272,239/1612/408/-539,290/-245/-273,0/0,-1892/502/-12770,-574/146/722,-28/-109/-731,#l_ec
r,20053,740545,15/42/60/1,46/10/13/-279,265/1624/348/-526,287/-245/-274,0/0,-2090/604/-12917,-598/155/791,-29/-110/-740,#l_ec
r,20054,740586,15/42/60/0,62/20/3/-244,339/1638/333/-539,283/-245/-275,0/0,-2312/1056/-12822,-648/138/902,-29/-111/-747,#l_ec
r,20055,740625,15/42/60/-1,68/45/0/-189,376/1607/306/-529,281/-245/-275,0/0,-2312/1258/-12790,-646/121/959,-30/-112/-753,#l_ec
r,20056,740665,16/42/60/-2,87/62/0/-156,421/1638/64/-503,279/-243/-275,0/0,-2316/1368/-12953,-688/137/999,-32/-114/-757,#l_ec
r,20057,740706,16/42/60/-2,106/73/0/-164,428/1628/26/-486,279/-242/-275,0/0,-2320/1326/-13003,-719/155/1021,-33/-116/-759,#l_ec
r,20058,740745,16/43/60/-3,144/78/0/-128,418/1653/1/-479,280/-239/-275,0/0,-2380/1300/-13160,-756/172/1054,-35/-118/-759,#l_ec
r,20059,740786,17/43/60/-3,156/86/0/-78,465/1763/-11/-431,282/-236/-274,0/0,-2298/1280/-13202,-764/188/1062,-37/-121/-756,#l_ec
r,20060,740826,18/44/60/-3,201/120/0/-34,505/1787/-6/-371,284/-232/-272,0/0,-2110/1338/-13228,-767/195/1046,-40/-125/-751,#l_ec
r,20061,740866,18/44/60/-3,195/105/0/-8,504/1837/-26/-233,289/-227/-270,0/0,-1918/1320/-13316,-780/218/1030,-43/-129/-744,#l_ec
r,20062,740906,19/45/60/-3,191/142/0/11,531/1860/-9/147,294/-221/-268,0/0,-1848/1336/-13360,-788/231/1054,-47/-133/-735,#l_ec
r,20063,740946,20/45/60/-3,206/152/0/53,530/1841/-5/336,299/-215/-265,0/0,-1418/1032/-13439,-786/258/937,-52/-138/-724,#l_ec
r,20064,740986,21/46/60/-3,222/137/0/67,549/1919/-17/368,305/-208/-262,0/0,-1418/1072/-13508,-803/280/1000,-56/-143/-711,#l_ec
r,20065,741026,22/46/60/-3,290/142/0/114,544/1960/-3/495,312/-200/-259,0/0,-938/808/-13482,-769/287/868,-61/-147/-696,#l_ec
r,20066,741066,23/47/60/-2,286/173/0/128,561/1981/-23/532,319/-191/-255,0/0,-846/939/-13650,-804/313/913,-67/-152/-680,#l_ec
r,20067,741106,24/48/60/-2,260/152/-1/145,571/2037/-7/579,327/-182/-252,0/0,-532/672/-13602,-744/305/824,-73/-156/-663,#l_ec
r,20068,741147,25/48/60/-1,300/155/-1/195,568/1996/-13/610,334/-172/-248,0/0,-423/730/-13886,-802/348/848,-79/-161/-644,#l_ec
r,20069,741185,27/49/60/0,268/127/0/204,577/2050/-11/629,343/-161/-243,0/0,-214/482/-13888,-743/334/819,-85/-164/-623,#l_ec
r,20070,741228,28/49/60/1,314/104/0/249,604/2081/134/655,350/-150/-239,0/0,82/396/-14196,-795/381/792,-91/-167/-601,#l_ec
r,20071,741267,29/50/60/2,305/118/0/265,577/2040/134/660,358/-137/-235,0/0,146/398/-14274,-772/381/832,-97/-169/-578,#l_ec
r,20072,741307,30/50/60/3,300/83/0/272,610/2080/136/657,365/-125/-231,0/0,416/268/-14366,-763/401/808,-103/-170/-554,#l_ec
r,20073,741347,32/51/60/4,327/56/0/311,603/2115/139/682,373/-111/-227,0/0,598/158/-14317,-741/392/797,-109/-170/-529,#l_ec
r,20074,741386,33/51/60/5,335/52/0/324,599/2045/134/705,381/-97/-224,0/0,734/46/-14356,-682/391/778,-114/-170/-502,#l_ec
r,20075,741427,34/51/60/6,332/21/0/358,611/2006/199/697,387/-82/-220,0/0,843/-78/-14516,-658/395/776,-119/-168/-475,#l_ec
r,20076,741466,36/51/60/8,340/-5/0/381,605/1890/201/727,393/-66/-217,0/0,985/-244/-14594,-621/392/730,-122/-165/-446,#l_ec
r,20077,741507,37/51/60/9,342/-16/0/407,619/1459/205/727,399/-50/-215,0/0,1206/-388/-14842,-635/418/681,-126/-162/-417,#l_ec
r,20078,741547,38/51/60/11,338/-28/0/418,611/1468/202/722,404/-33/-212,0/0,1230/-512/-14848,-574/398/682,-129/-158/-387,#l_ec
r,20079,741587,40/51/60/13,326/-55/0/451,596/1424/199/747,409/-15/-210,0/0,1306/-588/-14898,-533/390/664,-132/-154/-357,#l_ec
r,20080,741626,41/50/60/15,318/-71/0/449,606/1420/272/736,414/2/-208,0/0,1274/-686/-14874,-463/363/643,-134/-149/-326,#l_ec
r,20081,741667,42/50/60/17,316/-89/0/467,609/1329/276/749,417/21/-206,0/0,1370/-897/-14994,-421/355/579,-135/-144/-294,#l_ec
r,20082,741708,44/50/60/18,319/-108/0/468,603/1310/277/752,420/40/-205,0/0,1266/-950/-15032,-374/339/545,-136/-139/-262,#l_ec
r,20083,741747,45/49/60/20,297/-143/0/486,604/1331/277/760,422/59/-204,0/0,1210/-1118/-15075,-319/315/500,-136/-133/-231,#l_ec
r,20084,741787,46/49/60/22,288/-156/0/503,585/1306/277/763,423/78/-204,0/0,1072/-1214/-15224,-287/303/462,-135/-126/-199,#l_ec
r,20085,741828,47/48/60/24,308/-131/0/516,606/1241/278/757,423/97/-205,0/0,939/-1232/-15274,-241/276/428,-133/-120/-168,#l_ec
r,20086,741868,48/48/60/27,302/-180/0/526,607/1207/344/768,423/116/-207,0/0,664/-1186/-15453,-246/267/444,-130/-113/-137,#l_ec
r,20087,741907,49/47/60/29,267/-207/0/508,618/1204/341/723,421/134/-209,0/0,528/-1394/-15480,-200/236/366,-126/-105/-107,#l_ec
r,20088,741948,51/46/60/31,245/-206/0/518,597/1200/345/703,419/152/-212,0/0,164/-1122/-15542,-194/210/414,-121/-98/-76,#l_ec
r,20089,741988,52/45/60/33,232/-236/0/529,581/1186/345/717,415/169/-216,0/0,-44/-1020/-15506,-139/167/403,-116/-91/-46,#l_ec
r,20090,742027,53/44/60/35,270/-213/0/542,574/1190/345/717,412/186/-220,0/0,-102/-996/-15625,-161/170/342,-111/-83/-16,#l_ec
r,20091,742067,54/43/60/37,221/-220/0/508,544/1144/346/707,408/203/-225,0/0,-496/-740/-15410,-123/116/434,-105/-76/12,#l_ec
r,20092,742108,54/42/60/39,246/-231/0/535,579/1085/343/726,402/219/-231,0/0,-421/-762/-15172,-132/115/316,-98/-69/41,#l_ec
