r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,15464,319349,95/100/0/90,0/0/0/-1,0/0/0/0,-34/-677/114,0/0,-1820/-926/-14120,-630/255/414,-1715/-121/948,# hw
r,15465,319374,95/100/0/90,0/0/0/1,0/0/0/0,-34/-677/114,0/0,-1808/-926/-14146,-639/262/417,-1715/-121/948,# hw
r,15466,319395,95/100/0/90,0/0/0/-1,0/0/0/0,-34/-677/114,0/0,-1818/-916/-14153,-643/266/426,-1715/-121/948,# hw
r,15467,319416,95/100/0/90,0/0/0/2,0/0/0/0,-34/-677/114,0/0,-1768/-920/-14106,-638/269/427,-1715/-121/948,# hw
r,15468,319436,95/100/0/90,0/0/0/-1,0/0/0/0,-34/-677/114,0/0,-1710/-942/-14072,-634/274/422,-1715/-121/948,# hw
r,15469,319456,95/100/0/90,0/0/0/1,0/0/0/0,-34/-677/114,0/0,-1654/-1010/-14020,-624/276/410,-1715/-121/948,# hw
r,15470,319476,95/100/0/90,0/0/0/-1,0/0/0/0,-34/-677/114,0/0,-1606/-1086/-14010,-625/284/399,-1715/-121/948,# hw
r,15471,319495,95/100/0/90,-1/0/0/2,0/0/0/0,-34/-677/114,0/0,-1574/-1178/-14006,-627/293/386,-1715/-121/948,# hw
r,15472,319516,95/100/0/90,-11/0/0/-1,0/0/0/0,-34/-677/114,0/0,-1544/-1242/-13996,-628/302/371,-1714/-121/948,# hw
r,15473,319535,95/100/0/90,-5/0/0/1,0/0/0/0,-34/-678/114,0/0,-1550/-1294/-13930,-625/305/368,-1714/-121/948,# hw
r,15474,319555,95/100/0/90,-11/0/0/-1,0/0/0/0,-34/-678/114,0/0,-1586/-1246/-13848,-625/306/393,-1714/-121/947,# hw
r,15475,319576,95/100/0/90,-16/0/0/1,0/0/0/0,-33/-678/114,0/0,-1576/-1248/-13753,-610/298/386,-1714/-120/947,# hw
r,15476,319596,95/100/0/90,-19/0/0/-1,0/0/0/0,-33/-678/114,0/0,-1540/-1266/-13658,-587/287/370,-1714/-120/947,# hw
r,15477,319616,95/100/0/90,-21/0/0/1,0/0/0/0,-33/-678/114,0/0,-1522/-1264/-13602,-576/281/373,-1714/-120/946,# hw
r,15478,319635,95/100/0/90,-23/0/0/-1,0/0/0/0,-32/-678/114,0/0,-1514/-1256/-13608,-587/288/378,-1714/-120/945,# hw
r,15479,319655,94/100/0/90,-39/0/0/2,0/0/0/0,-32/-678/114,0/0,-1508/-1298/-13670,-601/298/365,-1714/-120/945,# hw
