r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,3620,131576,-10/62/3/60,0/0/0/-4,190/1857/311/-4,469/-263/-286,0/0,282/1958/-13570,-544/312/574,-46/239/-416,#l_ec
r,3621,131610,-10/62/3/60,0/0/0/-4,189/1855/306/-7,469/-263/-286,0/0,266/1952/-13560,-542/311/581,-46/239/-416,#l_ec
r,3622,131643,-10/62/3/60,0/0/-1/-2,188/1856/66/-2,469/-263/-286,0/0,244/1966/-13489,-528/303/588,-46/239/-416,#l_ec
r,3623,131678,-10/62/3/60,0/0/1/4,188/1856/55/-68,469/-263/-286,0/0,226/2004/-13446,-524/300/591,-46/239/-415,#l_ec
r,3624,131710,-10/62/3/60,0/0/1/4,188/1856/71/-85,469/-263/-286,0/0,246/2010/-13430,-529/303/588,-46/239/-415,#l_ec
r,3625,131743,-10/62/3/60,0/0/1/3,189/1855/66/-90,469/-263/-286,0/0,284/2102/-13372,-531/304/591,-46/239/-415,#l_ec
r,3626,131777,-10/62/3/60,0/0/-1/-4,189/1856/47/-21,469/-263/-286,0/0,306/2200/-13108,-503/290/596,-46/239/-416,#l_ec
r,3627,131810,-10/62/3/60,0/0/-1/-2,188/1856/23/-36,469/-263/-286,0/0,306/2394/-12646,-447/262/614,-46/239/-415,#l_ec
r,3628,131844,-10/62/3/60,1/0/0/-1,345/1857/9/-28,469/-263/-286,0/0,264/2650/-12142,-377/221/639,-46/239/-415,#l_ec
r,3629,131876,-10/62/3/60,4/3/2/2,415/2011/33/-84,469/-263/-286,0/0,310/2940/-11684,-318/192/660,-46/238/-415,#l_ec
r,3630,131910,-10/62/3/60,6/8/4/3,411/2095/37/-78,469/-262/-285,0/0,350/3108/-11358,-273/172/678,-46/238/-415,#l_ec
r,3631,131944,-10/62/3/60,7/17/1/2,376/2117/52/-78,469/-262/-285,0/0,434/3176/-11110,-253/169/677,-46/237/-415,#l_ec
r,3632,131978,-10/62/3/60,12/28/0/-1,370/2128/21/-27,469/-262/-284,0/0,482/3222/-10872,-231/166/680,-46/237/-414,#l_ec
r,3633,132017,-10/63/3/60,8/49/0/-1,363/2146/332/-22,470/-262/-283,0/0,526/3275/-10604,-193/151/686,-45/236/-414,#l_ec
r,3634,132057,-10/63/3/60,5/73/0/-1,354/2193/134/-19,471/-262/-281,0/0,568/3291/-10500,-195/157/675,-45/234/-414,#l_ec
r,3635,132098,-10/63/3/60,2/62/0/-1,349/2227/148/-8,473/-262/-278,0/0,676/3362/-10382,-197/164/673,-44/231/-413,#l_ec
r,3636,132137,-10/63/3/60,1/102/0/-1,348/2249/203/0,474/-262/-275,0/0,734/3348/-10162,-165/150/665,-43/228/-413,#l_ec
r,3637,132177,-10/64/3/60,0/132/0/-1,351/2277/202/-19,475/-262/-271,0/0,766/3306/-9964,-151/148/655,-43/224/-412,#l_ec
r,3638,132218,-10/64/3/60,0/142/0/-1,136/2349/201/-7,477/-263/-266,0/0,824/3218/-9964,-189/169/645,-41/219/-412,#l_ec
r,3639,132258,-10/65/3/60,0/158/0/-1,33/2398/203/-14,480/-263/-259,0/0,862/3092/-9992,-226/189/633,-40/213/-411,#l_ec
r,3640,132297,-10/66/3/60,0/198/0/-1,7/2427/203/-26,482/-264/-252,0/0,822/2894/-9740,-216/183/640,-39/206/-411,#l_ec
r,3641,132337,-10/66/3/60,0/216/0/-1,11/2417/203/-15,485/-265/-243,0/0,876/2868/-9702,-262/209/655,-37/198/-410,#l_ec
r,3642,132377,-10/67/3/60,0/257/0/-1,127/2526/202/-5,489/-265/-233,0/0,980/2608/-9612,-266/216/614,-35/189/-410,#l_ec
r,3643,132417,-10/68/3/60,0/243/0/-1,127/2518/201/-25,492/-266/-223,0/0,1056/2502/-9554,-274/224/613,-33/179/-409,#l_ec
r,3644,132457,-10/69/3/60,0/301/0/-1,128/2535/202/0,496/-267/-211,0/0,1134/2406/-9388,-238/204/603,-31/168/-408,#l_ec
r,3645,132498,-10/71/3/60,0/319/0/-1,128/2651/277/-16,499/-268/-198,0/0,1192/2306/-9614,-280/227/591,-29/156/-408,#l_ec
r,3646,132537,-10/72/3/60,0/341/0/-1,129/2646/277/-7,503/-268/-183,0/0,1234/2152/-9804,-308/247/573,-26/143/-407,#l_ec
r,3647,132578,-10/73/3/60,0/363/0/-1,129/2695/275/20,507/-269/-168,0/0,1284/2028/-9744,-292/239/564,-23/129/-407,#l_ec
r,3648,132614,-10/75/3/60,0/379/0/-1,128/2721/276/47,510/-270/-152,0/0,1334/1987/-9660,-265/223/552,-21/115/-406,#l_ec
r,3649,132654,-10/76/3/60,-3/399/0/-1,-88/2740/278/40,513/-271/-135,0/0,1288/1771/-9768,-270/228/535,-18/99/-405,#l_ec
r,3650,132693,-10/78/3/60,-8/414/0/-1,-65/2794/343/38,516/-272/-117,0/0,1214/1532/-9860,-281/234/518,-15/83/-405,#l_ec
r,3651,132734,-10/80/3/60,-4/427/0/-2,-57/2797/344/35,518/-272/-98,0/0,1066/1330/-9824,-251/216/509,-12/66/-405,#l_ec
r,3652,132774,-10/82/3/60,-2/449/0/-1,-58/2856/344/30,521/-273/-78,0/0,1076/1096/-9754,-227/214/493,-9/49/-405,#l_ec
r,3653,132813,-10/83/3/60,-3/462/0/-3,-58/2890/345/46,523/-274/-57,0/0,1026/390/-9666,-183/202/399,-5/31/-405,#l_ec
r,3654,132853,-10/85/3/60,-7/471/0/-1,-28/2874/412/22,523/-274/-36,0/0,970/-56/-9692,-187/214/344,-2/12/-405,#l_ec
r,3655,132893,-10/87/3/60,-5/510/0/-1,-10/2962/411/35,524/-275/-14,0/0,802/-102/-9594,-152/187/385,1/-6/-405,#l_ec
r,3656,132933,-10/89/3/60,-1/513/0/-2,-23/2956/412/42,524/-275/8,0/0,678/-230/-9618,-139/173/383,4/-26/-406,#l_ec
r,3657,132973,-10/91/3/60,0/535/0/-1,-35/2987/412/36,523/-275/32,0/0,562/-346/-9862,-172/183/387,8/-47/-406,#l_ec
r,3658,133013,-10/94/3/60,1/533/0/-1,188/2991/485/46,523/-274/56,0/0,467/-518/-9866,-155/179/369,12/-68/-406,#l_ec
r,3659,133053,-10/96/3/60,4/541/0/-1,410/3008/485/10,520/-274/80,0/0,256/-502/-10078,-158/165/419,16/-89/-407,#l_ec
r,3660,133094,-10/98/3/60,2/559/0/-2,388/3044/485/30,518/-273/105,0/0,146/-558/-10176,-148/145/441,20/-111/-407,#l_ec
r,3661,133134,-10/100/3/60,0/566/0/-1,407/3057/487/46,513/-272/130,0/0,160/-754/-10394,-172/163/432,25/-133/-408,#l_ec
r,3662,133174,-10/102/3/60,-1/560/0/-1,179/3047/548/42,508/-271/155,0/0,156/-842/-10502,-185/176/423,29/-156/-409,#l_ec
r,3663,133213,-10/105/3/60,-1/567/0/-1,73/3047/329/28,503/-270/180,0/0,94/-950/-10422,-154/157/418,33/-178/-411,#l_ec
r,3664,133253,-10/107/3/60,0/581/0/-2,127/3068/551/86,496/-268/205,0/0,134/-1134/-10592,-183/176/390,38/-201/-412,#l_ec
r,3665,133295,-10/109/3/60,0/573/0/-1,176/2977/554/47,490/-267/230,0/0,158/-1380/-10768,-177/178/353,43/-223/-414,#l_ec
r,3666,133335,-10/112/3/60,0/559/0/-2,170/3025/790/73,481/-265/253,0/0,102/-1534/-10906,-163/169/332,48/-245/-416,#l_ec
r,3667,133374,-10/114/3/60,0/547/0/-2,177/2959/568/56,473/-263/276,0/0,102/-1674/-11082,-161/172/309,53/-267/-418,#l_ec
r,3668,133415,-10/116/3/60,0/556/-1/-2,180/3024/328/61,463/-261/298,0/0,-6/-1814/-11206,-166/166/306,58/-289/-420,#l_ec
r,3669,133455,-10/118/3/60,0/527/-1/-1,175/2955/379/50,454/-259/319,0/0,2/-1895/-11296,-160/165/312,63/-310/-423,#l_ec
r,3670,133495,-10/120/3/60,0/526/0/-2,170/2920/608/69,444/-257/339,0/0,-62/-2029/-11352,-153/156/306,68/-330/-426,#l_ec
r,3671,133534,-10/122/3/60,0/490/0/-1,173/2974/617/116,434/-255/359,0/0,-148/-2192/-11414,-141/154/308,74/-350/-429,#l_ec
r,3672,133575,-10/124/3/60,0/481/0/-1,179/2838/632/89,423/-253/377,0/0,-117/-2324/-11628,-168/175/276,79/-369/-432,#l_ec
r,3673,133614,-10/126/3/60,0/466/0/-1,177/2874/617/98,413/-250/394,0/0,-117/-2410/-11736,-151/164/272,85/-387/-435,#l_ec
r,3674,133655,-10/128/3/60,0/450/0/-1,172/2772/629/97,403/-248/410,0/0,-128/-2628/-12022,-165/178/244,90/-405/-439,#l_ec
r,3675,133694,-10/130/3/60,0/413/0/-2,173/2811/619/99,392/-246/425,0/0,-200/-2832/-12342,-187/192/212,96/-421/-442,#l_ec
r,3676,133735,-10/131/3/60,0/389/0/-1,177/2757/632/83,382/-244/438,0/0,-310/-2900/-12512,-176/175/228,101/-437/-446,#l_ec
r,3677,133774,-10/133/3/60,0/346/0/-1,177/2719/620/97,373/-241/450,0/0,-354/-2962/-12690,-168/171/232,106/-451/-450,#l_ec
r,3678,133815,-10/134/3/60,0/318/0/-1,174/2630/622/91,364/-240/460,0/0,-304/-3164/-12872,-173/179/203,111/-463/-453,#l_ec
r,3679,133855,-10/135/3/60,0/255/0/-1,176/2657/623/88,356/-238/469,0/0,-334/-3196/-13103,-194/197/214,115/-474/-456,#l_ec
r,3680,133894,-10/136/3/60,0/256/0/-2,177/2535/618/93,349/-236/477,0/0,-356/-3236/-13148,-183/186/202,119/-484/-459,#l_ec
r,3681,133935,-10/137/3/60,0/177/0/-1,175/2556/623/86,343/-235/483,0/0,-352/-3284/-13189,-156/172/206,123/-492/-462,#l_ec
r,3682,133975,-10/138/3/60,0/169/0/-1,175/2522/616/91,339/-234/488,0/0,-334/-3224/-13312,-167/182/213,126/-498/-464,#l_ec
r,3683,134016,-10/138/3/60,0/86/0/-1,174/2472/624/94,336/-233/492,0/0,-278/-3366/-13416,-156/182/185,128/-503/-466,#l_ec
r,3684,134055,-10/138/3/60,0/41/0/-1,176/2332/622/101,333/-233/494,0/0,-276/-3375/-13464,-132/169/185,129/-506/-467,#l_ec
r,3685,134095,-10/139/3/60,0/9/0/-1,177/2217/619/93,332/-233/495,0/0,-290/-3325/-13516,-116/159/184,130/-507/-467,#l_ec
r,3686,134135,-10/139/3/60,0/-17/0/-1,175/1654/623/91,332/-233/494,0/0,-288/-3348/-13902,-190/202/190,129/-507/-467,#l_ec
r,3687,134176,-10/138/3/60,0/-37/0/-2,174/1630/618/88,334/-233/493,0/0,-302/-3398/-14006,-186/200/179,129/-505/-467,#l_ec
r,3688,134215,-10/138/3/60,0/-70/0/-1,176/1570/622/82,336/-233/492,0/0,-396/-3212/-13982,-175/188/224,128/-503/-466,#l_ec
r,3689,134255,-10/138/3/60,0/-98/0/-2,177/1534/619/92,338/-234/489,0/0,-314/-3318/-14044,-176/191/177,126/-499/-464,#l_ec
r,3690,134296,-10/137/3/60,0/-122/0/-1,176/1536/622/86,342/-235/485,0/0,-406/-3220/-14102,-196/198/211,124/-494/-463,#l_ec
r,3691,134336,-10/137/3/60,0/-165/0/-1,170/1471/620/92,346/-236/481,0/0,-394/-3130/-14072,-205/198/203,121/-489/-461,#l_ec
r,3692,134376,-10/136/3/60,0/-186/0/-1,175/1432/621/92,351/-237/475,0/0,-408/-2994/-13967,-207/195/224,118/-482/-459,#l_ec
r,3693,134415,-10/135/3/60,0/-226/0/-1,174/1439/622/91,357/-238/469,0/0,-394/-2902/-13948,-235/207/219,115/-474/-456,#l_ec
r,3694,134455,-10/134/3/60,0/-251/0/-1,175/1470/621/92,363/-239/461,0/0,-440/-2744/-13803,-228/196/245,111/-465/-453,#l_ec
r,3695,134496,-10/133/3/60,0/-271/0/-1,176/1438/620/286,370/-241/453,0/0,-416/-2700/-13916,-277/221/232,108/-455/-451,#l_ec
r,3696,134536,-10/132/3/60,0/-302/0/-1,175/1473/623/81,378/-243/443,0/0,-476/-2548/-13796,-265/208/261,103/-443/-448,#l_ec
r,3697,134576,-10/131/3/60,0/-329/0/-2,174/1480/620/87,386/-244/433,0/0,-469/-2464/-13752,-267/204/254,99/-431/-444,#l_ec
r,3698,134616,-10/129/3/60,0/-360/0/-1,173/1510/621/77,394/-246/421,0/0,-484/-2318/-13860,-311/227/275,94/-417/-441,#l_ec
r,3699,134656,-10/128/3/60,0/-376/0/-2,176/1522/622/94,403/-248/408,0/0,-478/-2230/-13844,-321/230/275,89/-403/-438,#l_ec
r,3700,134697,-10/126/3/60,0/-400/0/-1,177/1544/623/87,413/-250/395,0/0,-480/-2116/-13864,-309/234/287,85/-388/-435,#l_ec
r,3701,134737,-10/125/3/60,0/-436/0/-1,175/1574/624/88,422/-252/380,0/0,-504/-2012/-13870,-332/230/295,80/-372/-432,#l_ec
r,3702,134776,-10/123/3/60,0/-451/0/-2,174/1616/620/88,431/-254/363,0/0,-490/-1908/-13932,-357/241/309,75/-355/-429,#l_ec
r,3703,134816,-10/121/3/60,0/-471/0/-2,174/1593/624/84,441/-256/346,0/0,-458/-1820/-13967,-369/247/318,70/-337/-427,#l_ec
r,3704,134857,-10/119/3/60,0/-501/0/-1,177/1663/619/79,450/-258/327,0/0,-456/-1737/-13994,-391/258/331,65/-318/-424,#l_ec
r,3705,134896,-10/117/3/60,0/-510/0/-5,174/1598/625/81,459/-260/308,0/0,-430/-1594/-14025,-405/265/330,60/-298/-421,#l_ec
r,3706,134937,-10/115/3/60,0/-538/0/-2,175/1740/619/53,469/-262/287,0/0,-419/-1434/-14067,-427/275/339,55/-277/-419,#l_ec
r,3707,134976,-10/113/3/60,0/-559/0/-1,180/1708/554/28,477/-264/264,0/0,-368/-1312/-14094,-445/283/349,50/-256/-417,#l_ec
r,3708,135016,-10/110/3/60,0/-578/0/-1,174/1702/553/35,485/-266/241,0/0,-416/-1108/-14103,-436/285/368,45/-234/-415,#l_ec
r,3709,135057,-10/108/3/60,0/-591/0/-2,173/1723/553/47,493/-268/216,0/0,-417/-970/-14102,-471/292/382,40/-211/-413,#l_ec
r,3710,135096,-10/106/3/60,0/-608/0/-2,-50/1748/552/20,501/-269/190,0/0,-376/-802/-14084,-470/287/382,35/-187/-411,#l_ec
r,3711,135136,-10/103/3/60,0/-621/0/-1,32/1766/556/46,507/-271/163,0/0,-242/-660/-14058,-495/308/391,30/-163/-410,#l_ec
r,3712,135177,-10/101/3/60,0/-638/0/-1,392/1802/553/52,513/-272/135,0/0,-238/-442/-14100,-512/324/408,25/-138/-408,#l_ec
r,3713,135218,-10/98/3/60,0/-648/-1/-3,382/1785/474/30,517/-273/107,0/0,-228/-192/-14044,-500/308/432,21/-112/-407,#l_ec
r,3714,135258,-10/95/3/60,0/-657/0/-1,387/1701/242/34,521/-274/77,0/0,-180/-36/-14070,-515/322/438,16/-86/-406,#l_ec
r,3715,135297,-10/93/3/60,-1/-668/0/-1,79/1805/475/27,523/-274/47,0/0,-82/216/-13938,-494/317/465,11/-60/-406,#l_ec
r,3716,135337,-10/90/3/60,-1/-676/0/-1,-20/1716/416/43,524/-275/17,0/0,102/540/-13766,-473/316/462,6/-34/-405,#l_ec
