r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,30674,1127559,-7/51/21/88,0/0/0/0,228/1581/277/231,507/-78/-332,0/0,868/638/-14132,-547/296/399,-21/182/-88,#l_sy
r,30675,1127591,-7/51/21/88,0/0/0/0,228/1578/279/233,507/-78/-332,0/0,843/650/-14156,-551/296/400,-21/182/-88,#l_sy
r,30676,1127626,-7/51/21/88,0/0/0/0,228/1580/277/230,507/-78/-332,0/0,838/676/-14158,-550/296/401,-21/182/-88,#l_sy
r,30677,1127659,-7/51/21/88,0/0/0/0,233/1579/279/231,507/-78/-332,0/0,839/694/-14160,-547/293/400,-21/182/-88,#l_sy
r,30678,1127692,-7/51/21/88,0/0/0/0,230/1580/279/231,507/-78/-332,0/0,828/700/-14178,-546/293/399,-21/182/-88,#l_sy
r,30679,1127726,-7/51/21/88,0/0/0/0,230/1578/276/232,507/-78/-332,0/0,830/698/-14182,-549/293/399,-21/182/-88,#l_sy
r,30680,1127760,-7/51/21/88,0/0/0/0,229/1577/277/229,507/-78/-332,0/0,820/706/-14200,-552/292/403,-21/182/-88,#l_sy
r,30681,1127793,-7/51/21/88,0/0/0/0,231/1582/276/230,507/-78/-332,0/0,792/720/-14236,-554/291/410,-21/182/-88,#l_sy
r,30682,1127826,-7/51/21/88,0/0/0/0,227/1579/276/223,507/-78/-332,0/0,796/766/-14258,-559/290/418,-21/182/-88,#l_sy
r,30683,1127860,-7/51/21/88,0/0/0/0,229/1581/277/230,507/-78/-332,0/0,768/770/-14264,-559/287/423,-21/182/-88,#l_sy
r,30684,1127893,-7/51/21/88,0/0/0/0,229/1582/276/229,507/-78/-332,0/0,750/754/-14296,-564/288/430,-21/182/-88,#l_sy
r,30685,1127926,-7/51/21/88,0/0/0/0,228/1579/277/227,507/-78/-332,0/0,708/726/-14310,-566/285/435,-21/182/-88,#l_sy
r,30686,1127960,-7/51/21/88,0/0/0/0,230/1578/280/229,507/-78/-332,0/0,674/738/-14310,-573/283/451,-21/182/-88,#l_sy
r,30687,1127999,-7/51/21/88,0/0/0/0,230/1577/276/228,507/-78/-332,0/0,632/748/-14320,-578/281/470,-21/182/-88,#l_sy
r,30688,1128039,-7/51/21/88,0/0/0/0,230/1578/277/230,507/-78/-332,0/0,568/742/-14288,-573/272/485,-21/182/-88,#l_sy
r,30689,1128079,-7/51/21/88,0/0/0/1,229/1578/276/227,507/-78/-332,0/0,484/732/-14242,-569/263/500,-21/182/-88,#l_sy
r,30690,1128120,-7/51/21/88,9/0/0/4,193/1585/278/232,507/-78/-332,0/0,264/760/-14300,-589/261/545,-21/182/-87,#l_sy
r,30691,1128161,-7/51/21/88,13/-4/0/5,249/1343/276/243,507/-77/-333,0/0,192/916/-14292,-594/257/571,-21/182/-87,#l_sy
r,30692,1128206,-6/51/21/88,19/-8/0/9,250/1337/276/261,507/-76/-333,0/0,314/1028/-14153,-568/241/551,-21/182/-86,#l_sy
r,30693,1128242,-6/51/21/88,20/-10/0/16,296/1338/279/255,507/-75/-333,0/0,404/985/-14167,-572/245/523,-21/183/-84,#l_sy
r,30694,1128282,-6/51/21/88,19/-20/0/12,313/1323/278/299,507/-73/-334,0/0,350/935/-14188,-572/243/526,-20/183/-83,#l_sy
r,30695,1128321,-6/51/21/88,26/-16/0/22,315/1314/278/271,507/-72/-335,0/0,246/960/-14206,-566/235/550,-20/184/-81,#l_sy
r,30696,1128360,-6/51/21/88,49/-20/0/19,281/1315/277/254,507/-70/-336,0/0,144/1050/-14172,-556/220/573,-20/185/-79,#l_sy
r,30697,1128406,-6/51/21/89,45/-33/0/24,344/1309/275/255,507/-67/-337,0/0,170/1100/-14260,-575/227/566,-19/187/-76,#l_sy
r,30698,1128441,-6/51/21/89,57/-32/0/28,312/1214/276/275,506/-64/-339,0/0,216/1070/-14238,-572/226/554,-19/188/-72,#l_sy
r,30699,1128481,-5/50/21/89,57/-60/0/32,372/1287/279/280,506/-61/-340,0/0,211/1094/-14158,-555/217/559,-18/190/-68,#l_sy
r,30700,1128521,-5/50/21/89,77/-39/0/26,371/1258/277/315,505/-57/-342,0/0,186/1080/-14139,-551/217/562,-17/192/-64,#l_sy
r,30701,1128561,-5/50/21/89,60/-76/0/37,387/1235/275/302,504/-53/-345,0/0,192/1136/-14075,-547/213/561,-16/194/-59,#l_sy
r,30702,1128601,-4/50/21/89,85/-54/0/35,407/1173/278/346,503/-48/-347,0/0,266/1280/-13867,-518/194/554,-15/197/-53,#l_sy
r,30703,1128641,-4/49/21/90,91/-74/0/52,398/1083/279/334,502/-43/-350,0/0,368/1392/-13739,-496/181/537,-14/199/-47,#l_sy
r,30704,1128681,-4/49/21/90,133/-57/0/73,401/1110/277/317,502/-37/-352,0/0,396/1480/-13592,-474/166/542,-13/202/-40,#l_sy
r,30705,1128720,-3/49/21/90,140/-48/0/81,468/1131/277/344,501/-31/-354,0/0,398/1526/-13500,-464/161/549,-11/204/-33,#l_sy
r,30706,1128761,-3/49/21/90,149/-76/0/52,470/1161/206/-116,499/-24/-357,0/0,344/1582/-13328,-433/141/565,-9/207/-25,#l_sy
r,30707,1128801,-2/49/21/90,139/-42/0/42,478/1175/204/-87,498/-18/-359,0/0,390/1592/-13253,-431/146/549,-7/209/-17,#l_sy
r,30708,1128841,-2/48/21/90,158/-34/0/14,497/1146/202/-134,497/-11/-361,0/0,404/1600/-13166,-420/142/549,-5/211/-10,#l_sy
r,30709,1128881,-1/48/21/90,166/-51/0/2,489/1216/204/-47,496/-5/-362,0/0,408/1534/-13162,-427/152/533,-3/212/-3,#l_sy
r,30710,1128920,0/48/21/90,171/-29/0/-2,506/1178/203/-284,496/0/-364,0/0,392/1484/-13116,-418/149/523,0/214/3,#l_sy
r,30711,1128960,0/48/21/90,152/-21/0/-14,499/1195/204/-401,496/7/-365,0/0,398/1592/-13058,-417/147/539,1/215/10,#l_sy
r,30712,1128994,1/48/21/90,168/-13/0/-23,498/1231/200/-412,496/10/-365,0/0,392/1494/-13103,-426/154/521,3/215/13,#l_sy
r,30713,1129034,2/48/21/90,160/-10/0/-10,510/1207/201/-364,495/17/-366,0/0,374/1444/-13082,-421/153/519,6/216/21,#l_sy
r,30714,1129074,2/48/21/90,182/1/0/-7,534/1265/198/-386,495/25/-366,0/0,352/1470/-13014,-403/143/519,9/216/28,#l_sy
r,30715,1129114,3/48/21/90,174/4/0/0,530/1746/201/-389,494/32/-366,0/0,328/1428/-13030,-410/148/513,12/216/37,#l_sy
r,30716,1129154,4/48/21/90,182/1/0/2,508/1768/204/-93,494/40/-366,0/0,304/1490/-12894,-380/130/524,15/215/45,#l_sy
r,30717,1129194,5/48/21/90,175/0/0/0,546/1750/203/41,493/48/-366,0/0,320/1486/-12896,-382/135/508,18/215/54,#l_sy
r,30718,1129234,5/48/21/90,200/0/0/0,522/1293/202/-175,492/56/-366,0/0,310/1492/-12870,-384/137/510,21/215/63,#l_sy
r,30719,1129274,6/48/21/90,227/0/0/-1,538/1286/201/-260,492/65/-366,0/0,358/1454/-12824,-384/146/488,24/215/72,#l_sy
r,30720,1129314,7/48/21/90,247/0/0/-1,539/1511/202/-249,491/73/-366,0/0,402/1460/-12646,-348/130/480,28/214/81,#l_sy
r,30721,1129354,8/48/21/90,214/0/0/0,545/1511/202/-249,490/82/-366,0/0,467/1520/-12510,-334/128/467,31/214/90,#l_sy
r,30722,1129394,9/48/21/90,223/0/0/0,543/1511/199/-64,489/90/-366,0/0,496/1512/-12448,-318/126/451,35/213/99,#l_sy
r,30723,1129434,10/48/21/90,212/0/0/0,547/1513/201/-30,488/99/-366,0/0,464/1554/-12348,-305/120/451,38/213/109,#l_sy
r,30724,1129473,11/48/21/90,238/0/0/-2,528/1511/202/-248,486/108/-366,0/0,473/1582/-12264,-306/111/434,41/212/118,#l_sy
r,30725,1129514,12/48/21/90,222/1/0/0,558/1736/204/-134,485/116/-366,0/0,490/1648/-12144,-269/106/434,45/211/128,#l_sy
r,30726,1129554,12/48/21/90,191/7/0/2,582/1746/202/50,483/125/-366,0/0,538/1598/-12108,-264/112/414,48/210/137,#l_sy
r,30727,1129594,13/48/21/90,212/5/0/-2,538/1747/202/-154,482/133/-365,0/0,552/1648/-11986,-240/103/409,51/209/146,#l_sy
r,30728,1129630,14/48/21/90,206/14/0/-5,546/1753/201/-384,480/142/-365,0/0,604/1588/-11894,-218/103/378,55/208/155,#l_sy
r,30729,1129670,15/48/21/90,241/24/0/0,571/1764/204/-389,479/150/-364,0/0,634/1720/-11716,-178/87/374,58/206/165,#l_sy
r,30730,1129710,16/48/21/90,199/32/0/0,537/1792/201/-238,478/159/-363,0/0,728/1636/-11696,-170/99/334,60/204/173,#l_sy
r,30731,1129751,17/48/21/90,229/60/0/4,542/1831/201/49,477/167/-361,0/0,738/1644/-11550,-142/87/337,63/201/182,#l_sy
r,30732,1129790,18/49/21/90,188/85/0/5,549/1848/204/49,476/175/-358,0/0,800/1536/-11532,-143/99/301,65/198/190,#l_sy
r,30733,1129831,18/49/21/90,182/76/0/-1,557/1913/204/57,475/183/-355,0/0,798/1546/-11460,-131/91/319,67/195/198,#l_sy
r,30734,1129870,19/49/21/90,180/71/0/-5,507/1922/273/-399,475/191/-352,0/0,798/1400/-11488,-137/101/314,68/190/205,#l_sy
r,30735,1129911,20/50/21/90,162/99/0/-12,541/1974/277/-329,475/198/-348,0/0,758/1168/-11576,-146/112/308,69/186/212,#l_sy
r,30736,1129950,20/50/21/90,163/114/0/-11,515/1906/278/-332,475/205/-343,0/0,710/974/-11572,-145/116/307,69/180/218,#l_sy
r,30737,1129990,21/51/21/90,159/137/0/-11,512/2060/275/-317,476/212/-337,0/0,764/710/-11548,-135/124/278,69/175/224,#l_sy
r,30738,1130030,22/51/21/90,158/144/0/-11,464/2019/277/-299,477/219/-332,0/0,816/624/-11464,-123/126/269,69/169/228,#l_sy
r,30739,1130070,22/52/21/90,147/165/0/-21,527/2085/276/-306,478/225/-325,0/0,854/376/-11584,-149/152/253,68/163/233,#l_sy
r,30740,1130111,23/52/21/90,122/157/0/-10,482/2084/276/-259,479/231/-319,0/0,835/146/-11588,-132/152/235,67/156/237,#l_sy
r,30741,1130150,23/53/21/90,120/176/0/-16,419/2149/276/-274,480/236/-312,0/0,904/117/-11448,-102/140/227,65/150/240,#l_sy
r,30742,1130190,23/54/21/90,102/191/0/-23,460/2136/275/-256,482/241/-304,0/0,912/-36/-11548,-128/165/219,63/143/242,#l_sy
r,30743,1130231,24/55/21/90,67/197/0/-9,394/2179/277/-280,485/245/-297,0/0,862/-250/-11556,-117/164/207,61/136/243,#l_sy
r,30744,1130270,24/55/21/90,55/200/0/-11,378/2227/276/-264,486/248/-288,0/0,814/-304/-11462,-94/156/206,58/129/244,#l_sy
r,30745,1130312,24/56/21/90,21/191/0/-19,365/2255/343/-253,490/251/-280,0/0,839/-432/-11432,-88/156/190,55/122/244,#l_sy
r,30746,1130351,24/57/21/90,3/215/0/-25,279/2258/342/-269,492/252/-271,0/0,800/-566/-11516,-107/168/183,51/114/243,#l_sy
r,30747,1130391,24/58/21/90,-2/193/0/-25,-160/2333/343/-277,496/253/-262,0/0,850/-835/-11556,-97/172/131,48/106/242,#l_sy
r,30748,1130431,24/59/21/90,-24/242/0/-25,-231/2341/345/-300,499/254/-252,0/0,897/-930/-11452,-82/163/120,44/99/239,#l_sy
r,30749,1130472,24/60/21/89,-43/238/0/-33,-276/2351/344/-315,502/254/-243,0/0,734/-1026/-11536,-90/161/160,40/91/236,#l_sy
r,30750,1130511,24/60/21/89,-38/244/0/-26,-281/2328/341/-344,507/253/-233,0/0,558/-1100/-11616,-108/168/190,36/83/233,#l_sy
r,30751,1130551,24/61/21/89,-32/235/0/-39,-328/2412/345/-322,510/252/-223,0/0,452/-1148/-11546,-89/153/212,32/74/229,#l_sy
r,30752,1130591,23/62/21/89,-48/237/0/-33,-309/2383/346/-353,513/250/-212,0/0,548/-1306/-11588,-96/162/183,28/66/225,#l_sy
r,30753,1130632,23/63/21/89,-39/204/0/-63,-290/2436/393/-331,518/249/-202,0/0,620/-1448/-11624,-95/166/160,25/58/221,#l_sy
r,30754,1130671,23/64/21/89,-46/238/0/-39,-393/2494/410/-336,521/246/-192,0/0,588/-1514/-11660,-104/173/172,21/50/216,#l_sy
r,30755,1130711,23/65/21/88,-46/222/0/-53,-373/2464/413/-353,525/243/-182,0/0,478/-1580/-11678,-106/173/191,17/41/210,#l_sy
r,30756,1130751,22/66/21/88,-83/198/0/-59,-327/2507/412/-340,529/240/-171,0/0,444/-1700/-11774,-119/180/192,13/33/205,#l_sy
r,30757,1130791,22/67/21/88,-92/220/0/-82,-420/2567/412/-356,532/236/-162,0/0,434/-1844/-11752,-100/168/175,10/25/199,#l_sy
r,30758,1130831,22/68/21/87,-95/210/0/-103,-411/2525/413/-406,535/231/-152,0/0,428/-1871/-11856,-125/181/177,7/18/192,#l_sy
r,30759,1130871,21/68/21/87,-121/196/0/-98,-433/2566/413/-390,539/226/-143,0/0,324/-1858/-11898,-128/179/201,4/10/184,#l_sy
r,30760,1130912,21/69/21/87,-114/199/0/-92,-434/2528/411/-438,542/220/-133,0/0,276/-1878/-11856,-115/171/202,1/3/176,#l_sy
r,30761,1130952,20/70/21/86,-130/196/0/-89,-437/2554/410/-417,545/214/-125,0/0,378/-1894/-11820,-109/173/167,-1/-3/168,#l_sy
r,30762,1130992,20/71/21/86,-96/159/0/-105,-442/2619/413/-377,549/207/-116,0/0,332/-2068/-11802,-87/162/136,-3/-10/159,#l_sy
r,30763,1131032,19/71/21/85,-132/162/0/-88,-419/2589/484/-435,552/199/-108,0/0,262/-2014/-11832,-103/168/153,-5/-16/149,#l_sy
r,30764,1131072,19/72/21/85,-136/169/0/-144,-446/2562/485/-442,556/191/-101,0/0,194/-1995/-11840,-105/166/172,-7/-23/139,#l_sy
r,30765,1131112,18/73/21/84,-120/143/0/-112,-452/2530/488/-467,558/182/-93,0/0,264/-1886/-11754,-103/161/188,-9/-29/128,#l_sy
r,30766,1131152,18/73/21/84,-147/174/0/-155,-502/2574/489/-465,561/173/-86,0/0,362/-1887/-11848,-132/174/190,-11/-35/117,#l_sy
r,30767,1131193,17/74/21/83,-178/143/0/-168,-510/2554/487/-488,564/163/-79,0/0,356/-1971/-11938,-150/183/190,-12/-41/105,#l_sy
r,30768,1131232,17/74/21/83,-169/155/0/-155,-509/2613/489/-471,567/152/-73,0/0,332/-1764/-11848,-142/169/236,-13/-46/93,#l_sy
r,30769,1131272,16/75/21/82,-169/160/0/-141,-519/2614/487/-499,569/141/-66,0/0,360/-1758/-11972,-186/191/244,-14/-51/80,#l_sy
r,30770,1131312,15/75/21/81,-163/92/0/-186,-489/2636/487/-485,571/130/-61,0/0,372/-1845/-12092,-210/203/238,-15/-56/66,#l_sy
