r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,28637,1055618,2/52/24/82,0/0/0/0,-237/1645/345/-225,520/-24/-300,0/0,260/592/-14624,-724/301/357,4/133/-59,#l_mj
r,28638,1055658,2/52/24/82,0/0/0/0,-236/1646/342/-227,520/-24/-300,0/0,254/670/-14608,-731/298/365,4/133/-59,#l_mj
r,28639,1055698,2/52/24/82,0/0/0/0,-238/1645/345/-227,520/-24/-300,0/0,192/870/-14503,-743/292/402,4/133/-59,#l_mj
r,28640,1055734,2/52/24/82,0/0/0/0,-241/1644/343/-230,520/-24/-300,0/0,0/1194/-14164,-733/258/452,4/133/-59,#l_mj
r,28641,1055767,2/52/24/82,17/0/0/0,232/1645/343/-229,520/-24/-300,0/0,-164/1706/-13838,-737/219/538,4/133/-59,#l_mj
r,28642,1055799,2/52/24/82,25/0/0/0,230/1650/345/-227,520/-23/-300,0/0,-358/2122/-13370,-692/168/613,4/133/-59,#l_mj
r,28643,1055839,2/52/24/82,58/0/0/1,271/1864/344/-105,520/-22/-299,0/0,-614/2558/-12966,-651/95/694,4/133/-57,#l_mj
r,28644,1055879,2/52/24/82,68/8/0/20,344/1880/344/247,521/-19/-299,0/0,-730/2786/-12816,-623/49/725,5/133/-54,#l_mj
r,28645,1055920,3/52/24/82,70/4/0/36,350/1900/342/279,521/-15/-299,0/0,-748/2908/-12600,-587/18/756,6/133/-49,#l_mj
r,28646,1055959,3/52/24/83,116/13/0/40,409/1886/344/310,521/-9/-299,0/0,-746/2868/-12294,-531/-9/762,7/132/-43,#l_mj
r,28647,1055999,4/52/24/83,158/25/0/84,451/1904/345/356,522/-2/-298,0/0,-792/2750/-12020,-479/-23/767,8/131/-35,#l_mj
r,28648,1056039,4/52/24/83,167/26/0/105,482/1917/343/356,522/6/-297,0/0,-962/2592/-11866,-462/-25/760,9/130/-25,#l_mj
r,28649,1056080,5/53/24/83,196/33/0/79,486/1954/343/437,523/16/-295,0/0,-1060/2482/-11758,-454/-17/742,11/128/-13,#l_mj
r,28650,1056119,6/53/24/84,224/43/0/121,529/1971/341/389,523/28/-293,0/0,-1124/2410/-11424,-398/-32/757,13/126/0,#l_mj
r,28651,1056159,7/53/24/85,250/53/0/142,536/1998/343/466,523/42/-291,0/0,-997/1906/-11242,-361/-6/661,15/124/15,#l_mj
r,28652,1056199,8/53/24/85,298/92/0/141,555/2005/344/470,524/57/-288,0/0,-1054/1694/-10858,-298/-16/664,17/121/32,#l_mj
r,28653,1056240,9/54/24/86,316/86/0/158,577/2094/344/475,524/73/-285,0/0,-906/1322/-10604,-256/4/587,19/117/51,#l_mj
r,28654,1056279,10/54/24/87,302/115/0/169,565/2112/343/476,523/90/-281,0/0,-1002/982/-10332,-233/26/566,20/113/70,#l_mj
r,28655,1056320,12/54/24/87,316/140/0/166,558/2179/343/512,523/108/-276,0/0,-1030/808/-9922,-176/21/564,22/108/91,#l_mj
r,28656,1056359,13/55/24/88,326/114/0/194,622/2177/345/520,523/126/-270,0/0,-808/394/-9844,-185/79/436,23/102/111,#l_mj
r,28657,1056400,14/56/24/89,314/153/0/252,592/2179/344/525,522/145/-264,0/0,-722/290/-9462,-149/80/416,24/96/133,#l_mj
r,28658,1056440,15/56/24/90,327/199/0/232,607/2231/342/530,520/165/-256,0/0,-700/298/-9238,-151/99/445,24/88/154,#l_mj
