r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,67420,2480968,96/47/31/73,0/-27/0/0,-229/1256/343/229,38/579/-310,0/0,417/1376/-11612,-801/411/465,111/-12/789,#l_jy
r,67421,2481003,96/47/31/73,0/-24/0/0,-229/1173/344/229,38/578/-310,0/0,448/1416/-11562,-787/403/456,112/-12/789,#l_jy
r,67422,2481034,96/47/31/73,0/-16/0/0,-230/1277/342/231,38/578/-311,0/0,458/1416/-11596,-773/391/452,112/-12/789,#l_jy
r,67423,2481069,96/47/31/73,0/-1/0/0,-232/1328/343/229,38/578/-311,0/0,469/1398/-11660,-762/386/450,113/-12/789,#l_jy
r,67424,2481108,96/47/31/73,0/0/0/0,-231/1500/344/227,38/578/-311,0/0,456/1370/-11600,-722/363/449,113/-12/789,#l_jy
r,67425,2481142,96/47/31/73,0/3/0/0,-230/1805/344/230,38/578/-311,0/0,402/1416/-11582,-712/353/467,113/-12/789,#l_jy
r,67426,2481176,96/47/31/73,0/4/0/0,-227/1823/343/228,38/578/-311,0/0,388/1366/-11664,-723/360/472,112/-12/789,#l_jy
r,67427,2481209,96/47/31/73,0/0/0/0,-230/1817/343/227,38/578/-311,0/0,338/1340/-11722,-738/367/492,112/-12/789,#l_jy
r,67428,2481244,96/47/31/73,0/-1/0/0,-231/1364/349/230,38/578/-311,0/0,370/1316/-11798,-757/382/487,112/-12/789,#l_jy
r,67429,2481276,96/47/31/73,0/-1/0/0,-228/1342/343/229,38/578/-311,0/0,356/1312/-11758,-735/366/487,112/-12/789,#l_jy
r,67430,2481310,96/47/31/73,0/0/0/0,-224/1566/341/232,38/578/-311,0/0,328/1272/-11798,-730/359/483,112/-12/789,#l_jy
r,67431,2481344,96/47/31/73,0/0/0/0,-230/1817/344/229,38/578/-311,0/0,314/1294/-11866,-749/369/491,112/-12/789,#l_jy
r,67432,2481376,96/47/31/73,0/0/0/0,-231/1594/343/230,38/578/-311,0/0,314/1322/-11936,-767/380/498,112/-12/789,#l_jy
r,67433,2481410,96/47/31/73,0/0/0/0,-229/1341/346/229,38/578/-311,0/0,264/1372/-11904,-761/371/522,112/-12/789,#l_jy
r,67434,2481444,96/47/31/73,0/0/0/0,-228/1565/348/230,38/578/-311,0/0,276/1326/-11904,-751/368/525,112/-12/789,#l_jy
r,67435,2481476,96/47/31/73,0/1/0/0,-231/1798/347/229,38/578/-311,0/0,208/1190/-11998,-741/361/524,112/-12/789,#l_jy
r,67436,2481510,96/47/31/73,0/-1/0/0,-230/1593/343/228,38/578/-311,0/0,140/1052/-12164,-746/360/532,112/-12/789,#l_jy
r,67437,2481544,96/47/31/73,0/-4/0/0,-229/1343/344/227,38/578/-311,0/0,126/960/-12304,-747/365/530,113/-12/789,#l_jy
r,67438,2481576,96/47/31/73,0/-1/0/0,-229/1335/344/228,38/578/-311,0/0,122/993/-12300,-741/359/539,113/-12/789,#l_jy
r,67439,2481609,96/47/31/73,0/0/0/0,-233/1343/345/231,38/578/-311,0/0,142/1042/-12290,-736/355/537,113/-12/789,#l_jy
r,67440,2481643,96/47/31/73,0/1/0/0,-228/1801/346/232,38/578/-311,0/0,138/1068/-12266,-730/348/540,113/-12/789,#l_jy
r,67441,2481676,96/47/31/73,0/0/0/0,-231/1819/343/229,38/578/-311,0/0,174/1088/-12280,-740/354/539,113/-12/789,#l_jy
