r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,81711,3008885,11/62/29/75,0/-21/-4/5,-236/1630/462/237,553/40/-168,0/0,68/-76/-12668,-616/325/461,-1/-7/-37,#l_mj
r,81712,3008917,11/62/29/75,0/-26/-2/13,-237/1569/466/265,553/41/-169,0/0,38/148/-12508,-610/316/495,-1/-6/-37,#l_mj
r,81713,3008951,11/62/29/75,0/-47/3/15,-236/1630/325/252,552/41/-170,0/0,52/366/-12296,-595/303/531,-1/-5/-37,#l_mj
r,81714,3008985,11/62/29/75,0/-38/3/20,-235/1551/321/283,552/41/-172,0/0,64/582/-12154,-578/293/579,0/-4/-36,#l_mj
r,81715,3009017,11/62/29/76,10/-34/4/32,66/1556/340/266,552/42/-173,0/0,-510/654/-11784,-498/228/743,0/-3/-35,#l_mj
r,81716,3009051,11/62/29/76,32/-26/-4/38,228/1629/348/283,552/43/-174,0/0,-602/504/-12422,-648/324/716,0/-2/-34,#l_mj
r,81717,3009085,11/62/29/76,49/-29/-1/34,288/1605/491/314,551/46/-175,0/0,-664/732/-12058,-570/259/763,0/-1/-30,#l_mj
r,81718,3009118,11/61/29/76,82/-12/-1/77,377/1602/498/309,551/50/-176,0/0,-188/696/-11864,-542/259/630,0/0/-25,#l_mj
r,81719,3009151,12/61/29/76,48/-4/2/45,378/1642/342/359,551/52/-176,0/0,-20/720/-11652,-514/248/602,0/0/-22,#l_mj
r,81720,3009191,12/61/29/76,46/0/2/98,381/1839/308/333,551/57/-176,0/0,34/524/-11652,-513/263/577,0/0/-17,#l_mj
r,81721,3009232,12/61/29/77,98/0/2/57,380/2063/320/415,551/62/-176,0/0,78/526/-11550,-496/256/592,0/0/-11,#l_mj
r,81722,3009272,12/61/29/77,86/0/4/96,353/2069/317/327,551/67/-176,0/0,-306/432/-11380,-459/227/692,0/0/-4,#l_mj
r,81723,3009313,13/61/29/77,116/-1/2/117,400/1822/338/428,550/73/-176,0/0,-366/224/-11590,-503/266/674,0/0/3,#l_mj
r,81724,3009351,13/61/29/78,131/0/2/89,442/1833/338/440,550/81/-176,0/0,-224/196/-11466,-468/246/640,0/0/12,#l_mj
r,81725,3009391,14/61/29/78,140/0/2/168,476/1920/337/461,549/90/-176,0/0,184/66/-11340,-404/227/544,0/0/22,#l_mj
r,81726,3009432,14/61/29/79,136/0/4/171,469/2059/338/454,548/98/-176,0/0,318/-88/-11198,-353/207/502,0/0/33,#l_mj
r,81727,3009471,15/61/29/80,110/2/1/134,463/2155/204/490,547/108/-176,0/0,294/-114/-11222,-355/211/517,0/0/44,#l_mj
r,81728,3009512,15/61/29/80,100/1/2/151,468/2158/208/468,545/116/-176,0/0,382/-252/-11016,-290/175/466,0/0/55,#l_mj
r,81729,3009552,16/61/29/81,103/2/1/168,437/2160/206/492,545/125/-176,0/0,304/-334/-10942,-271/168/470,0/0/66,#l_mj
r,81730,3009591,16/61/29/82,133/5/1/154,437/2148/206/514,544/133/-176,0/0,218/-400/-10714,-230/133/465,0/-1/77,#l_mj
r,81731,3009632,17/62/29/82,98/10/2/163,491/2172/206/499,542/143/-175,0/0,286/-626/-10470,-129/101/404,0/-1/89,#l_mj
r,81732,3009671,17/62/29/83,80/25/6/175,469/2209/428/520,541/151/-174,0/0,410/-826/-10388,-99/98/348,0/-2/101,#l_mj
r,81733,3009711,17/62/29/84,71/31/5/166,398/2223/660/518,540/160/-173,0/0,386/-1074/-10358,-93/107/300,-1/-3/112,#l_mj
r,81734,3009752,18/62/29/84,60/40/14/197,412/2208/675/509,539/168/-171,0/0,310/-1020/-10202,-55/77/308,-1/-5/123,#l_mj
