r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,88160,1815194,67/84/7/72,-1/0/0/0,0/0/0/0,579/-106/-18,0/0,-1428/-164/-14862,-672/269/590,-1692/19/2,#
r,88161,1815214,67/84/7/72,-3/0/0/0,0/0/0/0,579/-106/-18,0/0,-1434/-152/-14810,-666/262/591,-1692/19/2,#
r,88162,1815234,67/84/7/72,-4/0/0/0,0/0/0/0,579/-105/-18,0/0,-1474/-142/-14778,-668/253/605,-1692/19/2,#
r,88163,1815254,67/84/7/72,-4/0/0/0,0/0/0/0,579/-105/-18,0/0,-1494/-112/-14767,-677/257/620,-1692/19/2,#
r,88164,1815275,67/84/7/72,-8/0/0/0,0/0/0/0,579/-105/-18,0/0,-1496/-82/-14696,-665/248/624,-1692/19/2,#
r,88165,1815297,67/84/7/72,-11/0/0/0,0/0/0/0,579/-105/-18,0/0,-1482/-4/-14614,-663/239/626,-1692/19/2,#
r,88166,1815317,67/84/7/72,-14/0/0/0,0/0/0/0,579/-104/-18,0/0,-1490/74/-14562,-662/229/642,-1692/19/1,#
r,88167,1815337,67/84/7/72,-20/0/0/0,0/0/0/0,579/-104/-18,0/0,-1504/128/-14467,-647/212/660,-1692/19/1,#
r,88168,1815357,66/84/7/72,-22/0/0/0,0/0/0/0,579/-103/-18,0/0,-1528/158/-14360,-633/196/668,-1692/19/1,#
r,88169,1815377,66/84/7/72,-28/0/0/0,0/0/0/0,580/-103/-18,0/0,-1550/180/-14222,-621/183/679,-1692/19/0,#
r,88170,1815397,66/84/7/72,-33/0/0/0,0/0/0/0,580/-102/-18,0/0,-1612/196/-14117,-607/165/698,-1692/19/0,#
r,88171,1815416,66/84/7/72,-40/0/0/0,0/0/0/0,580/-101/-18,0/0,-1682/214/-14024,-593/149/719,-1692/19/0,#
r,88172,1815437,66/84/7/72,-62/0/0/0,0/0/0/0,580/-100/-18,0/0,-1712/256/-13998,-595/142/734,-1692/18/-1,#
r,88173,1815457,66/84/7/72,-54/0/0/0,0/0/0/0,580/-98/-18,0/0,-1710/302/-13978,-608/141/746,-1692/18/-3,#
r,88174,1815481,66/84/7/72,-86/0/0/0,0/0/0/0,580/-97/-18,0/0,-1758/318/-13946,-614/136/768,-1692/18/-4,#
r,88175,1815503,66/84/7/72,-111/0/0/0,0/0/0/0,581/-95/-18,0/0,-1812/370/-13989,-641/140/799,-1692/18/-6,#
r,88176,1815523,66/84/7/72,-103/0/0/0,0/0/0/0,581/-93/-18,0/0,-1868/368/-13996,-660/141/804,-1692/17/-7,#
r,88177,1815547,65/84/7/72,-124/0/0/-11,0/0/0/0,581/-90/-18,0/0,-1934/336/-13975,-667/135/815,-1692/17/-9,#
r,88178,1815568,65/84/7/72,-76/0/0/-10,0/0/0/0,582/-88/-18,0/0,-1978/328/-13946,-678/136/831,-1692/16/-12,#
r,88179,1815589,65/84/7/72,-141/0/0/-19,0/0/0/0,582/-84/-18,0/0,-1958/334/-13938,-685/139/827,-1692/16/-15,#
r,88180,1815615,65/84/7/72,-146/0/0/-21,0/0/0/0,582/-81/-18,0/0,-1928/296/-13902,-672/135/822,-1691/15/-18,#
r,88181,1815635,64/84/7/72,-125/0/0/-32,0/0/0/0,583/-77/-18,0/0,-1892/318/-13856,-659/129/830,-1691/15/-21,#
r,88182,1815655,64/84/7/72,-173/0/0/-33,0/0/0/0,583/-73/-18,0/0,-1814/384/-13789,-660/132/825,-1691/14/-25,#
r,88183,1815674,64/84/7/72,-165/0/0/-52,0/0/0/0,584/-69/-18,0/0,-1698/406/-13712,-648/128/799,-1691/13/-29,#
r,88184,1815694,63/84/7/72,-162/0/0/-32,0/0/0/0,584/-64/-18,0/0,-1698/396/-13632,-630/120/799,-1691/12/-33,#
r,88185,1815716,63/84/7/71,-206/0/0/-48,0/0/0/0,584/-59/-18,0/0,-1694/400/-13620,-634/123/799,-1691/11/-38,#
r,88186,1815743,62/84/7/71,-169/0/0/-46,0/0/0/0,584/-48/-18,0/0,-1642/404/-13667,-654/141/775,-1691/9/-48,#
r,88187,1815763,62/84/7/71,-237/0/0/-77,0/0/0/0,584/-42/-18,0/0,-1695/400/-13702,-650/140/779,-1691/8/-53,#
r,88188,1815784,61/84/7/71,-217/0/0/-99,0/0/0/0,584/-36/-18,0/0,-1637/376/-13644,-631/133/756,-1691/7/-59,#
r,88189,1815804,61/84/7/71,-241/0/0/-54,0/0/0/0,585/-30/-18,0/0,-1578/338/-13553,-613/132/715,-1691/6/-65,#
r,88190,1815824,60/84/7/71,-211/0/0/-68,0/0/0/0,585/-23/-18,0/0,-1588/374/-13492,-591/122/729,-1691/5/-71,#
r,88191,1815844,60/84/7/70,-242/0/0/-97,0/0/0/0,585/-17/-18,0/0,-1548/386/-13442,-563/113/718,-1691/4/-77,#
r,88192,1815863,59/84/7/70,-227/0/0/-83,0/0/0/0,585/-10/-18,0/0,-1418/372/-13320,-523/103/680,-1691/2/-84,#
r,88193,1815884,59/84/7/70,-244/0/0/-65,0/0/0/0,585/-2/-18,0/0,-1384/272/-13274,-501/101/635,-1691/1/-91,#
r,88194,1815904,58/84/7/70,-235/0/0/-85,0/0/0/0,584/4/-18,0/0,-1358/346/-13342,-503/106/650,-1691/0/-98,#
r,88195,1815924,58/84/7/70,-255/0/0/-68,0/0/0/0,584/11/-18,0/0,-1328/366/-13308,-482/102/635,-1691/-1/-105,#
r,88196,1815944,57/84/7/70,-287/0/0/-92,0/0/0/0,584/19/-18,0/0,-1216/328/-13296,-467/107/587,-1691/-2/-112,#
r,88197,1815964,57/84/7/69,-243/0/0/-105,0/0/0/0,584/26/-18,0/0,-1180/370/-13300,-464/112/573,-1691/-3/-119,#
r,88198,1815985,56/84/7/69,-287/0/0/-76,0/0/0/0,584/34/-18,0/0,-1216/446/-13267,-450/101/588,-1691/-5/-126,#
r,88199,1816004,56/84/7/69,-248/0/0/-123,0/0/0/0,583/41/-18,0/0,-1108/494/-13128,-426/95/555,-1692/-6/-134,#
r,88200,1816024,55/84/7/69,-244/1/0/-108,0/0/0/0,582/49/-18,0/0,-966/467/-12958,-397/92/497,-1692/-8/-141,#
r,88201,1816044,55/84/8/68,-300/3/1/-103,0/0/0/0,581/57/-18,0/0,-962/562/-12850,-371/76/520,-1692/-9/-148,#
r,88202,1816064,54/85/8/68,-268/9/8/-138,0/0/0/0,580/64/-18,0/0,-924/620/-12748,-346/63/512,-1692/-10/-156,#
r,88203,1816084,54/85/8/68,-249/11/7/-74,0/0/0/0,579/72/-18,0/0,-778/594/-12624,-303/51/444,-1692/-11/-163,#
r,88204,1816104,53/85/8/68,-250/17/16/-100,0/0/0/0,578/80/-17,0/0,-676/594/-12552,-279/44/424,-1693/-12/-171,#
r,88205,1816124,53/85/8/68,-270/32/16/-108,0/0/0/0,578/87/-16,0/0,-684/690/-12556,-277/39/456,-1693/-12/-178,#
r,88206,1816144,52/85/8/67,-256/28/17/-71,0/0/0/0,577/95/-15,0/0,-602/700/-12452,-251/29/423,-1693/-13/-186,#
r,88207,1816164,52/85/8/67,-264/61/25/-90,0/0/0/0,575/102/-14,0/0,-500/638/-12338,-230/13/370,-1694/-13/-193,#
r,88208,1816184,51/85/8/67,-258/75/43/-69,0/0/0/0,574/109/-13,0/0,-572/676/-12300,-187/-4/403,-1694/-13/-201,#
r,88209,1816209,51/85/8/67,-262/77/25/-103,0/0/0/0,573/116/-11,0/0,-654/684/-12302,-195/-5/436,-1694/-12/-208,#
r,88210,1816230,50/85/8/67,-240/78/38/-122,0/0/0/0,572/124/-9,0/0,-568/576/-12306,-177/-1/389,-1695/-11/-215,#
r,88211,1816250,49/85/8/66,-247/97/49/-116,0/0/0/0,571/131/-6,0/0,-616/572/-12378,-180/-1/409,-1695/-10/-223,#
r,88212,1816275,49/85/8/66,-275/93/49/-63,0/0/0/0,569/137/-3,0/0,-706/618/-12470,-200/1/437,-1695/-8/-230,#
r,88213,1816296,48/86/8/66,-276/114/58/-98,0/0/0/0,567/144/0,0/0,-672/552/-12412,-188/0/401,-1696/-6/-237,#
r,88214,1816316,48/86/8/66,-257/114/50/-65,0/0/0/0,566/151/2,0/0,-630/469/-12314,-140/-17/373,-1696/-3/-244,#
r,88215,1816336,47/86/9/66,-260/141/76/-55,0/0/0/0,565/158/6,0/0,-668/496/-12318,-134/-22/390,-1696/0/-252,#
r,88216,1816356,47/87/9/66,-229/162/90/-69,0/0/0/0,563/164/11,0/0,-658/544/-12344,-152/-13/390,-1696/2/-259,#
r,88217,1816376,46/87/9/65,-238/178/116/-88,0/0/0/0,562/171/15,0/0,-640/417/-12330,-137/-12/351,-1696/6/-266,#
r,88218,1816398,46/87/9/65,-227/168/113/-89,0/0/0/0,559/177/20,0/0,-732/358/-12420,-139/-10/376,-1696/10/-273,#
r,88219,1816424,45/88/10/65,-257/200/76/-48,0/0/0/0,556/189/32,0/0,-866/380/-12658,-218/32/404,-1695/20/-287,#
r,88220,1816444,45/88/10/65,-233/193/137/-59,0/0/0/0,554/195/38,0/0,-818/302/-12584,-209/35/365,-1695/25/-294,#
r,88221,1816463,44/89/10/65,-257/236/115/-64,0/0/0/0,551/201/44,0/0,-842/224/-12492,-203/38/342,-1694/31/-301,#
r,88222,1816483,44/89/10/65,-199/210/101/-52,0/0/0/0,550/206/50,0/0,-900/310/-12528,-236/52/363,-1694/36/-308,#
r,88223,1816503,43/90/11/65,-195/247/136/-36,0/0/0/0,547/211/57,0/0,-842/344/-12508,-261/72/335,-1693/43/-315,#
r,88224,1816523,43/90/11/64,-204/239/106/-42,0/0/0/0,545/217/64,0/0,-776/206/-12362,-227/63/276,-1692/49/-321,#
r,88225,1816544,42/91/11/64,-218/240/114/-24,0/0/0/0,543/221/71,0/0,-834/160/-12332,-240/74/284,-1691/56/-327,#
r,88226,1816563,42/91/11/64,-191/252/149/-24,0/0/0/0,540/226/78,0/0,-938/270/-12500,-312/109/330,-1689/63/-333,#
r,88227,1816583,42/92/12/64,-221/250/143/-13,0/0/0/0,538/230/86,0/0,-939/286/-12588,-359/140/318,-1688/70/-339,#
r,88228,1816604,41/92/12/64,-181/248/169/-7,0/0/0/0,535/235/93,0/0,-882/120/-12484,-326/135/270,-1686/77/-345,#
r,88229,1816623,41/93/12/64,-164/260/163/-1,0/0/0/0,533/238/101,0/0,-924/46/-12450,-325/139/268,-1684/84/-350,#
r,88230,1816643,41/93/13/64,-201/263/168/0,0/0/0/0,530/242/109,0/0,-1014/142/-12562,-372/158/307,-1683/92/-355,#
r,88231,1816663,40/94/13/64,-180/282/148/0,0/0/0/0,528/245/117,0/0,-1026/104/-12540,-375/164/284,-1680/100/-360,#
