r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,16934,615591,24/114/27/67,0/0/0/0,-229/2267/623/135,458/100/379,0/0,-526/-1502/-11556,-234/129/275,-270/-450/125,#l_hm
r,16935,615625,24/114/27/67,0/0/0/0,-225/2266/622/136,458/100/379,0/0,-520/-1498/-11548,-228/126/272,-270/-450/125,#l_hm
r,16936,615656,24/114/27/67,0/0/0/0,-230/2268/619/133,458/100/379,0/0,-494/-1508/-11544,-222/122/270,-270/-450/125,#l_hm
r,16937,615691,24/114/27/67,0/0/0/0,-226/2267/620/136,458/100/379,0/0,-466/-1484/-11544,-221/123/271,-270/-450/125,#l_hm
r,16938,615725,24/114/27/67,0/0/0/0,-227/2267/622/135,458/100/379,0/0,-426/-1486/-11568,-221/127/264,-270/-450/125,#l_hm
r,16939,615757,24/114/27/67,0/0/0/0,-227/2266/622/135,458/100/379,0/0,-326/-1520/-11622,-233/146/225,-270/-450/125,#l_hm
r,16940,615791,24/114/27/67,0/0/0/0,-230/2269/622/135,458/100/379,0/0,-176/-1562/-11642,-247/174/170,-270/-450/125,#l_hm
r,16941,615824,24/114/27/67,0/0/0/0,-230/2267/621/135,458/100/379,0/0,-48/-1754/-11550,-219/183/87,-270/-450/125,#l_hm
r,16942,615856,24/114/27/67,0/0/0/0,-228/2267/622/135,458/100/379,0/0,-42/-1795/-11636,-252/201/65,-270/-450/125,#l_hm
r,16943,615892,24/114/27/67,-1/0/0/-1,-227/2270/623/97,458/100/379,0/0,78/-1814/-11670,-240/197/21,-270/-450/125,#l_hm
r,16944,615932,24/114/27/67,-27/0/0/-5,-238/2267/622/-57,458/100/379,0/0,522/-1762/-11664,-226/201/-70,-270/-450/124,#l_hm
r,16945,615972,24/114/27/67,-60/0/0/-9,-301/2269/622/-100,458/98/379,0/0,248/-1678/-11928,-309/245/6,-268/-451/122,#l_hm
r,16946,616012,24/114/27/67,-70/0/0/-11,-323/2268/620/-125,458/96/379,0/0,-6/-1828/-11998,-344/267/20,-267/-452/119,#l_hm
r,16947,616052,24/114/27/67,-36/0/0/-17,-399/2265/624/-147,459/94/379,0/0,-128/-1812/-11990,-346/255/53,-265/-453/116,#l_hm
r,16948,616092,24/114/27/66,-48/0/0/-21,-324/2268/621/-122,459/92/379,0/0,40/-1782/-12152,-373/277/8,-263/-454/112,#l_hm
r,16949,616132,23/114/27/66,-42/0/0/-32,-298/2264/624/-151,460/89/379,0/0,136/-1695/-12206,-417/295/-3,-261/-455/108,#l_hm
r,16950,616172,23/114/27/66,-64/-2/0/-36,-363/2056/623/-167,460/85/378,0/0,224/-1952/-12280,-423/311/-53,-259/-456/103,#l_hm
r,16951,616212,23/114/27/66,-92/-12/0/-52,-423/2045/621/-203,461/81/378,0/0,24/-1768/-12372,-449/313/55,-256/-457/96,#l_hm
r,16952,616251,23/114/27/66,-92/-24/0/-86,-376/2014/618/-195,462/78/376,0/0,-26/-1752/-12404,-466/319/62,-252/-458/89,#l_hm
r,16953,616292,22/114/27/65,-72/-23/0/-103,-410/2018/621/-251,463/74/375,0/0,18/-1834/-12546,-504/340/51,-249/-458/82,#l_hm
r,16954,616333,22/114/27/65,-60/-35/0/-100,-369/1927/622/-245,464/69/373,0/0,74/-1842/-12724,-529/355/44,-245/-458/74,#l_hm
r,16955,616373,22/114/27/65,-98/-73/0/-105,-385/1869/620/-239,466/65/370,0/0,40/-1768/-12808,-537/357/78,-240/-457/64,#l_hm
