r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,45280,1650095,11/51/18/83,0/0/0/0,-229/1647/202/237,501/74/-350,0/0,810/1756/-14189,-590/335/446,43/210/49,#l_sk
r,45281,1650129,11/51/18/83,0/0/0/0,-232/1647/202/236,501/74/-350,0/0,816/1695/-14156,-581/330/443,43/210/49,#l_sk
r,45282,1650163,11/51/18/83,0/0/0/0,-231/1648/201/237,501/74/-350,0/0,802/1662/-14153,-578/329/442,43/210/49,#l_sk
r,45283,1650196,11/51/18/83,0/0/0/0,-236/1647/203/234,501/74/-350,0/0,776/1634/-14156,-576/328/444,43/210/49,#l_sk
r,45284,1650229,11/51/18/83,0/0/0/0,-229/1647/203/235,501/74/-350,0/0,750/1618/-14166,-572/325/446,43/210/49,#l_sk
r,45285,1650263,11/51/18/83,0/0/0/0,-225/1647/202/237,501/74/-350,0/0,726/1610/-14162,-567/322/449,43/210/49,#l_sk
r,45286,1650295,11/51/18/83,0/0/0/0,-230/1647/201/236,501/74/-350,0/0,708/1580/-14142,-563/318/448,43/210/49,#l_sk
r,45287,1650329,11/51/18/83,0/0/0/0,-229/1646/202/234,501/74/-350,0/0,700/1538/-14139,-557/316/446,43/210/49,#l_sk
r,45288,1650363,11/51/18/83,0/0/0/0,-229/1647/201/235,501/74/-350,0/0,688/1504/-14156,-554/314/444,43/210/49,#l_sk
r,45289,1650396,11/51/18/83,0/0/0/0,-230/1648/202/234,501/74/-350,0/0,698/1512/-14222,-554/314/442,43/210/49,#l_sk
r,45290,1650429,11/51/18/83,0/0/0/0,-227/1646/203/237,501/74/-350,0/0,692/1538/-14216,-554/313/444,43/210/49,#l_sk
r,45291,1650463,11/51/18/83,0/0/0/0,-231/1647/202/237,501/74/-350,0/0,676/1564/-14192,-555/312/448,43/210/49,#l_sk
r,45292,1650495,11/51/18/83,0/0/0/0,-230/1646/202/236,501/74/-350,0/0,676/1596/-14186,-558/313/452,43/210/49,#l_sk
r,45293,1650529,11/51/18/83,0/0/0/0,-228/1648/204/235,501/74/-350,0/0,684/1636/-14210,-564/315/453,43/210/49,#l_sk
r,45294,1650563,11/51/18/83,0/0/0/0,-229/1647/202/237,501/74/-350,0/0,710/1671/-14236,-570/319/451,43/210/49,#l_sk
r,45295,1650595,11/51/18/83,0/0/0/0,-231/1648/201/238,501/74/-350,0/0,730/1698/-14239,-575/321/450,43/210/49,#l_sk
r,45296,1650629,11/51/18/83,0/0/0/0,-231/1648/202/239,501/74/-350,0/0,756/1742/-14212,-577/322/447,43/210/49,#l_sk
r,45297,1650663,11/51/18/83,0/0/0/0,-234/1647/202/235,501/74/-350,0/0,794/1794/-14182,-579/324/446,43/210/49,#l_sk
r,45298,1650696,11/51/18/83,0/0/0/0,-227/1647/203/238,501/74/-350,0/0,830/1852/-14164,-583/327/445,43/210/49,#l_sk
r,45299,1650736,11/51/18/83,0/0/0/0,-229/1648/205/236,501/74/-350,0/0,885/1928/-14136,-582/336/437,43/210/49,#l_sk
r,45300,1650777,11/51/18/83,0/0/0/0,-230/1647/201/239,501/74/-350,0/0,972/2076/-14089,-584/344/427,43/210/49,#l_sk
r,45301,1650815,11/51/18/83,0/0/0/0,-229/1648/202/235,501/74/-350,0/0,1062/2174/-14060,-580/347/418,43/210/49,#l_sk
r,45302,1650856,11/51/18/83,0/0/0/0,-227/1646/203/236,501/74/-350,0/0,1166/2208/-14048,-582/359/401,43/210/49,#l_sk
r,45303,1650896,11/51/18/83,0/0/0/0,-234/1647/202/240,501/74/-350,0/0,1314/2164/-14130,-598/383/367,43/210/49,#l_sk
r,45304,1650935,11/51/18/83,-3/0/0/0,-222/1647/201/235,501/73/-350,0/0,1394/2124/-14142,-599/392/342,43/210/49,#l_sk
r,45305,1650975,11/51/18/83,-10/0/0/0,-232/1647/202/238,501/73/-350,0/0,1430/2128/-14086,-579/385/331,43/210/49,#l_sk
