r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,3247,121217,13/53/30/61,-213/4/0/-137,-493/2160/346/-401,515/-16/-251,0/0,943/-660/-10264,-306/294/19,14/60/-152,#l_ec
r,3248,121249,13/53/30/61,-199/5/0/-144,-506/2163/343/-447,515/-22/-251,0/0,1004/-450/-9982,-265/264/51,13/60/-159,#l_ec
r,3249,121288,12/53/30/60,-226/20/0/-149,-530/2166/344/-469,513/-35/-250,0/0,1158/-180/-9782,-288/274/53,12/59/-175,#l_ec
r,3250,121329,11/53/30/60,-264/26/0/-200,-539/2121/343/-497,513/-50/-249,0/0,1084/62/-9488,-250/235/100,11/59/-192,#l_ec
r,3251,121369,10/54/30/59,-305/43/0/-183,-549/2152/341/-515,511/-65/-247,0/0,1108/228/-9364,-249/227/112,10/57/-211,#l_ec
r,3252,121409,9/54/30/58,-289/73/0/-206,-582/2219/342/-503,509/-81/-245,0/0,1050/432/-9182,-214/189/126,8/55/-232,#l_ec
r,3253,121449,7/54/30/57,-311/106/0/-245,-572/2282/343/-514,507/-99/-241,0/0,796/864/-9146,-222/169/241,6/52/-253,#l_ec
r,3254,121488,6/55/30/56,-328/121/0/-223,-577/2310/345/-558,504/-116/-237,0/0,730/1000/-9040,-221/151/261,5/48/-276,#l_ec
r,3255,121529,5/55/30/55,-338/153/0/-270,-606/2309/344/-561,502/-134/-231,0/0,458/1096/-8970,-208/120/346,3/43/-299,#l_ec
r,3256,121569,3/56/30/54,-316/208/0/-234,-620/2418/346/-561,498/-152/-224,0/0,376/1086/-8872,-185/95/358,2/36/-322,#l_ec
r,3257,121610,2/57/30/53,-308/228/0/-247,-604/2425/342/-561,496/-170/-215,0/0,284/1438/-8810,-224/98/450,0/27/-346,#l_ec
r,3258,121649,1/58/30/52,-303/281/0/-229,-614/2512/344/-583,492/-187/-205,0/0,432/1636/-8688,-272/126/469,0/17/-369,#l_ec
r,3259,121690,0/59/30/51,-322/292/0/-249,-624/2535/346/-581,489/-204/-193,0/0,368/1916/-8712,-308/135/577,0/6/-391,#l_ec
r,3260,121724,-2/60/30/50,-287/349/0/-235,-595/2554/345/-596,486/-220/-181,0/0,419/1795/-8824,-332/156/572,0/-6/-413,#l_ec
r,3261,121759,-3/62/30/49,-300/380/0/-219,-616/2608/345/-580,483/-236/-166,0/0,416/1898/-8852,-385/180/625,1/-21/-435,#l_ec
r,3262,121796,-4/63/30/48,-282/425/0/-255,-594/2642/344/-560,479/-251/-151,0/0,296/1820/-8596,-354/154/670,2/-37/-456,#l_ec
r,3263,121830,-5/64/30/48,-258/440/0/-234,-593/2632/409/-575,477/-259/-142,0/0,328/1700/-8556,-361/163/678,3/-45/-466,#l_ec
r,3264,121870,-6/66/30/47,-256/463/0/-204,-590/2735/413/-570,474/-272/-124,0/0,300/1658/-8512,-372/158/703,6/-63/-486,#l_ec
r,3265,121910,-7/68/30/46,-247/505/0/-189,-579/2742/410/-561,470/-285/-105,0/0,254/1702/-8546,-434/181/748,9/-83/-504,#l_ec
r,3266,121949,-8/70/30/45,-197/520/0/-183,-575/2808/411/-554,466/-297/-85,0/0,248/1821/-8394,-447/174/808,13/-103/-522,#l_ec
r,3267,121990,-8/72/30/45,-204/557/0/-199,-578/2814/412/-490,462/-308/-64,0/0,130/1990/-8478,-546/207/939,18/-124/-538,#l_ec
r,3268,122030,-9/74/30/44,-144/579/0/-163,-565/2856/413/-465,458/-317/-42,0/0,266/1671/-8484,-565/213/935,24/-147/-553,#l_ec
r,3269,122070,-10/77/30/44,-146/609/0/-131,-537/2906/410/-468,454/-324/-18,0/0,256/1446/-8612,-586/230/994,30/-170/-566,#l_ec
r,3270,122110,-10/79/30/43,-104/624/0/-76,391/2989/484/-379,450/-330/5,0/0,314/1252/-8676,-590/244/945,36/-194/-577,#l_ec
