r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,15897,576583,35/40/75/69,0/0/0/0,228/1790/621/69,419/200/-158,0/0,-978/-834/-14428,-647/288/281,-148/-199/170,#l_hm
r,15898,576615,35/40/75/69,0/0/0/0,228/1789/622/68,419/200/-158,0/0,-972/-842/-14462,-648/287/275,-148/-199/170,#l_hm
r,15899,576649,35/40/75/69,0/0/0/0,231/1789/620/71,419/200/-158,0/0,-956/-832/-14464,-647/284/278,-148/-199/170,#l_hm
r,15900,576683,35/40/75/69,0/0/0/0,231/1789/620/64,419/200/-158,0/0,-947/-820/-14470,-643/279/286,-148/-199/170,#l_hm
r,15901,576714,35/40/75/69,0/0/0/0,229/1788/621/69,419/200/-158,0/0,-950/-820/-14430,-642/280/298,-148/-199/170,#l_hm
r,15902,576749,35/40/75/69,0/0/0/0,230/1789/622/66,419/200/-158,0/0,-970/-838/-14402,-638/279/302,-148/-199/170,#l_hm
r,15903,576783,35/40/75/69,0/0/0/0,228/1791/621/66,419/200/-158,0/0,-974/-870/-14380,-635/279/301,-148/-199/170,#l_hm
r,15904,576815,35/40/75/69,0/0/0/0,231/1789/622/67,419/200/-158,0/0,-950/-860/-14396,-635/280/294,-148/-199/170,#l_hm
r,15905,576849,35/40/75/69,0/0/0/0,230/1789/622/69,419/200/-158,0/0,-935/-834/-14396,-633/278/292,-148/-199/170,#l_hm
r,15906,576883,35/40/75/69,0/0/0/0,232/1788/620/68,419/200/-158,0/0,-930/-824/-14410,-634/277/294,-148/-199/170,#l_hm
r,15907,576915,35/40/75/69,0/0/0/0,231/1790/622/66,419/200/-158,0/0,-935/-847/-14406,-636/279/297,-148/-199/170,#l_hm
r,15908,576949,35/40/75/69,0/0/0/0,230/1789/621/67,419/200/-158,0/0,-950/-862/-14403,-638/280/302,-148/-199/170,#l_hm
r,15909,576983,35/40/75/69,0/0/0/0,230/1788/622/65,419/200/-158,0/0,-938/-866/-14396,-643/285/303,-148/-199/170,#l_hm
r,15910,577015,35/40/75/69,0/0/0/0,229/1790/621/68,419/200/-158,0/0,-918/-842/-14362,-641/285/300,-148/-199/170,#l_hm
r,15911,577049,35/40/75/69,0/0/0/0,231/1787/620/64,419/200/-158,0/0,-902/-824/-14364,-642/286/293,-148/-199/170,#l_hm
r,15912,577083,35/40/75/69,0/0/0/0,229/1789/619/65,419/200/-158,0/0,-892/-832/-14372,-640/284/289,-148/-199/170,#l_hm
r,15913,577117,35/40/75/69,0/0/0/0,229/1788/622/72,419/200/-158,0/0,-912/-839/-14392,-644/286/295,-148/-199/170,#l_hm
r,15914,577155,35/40/75/69,0/0/0/0,226/1789/621/68,419/200/-158,0/0,-926/-860/-14382,-642/285/303,-148/-199/170,#l_hm
r,15915,577196,35/40/75/69,0/0/0/0,229/1789/620/65,419/200/-158,0/0,-930/-868/-14353,-641/286/305,-148/-199/170,#l_hm
r,15916,577236,35/40/75/69,0/0/0/0,232/1788/621/65,419/200/-158,0/0,-902/-868/-14364,-641/287/299,-148/-199/170,#l_hm
r,15917,577276,35/40/75/69,0/0/0/0,227/1789/622/65,419/200/-158,0/0,-884/-862/-14348,-639/287/296,-148/-199/170,#l_hm
r,15918,577316,35/40/75/69,0/0/0/0,232/1789/622/66,419/200/-158,0/0,-897/-876/-14356,-640/287/300,-148/-199/170,#l_hm
