r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,82234,1693650,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-1136/-368/-15012,-697/318/495,-1725/101/-502,#
r,82235,1693673,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-1124/-380/-15038,-705/324/493,-1725/101/-502,#
r,82236,1693693,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-1116/-388/-15078,-718/333/492,-1725/101/-502,#
r,82237,1693717,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-1104/-390/-15088,-719/335/493,-1725/101/-502,#
r,82238,1693738,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-1082/-360/-15096,-723/336/498,-1725/101/-502,#
r,82239,1693757,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-1064/-322/-15120,-732/342/507,-1725/101/-502,#
r,82240,1693778,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-1048/-264/-15142,-747/349/509,-1725/101/-502,#
r,82241,1693798,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-996/-218/-15186,-763/360/515,-1725/101/-502,#
r,82242,1693818,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-892/-158/-15225,-788/381/516,-1725/101/-502,#
r,82243,1693837,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-810/-154/-15256,-803/396/508,-1725/101/-502,#
r,82244,1693858,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-778/-204/-15210,-795/394/494,-1725/101/-502,#
r,82245,1693877,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-780/-248/-15150,-780/386/486,-1725/101/-502,#
r,82246,1693898,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-812/-235/-15088,-761/372/496,-1725/101/-502,#
r,82247,1693918,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-850/-200/-15022,-749/363/507,-1725/101/-502,#
r,82248,1693938,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-874/-198/-14939,-741/359/505,-1725/101/-502,#
r,82249,1693958,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-878/-224/-14896,-742/361/493,-1725/101/-502,#
r,82250,1693977,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-896/-233/-14880,-752/365/479,-1725/101/-502,#
r,82251,1693998,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-935/-284/-14860,-749/366/471,-1725/101/-502,#
r,82252,1694018,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-950/-408/-14774,-723/361/425,-1725/101/-502,#
r,82253,1694038,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-989/-600/-14703,-699/348/376,-1725/101/-502,#
r,82254,1694057,9/61/30/30,0/0/0/0,0/0/0/0,442/243/-149,0/0,-1074/-644/-14624,-686/343/382,-1725/101/-502,#
r,82255,1694078,9/61/30/30,-5/0/0/-6,0/0/0/0,442/243/-149,0/0,-1156/-544/-14520,-690/330/425,-1725/101/-502,#
r,82256,1694098,9/61/30/30,-2/0/0/-15,0/0/0/0,442/243/-149,0/0,-1114/-566/-14330,-624/318/398,-1725/101/-503,#
r,82257,1694118,9/61/30/30,-7/0/0/-17,0/0/0/0,442/243/-149,0/0,-1066/-662/-14167,-585/305/359,-1725/101/-503,#
r,82258,1694138,9/61/30/30,-7/0/0/-11,0/0/0/0,442/244/-149,0/0,-1060/-692/-14139,-573/301/347,-1725/102/-504,#
r,82259,1694158,9/61/30/30,-12/0/0/-19,0/0/0/0,442/244/-149,0/0,-1034/-696/-14138,-561/293/348,-1725/102/-504,#
r,82260,1694177,9/61/30/30,-14/0/0/-17,0/0/0/0,442/244/-149,0/0,-934/-756/-14112,-524/277/311,-1725/102/-505,#
r,82261,1694198,9/61/30/30,-10/0/0/-36,0/0/0/0,442/245/-149,0/0,-854/-822/-13989,-472/255/291,-1725/102/-505,#
r,82262,1694218,9/61/30/30,-17/0/0/-23,0/0/0/0,441/245/-149,0/0,-822/-814/-13832,-434/236/290,-1726/102/-506,#
r,82263,1694237,9/61/30/30,-27/0/0/-30,0/0/0/0,441/246/-149,0/0,-790/-835/-13678,-400/220/279,-1726/102/-507,#
r,82264,1694258,9/61/30/30,-22/0/0/-35,0/0/0/0,440/247/-149,0/0,-790/-868/-13553,-366/202/280,-1726/102/-508,#
r,82265,1694278,9/61/30/30,-42/0/0/-36,0/0/0/0,440/248/-149,0/0,-772/-808/-13496,-361/197/303,-1726/102/-510,#
