r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,90908,3353917,1/102/1/67,0/0/0/0,-263/2132/309/241,562/-115/142,0/0,-214/-2700/-13992,-143/153/399,-2/-129/-222,#l_mj
r,90909,3353957,1/102/1/67,0/0/0/0,-262/2134/311/239,562/-115/142,0/0,-74/-2740/-13772,-124/149/368,-2/-129/-222,#l_mj
r,90910,3353998,1/102/1/67,0/0/2/0,-260/2135/390/243,562/-115/142,0/0,34/-2804/-13774,-151/170/342,-2/-129/-222,#l_mj
r,90911,3354037,1/102/1/67,0/0/6/0,-261/2131/368/246,562/-115/142,0/0,30/-2848/-13824,-164/183/343,-2/-129/-222,#l_mj
r,90912,3354077,1/102/1/67,0/0/5/0,-264/2133/378/246,562/-115/142,0/0,-44/-2884/-13760,-145/173/341,-2/-129/-222,#l_mj
r,90913,3354116,1/102/1/67,0/0/2/0,-263/2137/373/242,562/-115/142,0/0,-24/-2952/-13810,-188/206/284,-2/-129/-222,#l_mj
r,90914,3354153,1/102/1/67,0/0/0/0,-262/2137/280/242,562/-115/142,0/0,132/-2934/-13675,-216/217/197,-2/-128/-222,#l_mj
r,90915,3354193,1/102/1/67,-1/-5/0/-6,-235/1906/255/-226,562/-115/142,0/0,64/-3200/-13725,-198/236/138,-1/-128/-222,#l_mj
r,90916,3354233,1/102/1/67,-4/-16/0/-19,-235/1861/702/-236,562/-116/141,0/0,226/-3266/-13420,-142/219/84,-1/-128/-223,#l_mj
r,90917,3354273,1/102/1/67,-12/-28/0/-17,-246/1870/707/-269,562/-116/140,0/0,336/-3062/-12908,-103/199/79,-1/-127/-224,#l_mj
r,90918,3354313,1/102/1/67,-14/-34/0/-27,-235/1816/707/-281,562/-117/139,0/0,336/-2962/-12584,-134/211/78,-1/-126/-225,#l_mj
r,90919,3354353,1/102/1/67,-24/-51/0/-55,-206/1801/722/-315,562/-119/137,0/0,682/-2644/-11914,-160/242/-25,-1/-124/-227,#l_mj
r,90920,3354393,0/101/1/66,-64/-27/0/-68,-269/1810/487/-321,562/-123/135,0/0,839/-2600/-11318,-118/215/-8,-1/-123/-232,#l_mj
r,90921,3354432,0/101/1/66,-58/-32/-4/-83,-391/1776/299/-372,561/-128/134,0/0,400/-2608/-11450,-245/278/77,0/-122/-237,#l_mj
r,90922,3354473,0/101/1/66,-115/-26/0/-72,-378/1757/231/-403,559/-133/132,0/0,336/-2468/-11082,-232/276/109,0/-120/-244,#l_mj
r,90923,3354512,-1/101/1/65,-96/-13/0/-77,-450/1862/489/-359,558/-139/132,0/0,272/-2664/-10968,-277/308/82,1/-120/-251,#l_mj
r,90924,3354552,-1/101/1/65,-124/-3/0/-105,-441/1874/485/-355,556/-145/131,0/0,444/-2764/-11070,-327/366/1,2/-120/-259,#l_mj
r,90925,3354592,-1/101/1/65,-107/0/0/-80,-456/2123/487/-431,555/-152/131,0/0,332/-2600/-10816,-301/337/57,2/-120/-267,#l_mj
r,90926,3354633,-2/101/1/64,-134/0/0/-139,-450/2136/485/-424,553/-159/131,0/0,486/-2552/-11008,-350/380/24,3/-120/-276,#l_mj
r,90927,3354672,-2/101/1/64,-99/0/0/-128,-441/2135/486/-455,551/-167/130,0/0,466/-2428/-11068,-351/376/73,4/-120/-286,#l_mj
r,90928,3354712,-3/101/1/63,-119/0/0/-132,-390/2137/485/-442,548/-175/130,0/0,1040/-2248/-11310,-397/410/-21,5/-120/-298,#l_mj
r,90929,3354752,-3/101/1/62,-177/0/0/-187,-479/2135/488/-478,545/-185/130,0/0,976/-1928/-10862,-291/321/83,7/-119/-311,#l_mj
r,90930,3354794,-4/101/1/62,-166/0/0/-181,-510/2133/485/-515,541/-196/129,0/0,469/-1792/-10988,-320/310/228,8/-119/-325,#l_mj
r,90931,3354834,-5/101/1/61,-149/2/0/-184,-495/2334/488/-506,537/-207/129,0/0,426/-1508/-10666,-241/234/290,10/-119/-339,#l_mj
r,90932,3354874,-5/101/1/60,-178/5/0/-219,-520/2384/708/-521,533/-218/129,0/0,320/-1422/-10626,-212/198/339,11/-119/-354,#l_mj
r,90933,3354913,-6/101/1/59,-112/0/13/-188,-515/2368/726/-520,529/-228/128,0/0,244/-1320/-11006,-197/178/376,12/-119/-368,#l_mj
r,90934,3354954,-7/101/1/58,-114/0/7/-180,-499/2343/732/-527,524/-237/128,0/0,166/-1156/-10682,-38/52/439,13/-120/-381,#l_mj
r,90935,3354994,-7/101/1/58,-146/0/14/-174,-459/2356/766/-531,520/-246/128,0/0,206/-1016/-10924,-115/84/467,15/-120/-394,#l_mj
r,90936,3355034,-7/101/1/57,-106/0/20/-199,-492/2120/755/-518,517/-254/128,0/0,194/-756/-10704,-67/30/534,16/-121/-406,#l_mj
r,90937,3355074,-8/101/1/56,-77/7/29/-184,-486/2355/780/-532,513/-261/128,0/0,100/-608/-10516,-58/11/596,17/-122/-417,#l_mj
r,90938,3355114,-8/101/1/56,-41/10/34/-178,-445/2386/790/-522,509/-266/129,0/0,332/-568/-10470,-97/37/583,18/-123/-427,#l_mj
r,90939,3355155,-8/101/2/55,-51/17/34/-165,-347/2388/789/-527,507/-271/130,0/0,419/-458/-9990,-41/-3/613,18/-126/-435,#l_mj
r,90940,3355194,-8/101/2/54,-25/27/80/-152,-348/2430/853/-522,504/-274/131,0/0,488/-444/-9986,-134/56/643,19/-129/-442,#l_mj
r,90941,3355235,-8/102/2/54,0/46/64/-151,-266/2441/822/-496,502/-277/134,0/0,558/-170/-9678,-123/44/713,20/-133/-448,#l_mj
r,90942,3355274,-8/102/2/53,0/45/85/-109,142/2466/883/-465,499/-278/137,0/0,650/-496/-9380,-148/72/669,21/-138/-453,#l_mj
r,90943,3355313,-8/102/3/53,12/68/96/-87,253/2513/906/-378,497/-280/140,0/0,622/-502/-9280,-174/85/699,21/-143/-457,#l_mj
r,90944,3355355,-8/102/3/53,10/64/106/-65,248/2470/902/-368,496/-280/145,0/0,644/-650/-8762,-91/36/688,22/-150/-460,#l_mj
r,90945,3355395,-8/103/3/52,14/104/112/-38,274/2522/934/-305,494/-280/150,0/0,608/-722/-8868,-184/65/709,23/-158/-462,#l_mj
