r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,17291,638982,5/41/38/29,0/0/0/0,230/1236/69/-154,368/241/-306,0/0,1016/-828/-14182,-645/400/178,10/108/555,#r_sy
r,17292,639017,5/41/38/29,0/0/0/-1,227/1234/69/-58,368/241/-306,0/0,1038/-814/-14206,-648/404/176,10/108/556,#r_sy
r,17293,639057,5/41/38/29,0/0/0/-2,230/1237/68/-8,368/241/-306,0/0,1032/-816/-14172,-646/403/175,10/108/556,#r_sy
r,17294,639097,5/41/38/29,0/0/0/-2,229/1232/67/-24,368/241/-306,0/0,1010/-850/-14117,-639/399/175,10/108/556,#r_sy
r,17295,639137,5/41/38/29,0/0/0/-2,230/1234/67/-21,368/241/-306,0/0,1008/-842/-14130,-643/399/172,10/108/556,#r_sy
r,17296,639177,5/41/38/29,0/0/0/-2,230/1233/67/-3,368/241/-306,0/0,1026/-843/-14124,-646/402/176,10/108/556,#r_sy
r,17297,639217,5/41/38/29,0/0/0/-2,230/1235/67/-7,368/241/-306,0/0,1070/-818/-14110,-645/404/175,10/108/556,#r_sy
r,17298,639257,5/41/38/29,0/0/0/-2,228/1236/68/-7,368/241/-306,0/0,1110/-794/-14142,-647/406/177,10/108/556,#r_sy
r,17299,639297,5/41/38/29,0/0/0/-2,230/1234/68/-7,368/241/-306,0/0,1172/-784/-14212,-642/408/179,10/108/556,#r_sy
r,17300,639335,5/41/38/29,0/0/0/-2,230/1234/67/-27,368/241/-306,0/0,1416/-712/-14374,-679/441/157,10/108/556,#r_sy
r,17301,639375,5/41/38/29,0/0/0/-2,230/1236/66/4,368/241/-306,0/0,1508/-692/-14452,-666/452/169,10/108/556,#r_sy
r,17302,639417,5/41/38/29,0/0/0/-2,228/1235/66/-15,368/241/-306,0/0,1618/-686/-14398,-642/444/150,10/108/556,#r_sy
r,17303,639457,5/41/38/29,0/0/0/-3,230/1233/66/-4,368/241/-306,0/0,1718/-728/-14317,-605/431/145,10/108/556,#r_sy
r,17304,639498,5/41/38/29,0/0/0/-4,233/1239/70/-18,368/241/-306,0/0,1940/-772/-14294,-589/430/114,10/108/555,#r_sy
r,17305,639537,5/41/38/29,0/0/0/-4,229/1236/68/-7,368/241/-306,0/0,1862/-1206/-14314,-522/419/91,10/108/555,#r_sy
r,17306,639577,5/41/38/29,0/0/0/-4,228/1391/66/-23,368/241/-306,0/0,1821/-985/-13756,-487/358/81,10/108/555,#r_sy
r,17307,639617,5/41/38/29,0/0/0/-4,228/1406/66/-7,368/241/-306,0/0,2006/-946/-13356,-436/314/90,10/108/555,#r_sy
r,17308,639652,5/41/38/29,0/4/0/-3,229/1473/68/1,368/241/-306,0/0,1940/-920/-13030,-391/284/87,10/108/555,#r_sy
r,17309,639686,5/41/38/29,0/2/0/-1,230/1480/67/-25,368/241/-306,0/0,1876/-962/-12700,-347/255/90,10/108/555,#r_sy
r,17310,639717,5/41/38/29,0/1/0/1,229/1482/65/-146,368/241/-306,0/0,1887/-1022/-12362,-300/226/82,10/108/555,#r_sy
r,17311,639753,5/41/38/29,0/2/0/1,228/1474/70/-177,368/241/-306,0/0,1836/-1086/-12070,-258/200/78,10/108/555,#r_sy
r,17312,639786,5/41/38/29,0/3/0/1,228/1474/66/-169,368/241/-306,0/0,1837/-1154/-11940,-241/191/68,10/107/555,#r_sy
r,17313,639818,5/42/38/29,0/5/0/-1,231/1484/66/-17,368/241/-306,0/0,1800/-1256/-11816,-218/179/60,10/107/555,#r_sy
r,17314,639853,5/42/38/29,1/15/0/0,228/1488/66/-30,369/241/-305,0/0,1816/-1372/-11704,-192/167/36,10/107/555,#r_sy
r,17315,639893,5/42/38/29,2/21/0/0,218/1512/68/23,369/241/-305,0/0,1854/-1506/-11586,-164/154/19,10/106/555,#r_sy
r,17316,639933,5/42/38/29,7/54/0/0,222/1560/68/-59,370/241/-304,0/0,1956/-1590/-11546,-155/157/-3,9/105/555,#r_sy
r,17317,639973,5/42/38/29,10/67/0/0,263/1556/135/-67,371/241/-302,0/0,1976/-1637/-11478,-143/153/-3,9/103/555,#r_sy
r,17318,640014,5/42/38/29,18/61/2/0,248/1582/144/-66,372/240/-301,0/0,2054/-1694/-11444,-119/144/-33,9/100/554,#r_sy
r,17319,640053,6/43/38/29,23/86/3/0,288/1634/370/-68,373/239/-299,0/0,2018/-1724/-11452,-127/146/-36,9/97/554,#r_sy
r,17320,640093,6/43/38/29,24/80/5/0,304/1630/386/-68,376/238/-296,0/0,1979/-1626/-11458,-124/141/-31,9/93/553,#r_sy
r,17321,640131,6/43/38/29,34/111/2/0,255/1686/395/-67,378/237/-293,0/0,1844/-1500/-11414,-113/129/0,9/89/551,#r_sy
r,17322,640166,6/44/38/29,50/122/2/0,300/1767/388/-62,381/236/-289,0/0,1768/-1488/-11402,-119/128/7,8/84/550,#r_sy
r,17323,640198,6/44/38/29,33/108/2/0,336/1732/379/-67,382/235/-287,0/0,1748/-1556/-11396,-109/124/-14,8/81/549,#r_sy
r,17324,640232,6/45/38/29,64/159/11/0,301/1794/353/-67,385/233/-283,0/0,1786/-1724/-11446,-118/135/-61,8/75/547,#r_sy
r,17325,640268,6/45/38/29,51/151/5/0,328/1811/393/-67,388/231/-278,0/0,1654/-1771/-11578,-145/148/-54,7/68/545,#r_sy
r,17326,640299,7/46/38/29,80/181/5/0,319/1855/386/-66,391/229/-276,0/0,1632/-1784/-11674,-155/155/-72,7/64/543,#r_sy
r,17327,640333,7/46/38/29,87/185/7/0,427/1888/384/-68,394/226/-270,0/0,1504/-1686/-11646,-149/143/-44,7/57/540,#r_sy
r,17328,640368,7/47/38/29,80/224/4/0,448/1912/401/-65,399/223/-264,0/0,1480/-1662/-11608,-139/133/-54,6/49/536,#r_sy
r,17329,640399,8/48/38/29,74/203/1/0,388/1927/388/-70,401/221/-261,0/0,1280/-1586/-11630,-143/126/-16,6/45/534,#r_sy
r,17330,640433,8/48/38/29,120/197/-2/0,459/1961/147/-68,406/217/-255,0/0,1184/-1602/-11712,-161/131/-19,5/36/530,#r_sy
r,17331,640467,8/49/38/29,95/222/-3/0,431/1983/-97/-65,410/212/-249,0/0,1050/-1604/-11826,-196/147/2,4/28/525,#r_sy
r,17332,640500,9/50/38/29,102/225/-3/0,421/2000/-104/-70,413/210/-245,0/0,968/-1546/-11850,-202/146/22,3/24/523,#r_sy
s,0,#r_sy
r,17333,640533,9/51/38/29,138/226/0/0,462/2060/-24/-65,418/205/-238,0/0,932/-1504/-11840,-193/137/22,2/15/517,#r_sy
r,17334,640567,10/52/38/29,138/223/2/0,431/2063/448/-67,422/200/-231,0/0,786/-1338/-11860,-197/131/79,1/5/512,#r_sy
r,17335,640599,10/52/38/29,143/254/3/0,460/2089/464/-67,425/197/-227,0/0,778/-1324/-11856,-204/133/78,0/1/509,#r_sy
r,17336,640633,11/53/38/29,133/222/-1/0,492/2074/223/-67,430/192/-220,0/0,644/-1248/-11832,-203/127/116,-1/-7/504,#r_sy
r,17337,640667,11/54/38/29,168/225/-1/0,469/2120/-28/-65,434/186/-213,0/0,692/-1300/-11846,-205/132/87,-3/-17/498,#r_sy
r,17338,640699,11/54/38/29,151/225/-2/0,511/2153/-28/-65,436/183/-209,0/0,588/-1266/-11814,-207/131/126,-4/-21/495,#r_sy
r,17339,640734,12/55/38/29,133/264/0/0,463/2152/-27/-66,441/177/-201,0/0,556/-1262/-11816,-206/129/130,-6/-31/489,#r_sy
r,17340,640773,13/56/38/29,134/235/0/0,472/2214/203/-67,445/171/-193,0/0,600/-1220/-11734,-185/120/116,-9/-40/482,#r_sy
r,17341,640813,13/57/38/29,169/232/1/0,495/2222/447/-67,449/165/-185,0/0,454/-1184/-11674,-175/109/153,-11/-49/476,#r_sy
