r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,13562,495601,24/63/13/65,24/0/0/0,248/1926/279/229,529/128/-241,0/0,-10/2122/-13210,-424/206/678,60/132/1,#l_sk
r,13563,495637,24/63/13/65,9/0/0/0,280/1926/278/229,529/129/-241,0/0,-6/2150/-13656,-531/276/674,60/132/2,#l_sk
r,13564,495677,24/63/13/65,10/0/0/0,287/1925/278/227,529/129/-241,0/0,158/2172/-13514,-501/255/633,61/131/3,#l_sk
r,13565,495717,24/63/13/65,0/0/0/0,240/1923/279/228,529/129/-241,0/0,338/2112/-13388,-468/246/587,61/131/3,#l_sk
r,13566,495757,24/63/13/65,0/0/0/0,246/1926/276/230,529/129/-241,0/0,498/2170/-13450,-501/276/541,61/131/3,#l_sk
r,13567,495796,24/63/13/65,-5/0/0/0,-233/1925/276/230,529/129/-241,0/0,626/2408/-13016,-426/240/557,61/131/3,#l_sk
r,13568,495837,24/63/13/65,-11/0/0/0,-222/1926/278/226,529/129/-241,0/0,822/2378/-12684,-380/234/504,60/131/2,#l_sk
r,13569,495877,24/63/13/65,-24/4/0/0,-258/1942/274/230,529/128/-241,0/0,1364/2502/-12382,-341/233/405,60/132/1,#l_sk
r,13570,495917,24/63/13/65,-68/10/0/-6,-299/2150/443/-230,529/126/-241,0/0,1664/2570/-11960,-260/198/376,60/131/0,#l_sk
r,13571,495957,24/63/13/65,-86/32/0/-7,-356/2164/453/-261,529/124/-240,0/0,1562/2646/-11924,-259/208/425,59/131/-2,#l_sk
r,13572,495997,24/63/13/65,-43/49/1/-1,-360/2220/454/-238,530/121/-239,0/0,1398/2762/-11806,-228/193/499,58/130/-5,#l_sk
r,13573,496037,23/63/13/65,-60/64/6/0,-347/2210/522/-229,531/119/-237,0/0,1458/2730/-11700,-194/182/495,56/129/-8,#l_sk
r,13574,496077,23/63/13/65,-49/64/18/0,-362/2282/521/-227,533/117/-234,0/0,1802/2720/-11542,-162/174/409,55/126/-10,#l_sk
r,13575,496117,23/64/13/65,-96/70/21/0,-354/2274/554/-229,534/115/-230,0/0,2158/2838/-11430,-163/181/341,52/122/-14,#l_sk
r,13576,496157,23/64/13/65,-87/109/49/0,-429/2315/573/-230,536/111/-224,0/0,2016/2782/-11320,-150/171/368,49/117/-18,#l_sk
