r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,25889,951902,-8/60/19/54,0/0/0/0,-227/1716/278/228,472/-267/-233,0/0,504/1100/-14148,-532/199/431,-16/109/-440,#l_mj
r,25890,951940,-8/60/19/54,0/0/0/0,-227/1715/277/228,472/-267/-233,0/0,500/1096/-14146,-527/197/433,-16/109/-440,#l_mj
r,25891,951975,-8/60/19/54,0/0/0/0,-231/1713/276/229,472/-267/-233,0/0,482/1086/-14122,-522/193/434,-16/109/-440,#l_mj
r,25892,952009,-8/60/19/54,0/0/0/0,-227/1713/278/226,472/-267/-233,0/0,460/1082/-14103,-517/188/437,-16/109/-440,#l_mj
r,25893,952042,-8/60/19/54,0/0/0/0,-232/1714/276/229,472/-267/-233,0/0,417/1066/-14032,-499/175/442,-16/109/-440,#l_mj
r,25894,952075,-8/60/19/54,0/0/0/0,-230/1711/276/228,472/-267/-233,0/0,320/1092/-13852,-471/153/453,-16/109/-440,#l_mj
r,25895,952108,-8/60/19/54,0/0/0/0,-225/1713/277/228,472/-267/-233,0/0,184/1184/-13553,-441/126/472,-16/109/-440,#l_mj
r,25896,952142,-8/60/19/54,0/0/0/0,-228/1718/277/229,472/-267/-233,0/0,-30/1338/-13162,-405/88/502,-16/109/-440,#l_mj
r,25897,952174,-8/60/19/54,0/1/0/0,-232/1714/277/225,472/-267/-233,0/0,-306/1532/-12688,-353/36/544,-16/109/-440,#l_mj
r,25898,952209,-8/60/19/54,0/8/0/1,-230/1942/277/224,472/-267/-232,0/0,-536/1754/-12342,-340/14/599,-16/109/-440,#l_mj
r,25899,952242,-8/60/19/54,0/12/0/1,-228/1979/275/230,472/-267/-232,0/0,-690/1729/-12098,-333/6/601,-15/108/-440,#l_mj
r,25900,952274,-8/60/19/54,0/20/0/0,-229/1974/281/230,472/-267/-232,0/0,-812/1816/-11902,-349/9/622,-15/108/-440,#l_mj
r,25901,952309,-8/61/19/54,0/36/0/2,-225/2013/281/226,472/-267/-231,0/0,-950/1818/-11638,-347/9/633,-15/107/-439,#l_mj
r,25902,952342,-8/61/19/54,0/31/0/2,-230/2009/276/235,473/-267/-229,0/0,-1130/1845/-11360,-334/-3/663,-15/106/-439,#l_mj
r,25903,952375,-8/61/19/54,0/42/0/11,-229/2014/276/237,473/-267/-228,0/0,-1272/1950/-11126,-321/-19/694,-15/105/-439,#l_mj
r,25904,952416,-8/61/19/55,23/58/0/19,211/2090/276/238,474/-266/-226,0/0,-1860/1438/-11114,-313/-16/740,-15/102/-438,#l_mj
r,25905,952456,-8/61/19/55,57/51/0/40,263/2062/290/254,476/-264/-223,0/0,-2045/1624/-11206,-406/0/818,-14/100/-435,#l_mj
