r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,15785,583087,19/39/36/68,0/0/0/0,235/1303/280/227,459/-54/-365,0/0,982/-184/-13853,-616/369/274,49/143/22,#r_sy
r,15786,583122,19/39/36/68,0/0/0/0,235/1302/277/227,459/-54/-365,0/0,938/-190/-13770,-595/357/291,49/143/22,#r_sy
r,15787,583156,19/39/36/68,0/0/0/0,237/1303/278/234,459/-54/-365,0/0,1016/-130/-13778,-602/362/289,49/143/22,#r_sy
r,15788,583188,19/39/36/68,0/0/0/0,235/1303/278/228,459/-54/-365,0/0,1014/-166/-13789,-599/363/291,49/143/22,#r_sy
r,15789,583223,19/39/36/68,0/0/0/0,236/1302/277/229,459/-54/-365,0/0,1032/-211/-13860,-618/374/291,49/143/22,#r_sy
r,15790,583257,19/39/36/68,0/0/0/0,237/1302/276/229,459/-54/-365,0/0,1052/-228/-13814,-600/375/284,49/143/22,#r_sy
r,15791,583288,19/39/36/68,0/0/0/0,235/1302/277/226,459/-54/-365,0/0,1088/-233/-13846,-608/371/284,49/143/22,#r_sy
r,15792,583322,19/39/36/68,0/0/0/0,234/1304/276/225,459/-54/-365,0/0,1094/-154/-13828,-609/370/289,49/143/22,#r_sy
r,15793,583357,19/39/36/68,0/0/0/0,240/1303/277/229,459/-54/-365,0/0,1032/-88/-13828,-616/371/301,49/143/22,#r_sy
r,15794,583388,19/39/36/68,0/0/0/0,238/1303/276/228,459/-54/-365,0/0,1032/20/-13825,-626/372/309,49/143/22,#r_sy
r,15795,583422,19/39/36/68,0/0/0/0,235/1302/275/229,459/-54/-365,0/0,1146/82/-13898,-638/368/294,49/143/22,#r_sy
r,15796,583456,19/39/36/68,0/0/0/0,237/1302/278/230,459/-54/-365,0/0,1150/230/-13752,-650/367/295,49/143/22,#r_sy
r,15797,583488,19/39/36/68,0/0/0/0,235/1303/279/232,459/-54/-365,0/0,1220/294/-13748,-666/368/287,49/143/22,#r_sy
r,15798,583522,19/39/36/68,0/0/0/0,237/1303/279/230,459/-54/-365,0/0,1206/396/-13706,-673/363/308,49/143/22,#r_sy
r,15799,583557,19/39/36/68,0/0/0/0,235/1303/277/221,459/-54/-365,0/0,1254/492/-13608,-668/356/318,49/143/22,#r_sy
r,15800,583588,19/39/36/68,0/0/0/0,238/1304/278/226,459/-54/-365,0/0,1298/590/-13546,-645/341/344,49/143/22,#r_sy
r,15801,583623,19/39/36/68,0/0/0/0,234/1303/279/232,459/-54/-365,0/0,1386/686/-13464,-628/332/361,49/143/22,#r_sy
r,15802,583661,19/39/36/68,0/0/0/0,232/1303/277/228,459/-54/-365,0/0,1494/842/-13289,-597/317/381,49/143/22,#r_sy
r,15803,583696,19/39/36/68,0/0/0/0,237/1302/277/228,459/-54/-365,0/0,1556/993/-13074,-570/300/398,49/143/22,#r_sy
r,15804,583735,19/39/36/68,0/0/0/0,235/1297/277/233,459/-54/-365,0/0,1562/1120/-12732,-492/251/421,49/143/22,#r_sy
r,15805,583775,19/39/36/68,0/5/0/0,233/1528/277/228,460/-54/-365,0/0,1530/1330/-12462,-422/201/458,49/142/22,#r_sy
r,15806,583815,19/39/36/68,-7/8/0/0,-218/1553/278/228,460/-54/-365,0/0,1486/1462/-12216,-362/158/477,49/142/23,#r_sy
r,15807,583855,19/39/36/68,-18/13/0/0,-250/1549/277/224,460/-54/-364,0/0,1514/1388/-12112,-324/133/471,48/142/23,#r_sy
r,15808,583895,18/39/36/68,-17/26/0/0,-277/1567/276/227,461/-53/-364,0/0,1510/1282/-12056,-307/116/464,48/141/24,#r_sy
r,15809,583936,18/39/36/68,-22/28/0/0,-272/1608/276/231,461/-53/-363,0/0,1386/1244/-11998,-293/95/501,47/140/25,#r_sy
r,15810,583976,18/39/36/68,-29/36/0/0,-288/1655/277/233,462/-52/-361,0/0,1282/1322/-11928,-275/70/549,46/139/26,#r_sy
r,15811,584016,18/39/36/68,-37/40/0/0,-282/1728/276/229,463/-51/-360,0/0,1220/1400/-11780,-264/49/602,45/137/28,#r_sy
r,15812,584049,18/40/36/68,-64/56/0/0,-282/1701/276/228,463/-50/-359,0/0,1266/1434/-11694,-263/43/604,45/136/29,#r_sy
r,15813,584083,18/40/36/68,-92/78/0/0,-310/1713/277/230,465/-48/-356,0/0,1314/1430/-11600,-257/33/587,43/134/32,#r_sy
r,15814,584117,17/40/36/68,-95/103/3/0,-356/1711/486/227,467/-46/-353,0/0,1268/1338/-11436,-225/9/584,42/131/35,#r_sy
r,15815,584149,17/40/36/68,-86/100/10/0,-434/1802/510/228,469/-44/-351,0/0,1156/1318/-11362,-212/-5/617,41/129/37,#r_sy
r,15816,584185,17/41/36/68,-74/119/7/0,-415/1799/530/230,471/-42/-347,0/0,1026/1260/-11272,-194/-20/639,38/125/42,#r_sy
r,15817,584218,16/41/36/68,-116/134/18/0,-400/1855/540/230,474/-38/-342,0/0,902/1212/-11256,-191/-23/670,35/120/47,#r_sy
r,15818,584251,16/42/36/68,-133/153/23/0,-417/1884/556/229,475/-37/-339,0/0,938/1122/-11308,-218/-1/644,34/117/49,#r_sy
r,15819,584284,16/42/36/68,-150/155/24/0,-484/1912/546/229,479/-33/-333,0/0,910/958/-11306,-239/13/608,31/110/55,#r_sy
r,15820,584318,15/43/36/68,-120/175/19/0,-467/1915/553/230,482/-28/-326,0/0,912/880/-11404,-283/41/583,28/103/61,#r_sy
r,15821,584350,15/43/36/68,-148/183/25/0,-451/1946/604/228,484/-26/-322,0/0,847/818/-11334,-283/42/566,26/99/64,#r_sy
r,15822,584384,14/44/37/68,-180/174/31/0,-464/2005/643/232,487/-20/-315,0/0,694/839/-11366,-313/56/594,23/91/71,#r_sy
r,15823,584418,13/45/37/68,-197/186/30/0,-482/2038/669/225,491/-15/-306,0/0,640/810/-11332,-319/64/589,20/83/79,#r_sy
r,15824,584451,13/45/37/68,-199/220/49/0,-515/2006/648/229,493/-12/-302,0/0,650/802/-11364,-349/84/573,18/78/82,#r_sy
r,15825,584485,12/46/37/68,-175/205/31/0,-547/2110/668/226,496/-5/-293,0/0,758/722/-11326,-341/89/520,15/69/90,#r_sy
s,0,#r_sy
r,15826,584518,12/47/37/68,-212/207/29/0,-535/2140/639/227,501/1/-284,0/0,698/686/-11420,-367/105/529,12/60/99,#r_sy
r,15827,584550,11/47/37/68,-205/247/38/0,-550/2133/655/228,502/5/-280,0/0,726/668/-11408,-366/112/502,10/55/103,#r_sy
r,15828,584585,10/48/37/68,-209/229/26/0,-526/2189/668/229,506/13/-270,0/0,680/686/-11388,-363/114/504,8/45/111,#r_sy
r,15829,584618,9/49/37/68,-225/257/21/0,-560/2205/663/229,509/21/-260,0/0,568/718/-11476,-394/129/540,5/35/120,#r_sy
r,15830,584650,9/50/37/68,-215/264/17/0,-537/2205/664/228,511/25/-255,0/0,664/622/-11394,-370/127/486,4/30/125,#r_sy
r,15831,584684,8/51/37/68,-231/261/29/0,-535/2280/695/234,513/34/-245,0/0,638/608/-11522,-393/141/496,2/20/134,#r_sy
r,15832,584718,7/52/37/68,-269/272/20/0,-553/2254/691/229,517/43/-235,0/0,814/556/-11528,-389/149/438,1/10/144,#r_sy
r,15833,584750,7/52/37/68,-217/247/20/0,-589/2309/705/229,518/48/-230,0/0,906/452/-11436,-355/142/396,0/4/148,#r_sy
r,15834,584785,6/53/38/68,-223/285/7/0,-546/2290/693/221,521/57/-219,0/0,862/562/-11654,-399/164/424,0/-6/158,#r_sy
r,15835,584819,5/54/38/68,-219/291/11/0,-565/2371/686/232,523/67/-207,0/0,1082/440/-11444,-325/142/333,-1/-17/167,#r_sy
r,15836,584851,4/55/38/68,-272/279/10/0,-552/2377/685/226,524/72/-201,0/0,842/522/-11626,-382/165/412,-1/-23/172,#r_sy
r,15837,584886,3/56/38/68,-248/281/7/1,-574/2420/687/231,527/81/-189,0/0,1150/292/-11382,-311/146/291,-2/-34/181,#r_sy
r,15838,584926,2/57/38/68,-198/300/4/0,-534/2427/661/243,529/91/-176,0/0,864/296/-11600,-362/168/370,-2/-47/190,#r_sy
r,15839,584959,2/58/38/68,-216/306/1/0,-547/2473/715/237,530/100/-164,0/0,1044/214/-11528,-352/176/296,-1/-58/199,#r_sy
r,15840,584991,1/59/38/68,-191/308/1/1,-547/2506/723/234,531/104/-157,0/0,852/256/-11498,-358/175/353,-1/-64/203,#r_sy
r,15841,585025,0/60/38/68,-184/297/0/0,-541/2524/723/-115,533/113/-144,0/0,828/216/-11584,-399/198/341,0/-77/211,#r_sy
r,15842,585059,0/61/38/68,-194/305/-1/-7,-563/2524/258/-253,534/122/-131,0/0,860/152/-11412,-352/176/323,0/-89/220,#r_sy
r,15843,585091,-1/62/38/68,-197/317/-1/-3,-553/2583/243/-254,534/126/-124,0/0,674/84/-11538,-410/201/369,1/-96/224,#r_sy
r,15844,585126,-2/63/38/68,-180/326/0/-2,-519/2565/243/-238,534/135/-110,0/0,734/34/-11432,-395/198/354,3/-108/232,#r_sy
r,15845,585159,-2/64/38/68,-162/324/1/0,-519/2587/475/-230,535/143/-96,0/0,742/54/-11416,-411/209/362,5/-121/240,#r_sy
r,15846,585191,-3/65/38/68,-179/326/1/0,-516/2668/706/-228,535/147/-89,0/0,628/156/-11500,-456/231/417,6/-127/244,#r_sy
r,15847,585225,-4/66/38/68,-189/317/0/0,-532/2675/723/-232,535/156/-75,0/0,784/158/-11364,-427/221/374,8/-140/252,#r_sy
r,15848,585259,-4/68/38/68,-183/325/0/0,-518/2685/499/-230,534/164/-61,0/0,754/172/-11522,-469/246/395,11/-153/259,#r_sy
r,15849,585291,-5/68/38/68,-181/325/0/0,-536/2695/325/-230,534/168/-54,0/0,770/100/-11540,-458/244/389,13/-159/263,#r_sy
r,15850,585325,-5/70/38/68,-193/319/0/0,-530/2745/316/-229,534/175/-40,0/0,850/134/-11620,-472/255/374,16/-172/271,#r_sy
r,15851,585360,-6/71/38/68,-180/323/1/0,-518/2737/768/-229,532/183/-25,0/0,852/142/-11694,-486/265/381,20/-184/279,#r_sy
r,15852,585393,-6/72/38/68,-170/317/0/0,-534/2755/795/-231,532/186/-18,0/0,792/176/-11720,-496/268/411,22/-191/282,#r_sy
r,15853,585427,-7/73/38/68,-168/306/0/0,-532/2719/567/-230,530/193/-5,0/0,882/214/-11776,-519/285/384,26/-203/290,#r_sy
r,15854,585461,-8/74/38/68,-160/303/0/0,-519/2818/540/-232,528/201/8,0/0,943/228/-11714,-520/288/363,30/-215/298,#r_sy
r,15855,585492,-8/75/38/68,-166/299/0/0,-526/2813/553/-228,527/204/15,0/0,984/306/-11852,-582/321/361,32/-221/301,#r_sy
r,15856,585527,-9/76/38/68,-162/306/0/0,-463/2817/552/-232,525/210/28,0/0,1110/392/-11828,-602/335/323,37/-232/309,#r_sy
r,15857,585568,-9/77/38/68,-106/278/0/1,-488/2786/552/62,523/216/42,0/0,1122/564/-11776,-617/339/340,41/-244/316,#r_sy
r,15858,585608,-10/78/38/68,-141/304/0/4,-497/2827/553/305,520/221/55,0/0,1166/590/-11856,-661/366/330,46/-255/322,#r_sy
r,15859,585647,-10/79/38/68,-108/283/0/2,91/2865/555/312,518/226/67,0/0,1128/538/-11774,-650/362/330,51/-266/329,#r_sy
r,15860,585688,-10/81/38/69,-70/272/0/10,409/2890/552/297,515/230/80,0/0,1018/782/-11886,-688/376/400,56/-277/334,#r_sy
r,15861,585727,-10/82/38/69,-46/252/0/2,235/2865/619/309,513/232/92,0/0,1100/908/-11818,-680/377/386,59/-287/337,#r_sy
r,15862,585767,-10/83/38/69,-26/272/0/0,177/2867/621/309,511/232/103,0/0,930/792/-11720,-653/358/414,63/-298/340,#r_sy
r,15863,585807,-10/84/38/69,0/275/0/-1,83/2870/622/136,509/232/115,0/0,956/580/-11876,-683/377/392,66/-308/342,#r_sy
r,15864,585847,-10/85/38/69,5/244/0/-4,547/2854/621/-156,507/232/126,0/0,846/490/-11588,-598/330/423,68/-317/343,#r_sy
r,15865,585887,-10/86/38/68,6/236/0/-1,500/2882/621/-12,506/231/136,0/0,638/596/-11674,-610/327/511,70/-327/344,#r_sy
r,15866,585927,-10/87/38/68,0/227/0/0,547/2837/620/-24,504/231/146,0/0,423/467/-11398,-533/278/571,73/-336/345,#r_sy
r,15867,585967,-10/88/38/68,-3/204/0/-1,111/2843/620/43,502/230/156,0/0,306/364/-11438,-523/267/613,75/-345/347,#r_sy
r,15868,586007,-10/88/38/68,-1/218/0/-1,96/2824/620/66,500/230/165,0/0,260/284/-11272,-466/236/626,78/-353/348,#r_sy
r,15869,586047,-10/89/38/68,-1/190/0/-1,119/2806/621/67,497/230/174,0/0,154/314/-11302,-453/225/664,80/-361/350,#r_sy
r,15870,586087,-10/90/38/68,-1/190/0/-1,118/2893/621/52,496/229/182,0/0,180/282/-11206,-419/210/639,83/-369/351,#r_sy
r,15871,586127,-10/91/38/68,0/177/0/-1,53/2849/622/68,493/229/191,0/0,86/182/-11268,-416/205/640,85/-377/353,#r_sy
r,15872,586166,-10/92/38/68,0/211/0/-1,117/2868/621/59,491/228/199,0/0,78/40/-11140,-365/182/610,88/-384/354,#r_sy
r,15873,586207,-10/92/38/68,0/172/0/-2,344/2889/621/84,489/228/207,0/0,-116/96/-11320,-395/192/666,90/-392/356,#r_sy
r,15874,586247,-10/93/38/68,1/182/0/-1,359/2850/622/26,486/227/214,0/0,-112/60/-11138,-339/159/645,92/-399/357,#r_sy
r,15875,586287,-10/94/38/68,0/173/0/-2,348/2895/621/95,485/227/222,0/0,-288/66/-11284,-366/165/693,95/-406/359,#r_sy
r,15876,586327,-10/95/38/68,0/179/0/-1,125/2827/621/12,482/226/229,0/0,-272/-24/-11346,-316/139/679,97/-412/360,#r_sy
r,15877,586367,-10/95/38/68,0/163/0/-2,344/2843/621/1,480/226/235,0/0,-566/-162/-11424,-324/143/711,99/-419/362,#r_sy
r,15878,586407,-10/96/38/68,1/161/0/-2,360/2866/619/-161,478/225/242,0/0,-550/-136/-11316,-320/135/687,101/-425/363,#r_sy
r,15879,586447,-10/96/38/68,1/137/0/-13,582/2835/621/-161,475/225/248,0/0,-634/-176/-11244,-302/121/692,103/-430/365,#r_sy
r,15880,586487,-10/97/38/68,0/140/0/-21,348/2741/621/-181,474/225/253,0/0,-536/-152/-11142,-271/109/667,105/-435/367,#r_sy
s,0,#r_sy
r,15881,586527,-10/97/38/68,0/139/0/-19,136/2749/622/-240,472/225/258,0/0,-510/-126/-11154,-271/114/686,107/-440/369,#r_sy
r,15882,586567,-10/98/38/68,0/128/0/-24,124/2709/621/-218,469/225/263,0/0,-614/-224/-11152,-244/101/688,109/-445/371,#r_sy
r,15883,586609,-10/98/38/68,0/131/0/-27,127/2717/621/-234,468/225/267,0/0,-608/-296/-11142,-227/93/671,110/-449/373,#r_sy
r,15884,586648,-10/99/38/68,0/70/0/-42,345/2739/620/-244,466/225/270,0/0,-650/-362/-11138,-203/83/664,112/-453/376,#r_sy
r,15885,586688,-10/99/38/68,0/101/0/-45,343/2684/620/-226,464/226/274,0/0,-692/-452/-11176,-201/87/654,113/-456/378,#r_sy
r,15886,586729,-10/99/38/68,0/93/0/-38,343/2667/621/-286,463/226/277,0/0,-706/-462/-11126,-172/72/643,115/-459/381,#r_sy
r,15887,586769,-10/100/38/67,0/59/0/-65,343/2695/620/-247,461/227/279,0/0,-656/-460/-11104,-163/68/625,116/-462/384,#r_sy
r,15888,586809,-10/100/38/67,0/52/0/-74,344/2641/622/-312,459/228/281,0/0,-736/-504/-11068,-146/58/635,117/-465/387,#r_sy
r,15889,586849,-10/100/38/67,0/37/0/-86,344/2654/622/-263,458/229/283,0/0,-734/-556/-11076,-151/61/620,118/-467/390,#r_sy
r,15890,586889,-10/100/38/67,0/32/0/-89,343/2647/622/-263,457/230/284,0/0,-792/-586/-11080,-141/56/631,118/-468/393,#r_sy
r,15891,586929,-10/100/38/66,0/23/0/-86,343/2575/623/-257,456/231/285,0/0,-786/-616/-11104,-150/63/622,119/-469/397,#r_sy
r,15892,586969,-10/101/38/66,0/10/0/-100,344/2566/620/-251,455/233/285,0/0,-820/-660/-11108,-148/61/621,119/-470/400,#r_sy
r,15893,587009,-10/101/38/66,0/1/0/-111,344/2529/622/-271,454/234/285,0/0,-758/-684/-11172,-164/73/599,119/-470/404,#r_sy
r,15894,587049,-10/101/38/65,6/0/0/-98,571/2284/622/-296,453/236/284,0/0,-838/-690/-11302,-194/89/618,119/-470/407,#r_sy
r,15895,587090,-10/101/38/65,2/0/0/-89,539/2268/621/-297,452/238/283,0/0,-722/-674/-11364,-214/108/586,119/-470/411,#r_sy
r,15896,587129,-10/101/38/65,1/0/0/-101,552/2270/618/-297,452/239/283,0/0,-692/-506/-11078,-221/96/573,119/-470/414,#r_sy
r,15897,587169,-10/101/38/64,1/0/0/-99,553/2266/622/-287,451/241/282,0/0,-510/-558/-11392,-240/124/518,119/-470/418,#r_sy
r,15898,587209,-10/101/38/64,0/0/0/-73,551/2265/619/-301,450/243/281,0/0,-464/-544/-11428,-254/133/505,118/-470/422,#r_sy
r,15899,587249,-10/101/38/63,0/0/0/-86,336/2268/622/-288,449/245/280,0/0,-404/-440/-11466,-271/144/462,119/-470/426,#r_sy
r,15900,587289,-10/101/38/63,0/0/0/-112,322/2268/623/-289,448/247/280,0/0,-178/-398/-11494,-273/152/401,119/-470/430,#r_sy
r,15901,587330,-10/101/38/63,0/0/0/-83,324/2270/622/-317,447/248/279,0/0,-284/-354/-11582,-295/164/424,119/-470/434,#r_sy
r,15902,587370,-10/101/38/62,0/0/0/-69,325/2269/621/-259,447/250/278,0/0,-140/-342/-11604,-296/172/376,119/-470/437,#r_sy
r,15903,587410,-10/101/38/62,0/0/0/-90,323/2270/621/-257,446/251/278,0/0,-72/-246/-11696,-323/187/376,119/-470/440,#r_sy
r,15904,587451,-10/101/38/62,0/0/0/-70,326/2265/623/-283,446/252/277,0/0,-36/-230/-11672,-314/184/356,119/-470/443,#r_sy
r,15905,587490,-10/101/38/61,0/0/0/-75,324/2267/621/-224,445/254/277,0/0,-112/-270/-11764,-344/201/364,119/-470/446,#r_sy
r,15906,587530,-10/101/38/61,0/0/0/-63,324/2266/623/-264,444/255/276,0/0,-68/-270/-11746,-329/195/354,119/-470/448,#r_sy
r,15907,587571,-10/101/38/61,0/0/0/-48,326/2266/618/-222,444/255/276,0/0,-12/-220/-11828,-359/215/349,119/-470/450,#r_sy
r,15908,587610,-10/101/38/61,0/0/0/-35,325/2270/621/-212,443/256/276,0/0,-42/-214/-11806,-346/207/350,119/-470/451,#r_sy
r,15909,587650,-10/101/38/61,0/0/0/-9,324/2269/619/-160,443/256/275,0/0,-50/-238/-11866,-367/220/349,119/-470/452,#r_sy
r,15910,587690,-10/101/38/61,0/0/0/1,324/2270/619/-117,443/256/275,0/0,-40/-262/-11858,-355/213/336,119/-470/452,#r_sy
r,15911,587730,-10/101/38/61,0/0/0/3,323/2270/623/207,443/256/275,0/0,-70/-314/-11914,-364/217/346,119/-470/452,#r_sy
r,15912,587770,-10/101/38/61,0/0/0/10,326/2270/623/355,443/256/276,0/0,-128/-362/-11914,-358/212/358,119/-470/452,#r_sy
