r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,21953,809662,-2/40/41/28,0/0/0/0,-229/1172/133/-66,328/-296/-307,0/0,-328/170/-13974,-574/290/473,-3/94/-642,#l_sy
r,21954,809702,-2/40/41/28,0/0/0/0,-234/1165/134/-65,328/-296/-307,0/0,-322/172/-13975,-577/292/473,-3/94/-642,#l_sy
r,21955,809743,-2/40/41/28,0/0/0/0,-228/1171/137/-66,328/-296/-307,0/0,-294/164/-13972,-573/292/469,-3/94/-642,#l_sy
r,21956,809782,-2/40/41/28,0/0/0/0,-228/1170/134/-63,328/-296/-307,0/0,-286/156/-13972,-574/292/470,-3/94/-642,#l_sy
r,21957,809817,-2/40/41/28,0/0/0/0,-229/1165/134/-66,328/-296/-307,0/0,-278/152/-13986,-579/296/470,-3/94/-642,#l_sy
r,21958,809848,-2/40/41/28,0/0/0/0,-228/1170/135/-68,328/-296/-307,0/0,-280/172/-14014,-584/298/470,-3/94/-642,#l_sy
r,21959,809883,-2/40/41/28,0/0/0/0,-231/1167/136/-65,328/-296/-307,0/0,-268/186/-13998,-587/299/467,-3/94/-642,#l_sy
r,21960,809917,-2/40/41/28,0/0/0/0,-227/1171/132/-65,328/-296/-307,0/0,-260/216/-14012,-594/302/467,-3/94/-642,#l_sy
r,21961,809948,-2/40/41/28,0/0/0/0,-228/1169/135/-66,328/-296/-307,0/0,-246/235/-14022,-605/307/466,-3/94/-642,#l_sy
r,21962,809983,-2/40/41/28,0/0/0/0,-231/1167/134/-69,328/-296/-307,0/0,-235/284/-14030,-620/314/466,-3/94/-642,#l_sy
r,21963,810016,-2/40/41/28,0/0/0/0,-231/1168/133/-65,328/-296/-307,0/0,-233/350/-14053,-632/318/468,-3/94/-642,#l_sy
r,21964,810048,-2/40/41/28,0/0/0/0,-227/1167/135/-68,328/-296/-307,0/0,-248/414/-14094,-648/323/470,-3/94/-642,#l_sy
r,21965,810089,-2/40/41/28,0/0/0/0,-230/1167/137/-65,328/-296/-307,0/0,-260/504/-14162,-673/333/476,-3/94/-642,#l_sy
r,21966,810128,-2/40/41/28,0/0/0/0,-228/1167/135/-67,328/-296/-307,0/0,-252/558/-14180,-694/341/477,-3/94/-642,#l_sy
r,21967,810168,-2/40/41/28,0/0/0/0,-229/1171/138/-67,328/-296/-307,0/0,-276/618/-14217,-709/345/482,-3/94/-642,#l_sy
r,21968,810210,-2/40/41/28,0/0/0/0,-230/1170/132/-67,328/-296/-307,0/0,-310/700/-14253,-727/351/490,-3/94/-642,#l_sy
