r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,8175,307111,92/69/26/86,0/0/-2/0,-229/2058/264/-229,8/-663/-109,0/0,947/180/-12350,-569/347/383,-43/1/-883,#r_sy
r,8176,307145,92/69/26/86,0/0/0/0,-229/2062/245/-229,8/-663/-109,0/0,947/182/-12368,-574/350/384,-43/1/-883,#r_sy
r,8177,307179,92/69/26/86,0/0/8/0,-228/2057/737/-229,8/-663/-109,0/0,943/170/-12394,-580/354/382,-43/1/-883,#r_sy
r,8178,307211,92/69/26/86,0/0/1/0,-233/2060/739/-229,8/-663/-109,0/0,950/176/-12328,-561/344/381,-43/1/-883,#r_sy
r,8179,307245,92/69/26/86,0/0/-2/0,-231/2058/274/-230,8/-663/-109,0/0,962/206/-12318,-558/342/384,-43/1/-883,#r_sy
r,8180,307279,92/69/26/86,0/0/-4/0,-229/2060/188/-230,8/-663/-109,0/0,960/238/-12332,-563/343/387,-43/1/-883,#r_sy
r,8181,307312,92/69/26/86,0/0/-1/0,-227/2060/193/-229,8/-663/-110,0/0,970/276/-12346,-574/347/389,-43/1/-883,#r_sy
r,8182,307345,92/69/26/86,0/0/0/0,-233/2061/468/-229,8/-663/-110,0/0,972/308/-12310,-572/345/394,-43/1/-883,#r_sy
r,8183,307379,92/69/26/86,0/0/0/0,-231/2062/704/-228,8/-663/-109,0/0,962/330/-12206,-559/333/400,-43/1/-883,#r_sy
r,8184,307411,92/69/26/86,0/0/2/0,-227/2062/509/-230,8/-663/-109,0/0,954/442/-12134,-564/330/418,-43/1/-883,#r_sy
r,8185,307445,92/69/26/86,0/0/0/0,-230/2055/268/-229,8/-663/-109,0/0,964/588/-12108,-580/333/438,-43/1/-883,#r_sy
r,8186,307479,92/69/26/86,-1/0/0/0,-226/2058/261/-229,8/-663/-109,0/0,988/790/-12074,-598/333/460,-43/1/-883,#r_sy
r,8187,307511,92/69/26/86,-2/0/0/0,-232/2060/684/-229,8/-663/-109,0/0,997/902/-11974,-588/319/484,-43/1/-883,#r_sy
