r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,12220,253340,88/53/43/90,0/0/0/0,0/0/0/0,31/-621/-157,0/0,-1536/-456/-14698,-675/267/436,-1738/-111/879,# hw
r,12221,253361,88/53/43/90,0/0/0/0,0/0/0/0,31/-621/-157,0/0,-1524/-450/-14692,-675/268/441,-1738/-111/879,# hw
r,12222,253381,88/53/43/90,0/0/0/0,0/0/0/0,31/-621/-157,0/0,-1512/-452/-14689,-676/269/439,-1738/-111/879,# hw
r,12223,253401,88/53/43/90,0/0/0/0,0/0/0/0,31/-621/-157,0/0,-1506/-484/-14692,-676/272/428,-1738/-111/879,# hw
r,12224,253421,88/53/43/90,0/0/0/0,0/0/0/0,31/-621/-157,0/0,-1510/-482/-14698,-678/274/427,-1738/-111/879,# hw
r,12225,253441,88/53/43/90,0/0/0/2,0/0/0/0,31/-621/-157,0/0,-1522/-471/-14694,-681/276/428,-1738/-111/879,# hw
r,12226,253461,88/53/43/90,0/0/0/0,0/0/0/0,31/-621/-157,0/0,-1518/-482/-14684,-681/277/426,-1738/-111/879,# hw
r,12227,253481,88/53/43/90,0/0/0/1,0/0/0/0,31/-621/-157,0/0,-1518/-494/-14680,-679/278/421,-1738/-111/879,# hw
r,12228,253501,88/53/43/90,0/0/0/1,0/0/0/0,31/-621/-157,0/0,-1520/-496/-14672,-678/279/418,-1738/-111/879,# hw
r,12229,253520,88/53/43/90,0/0/0/2,0/0/0/0,31/-621/-157,0/0,-1516/-492/-14678,-680/280/415,-1738/-111/879,# hw
r,12230,253541,88/53/43/90,-1/0/0/1,0/0/0/0,31/-621/-157,0/0,-1520/-498/-14678,-680/281/412,-1738/-111/879,# hw
r,12231,253561,88/53/43/90,-1/0/0/2,0/0/0/0,31/-621/-157,0/0,-1518/-508/-14662,-679/282/409,-1738/-111/879,# hw
r,12232,253580,88/53/43/90,-4/0/0/5,0/0/0/0,31/-621/-157,0/0,-1518/-524/-14664,-677/284/404,-1738/-111/879,# hw
r,12233,253601,88/53/43/90,-7/0/0/5,0/0/0/0,31/-621/-157,0/0,-1512/-536/-14650,-677/285/399,-1738/-111/879,# hw
r,12234,253622,88/53/43/90,-8/0/0/3,0/0/0/0,31/-621/-157,0/0,-1516/-540/-14642,-675/284/395,-1738/-111/879,# hw
r,12235,253648,88/53/43/90,-11/0/0/0,0/0/0/0,31/-621/-157,0/0,-1508/-548/-14600,-670/283/392,-1738/-111/878,# hw
r,12236,253669,88/53/43/90,-17/0/0/0,0/0/0/0,32/-621/-157,0/0,-1508/-568/-14582,-666/283/393,-1737/-111/878,# hw
r,12237,253688,88/53/43/90,-11/0/0/0,0/0/0/0,32/-621/-157,0/0,-1486/-604/-14584,-666/286/383,-1737/-111/878,# hw
r,12238,253708,88/53/43/90,-19/0/0/-1,0/0/0/0,32/-621/-157,0/0,-1490/-610/-14574,-664/285/382,-1737/-111/877,# hw
r,12239,253728,88/53/43/90,-20/0/0/0,0/0/0/0,32/-621/-157,0/0,-1502/-620/-14564,-664/286/382,-1737/-111/877,# hw
