r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,50589,1855459,83/84/6/88,0/-63/0/0,231/1814/413/-248,88/681/-38,0/0,-350/-358/-12568,-541/265/362,0/0/815,#l_jy
r,50590,1855492,83/84/6/88,0/-54/0/0,230/1781/411/-241,88/681/-41,0/0,-346/-211/-12232,-498/242/375,1/0/815,#l_jy
r,50591,1855525,83/84/6/88,0/-50/0/0,228/1770/412/-244,88/681/-42,0/0,-266/24/-11882,-469/224/386,3/0/815,#l_jy
r,50592,1855559,83/83/6/88,0/-54/0/0,232/1809/409/-243,88/681/-45,0/0,-132/218/-11692,-478/239/383,5/0/815,#l_jy
r,50593,1855593,83/83/6/88,0/-67/0/0,230/1666/417/-241,88/681/-49,0/0,-6/306/-11550,-496/258/363,8/1/815,#l_jy
r,50594,1855625,83/83/6/88,0/-48/0/0,226/1716/409/-243,88/681/-50,0/0,184/423/-11344,-492/272/343,9/1/815,#l_jy
r,50595,1855659,83/83/6/88,0/-39/0/0,230/1746/414/-244,88/680/-53,0/0,354/516/-11060,-472/279/313,12/1/815,#l_jy
r,50596,1855692,83/83/6/88,0/-24/0/0,229/1768/412/-237,88/680/-55,0/0,402/558/-10768,-441/275/296,13/1/815,#l_jy
r,50597,1855725,83/83/6/88,0/-16/0/0,230/1713/415/-240,88/680/-56,0/0,542/660/-10542,-442/293/281,14/1/815,#l_jy
r,50598,1855759,83/83/6/88,0/1/0/0,229/1843/414/-244,88/680/-56,0/0,702/792/-10126,-410/294/243,14/1/815,#l_jy
r,50599,1855792,83/83/6/88,-1/10/0/0,124/2352/419/-241,88/680/-56,0/0,726/822/-9598,-324/257/205,14/1/815,#l_jy
r,50600,1855824,83/83/6/88,-6/23/0/0,-228/2350/558/-233,88/680/-55,0/0,594/714/-9398,-305/249/200,14/1/815,#l_jy
r,50601,1855859,83/83/6/88,-19/29/5/0,-242/2404/652/-231,89/680/-54,0/0,452/436/-9502,-334/279/162,12/1/815,#l_jy
r,50602,1855899,83/83/6/88,-10/39/0/0,-267/2421/656/-231,89/680/-52,0/0,350/304/-9562,-320/270/157,11/1/814,#l_jy
r,50603,1855939,83/83/6/88,-20/61/0/0,-269/2441/415/-231,90/680/-50,0/0,380/96/-9496,-285/261/139,9/1/814,#l_jy
r,50604,1855979,83/83/6/88,-26/79/0/0,-288/2460/410/-227,92/680/-47,0/0,354/-174/-9746,-328/298/121,6/0/812,#l_jy
r,50605,1856020,83/84/6/88,-34/48/0/0,-310/2546/411/-232,92/680/-44,0/0,266/-530/-9748,-312/301/119,4/0/811,#l_jy
r,50606,1856060,83/84/6/88,-43/75/0/0,-274/2512/412/-230,94/680/-41,0/0,278/-794/-9598,-271/291/95,1/0/809,#l_jy
r,50607,1856100,82/84/6/88,-72/57/0/0,-315/2488/413/-227,97/680/-38,0/0,288/-870/-9674,-300/317/88,0/0/807,#l_jy
r,50608,1856141,82/84/6/88,-86/53/0/0,-356/2539/411/-233,99/680/-35,0/0,338/-1028/-9732,-304/334/77,-3/0/804,#l_jy
r,50609,1856181,82/85/6/88,-99/46/0/-2,-339/2465/412/-225,103/679/-32,0/0,476/-1014/-9782,-325/353/58,-5/0/801,#l_jy
r,50610,1856221,81/85/6/88,-84/54/0/-5,-353/2500/418/-231,106/679/-29,0/0,544/-1160/-9872,-348/378/33,-7/-1/798,#l_jy
r,50611,1856261,81/85/6/88,-108/49/0/-16,-437/2498/256/-247,110/678/-26,0/0,596/-2045/-9968,-343/388/-88,-10/-1/793,#l_jy
r,50612,1856301,80/85/6/88,-158/34/-1/-24,-417/2464/227/-272,116/677/-24,0/0,506/-2094/-9706,-278/351/-53,-11/-2/786,#l_jy
r,50613,1856341,80/85/6/88,-177/44/0/-39,-496/2496/471/-296,124/675/-22,0/0,182/-1708/-9604,-243/309/78,-13/-2/778,#l_jy
r,50614,1856380,79/86/6/88,-158/29/0/-49,-530/2489/706/-312,131/673/-20,0/0,-6/-1632/-9898,-307/337/128,-15/-2/770,#l_jy
r,50615,1856421,78/86/6/88,-188/19/0/-44,-523/2444/723/-320,140/671/-18,0/0,58/-1766/-9910,-295/334/86,-16/-3/760,#l_jy
r,50616,1856461,78/86/6/87,-172/16/0/-54,-489/2417/722/-330,148/669/-18,0/0,392/-2044/-9722,-244/316/-7,-16/-3/750,#l_jy
r,50617,1856501,77/86/6/87,-197/1/0/-92,-552/2415/501/-374,157/666/-17,0/0,310/-2160/-9962,-286/342/38,-17/-4/739,#l_jy
r,50618,1856541,76/86/6/87,-242/-2/-1/-68,-542/1928/257/-406,168/663/-17,0/0,204/-2045/-10284,-318/359/102,-16/-4/726,#l_jy
r,50619,1856581,75/86/6/86,-228/-8/-1/-125,-538/1891/244/-427,179/659/-18,0/0,84/-1895/-10460,-338/354/174,-16/-4/713,#l_jy
r,50620,1856621,74/86/6/86,-257/-4/0/-128,-548/1870/242/-433,190/654/-18,0/0,226/-2020/-10554,-311/333/141,-16/-4/699,#l_jy
r,50621,1856661,73/86/6/85,-270/-6/0/-149,-556/1903/485/-446,203/650/-18,0/0,386/-2380/-10846,-355/370/61,-16/-4/684,#l_jy
r,50622,1856701,72/86/6/85,-271/-8/0/-115,-562/1867/487/-475,216/644/-19,0/0,198/-2162/-10810,-326/334/192,-15/-5/667,#l_jy
r,50623,1856742,71/86/6/84,-302/-11/0/-157,-588/1862/489/-443,229/638/-19,0/0,308/-2112/-10898,-325/338/159,-14/-5/650,#l_jy
r,50624,1856781,69/86/6/84,-307/-2/0/-139,-591/1871/485/-498,242/631/-20,0/0,222/-1771/-11080,-371/339/257,-14/-5/633,#l_jy
r,50625,1856822,68/86/6/83,-274/-8/0/-169,-579/1894/486/-484,256/623/-20,0/0,382/-1834/-11188,-354/334/218,-14/-5/615,#l_jy
r,50626,1856862,67/85/6/83,-306/-7/0/-164,-565/1881/488/-506,269/615/-20,0/0,620/-1860/-11276,-355/340/145,-13/-5/596,#l_jy
r,50627,1856902,66/85/6/82,-289/-8/0/-159,-603/1880/484/-514,283/607/-20,0/0,306/-1502/-11288,-371/315/334,-13/-6/577,#l_jy
r,50628,1856942,65/85/6/81,-305/-5/0/-181,-585/1881/487/-490,297/597/-21,0/0,370/-1728/-11428,-362/330/255,-13/-6/558,#l_jy
r,50629,1856982,63/85/6/80,-314/-11/0/-172,-589/1898/409/-505,310/588/-21,0/0,460/-1604/-11578,-399/342/276,-12/-6/538,#l_jy
r,50630,1857022,62/85/6/80,-298/-11/0/-211,-602/1870/412/-527,324/577/-22,0/0,500/-1621/-11520,-367/319/301,-12/-6/518,#l_jy
r,50631,1857062,61/85/6/79,-323/-11/0/-184,-594/1875/414/-510,338/566/-22,0/0,648/-1848/-11622,-367/336/236,-11/-6/498,#l_jy
r,50632,1857102,60/85/6/78,-295/-11/0/-197,-595/1873/412/-530,351/555/-23,0/0,530/-1912/-11854,-403/355/270,-11/-6/477,#l_jy
