r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,78115,1608622,23/59/4/90,0/2/4/0,0/0/0/0,483/-231/-333,0/0,-810/421/-12930,-412/156/493,-1793/-292/196,# dh
r,78116,1608641,23/59/4/90,0/3/4/0,0/0/0/0,483/-231/-333,0/0,-866/380/-12848,-402/150/491,-1793/-292/196,# dh
r,78117,1608669,23/59/4/90,0/0/5/0,0/0/0/0,483/-231/-333,0/0,-942/400/-12660,-391/143/500,-1793/-291/196,# dh
r,78118,1608688,23/59/4/90,0/1/4/0,0/0/0/0,483/-231/-333,0/0,-1006/416/-12408,-371/129/504,-1793/-291/196,# dh
r,78119,1608708,23/59/4/90,0/2/3/0,0/0/0/0,483/-231/-333,0/0,-1062/421/-12096,-343/114/510,-1793/-291/196,# dh
r,78120,1608735,23/59/4/90,0/5/5/0,0/0/0/0,483/-231/-333,0/0,-1110/410/-11764,-309/98/518,-1793/-291/196,# dh
r,78121,1608756,23/59/4/90,0/23/8/0,0/0/0/0,483/-232/-332,0/0,-1136/350/-11406,-269/81/514,-1792/-290/196,# dh
r,78122,1608777,23/59/4/90,0/29/10/0,0/0/0/0,484/-232/-331,0/0,-1144/344/-11192,-258/80/510,-1792/-289/196,# dh
r,78123,1608801,23/59/4/90,0/32/15/0,0/0/0/0,484/-232/-330,0/0,-1168/380/-11044,-251/76/518,-1792/-288/196,# dh
r,78124,1608821,23/59/4/90,0/75/7/0,0/0/0/0,485/-232/-329,0/0,-1212/364/-11008,-253/75/517,-1791/-287/196,# dh
r,78125,1608841,23/59/4/90,0/61/14/0,0/0/0/0,485/-232/-328,0/0,-1278/324/-10896,-245/66/510,-1791/-286/196,# dh
r,78126,1608862,23/60/4/90,0/62/10/0,0/0/0/0,485/-233/-326,0/0,-1382/304/-10778,-235/57/524,-1790/-285/196,# dh
r,78127,1608882,23/60/4/90,0/78/13/0,0/0/0/0,486/-233/-324,0/0,-1440/250/-10718,-225/54/527,-1790/-283/196,# dh
r,78128,1608901,23/60/4/90,0/102/15/0,0/0/0/0,487/-234/-322,0/0,-1472/209/-10732,-214/49/518,-1789/-281/196,# dh
r,78129,1608922,23/60/4/90,0/120/17/0,0/0/0/0,489/-234/-319,0/0,-1552/198/-10680,-203/40/528,-1788/-278/196,# dh
r,78130,1608942,23/60/4/90,0/114/22/0,0/0/0/0,490/-235/-316,0/0,-1632/162/-10580,-188/31/536,-1787/-275/196,# dh
r,78131,1608962,23/61/4/90,0/166/17/0,0/0/0/0,491/-235/-313,0/0,-1642/114/-10504,-159/18/524,-1785/-272/196,# dh
r,78132,1608983,23/61/4/90,0/157/37/0,0/0/0/0,492/-236/-309,0/0,-1600/94/-10456,-126/-1/510,-1784/-269/196,# dh
r,78133,1609005,23/61/4/90,0/196/38/0,0/0/0/0,494/-237/-305,0/0,-1570/42/-10548,-105/-18/501,-1782/-265/196,# dh
r,78134,1609029,23/62/4/90,0/206/30/0,0/0/0/0,496/-238/-300,0/0,-1560/-60/-10774,-103/-22/479,-1780/-260/196,# dh
r,78135,1609050,23/62/5/90,0/193/52/0,0/0/0/0,498/-239/-294,0/0,-1586/-150/-11032,-119/-22/469,-1779/-256/197,# dh
r,78136,1609071,23/63/5/90,0/254/44/0,0/0/0/0,500/-240/-289,0/0,-1626/-164/-11112,-129/-21/475,-1777/-250/197,# dh
r,78137,1609096,23/63/5/90,0/264/67/0,0/0/0/0,502/-241/-283,0/0,-1660/-170/-11148,-143/-14/477,-1774/-245/197,# dh
r,78138,1609116,23/64/5/90,0/285/77/0,0/0/0/0,504/-242/-276,0/0,-1668/-150/-11154,-141/-13/482,-1772/-239/197,# dh
r,78139,1609136,23/64/5/90,0/289/74/0,0/0/0/0,507/-243/-270,0/0,-1698/-122/-11102,-107/-32/497,-1770/-233/198,# dh
r,78140,1609157,23/65/5/90,0/293/67/0,0/0/0/0,509/-244/-263,0/0,-1744/-62/-11194,-141/-16/513,-1767/-227/198,# dh
r,78141,1609184,23/66/5/90,0/326/55/0,0/0/0/0,513/-247/-247,0/0,-1816/-68/-11228,-176/3/517,-1762/-213/199,# dh
r,78142,1609203,23/67/6/90,1/339/63/0,0/0/0/0,516/-248/-239,0/0,-1894/-176/-11170,-169/1/531,-1759/-205/199,# dh
r,78143,1609225,23/67/6/90,8/348/56/0,0/0/0/0,518/-249/-231,0/0,-1820/-336/-11392,-212/41/486,-1756/-198/200,# dh
r,78144,1609249,23/68/6/90,5/359/56/0,0/0/0/0,521/-250/-222,0/0,-1816/-467/-11330,-163/14/468,-1753/-190/201,# dh
r,78145,1609269,23/69/6/90,2/365/106/0,0/0/0/0,523/-252/-213,0/0,-1870/-454/-11346,-184/17/487,-1750/-182/202,# dh
r,78146,1609291,23/70/6/90,0/378/88/0,0/0/0/0,525/-253/-203,0/0,-1898/-554/-11276,-199/29/455,-1746/-174/203,# dh
r,78147,1609316,23/70/6/90,0/379/83/0,0/0/0/0,528/-254/-193,0/0,-1887/-644/-11142,-199/39/461,-1743/-165/203,# dh
r,78148,1609337,23/71/7/90,0/390/108/0,0/0/0/0,529/-255/-183,0/0,-1868/-632/-11168,-198/46/471,-1740/-156/204,# dh
r,78149,1609356,23/72/7/90,0/413/93/0,0/0/0/0,532/-256/-173,0/0,-1868/-686/-11106,-180/38/452,-1736/-147/205,# dh
r,78150,1609376,23/73/7/90,0/409/111/0,0/0/0/0,534/-257/-162,0/0,-1958/-600/-11196,-221/51/487,-1732/-138/207,# dh
r,78151,1609397,23/74/7/90,0/428/79/0,0/0/0/0,536/-258/-151,0/0,-2024/-598/-11058,-195/32/491,-1729/-128/208,# dh
r,78152,1609416,23/74/7/90,0/455/124/0,0/0/0/0,538/-259/-139,0/0,-2006/-624/-11166,-263/72/494,-1725/-118/209,# dh
r,78153,1609436,23/75/8/90,0/446/135/0,0/0/0/0,540/-260/-127,0/0,-1954/-702/-11166,-236/66/473,-1721/-109/210,# dh
r,78154,1609456,23/76/8/90,0/452/84/0,0/0/0/0,541/-261/-115,0/0,-1950/-782/-11324,-268/85/472,-1717/-98/212,# dh
r,78155,1609476,23/77/8/90,0/449/75/0,0/0/0/0,543/-261/-103,0/0,-1968/-842/-11330,-240/67/454,-1713/-88/213,# dh
r,78156,1609496,23/78/8/90,0/481/127/0,0/0/0/0,544/-262/-91,0/0,-1992/-850/-11454,-300/98/455,-1708/-77/215,# dh
r,78157,1609517,23/79/8/90,0/464/118/0,0/0/0/0,545/-263/-78,0/0,-2021/-926/-11420,-242/67/457,-1704/-67/217,# dh
r,78158,1609536,23/80/9/90,0/493/91/0,0/0/0/0,546/-263/-65,0/0,-1998/-1058/-11540,-292/102/434,-1700/-56/219,# dh
r,78159,1609558,23/82/9/90,0/480/121/0,0/0/0/0,547/-264/-39,0/0,-2086/-1268/-11588,-271/98/432,-1691/-35/223,# dh
r,78160,1609582,23/83/9/90,0/491/82/0,0/0/0/0,548/-264/-26,0/0,-2180/-1574/-11676,-250/100/420,-1686/-23/225,# dh
r,78161,1609603,23/84/10/90,0/485/90/0,0/0/0/0,548/-264/-13,0/0,-2240/-1894/-11900,-227/95/376,-1682/-13/227,# dh
r,78162,1609628,23/85/10/90,0/503/123/0,0/0/0/0,548/-264/0,0/0,-2400/-2110/-12064,-214/79/374,-1677/-1/229,# dh
r,78163,1609649,23/86/10/90,-11/479/145/0,0/0/0/0,548/-264/13,0/0,-2478/-2098/-12146,-276/105/393,-1672/8/232,# dh
r,78164,1609669,23/87/10/90,-10/477/144/0,0/0/0/0,547/-263/25,0/0,-2514/-2172/-12000,-219/71/383,-1668/19/234,# dh
r,78165,1609688,23/88/11/90,-17/484/124/0,0/0/0/0,547/-263/39,0/0,-2410/-2196/-12122,-230/83/362,-1663/30/236,# dh
r,78166,1609708,23/89/11/90,-19/482/138/0,0/0/0/0,546/-262/52,0/0,-2374/-2138/-12200,-225/78/376,-1658/41/239,# dh
r,78167,1609729,23/90/11/90,-15/491/138/0,0/0/0/0,545/-261/65,0/0,-2368/-2032/-12360,-265/91/387,-1653/52/241,# dh
r,78168,1609748,23/91/11/90,-16/474/123/0,0/0/0/0,545/-261/78,0/0,-2408/-2048/-12392,-292/101/380,-1648/63/244,# dh
r,78169,1609768,23/91/12/90,-5/490/121/0,0/0/0/0,543/-260/91,0/0,-2436/-2026/-12438,-313/112/386,-1643/73/247,# dh
r,78170,1609788,23/92/12/90,-4/460/139/0,0/0/0/0,541/-259/104,0/0,-2406/-2024/-12448,-331/126/384,-1638/84/250,# dh
r,78171,1609809,23/93/12/90,-4/471/116/0,0/0/0/0,540/-258/116,0/0,-2422/-2058/-12330,-284/100/384,-1634/94/252,# dh
r,78172,1609830,23/94/12/90,-3/455/138/0,0/0/0/0,538/-257/128,0/0,-2400/-2056/-12254,-288/101/373,-1629/104/256,# dh
r,78173,1609850,23/95/12/90,-4/451/129/0,0/0/0/0,536/-256/141,0/0,-2484/-2045/-12136,-258/79/399,-1624/115/259,# dh
r,78174,1609870,23/96/13/90,0/462/131/0,0/0/0/0,534/-255/153,0/0,-2480/-2120/-12284,-308/111/385,-1618/125/262,# dh
r,78175,1609890,23/97/13/90,0/446/139/0,0/0/0/0,532/-253/165,0/0,-2588/-2260/-12302,-274/87/385,-1613/135/265,# dh
r,78176,1609910,23/98/13/90,0/449/133/0,0/0/0/0,529/-252/177,0/0,-2640/-2242/-12390,-317/108/395,-1608/145/269,# dh
r,78177,1609930,23/99/13/90,0/439/120/0,0/0/0/0,526/-251/188,0/0,-2748/-2228/-12242,-279/80/425,-1603/155/273,# dh
r,78178,1609950,23/100/14/90,0/421/78/0,0/0/0/0,523/-249/200,0/0,-2710/-2226/-12276,-314/105/414,-1598/164/276,# dh
r,78179,1609969,23/101/14/90,0/433/119/0,0/0/0/0,521/-248/211,0/0,-2758/-2286/-12150,-240/63/414,-1592/174/280,# dh
r,78180,1609990,23/101/14/90,0/426/112/0,0/0/0/0,518/-247/222,0/0,-2772/-2338/-12308,-279/84/415,-1587/183/284,# dh
r,78181,1610010,23/102/14/90,0/421/125/0,0/0/0/0,514/-245/233,0/0,-2872/-2346/-12268,-245/56/438,-1582/193/288,# dh
r,78182,1610030,23/103/15/90,0/414/132/0,0/0/0/0,511/-243/244,0/0,-2888/-2382/-12432,-309/93/433,-1576/202/292,# dh
r,78183,1610050,23/104/15/90,0/406/114/0,0/0/0/0,507/-242/255,0/0,-2938/-2478/-12312,-267/72/428,-1571/211/295,# dh
r,78184,1610074,23/105/15/90,0/422/110/0,0/0/0/0,504/-240/265,0/0,-2924/-2546/-12386,-295/91/417,-1565/219/299,# dh
r,78185,1610099,23/106/15/90,0/392/115/0,0/0/0/0,500/-238/277,0/0,-2978/-2600/-12288,-235/56/427,-1558/230/305,# dh
r,78186,1610124,23/107/16/90,0/387/103/0,0/0/0/0,493/-235/296,0/0,-2988/-2608/-12342,-272/75/430,-1548/246/313,# dh
r,78187,1610145,23/108/16/90,0/387/72/0,0/0/0/0,490/-233/304,0/0,-2988/-2676/-12188,-249/67/412,-1543/253/316,# dh
r,78188,1610166,23/109/16/90,0/372/107/0,0/0/0/0,486/-231/314,0/0,-3018/-2704/-12244,-276/89/419,-1537/261/321,# dh
r,78189,1610191,23/110/16/90,0/357/92/0,0/0/0/0,482/-229/322,0/0,-2992/-2800/-12164,-231/63/404,-1532/269/325,# dh
r,78190,1610210,23/110/16/90,0/356/94/0,0/0/0/0,479/-227/331,0/0,-3024/-2758/-12256,-262/78/419,-1527/276/329,# dh
r,78191,1610237,23/111/16/90,0/349/88/0,0/0/0/0,474/-226/339,0/0,-3018/-2762/-12322,-260/76/419,-1521/283/333,# dh
