r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,13050,485734,-2/51/23/51,0/0/0/-2,-229/1512/203/1,447/223/-305,0/0,2208/530/-14192,-522/324/242,-6/166/417,#r_sy
r,13051,485768,-2/51/23/51,0/0/0/-3,-227/1512/202/10,447/223/-305,0/0,2218/516/-14203,-526/328/236,-6/166/417,#r_sy
r,13052,485801,-2/51/23/51,0/0/0/-2,-231/1513/201/-1,447/223/-305,0/0,2220/504/-14202,-524/327/237,-6/166/417,#r_sy
r,13053,485833,-2/51/23/51,0/0/0/2,-229/1512/202/-75,447/223/-305,0/0,2216/514/-14200,-524/326/241,-6/166/417,#r_sy
r,13054,485869,-2/51/23/51,0/0/0/0,-228/1512/202/-172,447/223/-305,0/0,2228/518/-14212,-522/325/241,-6/166/417,#r_sy
r,13055,485901,-2/51/23/51,0/0/0/0,-228/1512/203/-312,447/223/-305,0/0,2268/560/-14198,-521/326/243,-6/166/417,#r_sy
r,13056,485934,-2/51/23/51,0/0/0/0,-225/1513/203/-302,447/223/-305,0/0,2296/604/-14186,-526/331/244,-6/166/417,#r_sy
r,13057,485968,-2/51/23/51,0/0/0/0,-228/1512/201/-52,447/223/-305,0/0,2356/660/-14164,-530/334/240,-6/166/417,#r_sy
r,13058,486004,-2/51/23/51,0/0/0/1,-229/1512/200/8,447/223/-305,0/0,2408/722/-14124,-525/331/242,-6/166/417,#r_sy
r,13059,486035,-2/51/23/51,0/0/0/0,-230/1512/201/143,447/223/-305,0/0,2520/826/-14016,-503/316/238,-6/166/417,#r_sy
r,13060,486068,-2/51/23/51,0/0/0/0,-230/1513/203/-1,447/223/-305,0/0,2568/939/-13834,-464/291/233,-6/166/417,#r_sy
r,13061,486109,-2/51/23/51,0/0/0/-4,-229/1511/202/-9,447/223/-305,0/0,2546/1006/-13684,-416/255/238,-6/166/417,#r_sy
r,13062,486148,-2/51/23/51,0/0/0/-3,-228/1513/201/-11,447/223/-305,0/0,2500/1108/-13520,-379/226/253,-6/166/417,#r_sy
r,13063,486187,-2/51/23/51,0/0/0/-2,-228/1511/203/-22,447/223/-305,0/0,2590/1250/-13338,-351/209/247,-6/166/417,#r_sy
r,13064,486222,-2/51/23/51,0/7/0/-1,-228/1734/201/8,447/223/-305,0/0,2674/1322/-13136,-304/180/232,-6/166/417,#r_sy
r,13065,486254,-2/51/23/51,0/10/0/1,-228/1750/202/-150,447/223/-305,0/0,2732/1368/-12989,-277/162/216,-6/166/417,#r_sy
r,13066,486288,-2/51/23/51,0/14/1/1,-233/1753/422/-122,447/223/-305,0/0,2656/1352/-12872,-250/143/221,-6/165/417,#r_sy
r,13067,486323,-2/51/23/51,0/41/10/1,-230/1801/451/-121,447/223/-303,0/0,2688/1354/-12802,-243/139/207,-6/164/417,#r_sy
r,13068,486354,-2/51/23/51,0/24/16/-1,-230/1831/465/4,447/223/-303,0/0,2638/1318/-12668,-232/131/203,-6/163/417,#r_sy
r,13069,486389,-2/51/23/51,0/45/20/-1,-227/1807/456/-15,448/223/-301,0/0,2654/1308/-12514,-220/124/188,-6/160/417,#r_sy
