r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#l_sy
r,16766,619728,-10/51/31/50,0/0/0/0,74/1580/276/-231,425/-294/-265,0/0,350/692/-14182,-595/308/383,-13/74/-497,#l_sy
r,16767,619761,-10/51/31/50,0/0/0/0,75/1580/277/-227,425/-294/-265,0/0,370/668/-14162,-593/307/380,-13/74/-497,#l_sy
r,16768,619796,-10/51/31/50,0/0/0/0,72/1580/278/-226,425/-294/-265,0/0,374/688/-14160,-592/307/378,-13/74/-497,#l_sy
r,16769,619827,-10/51/31/50,0/0/0/0,75/1579/276/-231,425/-294/-265,0/0,374/720/-14156,-594/307/381,-13/74/-497,#l_sy
r,16770,619862,-10/51/31/50,0/0/0/0,73/1580/276/-232,425/-294/-265,0/0,386/742/-14152,-593/307/382,-13/74/-497,#l_sy
r,16771,619896,-10/51/31/50,0/0/0/0,74/1578/276/-229,425/-294/-265,0/0,396/746/-14142,-593/307/380,-13/74/-497,#l_sy
r,16772,619928,-10/51/31/50,0/0/0/0,74/1579/277/-229,425/-294/-265,0/0,416/756/-14130,-595/309/377,-13/74/-497,#l_sy
r,16773,619962,-10/51/31/50,0/0/0/0,74/1579/278/-228,425/-294/-265,0/0,406/780/-14146,-599/309/379,-13/74/-497,#l_sy
r,16774,619996,-10/51/31/50,0/0/0/0,74/1581/275/-231,425/-294/-265,0/0,398/818/-14148,-603/310/380,-13/74/-497,#l_sy
r,16775,620028,-10/51/31/50,0/0/0/0,75/1578/276/-227,425/-294/-265,0/0,384/838/-14132,-602/308/380,-13/74/-497,#l_sy
r,16776,620062,-10/51/31/50,0/0/0/0,75/1580/278/-227,425/-294/-265,0/0,388/866/-14120,-601/308/379,-13/74/-497,#l_sy
r,16777,620096,-10/51/31/50,0/0/0/0,75/1578/277/-229,425/-294/-265,0/0,406/896/-14117,-604/309/376,-13/74/-497,#l_sy
r,16778,620128,-10/51/31/50,0/0/0/0,72/1578/277/-228,425/-294/-265,0/0,436/946/-14100,-606/310/376,-13/74/-497,#l_sy
r,16779,620162,-10/51/31/50,0/0/0/0,73/1579/278/-226,425/-294/-265,0/0,460/1012/-14089,-610/312/374,-13/74/-497,#l_sy
r,16780,620200,-10/51/31/50,0/0/0/0,73/1579/278/-229,425/-294/-265,0/0,486/1142/-14046,-611/309/377,-13/74/-497,#l_sy
r,16781,620236,-10/51/31/50,0/0/0/0,74/1578/274/-227,425/-294/-265,0/0,556/1312/-14010,-607/306/381,-13/74/-497,#l_sy
r,16782,620273,-10/51/31/50,0/0/0/0,74/1579/277/-230,425/-294/-265,0/0,692/1588/-13964,-603/301/381,-13/74/-497,#l_sy
r,16783,620303,-10/51/31/50,0/0/0/0,74/1580/278/-228,425/-294/-265,0/0,842/1908/-13825,-613/290/382,-13/74/-497,#l_sy
r,16784,620341,-10/51/31/50,0/0/0/0,76/1579/276/-229,425/-294/-265,0/0,934/2250/-13574,-547/262/383,-13/74/-497,#l_sy
r,16785,620382,-10/51/31/50,0/0/0/0,76/1578/277/-232,425/-294/-265,0/0,943/2580/-13436,-540/245/396,-13/74/-497,#l_sy
r,16786,620423,-10/51/31/50,0/0/0/0,73/1580/278/-226,425/-294/-265,0/0,962/2840/-13270,-532/233/403,-13/74/-497,#l_sy
r,16787,620462,-10/51/31/50,0/0/0/0,74/1580/278/-229,425/-294/-265,0/0,958/3058/-13074,-505/209/406,-13/74/-497,#l_sy
r,16788,620496,-10/51/31/50,0/0/0/0,76/1579/276/-232,425/-294/-265,0/0,978/3252/-12948,-493/198/408,-13/74/-497,#l_sy
r,16789,620536,-10/51/31/50,0/0/0/0,75/1579/276/-230,425/-294/-265,0/0,993/3393/-12802,-482/188/401,-13/74/-497,#l_sy
r,16790,620576,-10/51/31/50,0/0/0/0,72/1580/278/-227,425/-294/-265,0/0,962/3574/-12794,-493/189/405,-13/74/-497,#l_sy
r,16791,620616,-10/51/31/50,0/0/0/0,77/1579/279/-231,425/-294/-265,0/0,988/3750/-12760,-498/191/411,-13/74/-497,#l_sy
r,16792,620656,-10/51/31/50,0/2/0/0,73/1791/275/-227,425/-294/-265,0/0,1040/3980/-12632,-477/176/400,-13/74/-497,#l_sy
r,16793,620697,-10/51/31/50,0/18/0/0,75/1808/277/-229,425/-294/-264,0/0,1050/4266/-12586,-493/179/418,-13/74/-497,#l_sy
r,16794,620736,-10/51/31/50,0/29/0/0,75/1826/277/-230,425/-294/-263,0/0,1106/4318/-12660,-494/177/398,-13/73/-497,#l_sy
s,0,#l_sy
r,16795,620777,-10/51/31/50,0/81/0/0,74/1907/277/-226,425/-294/-262,0/0,1114/4396/-12680,-496/174/412,-12/71/-497,#l_sy
r,16796,620816,-10/52/31/50,0/77/0/0,75/1934/278/-231,427/-294/-259,0/0,1062/4238/-12658,-476/163/407,-12/68/-497,#l_sy
r,16797,620856,-10/52/31/50,0/82/0/0,72/1980/276/-233,428/-294/-255,0/0,920/4064/-12584,-455/151/439,-11/64/-497,#l_sy
r,16798,620897,-10/53/31/50,0/132/0/0,72/2029/277/-228,430/-295/-251,0/0,854/3924/-12456,-443/150/465,-10/60/-496,#l_sy
r,16799,620936,-10/53/31/50,0/125/0/0,77/2049/277/-228,432/-295/-246,0/0,958/3740/-12492,-441/159/438,-9/54/-496,#l_sy
r,16800,620976,-10/54/31/50,0/153/0/0,74/2109/277/-228,434/-296/-240,0/0,1094/3412/-12670,-458/186/388,-8/48/-496,#l_sy
r,16801,621017,-10/54/31/50,0/158/0/0,73/2160/276/-228,436/-296/-233,0/0,1196/3076/-12706,-433/192/325,-7/41/-496,#l_sy
r,16802,621056,-10/55/31/50,0/206/0/0,75/2120/277/-228,439/-297/-226,0/0,1228/3110/-12638,-420/192/347,-6/34/-496,#l_sy
r,16803,621089,-10/56/31/50,0/210/0/0,73/2240/275/-226,441/-297/-222,0/0,1278/3040/-12778,-441/204/327,-5/30/-496,#l_sy
r,16804,621125,-10/56/31/50,0/232/0/0,76/2280/278/-230,443/-297/-214,0/0,1268/2964/-12822,-453/211/348,-4/22/-496,#l_sy
r,16805,621166,-10/57/31/50,0/215/0/0,74/2248/347/-230,446/-298/-206,0/0,1424/2670/-12875,-449/223/303,-2/13/-496,#l_sy
r,16806,621206,-10/58/31/50,-1/234/0/0,39/2328/343/-230,448/-299/-197,0/0,1434/2612/-12732,-404/202/315,0/4/-496,#l_sy
r,16807,621246,-10/59/31/50,-7/257/0/0,-143/2346/345/-229,451/-299/-187,0/0,1546/2484/-12889,-421/218/281,0/-4/-496,#l_sy
r,16808,621285,-10/60/31/50,-13/240/0/0,-81/2353/343/-223,453/-300/-177,0/0,1534/2446/-12839,-398/203/290,2/-14/-497,#l_sy
r,16809,621326,-10/61/31/50,-17/263/0/0,-45/2406/345/-227,456/-302/-167,0/0,1574/2396/-12912,-406/211/297,4/-24/-497,#l_sy
r,16810,621365,-10/62/31/50,-24/282/0/0,17/2407/343/-229,458/-303/-156,0/0,1610/2282/-12803,-359/183/295,6/-35/-498,#l_sy
r,16811,621405,-10/63/31/50,-30/271/0/0,5/2423/343/-229,460/-304/-145,0/0,1724/2096/-13003,-376/196/272,8/-46/-499,#l_sy
r,16812,621445,-10/64/31/50,-19/280/0/0,16/2516/345/-230,462/-305/-134,0/0,1744/1979/-12989,-363/188/277,10/-57/-500,#l_sy
r,16813,621485,-10/66/31/50,-18/299/0/0,86/2493/412/-228,463/-306/-122,0/0,1698/1808/-12982,-330/169/285,12/-68/-501,#l_sy
r,16814,621525,-10/67/31/50,-10/301/0/0,83/2492/412/-228,465/-308/-110,0/0,1728/1702/-13124,-362/191/281,15/-80/-502,#l_sy
r,16815,621565,-10/68/31/50,-13/305/0/0,95/2579/412/-228,467/-308/-98,0/0,1800/1420/-13034,-318/170/245,17/-91/-503,#l_sy
r,16816,621605,-10/69/31/50,-16/289/0/0,96/2574/411/-228,469/-309/-86,0/0,1804/1324/-13116,-311/168/246,19/-103/-504,#l_sy
r,16817,621646,-10/70/31/50,-9/297/0/0,120/2600/412/-231,469/-310/-74,0/0,1768/1174/-13110,-305/167/239,22/-114/-505,#l_sy
r,16818,621685,-10/71/31/50,-4/303/0/0,91/2598/413/-227,470/-310/-62,0/0,1698/976/-13084,-296/160/244,24/-126/-505,#l_sy
r,16819,621725,-10/73/31/50,-2/271/0/0,90/2665/412/-62,472/-311/-50,0/0,1666/820/-13060,-282/153/245,26/-137/-506,#l_sy
r,16820,621766,-10/74/31/50,-3/273/0/0,91/2685/413/220,472/-311/-38,0/0,1671/680/-13100,-301/166/231,29/-149/-507,#l_sy
r,16821,621807,-10/75/31/51,-5/284/0/0,94/2657/482/221,473/-311/-26,0/0,1554/626/-12924,-262/138/258,31/-160/-507,#l_sy
r,16822,621846,-10/76/31/51,0/279/0/-1,75/2708/486/58,473/-311/-15,0/0,1510/612/-12884,-284/145/261,33/-171/-508,#l_sy
r,16823,621889,-10/77/31/51,0/275/0/-1,58/2738/487/39,473/-311/-3,0/0,1452/604/-12782,-294/145/268,36/-182/-509,#l_sy
r,16824,621926,-10/78/31/51,1/269/0/-1,308/2716/487/43,473/-311/7,0/0,1380/564/-12622,-274/132/263,38/-192/-509,#l_sy
r,16825,621967,-10/79/31/51,2/280/0/-1,544/2726/486/44,473/-311/19,0/0,1328/528/-12700,-305/150/259,40/-203/-510,#l_sy
r,16826,622006,-10/80/31/51,1/286/0/-1,540/2706/485/45,473/-311/30,0/0,1294/502/-12480,-296/141/254,43/-214/-511,#l_sy
r,16827,622046,-10/82/31/51,0/285/0/-1,550/2720/487/51,472/-311/41,0/0,1236/430/-12580,-297/142/262,45/-224/-512,#l_sy
r,16828,622086,-10/83/31/51,0/285/0/-1,306/2812/485/36,471/-311/52,0/0,1284/484/-12576,-334/166/268,47/-235/-513,#l_sy
r,16829,622126,-10/84/31/51,-2/276/0/-1,112/2788/488/54,470/-311/63,0/0,1310/398/-12348,-291/139/247,50/-245/-514,#l_sy
r,16830,622167,-10/85/31/51,0/259/0/-1,55/2775/484/33,469/-310/74,0/0,1296/467/-12458,-341/164/258,52/-255/-515,#l_sy
r,16831,622206,-10/86/31/51,1/280/0/-1,305/2780/487/52,469/-310/85,0/0,1206/498/-12330,-327/147/271,54/-265/-516,#l_sy
r,16832,622247,-10/87/31/51,5/267/0/-1,541/2783/489/52,467/-310/95,0/0,1180/526/-12378,-349/152/270,57/-276/-517,#l_sy
r,16833,622288,-10/88/31/51,2/273/0/-1,526/2792/553/50,465/-309/106,0/0,1148/616/-12336,-363/156/285,59/-286/-518,#l_sy
