r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#r_sy
r,11958,446130,1/52/26/90,0/0/0/0,-228/1644/346/-128,523/-11/-295,0/0,1062/417/-14086,-629/378/309,2/122/-12,#r_sy
r,11959,446166,1/52/26/90,0/0/0/0,-229/1647/344/-129,523/-11/-295,0/0,1054/436/-14094,-631/379/310,2/122/-12,#r_sy
r,11960,446198,1/52/26/90,0/0/0/0,-229/1644/345/-127,523/-11/-295,0/0,1062/448/-14103,-635/381/310,2/122/-12,#r_sy
r,11961,446232,1/52/26/90,0/0/0/0,-229/1643/343/-128,523/-11/-295,0/0,1068/456/-14094,-632/379/309,2/122/-12,#r_sy
r,11962,446265,1/52/26/90,0/0/0/0,-229/1644/342/-126,523/-11/-295,0/0,1070/486/-14092,-634/379/308,2/122/-12,#r_sy
r,11963,446299,1/52/26/90,0/0/0/0,-231/1646/348/-127,523/-11/-295,0/0,1132/568/-14100,-637/381/305,2/122/-12,#r_sy
r,11964,446332,1/52/26/90,0/0/0/0,-227/1650/344/-126,523/-11/-295,0/0,1248/714/-14132,-642/382/300,2/122/-12,#r_sy
r,11965,446365,1/52/26/90,0/0/0/0,-230/1649/344/-128,523/-11/-295,0/0,1416/938/-14074,-640/381/293,2/122/-12,#r_sy
r,11966,446401,1/52/26/90,0/0/0/0,-230/1646/345/-130,523/-11/-295,0/0,1640/1246/-13998,-632/374/283,2/122/-12,#r_sy
r,11967,446441,1/52/26/90,0/0/0/0,-229/1648/347/-128,523/-11/-295,0/0,2056/1736/-13862,-606/364/271,2/122/-12,#r_sy
r,11968,446481,1/52/26/90,0/0/0/0,-230/1649/344/-132,523/-11/-295,0/0,2428/2234/-13788,-582/351/269,2/122/-12,#r_sy
s,0,#r_sy
r,11969,446521,1/52/26/90,0/2/0/0,-229/1864/342/-125,523/-11/-294,0/0,2768/2700/-13646,-559/342/258,2/122/-12,#r_sy
r,11970,446561,1/52/26/90,0/5/0/0,-229/1900/344/-129,523/-11/-294,0/0,2966/3030/-13675,-570/350/266,2/122/-12,#r_sy
r,11971,446601,1/52/26/90,0/2/0/0,-229/1898/342/-128,523/-11/-294,0/0,3194/3364/-13538,-555/343/247,2/121/-12,#r_sy
r,11972,446641,1/52/26/90,0/5/0/0,-229/1894/342/-127,523/-11/-294,0/0,3308/3604/-13396,-553/340/251,1/121/-12,#r_sy
r,11973,446680,1/52/26/90,0/8/0/0,-229/1885/343/-127,523/-11/-294,0/0,3436/3712/-13303,-561/347/237,1/121/-12,#r_sy
r,11974,446721,1/52/26/90,0/10/0/0,-228/1903/344/-128,523/-11/-293,0/0,3512/3712/-13188,-583/363/207,1/121/-12,#r_sy
r,11975,446760,1/52/26/90,0/17/0/0,-228/1901/344/-130,523/-11/-292,0/0,3590/3766/-12910,-554/348/194,1/120/-12,#r_sy
r,11976,446800,1/52/26/90,0/51/0/0,-229/1938/345/-123,524/-11/-291,0/0,3588/3834/-12732,-522/326/202,1/119/-12,#r_sy
r,11977,446840,1/53/26/90,0/47/0/0,-230/1950/345/-131,525/-11/-289,0/0,3604/3948/-12774,-504/313/224,1/117/-12,#r_sy
r,11978,446880,1/53/26/90,0/68/0/0,-229/1989/345/-129,526/-11/-286,0/0,3643/4078/-12882,-495/300/240,1/114/-12,#r_sy
r,11979,446919,1/53/26/90,0/80/2/0,-229/2087/557/-126,528/-11/-283,0/0,3806/4234/-12960,-472/283/240,1/111/-12,#r_sy
r,11980,446960,1/54/26/90,0/134/5/0,-228/2151/588/-130,529/-11/-278,0/0,3898/4346/-13222,-503/297/240,1/106/-12,#r_sy
r,11981,447000,1/54/26/90,0/117/11/0,-229/2165/599/-126,531/-11/-272,0/0,3874/4472/-13384,-550/312/254,1/101/-12,#r_sy
