r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,95633,1980925,9/55/20/90,0/0/0/-2,0/0/0/0,526/-102/-286,0/0,-1066/-294/-14786,-608/292/465,-1709/-172/66,#
r,95634,1980944,9/55/20/90,0/0/0/2,0/0/0/0,526/-102/-286,0/0,-1068/-298/-14775,-608/292/464,-1709/-172/66,#
r,95635,1980965,9/55/20/90,0/0/0/-2,0/0/0/0,526/-102/-286,0/0,-1074/-284/-14764,-607/291/469,-1709/-172/66,#
r,95636,1980985,9/55/20/90,0/0/0/1,0/0/0/0,526/-102/-286,0/0,-1080/-266/-14756,-607/289/471,-1709/-172/66,#
r,95637,1981004,9/55/20/90,0/0/0/-1,0/0/0/0,526/-102/-286,0/0,-1090/-246/-14738,-606/288/475,-1709/-172/66,#
r,95638,1981024,9/55/20/90,0/0/0/2,0/0/0/0,526/-102/-286,0/0,-1084/-238/-14738,-605/288/478,-1709/-172/66,#
r,95639,1981045,9/55/20/90,0/0/0/-2,0/0/0/0,526/-102/-286,0/0,-1098/-230/-14706,-599/285/483,-1709/-172/66,#
r,95640,1981065,9/55/20/90,0/0/0/1,0/0/0/0,526/-102/-286,0/0,-1108/-209/-14694,-596/280/488,-1709/-172/66,#
r,95641,1981084,9/55/20/90,0/0/0/-1,0/0/0/0,526/-102/-286,0/0,-1108/-174/-14694,-596/277/497,-1709/-172/66,#
r,95642,1981105,9/55/20/90,0/0/0/1,0/0/0/0,526/-102/-286,0/0,-1118/-158/-14672,-593/274/500,-1709/-172/66,#
r,95643,1981125,9/55/20/90,0/0/0/-2,0/0/0/0,526/-102/-286,0/0,-1148/-158/-14672,-592/271/509,-1709/-172/66,#
r,95644,1981145,9/55/20/90,0/0/0/1,0/0/0/0,526/-102/-286,0/0,-1158/-136/-14675,-592/268/517,-1709/-172/66,#
r,95645,1981165,9/55/20/90,0/0/0/-2,0/0/0/0,526/-102/-286,0/0,-1198/-122/-14675,-591/264/531,-1709/-172/66,#
r,95646,1981185,9/55/20/90,0/0/0/1,0/0/0/0,526/-102/-286,0/0,-1216/-108/-14636,-585/258/538,-1709/-172/66,#
r,95647,1981205,9/55/20/90,0/0/0/-1,0/0/0/0,526/-102/-286,0/0,-1244/-90/-14616,-579/252/550,-1709/-172/66,#
r,95648,1981225,9/55/20/90,0/0/0/1,0/0/0/0,526/-102/-286,0/0,-1266/-76/-14602,-571/242/556,-1709/-172/66,#
r,95649,1981244,9/55/20/90,0/0/0/-1,0/0/0/0,526/-102/-286,0/0,-1286/-34/-14578,-566/233/573,-1709/-172/66,#
r,95650,1981265,9/55/20/90,0/0/0/1,0/0/0/0,526/-102/-286,0/0,-1294/14/-14512,-556/225/588,-1709/-172/66,#
r,95651,1981284,9/55/20/90,0/0/0/-1,0/0/0/0,526/-102/-286,0/0,-1320/56/-14486,-548/216/607,-1709/-172/66,#
r,95652,1981304,9/55/20/90,0/0/0/2,0/0/0/0,526/-102/-286,0/0,-1326/82/-14448,-533/205/614,-1709/-172/66,#
r,95653,1981325,9/55/20/90,0/0/0/0,0/0/0/0,526/-102/-286,0/0,-1362/146/-14402,-530/197/630,-1709/-172/66,#
r,95654,1981344,9/55/20/90,2/0/0/1,0/0/0/0,526/-102/-286,0/0,-1386/214/-14364,-526/186/648,-1709/-172/66,#
r,95655,1981365,9/55/20/90,7/0/0/-1,0/0/0/0,526/-102/-286,0/0,-1408/274/-14298,-513/173/670,-1709/-172/67,#
r,95656,1981385,10/55/20/90,3/0/0/1,0/0/0/0,526/-102/-286,0/0,-1394/320/-14244,-502/166/677,-1709/-172/67,#
r,95657,1981405,10/55/20/90,12/0/0/-1,0/0/0/0,526/-103/-286,0/0,-1418/354/-14202,-492/155/692,-1709/-172/67,#
r,95658,1981424,10/55/20/90,13/0/0/1,0/0/0/0,526/-103/-286,0/0,-1426/400/-14142,-487/147/704,-1709/-172/67,#
r,95659,1981445,10/55/20/90,17/0/0/-1,0/0/0/0,525/-103/-286,0/0,-1444/446/-14086,-481/138/719,-1709/-173/67,#
r,95660,1981467,10/55/20/90,30/0/0/3,0/0/0/0,525/-104/-286,0/0,-1434/460/-14042,-473/132/719,-1709/-173/68,#
r,95661,1981487,10/55/20/90,38/0/0/0,0/0/0/0,525/-105/-286,0/0,-1424/504/-14016,-477/131/728,-1710/-173/69,#
r,95662,1981507,10/55/20/90,37/0/0/2,0/0/0/0,525/-105/-286,0/0,-1408/512/-13966,-467/125/733,-1710/-173/69,#
r,95663,1981527,10/55/20/90,32/0/0/0,0/0/0/0,525/-106/-286,0/0,-1410/546/-13910,-470/126/743,-1710/-173/70,#
r,95664,1981548,10/55/20/90,39/0/0/0,0/0/0/0,525/-107/-286,0/0,-1414/532/-13866,-458/120/739,-1710/-173/71,#
r,95665,1981567,10/55/20/90,46/0/0/0,0/0/0/0,525/-108/-286,0/0,-1448/516/-13836,-452/115/744,-1711/-173/72,#
r,95666,1981588,10/55/20/90,39/0/0/0,0/0/0/0,524/-109/-286,0/0,-1456/548/-13780,-442/108/756,-1711/-173/73,#
r,95667,1981608,10/55/20/90,71/0/0/0,0/0/0/0,524/-111/-286,0/0,-1436/582/-13766,-450/113/757,-1711/-174/75,#
r,95668,1981627,10/55/20/90,64/0/0/0,0/0/0/0,524/-112/-286,0/0,-1416/548/-13744,-444/114/743,-1712/-174/76,#
r,95669,1981647,11/55/20/90,67/0/0/0,0/0/0/0,524/-114/-286,0/0,-1396/566/-13680,-436/111/746,-1712/-174/78,#
r,95670,1981668,11/55/20/90,89/0/0/0,0/0/0/0,523/-115/-286,0/0,-1364/590/-13624,-429/110/742,-1713/-174/79,#
r,95671,1981687,11/55/20/90,77/0/0/-1,0/0/0/0,523/-117/-286,0/0,-1328/582/-13560,-420/109/726,-1713/-175/81,#
r,95672,1981708,11/55/20/90,103/0/0/2,0/0/0/0,523/-119/-286,0/0,-1308/572/-13475,-398/102/717,-1714/-175/83,#
r,95673,1981727,11/55/20/90,96/0/0/-1,0/0/0/0,523/-121/-286,0/0,-1286/604/-13417,-396/105/713,-1715/-175/85,#
r,95674,1981748,11/55/20/90,72/0/0/1,0/0/0/0,523/-123/-286,0/0,-1268/578/-13356,-382/103/694,-1715/-175/87,#
r,95675,1981767,12/55/20/90,66/0/0/-1,0/0/0/0,522/-126/-286,0/0,-1256/596/-13289,-379/104/690,-1716/-176/89,#
r,95676,1981787,12/55/20/90,98/0/0/1,0/0/0/0,522/-128/-286,0/0,-1240/602/-13194,-363/103/687,-1717/-176/92,#
r,95677,1981808,12/55/20/90,140/0/0/-1,0/0/0/0,521/-130/-286,0/0,-1216/540/-13128,-354/107/662,-1717/-176/94,#
r,95678,1981827,12/55/20/90,141/0/0/1,0/0/0/0,521/-133/-286,0/0,-1214/471/-13017,-324/98/642,-1718/-177/96,#
r,95679,1981847,13/55/20/90,131/1/0/-1,0/0/0/0,520/-135/-286,0/0,-1190/520/-12946,-323/100/647,-1719/-177/99,#
r,95680,1981867,13/55/20/90,128/11/0/1,0/0/0/0,520/-138/-286,0/0,-1170/473/-12862,-305/100/625,-1719/-177/101,#
r,95681,1981887,13/55/20/90,128/5/0/-1,0/0/0/0,519/-140/-286,0/0,-1130/376/-12764,-294/104/595,-1720/-177/104,#
r,95682,1981907,13/55/20/90,140/9/0/1,0/0/0/0,519/-143/-285,0/0,-1098/352/-12670,-277/103/585,-1721/-177/106,#
r,95683,1981927,14/55/20/90,133/11/0/-1,0/0/0/0,518/-145/-285,0/0,-1104/372/-12592,-274/105/584,-1722/-178/109,#
r,95684,1981948,14/55/20/90,117/16/0/1,0/0/0/0,518/-148/-285,0/0,-1104/290/-12464,-246/96/563,-1722/-178/111,#
r,95685,1981967,14/55/20/90,117/20/0/-2,0/0/0/0,518/-150/-284,0/0,-1098/252/-12338,-222/88/555,-1723/-178/114,#
r,95686,1981987,14/55/20/90,142/27/0/1,0/0/0/0,518/-153/-284,0/0,-1084/248/-12214,-203/83/555,-1724/-177/117,#
r,95687,1982007,15/55/20/90,139/28/0/-1,0/0/0/0,517/-156/-283,0/0,-1092/228/-12144,-207/89/551,-1724/-177/119,#
r,95688,1982027,15/55/20/90,121/48/4/2,0/0/0/0,517/-158/-282,0/0,-1114/132/-12102,-201/89/542,-1725/-177/122,#
r,95689,1982047,15/55/20/90,137/53/0/-1,0/0/0/0,517/-161/-281,0/0,-1118/70/-12090,-210/97/539,-1726/-176/124,#
r,95690,1982067,15/55/20/90,117/46/1/1,0/0/0/0,517/-163/-280,0/0,-1130/-6/-12062,-210/103/530,-1726/-175/127,#
r,95691,1982088,15/55/20/90,105/52/1/-1,0/0/0/0,517/-166/-279,0/0,-1156/-102/-12008,-196/99/514,-1726/-175/129,#
r,95692,1982108,16/55/20/90,116/61/1/1,0/0/0/0,517/-169/-278,0/0,-1166/-192/-11914,-177/93/504,-1727/-174/132,#
r,95693,1982128,16/56/20/90,131/83/0/-1,0/0/0/0,517/-171/-276,0/0,-1146/-246/-11858,-163/89/491,-1727/-172/135,#
r,95694,1982149,16/56/20/90,73/109/0/2,0/0/0/0,517/-173/-274,0/0,-1140/-276/-11824,-162/93/478,-1727/-171/137,#
r,95695,1982168,16/56/20/90,83/122/0/-1,0/0/0/0,517/-176/-272,0/0,-1182/-290/-11814,-172/97/482,-1728/-170/139,#
