r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,82731,1705143,74/36/52/76,-43/0/0/0,0/0/0/0,212/-500/-272,0/0,-1402/-246/-14478,-613/262/343,-1762/-104/595,#
r,82732,1705163,73/36/52/76,-71/0/0/0,0/0/0/0,213/-500/-272,0/0,-1446/-216/-14452,-608/253/369,-1762/-104/594,#
r,82733,1705183,73/36/52/76,-74/0/0/0,0/0/0/0,214/-499/-272,0/0,-1448/-242/-14462,-605/252/366,-1762/-104/592,#
r,82734,1705204,73/36/52/76,-77/0/0/0,0/0/0/0,215/-499/-272,0/0,-1466/-235/-14470,-600/245/380,-1762/-104/591,#
r,82735,1705223,73/36/52/76,-57/0/0/0,0/0/0/0,216/-498/-272,0/0,-1496/-200/-14486,-601/240/396,-1761/-103/590,#
r,82736,1705243,73/36/52/76,-75/0/0/0,0/0/0/0,217/-498/-272,0/0,-1490/-180/-14517,-607/241/393,-1761/-103/589,#
r,82737,1705262,73/36/52/76,-55/0/0/0,0/0/0/0,218/-497/-272,0/0,-1482/-211/-14520,-602/239/386,-1761/-103/587,#
r,82738,1705282,73/36/52/76,-58/0/0/0,0/0/0/0,219/-496/-272,0/0,-1466/-228/-14512,-598/237/387,-1761/-103/586,#
r,82739,1705302,73/36/52/76,-54/0/0/0,0/0/0/0,220/-496/-272,0/0,-1476/-232/-14514,-598/236/394,-1760/-103/585,#
r,82740,1705322,72/36/52/76,-62/0/0/0,0/0/0/0,221/-495/-272,0/0,-1464/-266/-14506,-601/240/381,-1760/-103/583,#
r,82741,1705342,72/36/52/76,-64/0/0/0,0/0/0/0,222/-495/-272,0/0,-1458/-264/-14503,-605/243/378,-1760/-103/582,#
r,82742,1705362,72/36/52/76,-43/0/0/0,0/0/0/0,223/-494/-272,0/0,-1486/-258/-14482,-597/234/389,-1760/-103/581,#
r,82743,1705382,72/36/52/76,-88/0/0/0,0/0/0/0,223/-494/-272,0/0,-1522/-264/-14482,-587/226/387,-1760/-103/580,#
r,82744,1705403,72/36/52/76,-75/0/0/0,0/0/0/0,224/-493/-272,0/0,-1540/-260/-14502,-588/224/391,-1759/-103/578,#
r,82745,1705422,72/36/52/76,-81/0/0/0,0/0/0/0,225/-493/-272,0/0,-1570/-200/-14500,-595/222/407,-1759/-103/577,#
r,82746,1705442,72/36/52/76,-48/0/0/0,0/0/0/0,227/-492/-272,0/0,-1628/-122/-14464,-597/213/428,-1759/-102/575,#
r,82747,1705463,72/36/52/76,-58/0/0/0,0/0/0/0,228/-491/-272,0/0,-1682/-60/-14424,-593/199/446,-1759/-102/574,#
r,82748,1705483,71/36/52/76,-57/0/0/0,0/0/0/0,228/-491/-272,0/0,-1704/8/-14378,-592/188/463,-1758/-102/573,#
r,82749,1705503,71/36/52/76,-47/0/0/0,0/0/0/0,229/-490/-272,0/0,-1736/104/-14300,-583/168/503,-1758/-102/572,#
r,82750,1705523,71/36/52/76,-49/0/0/0,0/0/0/0,230/-490/-272,0/0,-1766/186/-14228,-575/149/538,-1758/-102/570,#
r,82751,1705544,71/36/52/76,-34/0/0/0,0/0/0/0,231/-489/-272,0/0,-1806/332/-14156,-575/131/590,-1758/-102/569,#
r,82752,1705571,71/36/52/77,-45/0/0/3,0/0/0/0,232/-488/-272,0/0,-1968/550/-13989,-558/91/680,-1757/-102/568,#
r,82753,1705591,71/36/52/77,-20/0/0/4,0/0/0/0,233/-488/-272,0/0,-2060/644/-13972,-566/81/715,-1757/-102/567,#
r,82754,1705611,71/36/52/77,-7/0/0/8,0/0/0/0,233/-488/-272,0/0,-2176/648/-13992,-592/82/765,-1757/-102/567,#
r,82755,1705631,71/36/52/77,8/0/0/13,0/0/0/0,233/-488/-272,0/0,-2268/756/-14044,-630/89/828,-1757/-102/567,#
r,82756,1705652,71/36/52/77,11/0/0/19,0/0/0/0,232/-489/-272,0/0,-2256/658/-14064,-646/98/807,-1757/-102/568,#
r,82757,1705672,71/36/52/77,19/0/0/24,0/0/0/0,232/-489/-272,0/0,-2204/550/-14025,-638/99/768,-1758/-102/569,#
r,82758,1705692,71/36/52/77,29/0/0/28,0/0/0/0,231/-489/-272,0/0,-2192/640/-13992,-650/96/803,-1758/-102/570,#
r,82759,1705711,71/36/52/77,30/0/0/29,0/0/0/0,230/-490/-272,0/0,-2166/724/-13917,-649/90/816,-1758/-102/572,#
r,82760,1705737,71/36/52/77,62/0/0/35,0/0/0/0,228/-491/-272,0/0,-2082/670/-13789,-626/82/780,-1758/-102/573,#
r,82761,1705757,71/36/52/77,49/0/0/54,0/0/0/0,228/-491/-272,0/0,-2082/652/-13724,-610/72/788,-1759/-103/575,#
r,82762,1705777,71/36/52/77,57/0/0/43,0/0/0/0,226/-492/-272,0/0,-2144/730/-13725,-624/71/824,-1759/-103/577,#
r,82763,1705797,72/36/52/77,52/0/0/63,0/0/0/0,225/-493/-272,0/0,-2172/716/-13728,-617/65/825,-1760/-103/580,#
r,82764,1705817,72/36/52/77,93/0/0/74,0/0/0/0,223/-494/-272,0/0,-2192/636/-13766,-616/68/818,-1760/-103/583,#
r,82765,1705837,72/36/52/77,110/0/0/73,0/0/0/0,221/-496/-272,0/0,-2276/670/-13739,-596/51/855,-1761/-103/586,#
r,82766,1705857,72/36/52/78,102/0/0/94,0/0/0/0,219/-497/-272,0/0,-2314/690/-13680,-571/33/859,-1761/-104/590,#
r,82767,1705877,72/36/52/78,116/0/0/70,0/0/0/0,217/-498/-272,0/0,-2284/672/-13617,-531/10/836,-1762/-104/594,#
r,82768,1705897,73/36/52/78,134/0/0/86,0/0/0/0,214/-500/-272,0/0,-2248/690/-13496,-464/-29/838,-1763/-104/598,#
r,82769,1705917,73/36/52/78,145/0/3/95,0/0/0/0,211/-502/-272,0/0,-2132/732/-13432,-428/-49/823,-1763/-105/603,#
r,82770,1705937,73/36/52/78,152/0/4/126,0/0/0/0,208/-504/-272,0/0,-1945/762/-13370,-408/-50/771,-1764/-105/608,#
r,82771,1705958,73/36/52/79,120/0/15/149,0/0/0/0,205/-505/-272,0/0,-1787/798/-13256,-368/-62/720,-1765/-106/613,#
r,82772,1705977,74/36/52/79,159/3/18/119,0/0/0/0,201/-507/-271,0/0,-1684/878/-13164,-329/-80/693,-1766/-106/618,#
r,82773,1705997,74/36/52/79,122/13/14/136,0/0/0/0,198/-509/-271,0/0,-1606/932/-13136,-305/-87/672,-1766/-106/623,#
r,82774,1706018,74/36/52/79,159/16/19/131,0/0/0/0,195/-511/-271,0/0,-1544/846/-13148,-278/-85/641,-1767/-106/629,#
r,82775,1706037,75/36/52/80,162/21/30/166,0/0/0/0,190/-514/-270,0/0,-1486/756/-13158,-251/-90/594,-1767/-106/636,#
r,82776,1706057,75/36/52/80,139/39/40/163,0/0/0/0,187/-516/-269,0/0,-1544/604/-13214,-248/-81/568,-1767/-107/642,#
