r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,155473,3210597,8/71/12/86,0/0/-41/0,0/0/0/0,429/451/-148,0/0,-1196/-26/-15300,-711/308/553,-1761/-131/-432,#
r,155474,3210624,8/71/12/86,0/0/-30/0,0/0/0/0,429/451/-148,0/0,-1200/16/-15224,-704/302/558,-1762/-132/-432,#
r,155475,3210646,8/71/12/86,0/0/-46/0,0/0/0/0,429/451/-149,0/0,-1230/44/-15106,-685/287/572,-1763/-133/-432,#
r,155476,3210665,8/71/12/86,0/0/-31/0,0/0/0/0,429/451/-150,0/0,-1252/32/-15034,-674/278/577,-1763/-134/-432,#
r,155477,3210689,8/71/12/86,0/0/-56/0,0/0/0/0,429/451/-150,0/0,-1274/18/-14956,-665/272/581,-1764/-134/-432,#
r,155478,3210712,8/71/12/86,0/0/-41/0,0/0/0/0,429/451/-151,0/0,-1304/8/-14825,-648/260/593,-1764/-135/-432,#
r,155479,3210731,8/71/12/86,0/0/-38/0,0/0/0/0,429/451/-151,0/0,-1308/30/-14792,-648/260/596,-1765/-135/-432,#
r,155480,3210756,8/71/11/86,0/0/-37/0,0/0/0/0,429/451/-152,0/0,-1302/62/-14736,-642/256/598,-1765/-136/-432,#
r,155481,3210777,8/71/11/86,0/0/-38/0,0/0/0/0,429/451/-152,0/0,-1308/104/-14662,-634/250/602,-1766/-137/-432,#
r,155482,3210797,8/71/11/86,0/0/-31/0,0/0/0/0,429/451/-153,0/0,-1322/114/-14602,-619/239/610,-1766/-137/-432,#
r,155483,3210824,8/71/11/86,0/0/-44/0,0/0/0/0,429/451/-153,0/0,-1348/117/-14544,-607/230/617,-1767/-138/-432,#
r,155484,3210845,8/71/11/86,0/0/-26/0,0/0/0/0,429/451/-154,0/0,-1344/138/-14512,-603/227/619,-1768/-139/-432,#
r,155485,3210865,8/71/11/86,0/0/-35/0,0/0/0/0,429/451/-155,0/0,-1328/160/-14516,-606/227/622,-1768/-139/-432,#
r,155486,3210889,8/71/11/86,0/0/-20/0,0/0/0/0,429/451/-155,0/0,-1354/170/-14480,-599/221/636,-1768/-140/-432,#
r,155487,3210912,8/71/11/86,-1/0/-26/0,0/0/0/0,429/451/-155,0/0,-1392/168/-14420,-580/207/650,-1769/-140/-432,#
r,155488,3210931,8/71/11/86,-1/0/-27/0,0/0/0/0,429/451/-156,0/0,-1388/180/-14360,-565/199/652,-1769/-141/-432,#
r,155489,3210955,8/71/11/86,-1/0/-28/0,0/0/0/0,429/451/-156,0/0,-1398/192/-14308,-548/187/661,-1769/-141/-432,#
r,155490,3210978,8/71/11/86,-1/0/-13/0,0/0/0/0,428/451/-156,0/0,-1434/228/-14282,-537/174/682,-1769/-141/-432,#
r,155491,3210997,8/71/11/86,-3/0/-8/0,0/0/0/0,428/451/-156,0/0,-1448/226/-14242,-529/168/692,-1770/-141/-432,#
r,155492,3211024,8/71/11/86,-8/0/-5/0,0/0/0/0,428/451/-156,0/0,-1448/211/-14230,-527/167/692,-1770/-141/-432,#
r,155493,3211044,8/71/11/86,-12/0/-3/0,0/0/0/0,428/451/-156,0/0,-1470/192/-14192,-516/161/694,-1770/-142/-432,#
r,155494,3211067,8/71/11/86,-21/0/0/0,0/0/0/0,427/452/-156,0/0,-1488/188/-14172,-515/159/698,-1770/-142/-433,#
r,155495,3211087,8/71/11/86,-24/0/0/0,0/0/0/0,427/452/-156,0/0,-1468/160/-14138,-506/153/691,-1770/-142/-434,#
r,155496,3211111,8/71/11/86,-28/0/1/0,0/0/0/0,426/453/-156,0/0,-1478/122/-14058,-491/145/688,-1770/-142/-434,#
r,155497,3211132,8/71/11/86,-32/0/0/0,0/0/0/0,426/454/-156,0/0,-1516/98/-13980,-473/132/700,-1771/-142/-435,#
r,155498,3211156,8/71/11/86,-40/0/2/0,0/0/0/0,425/454/-156,0/0,-1524/114/-13984,-477/133/703,-1771/-142/-436,#
r,155499,3211176,7/71/11/86,-54/0/0/0,0/0/0/0,425/455/-156,0/0,-1536/148/-13966,-476/131/711,-1771/-142/-437,#
r,155500,3211198,7/71/11/86,-64/0/0/0,0/0/0/0,424/456/-156,0/0,-1600/182/-13958,-482/129/743,-1771/-142/-438,#
r,155501,3211225,7/71/11/86,-61/0/0/0,0/0/0/0,423/457/-156,0/0,-1642/170/-13986,-485/128/758,-1772/-142/-440,#
r,155502,3211245,7/71/11/86,-106/0/1/0,0/0/0/0,422/459/-156,0/0,-1634/162/-13998,-479/125/759,-1772/-142/-441,#
r,155503,3211265,7/71/11/86,-92/0/0/0,0/0/0/0,421/460/-156,0/0,-1618/190/-14003,-485/128/765,-1772/-142/-443,#
r,155504,3211284,7/71/11/86,-87/0/1/0,0/0/0/0,420/462/-156,0/0,-1594/252/-13982,-480/124/770,-1773/-142/-445,#
r,155505,3211304,6/71/11/86,-109/0/0/0,0/0/0/0,419/463/-156,0/0,-1546/290/-13982,-478/122/762,-1773/-142/-447,#
r,155506,3211324,6/71/11/86,-130/0/2/0,0/0/0/0,417/465/-156,0/0,-1504/296/-13946,-467/118/753,-1774/-142/-449,#
r,155507,3211345,6/71/11/86,-120/0/0/0,0/0/0/0,415/467/-156,0/0,-1512/324/-13880,-458/113/762,-1775/-142/-452,#
r,155508,3211365,6/71/11/86,-99/0/1/0,0/0/0/0,414/469/-156,0/0,-1490/328/-13856,-455/114/762,-1775/-142/-454,#
r,155509,3211384,5/71/11/86,-152/0/0/0,0/0/0/0,411/472/-156,0/0,-1434/324/-13836,-445/114/743,-1776/-143/-457,#
r,155510,3211404,5/71/11/86,-156/0/3/0,0/0/0/0,409/474/-156,0/0,-1348/286/-13817,-430/114/719,-1777/-143/-460,#
r,155511,3211425,5/71/11/86,-168/0/0/0,0/0/0/0,408/477/-156,0/0,-1320/290/-13808,-413/106/722,-1777/-143/-463,#
r,155512,3211444,5/71/11/86,-177/0/2/0,0/0/0/0,405/479/-156,0/0,-1246/268/-13816,-414/113/692,-1778/-143/-467,#
r,155513,3211464,4/71/11/86,-171/0/2/0,0/0/0/0,403/482/-156,0/0,-1136/270/-13748,-384/104/656,-1779/-143/-470,#
r,155514,3211484,4/71/11/86,-169/0/4/0,0/0/0/0,400/485/-156,0/0,-1118/256/-13680,-369/100/645,-1780/-143/-474,#
r,155515,3211504,4/71/11/86,-178/0/7/0,0/0/0/0,398/487/-156,0/0,-1096/274/-13630,-357/96/643,-1780/-143/-477,#
r,155516,3211524,3/71/11/86,-206/0/11/0,0/0/0/0,395/490/-156,0/0,-1068/284/-13589,-351/96/640,-1781/-143/-481,#
r,155517,3211544,3/71/11/86,-196/0/12/0,0/0/0/0,392/493/-156,0/0,-1134/298/-13546,-342/88/673,-1782/-143/-485,#
