r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,107508,2223993,-8/54/24/49,24/0/0/0,0/0/0/0,428/312/-252,0/0,-1684/818/-15248,-770/307/896,-1707/-40/-500,#
r,107509,2224013,-8/54/24/49,43/0/0/0,0/0/0/0,428/312/-252,0/0,-1666/780/-15256,-774/311/887,-1707/-40/-499,#
r,107510,2224033,-8/54/24/49,59/0/0/0,0/0/0/0,429/311/-252,0/0,-1687/822/-15264,-780/313/901,-1707/-40/-498,#
r,107511,2224053,-8/54/24/49,59/0/0/0,0/0/0/0,429/310/-252,0/0,-1694/820/-15252,-774/307/909,-1707/-40/-497,#
r,107512,2224085,-8/54/24/49,62/0/0/0,0/0/0/0,430/309/-252,0/0,-1671/756/-15262,-777/310/893,-1707/-41/-496,#
r,107513,2224106,-7/54/24/49,48/0/0/0,0/0/0/0,431/307/-252,0/0,-1658/794/-15282,-789/317/903,-1707/-41/-494,#
r,107514,2224126,-7/54/24/49,74/0/0/0,0/0/0/0,431/305/-252,0/0,-1674/838/-15262,-780/311/918,-1707/-41/-492,#
r,107515,2224145,-7/54/24/49,98/0/0/0,0/0/0/0,432/304/-252,0/0,-1648/820/-15170,-769/309/908,-1708/-42/-490,#
r,107516,2224165,-7/54/24/49,114/0/0/0,0/0/0/0,433/303/-252,0/0,-1618/812/-15116,-765/312/899,-1708/-42/-489,#
r,107517,2224185,-7/54/24/49,67/0/0/0,0/0/0/0,434/301/-252,0/0,-1602/816/-15078,-761/315/901,-1708/-42/-487,#
r,107518,2224205,-6/54/24/49,74/0/0/0,0/0/0/0,435/299/-252,0/0,-1580/824/-15039,-760/318/896,-1708/-42/-485,#
r,107519,2224226,-6/54/24/49,107/0/0/0,0/0/0/0,436/297/-252,0/0,-1550/790/-15034,-765/326/882,-1708/-43/-483,#
r,107520,2224245,-6/54/24/49,104/0/0/0,0/0/0/0,436/296/-252,0/0,-1524/772/-15058,-779/336/873,-1708/-43/-481,#
r,107521,2224265,-6/54/24/49,80/0/0/0,0/0/0/0,437/294/-252,0/0,-1504/786/-15088,-795/348/874,-1708/-43/-479,#
r,107522,2224285,-6/54/24/49,130/0/0/0,0/0/0/0,438/292/-252,0/0,-1510/796/-15108,-813/359/871,-1709/-44/-476,#
r,107523,2224305,-5/54/24/49,129/0/0/0,0/0/0/0,439/290/-252,0/0,-1548/800/-15084,-825/370/872,-1709/-44/-474,#
r,107524,2224325,-5/54/24/49,131/0/0/0,0/0/0/0,441/287/-252,0/0,-1584/804/-15042,-835/378/877,-1709/-45/-472,#
r,107525,2224345,-5/54/24/49,100/0/0/0,0/0/0/0,442/285/-252,0/0,-1572/828/-15078,-861/395/881,-1709/-45/-469,#
r,107526,2224366,-5/54/24/49,133/0/0/0,0/0/0/0,442/283/-252,0/0,-1582/896/-15144,-896/416/893,-1709/-45/-466,#
r,107527,2224385,-4/54/24/49,144/0/0/0,0/0/0/0,444/280/-252,0/0,-1564/966/-15189,-931/438/904,-1710/-46/-464,#
r,107528,2224405,-4/54/24/49,140/0/0/0,0/0/0/0,445/278/-252,0/0,-1492/964/-15194,-950/458/896,-1710/-46/-461,#
r,107529,2224425,-4/54/24/49,131/0/-3/0,0/0/0/0,446/275/-252,0/0,-1414/918/-15208,-952/466/881,-1710/-47/-458,#
r,107530,2224445,-3/54/24/49,158/0/-4/0,0/0/0/0,447/273/-252,0/0,-1340/993/-15122,-941/466/889,-1710/-47/-455,#
r,107531,2224465,-3/54/24/49,162/0/-4/0,0/0/0/0,448/270/-252,0/0,-1286/1046/-14982,-938/471/893,-1711/-48/-452,#
r,107532,2224485,-3/54/24/49,166/0/-5/0,0/0/0/0,450/267/-252,0/0,-1200/1040/-14872,-926/474/867,-1711/-48/-449,#
r,107533,2224505,-3/54/24/49,166/0/-2/0,0/0/0/0,451/264/-252,0/0,-1166/1064/-14738,-914/470/856,-1711/-49/-446,#
r,107534,2224525,-2/54/24/49,128/0/-3/0,0/0/0/0,452/261/-252,0/0,-1142/1202/-14608,-910/471/874,-1711/-50/-443,#
r,107535,2224545,-2/54/24/49,159/0/-2/0,0/0/0/0,453/258/-252,0/0,-1122/1224/-14474,-898/471/881,-1712/-50/-440,#
r,107536,2224566,-2/54/23/49,151/0/-1/0,0/0/0/0,454/256/-252,0/0,-1132/1188/-14303,-870/459/874,-1712/-51/-437,#
r,107537,2224586,-1/54/23/49,147/0/0/0,0/0/0/0,456/253/-252,0/0,-1138/1240/-14184,-857/451/878,-1712/-51/-433,#
r,107538,2224605,-1/54/23/49,182/0/0/0,0/0/0/0,457/250/-252,0/0,-1192/1366/-14067,-842/436/903,-1712/-52/-430,#
r,107539,2224626,-1/54/23/49,191/0/0/0,0/0/0/0,458/246/-252,0/0,-1216/1420/-13928,-820/421/911,-1713/-52/-427,#
r,107540,2224645,0/54/23/49,186/0/0/0,0/0/0/0,459/243/-252,0/0,-1224/1364/-13746,-780/402/905,-1713/-53/-423,#
r,107541,2224665,0/54/24/49,171/0/0/0,0/0/0/0,461/240/-252,0/0,-1224/1398/-13622,-764/394/913,-1713/-53/-420,#
r,107542,2224691,1/54/24/49,178/0/2/0,0/0/0/0,462/237/-252,0/0,-1214/1496/-13520,-753/386/939,-1714/-54/-416,#
r,107543,2224710,1/54/24/49,157/0/2/0,0/0/0/0,463/233/-252,0/0,-1170/1422/-13432,-729/377/925,-1714/-54/-412,#
r,107544,2224731,1/54/24/49,184/0/1/0,0/0/0/0,464/230/-252,0/0,-1118/1310/-13308,-708/364/892,-1714/-55/-409,#
r,107545,2224752,2/54/24/49,190/0/0/4,0/0/0/0,466/226/-252,0/0,-1064/1360/-13324,-718/372/895,-1715/-55/-405,#
r,107546,2224776,2/54/24/49,197/0/0/4,0/0/0/0,467/222/-252,0/0,-1054/1326/-13272,-708/367/903,-1715/-56/-401,#
