r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,64066,1314397,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1526/469/-14610,-590/247/498,1789/-158/-488,#
r,64067,1314417,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1548/458/-14584,-585/244/494,1789/-158/-488,#
r,64068,1314437,-2/56/23/90,0/0/0/4,0/0/0/0,354/479/-250,0/0,-1558/446/-14562,-580/242/492,1789/-158/-487,#
r,64069,1314457,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1538/434/-14544,-578/243/476,1789/-158/-487,#
r,64070,1314483,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1540/438/-14516,-576/243/474,1789/-158/-487,#
r,64071,1314497,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1550/423/-14488,-579/247/466,1789/-158/-487,#
r,64072,1314518,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1540/410/-14466,-576/249/453,1789/-158/-487,#
r,64073,1314537,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1512/370/-14428,-571/251/436,1789/-158/-487,#
r,64074,1314557,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1488/350/-14375,-564/252/429,1789/-158/-487,#
r,64075,1314577,-2/56/23/90,0/0/0/0,0/0/0/0,354/479/-250,0/0,-1464/346/-14348,-564/258/406,1789/-158/-487,#
r,64076,1314597,-2/56/23/90,0/0/0/1,0/0/0/0,354/479/-250,0/0,-1406/344/-14314,-564/265/382,1789/-158/-487,#
r,64077,1314617,-2/56/23/90,0/0/0/-1,0/0/0/0,354/479/-250,0/0,-1334/340/-14252,-555/267/364,1789/-158/-487,#
r,64078,1314637,-2/56/23/90,1/0/0/2,0/0/0/0,354/479/-250,0/0,-1276/330/-14188,-547/270/350,1789/-158/-487,#
r,64079,1314658,-2/56/23/90,1/0/0/-1,0/0/0/0,354/479/-250,0/0,-1196/320/-14153,-540/273/323,1789/-158/-487,#
r,64080,1314678,-2/56/23/90,4/0/0/2,0/0/0/0,354/479/-250,0/0,-1136/324/-14112,-534/276/313,1789/-158/-487,#
r,64081,1314698,-2/56/23/90,2/0/0/-1,0/0/0/0,354/479/-250,0/0,-1110/314/-14072,-523/273/298,1789/-158/-487,#
r,64082,1314719,-2/56/23/90,4/0/0/2,0/0/0/0,354/479/-250,0/0,-1108/330/-14050,-521/274/298,1789/-158/-487,#
r,64083,1314739,-2/56/23/90,6/0/0/-1,0/0/0/0,354/479/-250,0/0,-1080/292/-14038,-520/276/284,1789/-158/-487,#
r,64084,1314758,-2/56/23/90,11/0/0/1,0/0/0/0,355/479/-250,0/0,-1082/302/-14032,-518/275/293,1789/-158/-487,#
r,64085,1314778,-2/56/23/90,17/0/0/-1,0/0/0/0,355/479/-250,0/0,-1080/284/-13992,-513/273/285,1790/-158/-486,#
r,64086,1314798,-2/56/23/90,11/0/0/1,0/0/0/0,355/478/-250,0/0,-1064/294/-13956,-507/268/282,1790/-158/-486,#
r,64087,1314818,-2/56/23/90,14/0/0/-1,0/0/0/0,355/478/-250,0/0,-1028/290/-13898,-498/264/274,1790/-158/-486,#
r,64088,1314838,-2/56/23/90,13/0/0/1,0/0/0/0,356/478/-250,0/0,-1018/304/-13850,-485/255/280,1790/-158/-485,#
r,64089,1314859,-2/56/23/90,19/0/0/-1,0/0/0/0,356/478/-250,0/0,-997/296/-13817,-479/253/266,1790/-158/-485,#
r,64090,1314878,-2/56/23/90,14/0/0/1,0/0/0/0,356/477/-250,0/0,-960/270/-13774,-472/250/254,1790/-158/-484,#
r,64091,1314899,-2/56/23/90,25/0/0/-1,0/0/0/0,357/477/-250,0/0,-947/208/-13820,-486/261/245,1790/-158/-484,#
r,64092,1314919,-1/56/23/90,29/0/0/1,0/0/0/0,357/476/-250,0/0,-935/240/-13860,-502/270/250,1790/-158/-483,#
r,64093,1314938,-1/56/23/90,32/0/0/-1,0/0/0/0,358/476/-250,0/0,-897/230/-13808,-486/265/236,1791/-158/-483,#
r,64094,1314958,-1/56/23/90,32/0/0/1,0/0/0/0,359/475/-250,0/0,-882/316/-13732,-473/257/255,1791/-158/-482,#
r,64095,1314978,-1/56/23/90,37/0/0/-1,0/0/0/0,359/475/-250,0/0,-868/356/-13662,-464/251/263,1791/-158/-481,#
r,64096,1314998,-1/56/23/90,46/0/0/1,0/0/0/0,360/474/-250,0/0,-874/421/-13588,-453/244/284,1791/-158/-480,#
r,64097,1315018,-1/56/23/90,66/0/0/-1,0/0/0/0,360/473/-250,0/0,-872/398/-13517,-440/239/280,1792/-158/-479,#
r,64098,1315038,-1/56/23/90,61/0/0/1,0/0/0/0,361/473/-250,0/0,-876/416/-13528,-448/244/289,1792/-158/-478,#
r,64099,1315058,-1/56/23/90,69/0/0/-1,0/0/0/0,362/472/-250,0/0,-884/344/-13532,-445/245/269,1792/-158/-477,#
r,64100,1315078,-1/56/23/90,45/0/0/1,0/0/0/0,363/471/-250,0/0,-864/324/-13528,-444/246/260,1793/-158/-475,#
r,64101,1315098,-1/56/23/90,61/0/0/-1,0/0/0/0,364/470/-250,0/0,-826/242/-13506,-435/244/236,1793/-158/-474,#
r,64102,1315118,0/56/23/90,74/0/0/1,0/0/0/0,365/469/-250,0/0,-774/242/-13482,-431/244/236,1793/-158/-473,#
r,64103,1315138,0/56/23/90,77/0/0/-1,0/0/0/0,365/468/-250,0/0,-738/196/-13428,-415/237/222,1794/-158/-471,#
r,64104,1315158,0/56/23/90,98/0/0/2,0/0/0/0,367/467/-250,0/0,-736/252/-13394,-412/232/235,1794/-158/-469,#
r,64105,1315178,0/56/23/90,109/0/0/-1,0/0/0/0,368/465/-250,0/0,-746/222/-13346,-404/227/234,1795/-158/-467,#
r,64106,1315198,0/56/23/90,115/0/0/1,0/0/0/0,370/464/-250,0/0,-788/252/-13302,-402/222/263,1795/-158/-465,#
r,64107,1315218,1/56/23/90,120/0/0/-1,0/0/0/0,371/462/-250,0/0,-842/214/-13284,-402/218/274,1796/-158/-463,#
r,64108,1315238,1/56/23/90,128/0/0/1,0/0/0/0,372/461/-250,0/0,-914/250/-13260,-411/216/302,1797/-158/-461,#
r,64109,1315258,1/56/23/90,86/0/0/-1,0/0/0/0,374/459/-250,0/0,-935/174/-13186,-394/205/297,1797/-158/-458,#
r,64110,1315278,1/56/23/90,74/0/0/1,0/0/0/0,376/457/-250,0/0,-932/204/-13112,-385/198/312,1798/-158/-456,#
r,64111,1315303,1/56/23/90,119/0/0/-1,0/0/0/0,377/455/-250,0/0,-952/160/-13074,-379/191/311,1799/-158/-454,#
r,64112,1315324,2/56/23/90,105/0/0/1,0/0/0/0,378/454/-250,0/0,-996/200/-12978,-372/180/331,1799/-158/-451,#
r,64113,1315344,2/56/23/90,93/0/0/-1,0/0/0/0,380/452/-250,0/0,-962/152/-12906,-357/174/314,-1799/-158/-449,#
r,64114,1315363,2/56/23/90,120/0/0/1,0/0/0/0,381/450/-250,0/0,-958/184/-12886,-363/174/322,-1798/-158/-446,#
r,64115,1315384,2/56/23/90,149/0/0/-2,0/0/0/0,383/448/-250,0/0,-1030/130/-12900,-371/173/336,-1798/-158/-443,#
r,64116,1315405,3/56/23/90,140/0/0/1,0/0/0/0,385/446/-250,0/0,-1088/148/-12828,-365/164/358,-1797/-158/-441,#
r,64117,1315425,3/56/23/90,124/0/0/-1,0/0/0/0,387/444/-250,0/0,-1088/132/-12776,-362/163/358,-1796/-158/-438,#
r,64118,1315445,3/56/23/90,159/0/0/1,0/0/0/0,388/442/-250,0/0,-1156/174/-12702,-349/148/386,-1796/-158/-435,#
r,64119,1315466,3/56/23/90,155/0/0/-1,0/0/0/0,390/440/-250,0/0,-1180/204/-12608,-341/141/398,-1795/-158/-433,#
r,64120,1315485,4/56/23/90,160/0/0/1,0/0/0/0,392/438/-250,0/0,-1158/206/-12522,-329/135/386,-1794/-158/-430,#
r,64121,1315505,4/56/23/90,133/0/0/-1,0/0/0/0,393/436/-250,0/0,-1136/202/-12456,-322/133/381,-1793/-158/-427,#
r,64122,1315525,4/56/23/90,136/0/1/1,0/0/0/0,395/434/-250,0/0,-1198/211/-12426,-325/128/410,-1792/-158/-424,#
r,64123,1315545,4/56/23/90,135/0/8/0,0/0/0/0,397/432/-250,0/0,-1184/146/-12396,-330/133/395,-1792/-158/-422,#
r,64124,1315565,5/56/23/90,126/0/10/1,0/0/0/0,398/430/-250,0/0,-1174/117/-12286,-316/125/388,-1791/-157/-419,#
r,64125,1315585,5/56/23/90,139/0/6/0,0/0/0/0,400/427/-250,0/0,-1190/78/-12208,-318/126/399,-1790/-157/-416,#
r,64126,1315606,5/56/23/90,107/0/9/0,0/0/0/0,402/425/-250,0/0,-1192/144/-12112,-315/119/415,-1789/-157/-413,#
r,64127,1315625,6/56/23/90,125/0/10/-1,0/0/0/0,403/423/-249,0/0,-1116/140/-11916,-286/106/398,-1788/-157/-411,#
r,64128,1315645,6/56/23/90,157/5/12/3,0/0/0/0,405/421/-249,0/0,-1106/170/-11734,-276/98/413,-1787/-156/-408,#
r,64129,1315665,6/56/23/90,156/8/11/-1,0/0/0/0,407/419/-249,0/0,-1140/204/-11672,-299/103/442,-1786/-156/-405,#
r,64130,1315686,6/56/23/90,147/28/10/1,0/0/0/0,409/417/-248,0/0,-1206/184/-11594,-301/99/456,-1785/-155/-402,#
r,64131,1315705,7/56/23/90,105/31/20/-1,0/0/0/0,411/415/-248,0/0,-1198/154/-11478,-297/96/455,-1784/-155/-400,#
r,64132,1315726,7/56/23/90,124/38/15/1,0/0/0/0,413/413/-247,0/0,-1300/116/-11386,-291/86/474,-1782/-154/-397,#
r,64133,1315744,7/56/23/90,128/38/18/-1,0/0/0/0,414/411/-246,0/0,-1394/54/-11308,-289/79/482,-1781/-153/-394,#
r,64134,1315765,7/56/23/90,136/36/16/1,0/0/0/0,416/409/-245,0/0,-1438/20/-11216,-287/73/489,-1780/-152/-392,#
r,64135,1315785,8/56/23/90,112/41/24/-1,0/0/0/0,418/407/-243,0/0,-1462/-14/-11138,-288/75/491,-1778/-151/-389,#
r,64136,1315805,8/56/23/90,105/65/17/1,0/0/0/0,420/406/-242,0/0,-1554/-26/-11074,-284/66/514,-1776/-150/-387,#
r,64137,1315825,8/57/23/90,105/77/17/-2,0/0/0/0,421/404/-240,0/0,-1614/-80/-11050,-285/65/507,-1775/-149/-385,#
r,64138,1315846,8/57/23/90,108/60/18/1,0/0/0/0,423/403/-239,0/0,-1694/-168/-11042,-282/61/517,-1773/-147/-382,#
r,64139,1315865,9/57/23/90,93/68/27/-1,0/0/0/0,425/401/-237,0/0,-1750/-240/-11074,-289/64/529,-1771/-146/-380,#
r,64140,1315885,9/57/24/90,115/106/17/1,0/0/0/0,426/400/-235,0/0,-1816/-260/-11132,-304/69/543,-1770/-144/-378,#
r,64141,1315905,9/57/24/90,106/105/17/-1,0/0/0/0,428/399/-233,0/0,-1828/-310/-11124,-309/73/530,-1768/-142/-376,#
