r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,94342,1941835,9/73/27/40,4/0/0/25,0/0/0/0,213/559/-53,0/0,818/-268/-14980,-711/472/304,-1736/-35/-898,#
r,94343,1941857,9/73/27/40,4/0/0/35,0/0/0/0,214/559/-53,0/0,864/-296/-14902,-701/470/281,-1735/-35/-897,#
r,94344,1941877,9/73/27/40,11/0/0/53,0/0/0/0,216/559/-53,0/0,928/-252/-14870,-703/473/276,-1735/-35/-895,#
r,94345,1941898,9/73/27/40,8/0/0/45,0/0/0/0,217/559/-52,0/0,992/-192/-14888,-714/483/275,-1735/-35/-893,#
r,94346,1941918,9/73/27/40,14/0/0/79,0/0/0/0,218/559/-52,0/0,1052/-138/-14853,-711/486/263,-1735/-35/-891,#
r,94347,1941937,9/73/27/40,17/0/0/64,0/0/0/0,218/559/-52,0/0,1108/-88/-14753,-683/472/254,-1734/-35/-890,#
r,94348,1941957,9/73/27/40,16/0/0/92,0/0/0/0,220/558/-52,0/0,1136/-60/-14630,-659/458/256,-1734/-35/-888,#
r,94349,1941978,9/73/27/41,16/0/0/85,0/0/0/0,221/558/-52,0/0,1094/-18/-14578,-657/454/266,-1734/-35/-886,#
r,94350,1941997,9/73/27/41,26/0/0/125,0/0/0/0,223/558/-52,0/0,1084/-90/-14606,-670/467/228,-1733/-35/-883,#
r,94351,1942018,9/73/27/41,34/0/0/120,0/0/0/0,224/558/-52,0/0,1188/-102/-14617,-690/472/196,-1733/-35/-881,#
r,94352,1942037,9/73/27/41,26/0/0/86,0/0/0/0,226/557/-51,0/0,1172/-108/-14539,-657/477/176,-1732/-35/-878,#
r,94353,1942057,10/73/27/41,26/0/0/109,0/0/0/0,228/557/-51,0/0,1160/-42/-14542,-707/505/158,-1732/-35/-875,#
r,94354,1942078,10/73/27/42,37/0/0/128,0/0/0/0,229/556/-51,0/0,1166/-8/-14560,-764/533/134,-1731/-34/-871,#
r,94355,1942097,10/73/27/42,36/0/0/166,0/0/0/0,232/556/-51,0/0,1096/22/-14458,-767/514/157,-1730/-34/-867,#
r,94356,1942117,10/73/27/42,36/0/0/166,0/0/0/0,234/555/-50,0/0,1008/0/-14262,-657/465/194,-1730/-34/-863,#
r,94357,1942143,10/73/27/43,38/0/0/171,0/0/0/0,237/555/-50,0/0,1058/64/-14158,-624/445/208,-1729/-34/-859,#
r,94358,1942167,10/73/27/43,49/0/0/135,0/0/0/0,239/554/-50,0/0,1104/186/-14167,-648/452/230,-1728/-34/-855,#
r,94359,1942187,10/73/27/43,65/0/0/174,0/0/0/0,243/553/-50,0/0,1096/264/-14064,-625/431/259,-1728/-34/-850,#
r,94360,1942209,10/73/27/44,60/0/0/180,0/0/0/0,245/553/-49,0/0,1174/296/-13836,-574/391/257,-1727/-33/-845,#
r,94361,1942236,10/73/27/44,71/0/0/166,0/0/0/0,248/552/-49,0/0,1236/417/-13744,-575/391/251,-1726/-33/-841,#
r,94362,1942255,10/73/27/44,43/1/0/181,0/0/0/0,251/551/-49,0/0,1282/480/-13698,-581/390/250,-1725/-33/-836,#
r,94363,1942275,11/73/27/45,64/10/0/194,0/0/0/0,255/550/-48,0/0,1256/546/-13606,-560/369/289,-1724/-33/-830,#
