r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,154256,3185658,21/46/36/85,0/0/0/0,0/0/0/0,447/296/-275,0/0,-760/-656/-13110,-432/214/580,-1738/-130/-301,#
r,154257,3185677,21/46/36/85,0/0/0/0,0/0/0/0,447/296/-275,0/0,-748/-722/-13078,-431/217/579,-1738/-130/-301,#
r,154258,3185698,21/46/36/85,0/0/0/0,0/0/0/0,447/296/-275,0/0,-744/-774/-13028,-428/220/581,-1738/-130/-301,#
r,154259,3185717,21/46/36/85,0/0/0/0,0/0/0/0,447/296/-275,0/0,-734/-814/-12988,-428/225/582,-1738/-130/-301,#
r,154260,3185737,21/46/36/85,0/0/0/0,0/0/0/0,447/296/-275,0/0,-684/-843/-12930,-427/229/576,-1738/-130/-301,#
r,154261,3185757,21/46/36/85,0/0/0/0,0/0/0/0,447/296/-275,0/0,-634/-866/-12882,-430/236/566,-1738/-130/-301,#
r,154262,3185778,21/46/36/85,0/0/0/0,0/0/0/0,447/296/-275,0/0,-580/-885/-12842,-432/242/559,-1738/-130/-301,#
r,154263,3185797,21/46/36/85,0/0/0/0,0/0/0/0,447/296/-275,0/0,-522/-932/-12770,-429/249/550,-1738/-130/-301,#
r,154264,3185817,21/46/36/85,1/0/0/0,0/0/0/0,447/296/-275,0/0,-462/-1026/-12698,-421/255/535,-1738/-130/-301,#
r,154265,3185837,21/46/36/85,1/0/0/0,0/0/0/0,447/296/-275,0/0,-414/-1142/-12668,-416/267/508,-1738/-130/-301,#
r,154266,3185866,21/46/36/85,2/0/0/1,0/0/0/0,447/296/-275,0/0,-372/-1234/-12670,-417/281/481,-1738/-130/-300,#
r,154267,3185892,21/46/36/85,7/0/0/1,0/0/0/0,447/295/-275,0/0,-302/-1370/-12602,-402/294/449,-1738/-130/-300,#
r,154268,3185913,21/46/36/85,4/0/0/2,0/0/0/0,447/295/-275,0/0,-230/-1542/-12456,-350/286/416,-1737/-130/-300,#
r,154269,3185933,21/46/36/85,12/0/0/1,0/0/0/0,447/295/-275,0/0,-184/-1660/-12356,-331/277/379,-1737/-130/-300,#
r,154270,3185953,21/46/36/85,19/0/0/11,0/0/0/0,448/295/-275,0/0,-134/-1770/-12278,-276/270/357,-1737/-130/-299,#
r,154271,3185973,21/46/36/85,35/0/0/10,0/0/0/0,448/294/-275,0/0,-68/-1795/-12232,-276/276/341,-1737/-130/-299,#
r,154272,3185993,21/46/36/85,30/0/0/14,0/0/0/0,448/294/-275,0/0,12/-1876/-12142,-250/271/310,-1737/-130/-298,#
r,154273,3186013,21/46/36/85,52/0/0/17,0/0/0/0,449/293/-275,0/0,58/-1914/-12066,-221/264/290,-1737/-130/-297,#
r,154274,3186033,21/46/36/85,68/0/0/15,0/0/0/0,450/292/-275,0/0,70/-1932/-12032,-208/261/285,-1737/-130/-295,#
r,154275,3186054,22/46/36/86,58/0/0/13,0/0/0/0,450/290/-275,0/0,56/-1892/-12026,-205/261/297,-1736/-130/-294,#
r,154276,3186073,22/46/36/86,99/0/0/19,0/0/0/0,451/289/-275,0/0,32/-1895/-11954,-182/250/309,-1736/-129/-292,#
r,154277,3186093,22/46/36/86,84/0/0/20,0/0/0/0,452/287/-275,0/0,46/-1894/-11856,-160/240/308,-1735/-129/-290,#
r,154278,3186113,22/46/36/86,80/0/0/35,0/0/0/0,452/285/-275,0/0,50/-1858/-11792,-146/230/323,-1735/-129/-287,#
r,154279,3186133,22/46/36/86,118/0/0/33,0/0/0/0,453/283/-275,0/0,58/-1824/-11714,-134/219/340,-1734/-129/-285,#
r,154280,3186153,22/46/36/86,121/1/0/30,0/0/0/0,455/281/-275,0/0,92/-1824/-11570,-104/201/341,-1734/-128/-282,#
r,154281,3186173,23/46/36/86,106/5/0/32,0/0/0/0,456/278/-275,0/0,138/-1870/-11488,-72/185/341,-1733/-128/-279,#
