r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,95959,1982189,9/42/50/55,0/0/5/0,0/0/0/0,472/126/-228,0/0,-1280/-180/-15094,-618/262/600,-1694/65/-249,#
r,95960,1982208,9/42/50/55,0/0/2/0,0/0/0/0,472/126/-228,0/0,-1276/-192/-15106,-619/264/599,-1694/65/-249,#
r,95961,1982232,9/42/50/55,0/0/1/0,0/0/0/0,472/126/-228,0/0,-1266/-208/-15096,-616/263/597,-1694/65/-249,#
r,95962,1982255,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1254/-211/-15080,-613/262/595,-1694/65/-249,#
r,95963,1982274,9/42/50/55,0/0/-1/0,0/0/0/0,472/126/-228,0/0,-1260/-209/-15084,-609/259/596,-1694/65/-249,#
r,95964,1982301,9/42/50/55,0/0/-5/0,0/0/0/0,472/126/-228,0/0,-1270/-196/-15078,-608/258/599,-1694/65/-249,#
r,95965,1982322,9/42/50/55,0/0/-2/0,0/0/0/0,472/126/-228,0/0,-1258/-184/-15082,-611/258/600,-1694/65/-249,#
r,95966,1982342,9/42/50/55,0/0/-1/0,0/0/0/0,472/126/-228,0/0,-1270/-186/-15100,-616/261/603,-1694/65/-249,#
r,95967,1982368,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1276/-190/-15103,-617/261/602,-1694/65/-249,#
r,95968,1982395,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1280/-194/-15102,-617/261/602,-1694/65/-249,#
r,95969,1982416,9/42/50/55,0/0/2/0,0/0/0/0,472/126/-228,0/0,-1284/-194/-15108,-618/262/602,-1694/65/-249,#
r,95970,1982435,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1286/-196/-15082,-614/261/602,-1694/65/-249,#
r,95971,1982455,9/42/50/55,0/0/2/0,0/0/0/0,472/126/-228,0/0,-1276/-200/-15086,-616/262/600,-1694/65/-249,#
r,95972,1982475,9/42/50/55,0/0/1/0,0/0/0/0,472/126/-228,0/0,-1272/-202/-15067,-614/262/599,-1694/65/-249,#
r,95973,1982495,9/42/50/55,0/0/1/0,0/0/0/0,472/126/-228,0/0,-1278/-190/-15082,-619/264/599,-1694/65/-249,#
r,95974,1982515,9/42/50/55,0/0/2/0,0/0/0/0,472/126/-228,0/0,-1278/-188/-15082,-618/264/598,-1694/65/-249,#
r,95975,1982535,9/42/50/55,0/0/1/0,0/0/0/0,472/126/-228,0/0,-1276/-182/-15086,-619/264/596,-1694/65/-249,#
r,95976,1982555,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1280/-174/-15078,-616/260/599,-1694/65/-249,#
r,95977,1982576,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1278/-136/-15060,-613/257/603,-1694/65/-249,#
r,95978,1982595,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1296/-112/-15044,-611/254/606,-1694/65/-249,#
r,95979,1982616,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1322/-92/-15030,-608/250/610,-1694/65/-249,#
r,95980,1982636,9/42/50/55,0/0/-1/0,0/0/0/0,472/126/-228,0/0,-1332/-72/-15014,-607/249/613,-1694/65/-249,#
r,95981,1982661,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1302/-50/-15044,-612/255/610,-1694/65/-249,#
r,95982,1982684,9/42/50/55,0/0/2/0,0/0/0/0,472/126/-228,0/0,-1254/-50/-15042,-621/266/597,-1694/65/-249,#
r,95983,1982703,9/42/50/55,0/0/1/0,0/0/0/0,472/126/-228,0/0,-1208/-52/-15046,-627/275/580,-1694/65/-249,#
r,95984,1982728,9/42/50/55,0/0/0/0,0/0/0/0,472/126/-228,0/0,-1170/-32/-15062,-643/292/556,-1694/65/-249,#
r,95985,1982749,9/42/50/55,0/0/-1/0,0/0/0/0,472/126/-228,0/0,-1084/14/-15044,-682/325/506,-1694/65/-249,#
r,95986,1982769,9/42/50/55,0/0/-5/0,0/0/0/0,472/126/-228,0/0,-1004/16/-15036,-685/341/461,-1694/65/-249,#
r,95987,1982794,9/42/50/55,0/0/-3/0,0/0/0/0,472/126/-228,0/0,-958/-32/-15046,-683/349/428,-1694/65/-249,#
r,95988,1982816,9/42/50/55,0/0/-1/0,0/0/0/0,472/126/-228,0/0,-912/-62/-15024,-680/364/385,-1694/65/-249,#
r,95989,1982835,9/42/50/55,0/0/-1/0,0/0/0/0,472/126/-228,0/0,-884/-162/-15017,-675/378/327,-1694/65/-249,#
r,95990,1982865,9/42/50/55,-2/0/0/-5,0/0/0/0,472/126/-228,0/0,-822/-286/-14975,-661/394/265,-1694/65/-249,#
r,95991,1982885,9/42/50/55,-12/0/0/-9,0/0/0/0,472/126/-228,0/0,-658/-304/-14953,-661/415/203,-1694/65/-250,#
r,95992,1982905,9/42/50/55,-22/0/0/-20,0/0/0/0,472/127/-228,0/0,-552/-364/-14858,-648/426/137,-1694/65/-250,#
r,95993,1982924,9/42/50/55,-33/0/1/-22,0/0/0/0,471/128/-228,0/0,-469/-382/-14688,-618/419/110,-1694/65/-251,#
r,95994,1982944,9/42/50/55,-55/0/1/-48,0/0/0/0,471/129/-228,0/0,-336/-370/-14616,-608/426/76,-1694/66/-253,#
r,95995,1982964,9/42/50/55,-52/0/2/-52,0/0/0/0,471/130/-228,0/0,-272/-400/-14544,-592/425/43,-1694/66/-255,#
r,95996,1982990,9/42/50/55,-74/0/2/-51,0/0/0/0,470/132/-228,0/0,-246/-406/-14560,-593/433/21,-1695/67/-257,#
r,95997,1983010,9/42/50/55,-83/0/2/-61,0/0/0/0,469/135/-228,0/0,-192/-364/-14622,-610/450/15,-1695/67/-260,#
r,95998,1983030,8/42/50/54,-118/0/0/-54,0/0/0/0,469/138/-228,0/0,-198/-372/-14594,-594/446/0,-1695/68/-264,#
r,95999,1983050,8/42/50/54,-139/0/0/-70,0/0/0/0,468/141/-228,0/0,-268/-392/-14522,-570/431/-13,-1696/69/-268,#
r,96000,1983070,8/42/50/54,-127/0/-1/-130,0/0/0/0,467/144/-228,0/0,-304/-364/-14539,-561/420/-9,-1696/69/-272,#
r,96001,1983090,8/42/50/54,-147/0/0/-122,0/0/0/0,466/148/-228,0/0,-366/-276/-14628,-569/419/9,-1697/70/-277,#
r,96002,1983109,7/42/50/54,-151/0/-2/-123,0/0/0/0,464/152/-228,0/0,-378/-246/-14606,-549/407/10,-1697/71/-282,#
r,96003,1983130,7/42/50/53,-181/0/1/-142,0/0/0/0,463/156/-229,0/0,-421/-190/-14536,-524/386/14,-1698/72/-288,#
r,96004,1983150,7/42/50/53,-169/0/-1/-118,0/0/0/0,461/161/-229,0/0,-488/-136/-14514,-492/354/47,-1699/73/-294,#
r,96005,1983170,6/42/50/53,-197/0/5/-121,0/0/0/0,459/166/-229,0/0,-516/-10/-14552,-479/335/70,-1699/75/-301,#
r,96006,1983190,6/42/50/52,-202/0/-3/-187,0/0/0/0,458/172/-229,0/0,-444/74/-14542,-458/319/69,-1700/76/-308,#
r,96007,1983210,5/42/50/52,-209/0/4/-173,0/0/0/0,456/177/-229,0/0,-400/178/-14464,-439/302/71,-1701/77/-315,#
r,96008,1983230,5/42/50/52,-228/0/-2/-211,0/0/0/0,453/183/-229,0/0,-430/324/-14346,-389/253/100,-1702/78/-323,#
r,96009,1983250,5/42/50/51,-215/5/2/-193,0/0/0/0,451/189/-229,0/0,-466/494/-14253,-363/218/155,-1703/80/-331,#
r,96010,1983270,4/42/50/51,-222/21/-1/-228,0/0/0/0,449/195/-228,0/0,-450/504/-14208,-326/192/164,-1704/82/-340,#
r,96011,1983290,4/42/50/51,-249/17/1/-193,0/0/0/0,447/201/-228,0/0,-482/462/-14186,-298/170/160,-1705/84/-348,#
r,96012,1983310,3/42/50/50,-208/29/-2/-215,0/0/0/0,443/208/-228,0/0,-570/476/-14134,-250/129/186,-1706/86/-357,#
r,96013,1983330,3/42/50/50,-203/30/3/-231,0/0/0/0,441/214/-227,0/0,-672/590/-14138,-230/98/243,-1708/88/-367,#
r,96014,1983350,2/42/50/49,-212/35/-2/-260,0/0/0/0,438/221/-226,0/0,-732/590/-14160,-190/64/269,-1709/90/-376,#
r,96015,1983370,2/42/50/49,-220/79/4/-278,0/0/0/0,435/228/-225,0/0,-754/598/-14102,-151/30/271,-1710/93/-385,#
r,96016,1983390,1/43/50/48,-224/76/0/-234,0/0/0/0,432/234/-224,0/0,-893/712/-14056,-109/-9/349,-1711/96/-395,#
r,96017,1983410,1/43/50/48,-207/95/5/-237,0/0/0/0,430/240/-223,0/0,-930/906/-14198,-99/-40/431,-1713/99/-404,#
r,96018,1983430,1/43/50/47,-238/105/5/-283,0/0/0/0,426/247/-221,0/0,-864/985/-14264,-79/-63/439,-1714/102/-413,#
r,96019,1983450,0/43/50/47,-190/129/19/-228,0/0/0/0,424/253/-220,0/0,-946/950/-14184,-37/-95/454,-1716/106/-422,#
r,96020,1983470,0/43/50/46,-219/156/25/-247,0/0/0/0,421/259/-217,0/0,-1000/906/-14222,-34/-103/467,-1717/110/-432,#
r,96021,1983490,-1/44/50/46,-222/157/32/-231,0/0/0/0,419/265/-215,0/0,-1074/908/-14378,-36/-116/516,-1718/115/-441,#
r,96022,1983509,-1/44/50/45,-202/177/40/-249,0/0/0/0,415/271/-212,0/0,-1056/876/-14412,-36/-117/517,-1720/120/-449,#
r,96023,1983530,-2/44/50/45,-217/188/63/-240,0/0/0/0,413/276/-209,0/0,-1062/818/-14292,-15/-133/526,-1722/126/-458,#
r,96024,1983550,-2/45/50/44,-171/182/56/-276,0/0/0/0,410/282/-205,0/0,-1146/808/-14198,40/-176/559,-1723/132/-466,#
r,96025,1983571,-2/45/50/44,-170/212/76/-237,0/0/0/0,409/287/-202,0/0,-1222/878/-14153,64/-208/632,-1725/138/-474,#
r,96026,1983592,-3/45/51/43,-140/230/50/-231,0/0/0/0,406/292/-197,0/0,-1208/830/-14082,59/-209/624,-1726/145/-482,#
r,96027,1983611,-3/46/51/43,-159/241/106/-240,0/0/0/0,403/297/-193,0/0,-1228/644/-14067,58/-212/610,-1728/153/-490,#
r,96028,1983636,-3/46/51/42,-166/231/62/-241,0/0/0/0,402/301/-188,0/0,-1268/556/-14144,50/-215/629,-1730/160/-497,#
r,96029,1983656,-4/47/51/42,-144/266/103/-223,0/0/0/0,399/306/-184,0/0,-1330/594/-14203,32/-218/673,-1732/168/-504,#
r,96030,1983676,-4/48/51/41,-135/264/116/-229,0/0/0/0,398/310/-179,0/0,-1320/516/-14208,16/-214/670,-1734/176/-511,#
r,96031,1983698,-4/48/51/41,-152/276/133/-212,0/0/0/0,396/314/-173,0/0,-1286/352/-14156,14/-211/655,-1736/185/-518,#
r,96032,1983726,-4/49/52/40,-138/311/82/-217,0/0/0/0,393/318/-168,0/0,-1298/358/-14167,-1/-209/686,-1737/194/-525,#
r,96033,1983744,-5/49/52/40,-125/305/136/-214,0/0/0/0,392/322/-162,0/0,-1348/372/-14184,-39/-197/721,-1740/204/-531,#
r,96034,1983765,-5/50/52/39,-79/306/139/-203,0/0/0/0,390/325/-157,0/0,-1348/280/-14156,-40/-200/719,-1742/213/-537,#
r,96035,1983785,-5/51/52/39,-115/321/137/-206,0/0/0/0,388/329/-151,0/0,-1294/188/-14066,-41/-201/721,-1743/223/-543,#
r,96036,1983805,-5/51/53/38,-76/333/155/-239,0/0/0/0,387/332/-145,0/0,-1258/122/-14089,-72/-183/724,-1745/233/-548,#
r,96037,1983824,-5/52/53/38,-68/340/161/-195,0/0/0/0,386/334/-139,0/0,-1234/128/-14100,-111/-168/748,-1747/243/-553,#
r,96038,1983845,-6/53/53/38,-80/346/125/-165,0/0/0/0,384/337/-132,0/0,-1208/74/-14052,-114/-172/757,-1749/253/-558,#
r,96039,1983864,-6/53/54/37,-39/336/169/-200,0/0/0/0,383/339/-126,0/0,-1136/-36/-13978,-106/-171/733,-1751/263/-562,#
r,96040,1983884,-6/54/54/37,-54/341/171/-147,0/0/0/0,381/341/-120,0/0,-1114/-76/-13902,-90/-181/748,-1753/274/-566,#
r,96041,1983905,-6/55/54/37,-40/348/176/-184,0/0/0/0,381/343/-113,0/0,-1096/-68/-13902,-114/-175/769,-1755/285/-570,#
r,96042,1983925,-6/55/55/36,-26/352/165/-140,0/0/0/0,380/345/-107,0/0,-1052/-116/-13917,-153/-155/766,-1756/295/-573,#
r,96043,1983945,-6/56/55/36,-19/354/152/-155,0/0/0/0,379/346/-100,0/0,-992/-200/-13938,-183/-142/758,-1758/306/-576,#
r,96044,1983965,-6/57/55/36,-14/350/188/-149,0/0/0/0,378/348/-94,0/0,-939/-268/-13953,-229/-114/752,-1759/317/-578,#
r,96045,1983983,-6/58/56/35,-5/355/152/-139,0/0/0/0,377/349/-87,0/0,-934/-214/-13902,-248/-113/786,-1760/328/-581,#
r,96046,1984004,-6/58/56/35,2/358/165/-124,0/0/0/0,376/349/-81,0/0,-980/-208/-13839,-260/-114/819,-1761/338/-582,#
r,96047,1984023,-6/59/56/35,2/361/164/-128,0/0/0/0,376/350/-74,0/0,-916/-222/-13784,-272/-108/820,-1762/349/-584,#
r,96048,1984043,-6/60/57/35,11/376/146/-106,0/0/0/0,376/351/-68,0/0,-889/-242/-13725,-283/-108/826,-1763/360/-585,#
r,96049,1984064,-6/60/57/35,16/368/172/-90,0/0/0/0,376/351/-61,0/0,-864/-314/-13756,-326/-84/818,-1764/371/-586,#
r,96050,1984084,-6/61/57/34,30/360/186/-97,0/0/0/0,375/351/-55,0/0,-780/-344/-13798,-363/-64/825,-1765/381/-586,#
r,96051,1984104,-6/62/58/34,35/365/155/-52,0/0/0/0,375/351/-48,0/0,-698/-434/-13762,-375/-58/822,-1765/392/-586,#
r,96052,1984123,-6/63/58/34,29/341/172/-55,0/0/0/0,375/351/-41,0/0,-622/-467/-13664,-390/-49/804,-1765/403/-585,#
r,96053,1984143,-6/63/58/34,42/342/148/-21,0/0/0/0,375/350/-35,0/0,-662/-514/-13603,-407/-46/822,-1765/413/-584,#
r,96054,1984163,-6/64/59/34,39/338/162/-17,0/0/0/0,375/350/-28,0/0,-624/-534/-13660,-451/-21/824,-1765/423/-582,#
r,96055,1984184,-6/65/59/34,51/340/133/-2,0/0/0/0,376/349/-22,0/0,-580/-438/-13610,-474/-12/829,-1764/433/-580,#
r,96056,1984203,-5/65/59/34,61/333/162/2,0/0/0/0,376/348/-16,0/0,-666/-414/-13544,-488/-10/849,-1764/442/-578,#
r,96057,1984223,-5/66/60/34,77/330/121/6,0/0/0/0,376/347/-9,0/0,-658/-374/-13534,-511/1/861,-1763/452/-575,#
r,96058,1984243,-5/67/60/34,70/336/163/23,0/0/0/0,376/346/-3,0/0,-666/-414/-13524,-522/5/865,-1762/461/-572,#
r,96059,1984270,-5/68/60/34,85/311/133/42,0/0/0/0,377/343/8,0/0,-560/-532/-13653,-606/61/826,-1758/479/-564,#
r,96060,1984290,-5/69/61/34,103/292/110/73,0/0/0/0,377/342/14,0/0,-554/-600/-13670,-620/72/840,-1756/487/-560,#
r,96061,1984311,-5/69/61/34,102/297/115/49,0/0/0/0,378/340/20,0/0,-522/-676/-13602,-613/71/831,-1754/496/-554,#
r,96062,1984331,-4/70/61/35,103/289/77/102,0/0/0/0,379/338/26,0/0,-502/-752/-13458,-589/58/809,-1751/503/-549,#
