r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,137529,2839449,23/139/2/49,0/0/0/-1,0/0/0/0,220/382/457,0/0,-3754/-456/-14038,-529/75/865,-1495/339/-795,#
r,137530,2839469,23/139/2/49,0/0/0/1,0/0/0/0,220/382/457,0/0,-3788/-398/-14017,-526/72/870,-1495/339/-795,#
r,137531,2839489,23/139/2/49,0/0/0/-2,0/0/0/0,220/382/457,0/0,-3816/-326/-13994,-530/70/878,-1495/339/-795,#
r,137532,2839516,23/139/2/49,0/0/0/1,0/0/0/0,220/382/457,0/0,-3858/-296/-13975,-527/64/880,-1495/339/-795,#
r,137533,2839537,23/139/2/49,0/0/0/-2,0/0/0/0,220/382/457,0/0,-3896/-242/-13958,-520/55/889,-1495/339/-795,#
r,137534,2839557,23/139/2/49,0/0/0/1,0/0/0/0,220/382/457,0/0,-3943/-204/-13938,-519/49/895,-1495/339/-795,#
r,137535,2839577,23/139/2/49,0/0/0/-1,0/0/0/0,220/382/457,0/0,-3991/-150/-13928,-524/49/909,-1495/339/-795,#
r,137536,2839596,23/139/2/49,0/0/0/0,0/0/0/0,220/382/457,0/0,-4016/-105/-13906,-530/52/912,-1495/339/-795,#
r,137537,2839616,23/139/2/49,0/0/0/-2,0/0/0/0,220/382/457,0/0,-4004/-56/-13912,-536/53/913,-1495/339/-795,#
r,137538,2839643,23/139/2/49,0/0/0/0,0/0/0/0,220/382/457,0/0,-3986/-38/-13952,-535/50/908,-1495/339/-795,#
r,137539,2839668,23/139/2/49,0/0/0/0,0/0/0/0,220/382/457,0/0,-3978/-28/-13948,-531/48/907,-1495/339/-795,#
r,137540,2839688,23/139/2/49,0/0/0/0,0/0/0/0,220/382/457,0/0,-3972/2/-13942,-532/48/910,-1495/339/-795,#
r,137541,2839709,23/139/2/49,0/0/0/1,0/0/0/0,220/382/457,0/0,-3984/44/-13925,-530/48/922,-1495/339/-795,#
r,137542,2839736,23/139/2/49,0/0/0/0,0/0/0/0,220/382/457,0/0,-3988/96/-13912,-521/42/931,-1495/339/-795,#
r,137543,2839757,23/139/2/49,0/0/0/0,0/0/0/0,220/382/457,0/0,-3988/158/-13912,-509/33/944,-1495/339/-795,#
r,137544,2839778,23/139/2/49,-2/0/0/-1,0/0/0/0,220/382/457,0/0,-4000/282/-13884,-495/23/960,-1495/339/-795,#
r,137545,2839798,23/139/2/49,-14/0/0/0,0/0/0/0,220/383/457,0/0,-4009/356/-13862,-492/19/965,-1495/339/-795,#
r,137546,2839819,23/139/2/49,-14/0/0/-1,0/0/0/0,220/383/457,0/0,-4014/394/-13850,-486/16/964,-1495/339/-796,#
r,137547,2839838,23/139/2/49,-18/0/0/0,0/0/0/0,220/383/457,0/0,-4040/458/-13824,-474/3/981,-1494/338/-796,#
r,137548,2839858,23/139/2/49,-45/0/0/-2,0/0/0/0,219/383/457,0/0,-4050/522/-13792,-460/-8/1000,-1494/338/-797,#
r,137549,2839878,23/139/2/49,-46/0/0/1,0/0/0/0,219/383/457,0/0,-4052/582/-13788,-451/-17/1011,-1494/338/-798,#
r,137550,2839903,23/139/2/49,-35/0/0/-1,0/0/0/0,218/384/457,0/0,-4034/640/-13774,-445/-24/1014,-1493/337/-799,#
r,137551,2839923,23/139/2/49,-69/0/0/0,0/0/0/0,218/384/457,0/0,-4034/724/-13750,-436/-36/1025,-1492/337/-800,#
r,137552,2839944,23/139/2/49,-67/0/0/-1,0/0/0/0,218/385/457,0/0,-4038/776/-13724,-432/-47/1031,-1492/336/-801,#
r,137553,2839964,23/139/2/49,-74/0/0/-1,0/0/0/0,217/385/457,0/0,-4009/810/-13732,-441/-49/1025,-1491/335/-803,#
r,137554,2839984,22/139/2/49,-104/0/0/-2,0/0/0/0,215/386/457,0/0,-4012/839/-13720,-442/-53/1023,-1490/335/-804,#
r,137555,2840004,22/139/2/49,-107/0/0/-3,0/0/0/0,214/387/457,0/0,-4020/852/-13684,-431/-65/1020,-1489/334/-806,#
r,137556,2840024,22/139/2/49,-116/0/0/-10,0/0/0/0,213/388/457,0/0,-4016/838/-13674,-424/-74/1014,-1488/333/-808,#
