r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,42045,868130,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1008/222/-15450,-617/277/533,-1722/24/-465,# ny
r,42046,868157,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1008/222/-15434,-614/276/534,-1722/24/-465,# ny
r,42047,868183,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1004/240/-15420,-607/272/534,-1722/24/-465,# ny
r,42048,868203,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-988/250/-15389,-599/268/532,-1722/24/-465,# ny
r,42049,868224,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1000/276/-15350,-581/257/526,-1722/24/-465,# ny
r,42050,868249,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-993/334/-15306,-562/245/528,-1722/24/-465,# ny
r,42051,868271,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-996/376/-15258,-546/233/536,-1722/24/-465,# ny
r,42052,868290,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1000/398/-15217,-536/225/539,-1722/24/-465,# ny
r,42053,868312,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1028/430/-15200,-531/220/540,-1722/24/-465,# ny
r,42054,868338,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1042/436/-15200,-530/217/541,-1722/24/-465,# ny
r,42055,868358,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1060/438/-15172,-523/212/541,-1722/24/-465,# ny
r,42056,868378,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1076/438/-15100,-510/204/542,-1722/24/-465,# ny
r,42057,868398,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1100/462/-14992,-495/194/548,-1722/24/-465,# ny
r,42058,868418,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1134/496/-14896,-479/182/561,-1722/24/-465,# ny
r,42059,868438,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1190/522/-14814,-453/164/573,-1722/24/-465,# ny
r,42060,868458,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1250/550/-14708,-423/142/580,-1722/24/-465,# ny
r,42061,868477,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1316/614/-14574,-403/121/591,-1722/24/-465,# ny
r,42062,868498,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1382/700/-14412,-382/102/611,-1722/25/-465,# ny
r,42063,868517,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1460/772/-14234,-348/76/633,-1722/25/-465,# ny
r,42064,868537,1/48/36/43,0/0/0/0,0/0/0/0,429/265/-237,0/0,-1550/832/-14025,-307/44/650,-1722/25/-465,# ny
r,42065,868557,1/48/36/43,0/4/0/0,0/0/0/0,429/265/-237,0/0,-1640/902/-13810,-275/18/666,-1722/25/-465,# ny
r,42066,868577,1/49/36/43,10/14/0/0,0/0/0/0,430/265/-237,0/0,-1690/952/-13602,-247/-1/673,-1722/25/-465,# ny
r,42067,868598,1/49/36/43,14/22/7/0,0/0/0/0,430/265/-236,0/0,-1690/1014/-13384,-233/-10/689,-1722/25/-464,# ny
r,42068,868618,1/49/36/43,18/26/3/0,0/0/0/0,430/264/-236,0/0,-1684/1052/-13216,-216/-19/699,-1722/26/-464,# ny
r,42069,868638,1/49/36/43,38/38/7/0,0/0/0/0,431/264/-235,0/0,-1716/1010/-13056,-190/-32/691,-1722/27/-463,# ny
r,42070,868657,1/49/36/43,19/45/7/0,0/0/0/0,431/263/-234,0/0,-1745/935/-12906,-167/-42/676,-1722/28/-463,# ny
r,42071,868678,1/49/36/43,21/82/8/0,0/0/0/0,431/263/-233,0/0,-1734/889/-12886,-169/-39/678,-1721/29/-462,# ny
r,42072,868698,1/49/36/43,33/65/9/0,0/0/0/0,432/262/-231,0/0,-1736/884/-12888,-183/-31/692,-1721/31/-461,# ny
r,42073,868718,1/49/36/43,29/70/16/0,0/0/0/0,433/262/-230,0/0,-1718/818/-12872,-193/-23/688,-1721/33/-460,# ny
r,42074,868738,1/49/36/43,30/100/19/0,0/0/0/0,434/261/-228,0/0,-1694/726/-12820,-190/-18/673,-1721/35/-459,# ny
r,42075,868757,1/50/36/43,54/112/18/0,0/0/0/0,435/261/-226,0/0,-1684/660/-12778,-184/-19/672,-1721/38/-458,# ny
r,42076,868778,1/50/36/43,32/112/24/0,0/0/0/0,436/260/-223,0/0,-1686/608/-12794,-189/-15/681,-1721/41/-457,# ny
r,42077,868798,1/50/36/43,32/118/20/0,0/0/0/0,437/259/-221,0/0,-1671/530/-12839,-205/-4/676,-1721/44/-456,# ny
r,42078,868818,1/50/36/43,48/138/39/0,0/0/0/0,439/258/-218,0/0,-1648/440/-12886,-228/12/662,-1721/47/-454,# ny
r,42079,868839,1/51/36/43,71/171/31/0,0/0/0/0,440/258/-216,0/0,-1644/378/-12980,-258/29/663,-1720/50/-453,# ny
r,42080,868858,1/51/36/43,38/146/27/0,0/0/0/0,442/257/-213,0/0,-1654/350/-13058,-278/38/674,-1720/53/-452,# ny
r,42081,868878,2/51/36/43,45/147/22/0,0/0/0/0,442/256/-210,0/0,-1632/304/-13038,-275/35/661,-1720/57/-450,# ny
r,42082,868898,2/52/36/43,68/161/26/0,0/0/0/0,444/255/-207,0/0,-1632/298/-12970,-259/23/662,-1720/60/-448,# ny
r,42083,868918,2/52/36/43,54/182/27/0,0/0/0/0,446/253/-204,0/0,-1670/380/-12892,-254/10/691,-1719/64/-446,# ny
r,42084,868938,2/52/37/43,88/161/22/0,0/0/0/0,447/252/-200,0/0,-1686/456/-12866,-268/9/706,-1719/68/-445,# ny
r,42085,868959,2/53/37/43,81/183/45/0,0/0/0/0,448/251/-197,0/0,-1702/466/-12894,-291/17/712,-1719/72/-443,# ny
r,42086,868978,2/53/37/43,87/171/42/0,0/0/0/0,450/250/-193,0/0,-1714/436/-12936,-312/28/713,-1718/76/-441,# ny
r,42087,868998,2/53/37/43,51/193/63/0,0/0/0/0,452/248/-189,0/0,-1760/414/-12974,-337/37/727,-1718/81/-438,# ny
r,42088,869018,2/54/37/43,79/191/40/0,0/0/0/0,453/247/-185,0/0,-1818/436/-12994,-353/40/742,-1717/85/-436,# ny
r,42089,869038,3/54/37/43,106/214/44/0,0/0/0/0,455/245/-181,0/0,-1856/448/-13010,-358/37/764,-1717/90/-434,# ny
r,42090,869058,3/55/37/43,121/185/45/0,0/0/0/0,457/243/-177,0/0,-1868/426/-13020,-359/36/763,-1716/95/-431,# ny
r,42091,869078,3/55/37/43,109/224/38/0,0/0/0/0,459/242/-173,0/0,-1892/378/-12972,-355/32/761,-1715/100/-428,# ny
r,42092,869099,3/56/37/43,120/235/52/0,0/0/0/0,461/240/-168,0/0,-1878/328/-12942,-355/32/753,-1714/105/-425,# ny
r,42093,869118,3/56/37/43,138/216/67/0,0/0/0/0,463/237/-163,0/0,-1871/304/-12984,-374/44/761,-1713/111/-422,# ny
r,42094,869139,4/56/37/43,118/238/45/0,0/0/0/0,464/235/-159,0/0,-1870/292/-13034,-393/56/754,-1712/116/-419,# ny
r,42095,869158,4/57/38/43,139/235/39/0,0/0/0/0,467/233/-154,0/0,-1832/220/-13030,-386/53/741,-1711/121/-415,# ny
r,42096,869178,4/57/38/43,154/222/59/0,0/0/0/0,469/230/-149,0/0,-1832/174/-12966,-369/46/741,-1710/127/-412,# ny
r,42097,869200,5/58/38/43,147/228/38/0,0/0/0/0,470/227/-144,0/0,-1862/168/-12986,-380/51/755,-1709/132/-408,# ny
r,42098,869227,5/59/38/43,166/256/41/8,0/0/0/0,474/221/-134,0/0,-1821/64/-13012,-402/67/730,-1706/143/-400,# ny
r,42099,869247,5/59/38/43,166/254/33/11,0/0/0/0,476/218/-129,0/0,-1818/10/-12972,-396/67/723,-1704/148/-395,# ny
r,42100,869267,6/60/38/43,133/258/50/23,0/0/0/0,479/215/-124,0/0,-1837/6/-13010,-412/74/738,-1702/154/-391,# ny
r,42101,869288,6/60/38/43,144/274/40/10,0/0/0/0,480/211/-119,0/0,-1790/-38/-13046,-436/93/718,-1701/159/-386,# ny
r,42102,869308,6/61/38/43,171/269/54/21,0/0/0/0,483/207/-113,0/0,-1740/-80/-13008,-430/94/692,-1699/164/-381,# ny
