r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,12379,256978,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1637/-446/-14503,-707/259/432,-1700/-80/645,# ny
r,12380,256999,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1612/-450/-14486,-703/258/427,-1700/-80/645,# ny
r,12381,257019,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1582/-436/-14489,-700/258/422,-1700/-80/645,# ny
r,12382,257039,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1562/-438/-14486,-698/258/409,-1700/-80/645,# ny
r,12383,257058,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1526/-423/-14510,-699/259/397,-1700/-80/645,# ny
r,12384,257078,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1494/-416/-14538,-697/258/390,-1700/-80/645,# ny
r,12385,257098,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1458/-404/-14538,-696/260/383,-1700/-80/645,# ny
r,12386,257119,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1428/-410/-14548,-698/265/372,-1700/-80/645,# ny
r,12387,257139,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1424/-434/-14574,-698/266/367,-1700/-80/645,# ny
r,12388,257163,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1420/-448/-14564,-685/261/358,-1700/-80/645,# ny
r,12389,257190,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1406/-458/-14584,-685/263/348,-1700/-80/645,# ny
r,12390,257210,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1376/-466/-14589,-682/264/337,-1700/-80/645,# ny
r,12391,257232,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1330/-466/-14548,-677/265/317,-1700/-80/645,# ny
r,12392,257257,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1300/-460/-14546,-674/265/300,-1700/-80/645,# ny
r,12393,257276,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1276/-438/-14552,-665/261/285,-1700/-80/645,# ny
r,12394,257296,66/49/47/89,0/0/0/0,0/0/0/0,227/-552/-175,0/0,-1230/-452/-14558,-656/258/273,-1700/-80/645,# ny
r,12395,257317,66/49/47/89,0/0/0/0,0/0/0/0,228/-552/-175,0/0,-1186/-446/-14600,-660/264/258,-1700/-80/645,# ny
r,12396,257337,66/49/47/89,-1/0/0/0,0/0/0/0,228/-552/-175,0/0,-1148/-426/-14656,-667/269/240,-1700/-80/645,# ny
r,12397,257357,66/49/47/89,-16/0/0/0,0/0/0/0,228/-552/-175,0/0,-1142/-406/-14674,-665/268/235,-1700/-80/645,# ny
r,12398,257378,66/49/47/89,-26/0/0/0,0/0/0/0,228/-552/-175,0/0,-1156/-400/-14694,-663/267/229,-1700/-80/645,# ny
r,12399,257397,66/49/47/89,-15/0/0/0,0/0/0/0,228/-552/-175,0/0,-1146/-426/-14728,-666/273/204,-1700/-80/644,# ny
r,12400,257418,66/49/47/89,-23/0/0/0,0/0/0/0,228/-552/-175,0/0,-1150/-426/-14728,-657/269/195,-1700/-80/644,# ny
r,12401,257438,66/49/47/89,-29/0/0/0,0/0/0/0,228/-552/-175,0/0,-1130/-467/-14696,-651/263/182,-1700/-80/643,# ny
r,12402,257459,66/49/47/89,-45/0/0/-4,0/0/0/0,229/-551/-175,0/0,-992/-466/-14716,-654/275/130,-1700/-79/643,# ny
r,12403,257479,66/49/47/89,-57/0/0/-11,0/0/0/0,230/-551/-175,0/0,-1040/-372/-14700,-645/268/155,-1700/-79/642,# ny
r,12404,257499,66/49/47/89,-39/0/0/-13,0/0/0/0,231/-550/-175,0/0,-1010/-360/-14652,-629/259/148,-1700/-79/640,# ny
r,12405,257519,65/49/47/89,-70/0/0/-14,0/0/0/0,233/-550/-175,0/0,-1006/-368/-14660,-628/259/141,-1699/-79/639,# ny
r,12406,257539,65/49/47/89,-51/0/0/-27,0/0/0/0,234/-549/-175,0/0,-1020/-374/-14666,-628/258/138,-1699/-79/637,# ny
r,12407,257559,65/49/47/88,-92/0/0/-26,0/0/0/0,235/-548/-175,0/0,-1056/-366/-14703,-627/255/149,-1699/-78/635,# ny
r,12408,257579,65/49/47/88,-83/0/0/-49,0/0/0/0,237/-547/-175,0/0,-1084/-392/-14703,-618/251/142,-1698/-78/632,# ny
r,12409,257599,65/49/47/88,-103/0/0/-44,0/0/0/0,239/-546/-175,0/0,-1108/-419/-14698,-615/250/140,-1698/-77/630,# ny
r,12410,257619,65/49/47/88,-121/0/0/-38,0/0/0/0,241/-545/-175,0/0,-1138/-434/-14694,-610/245/147,-1698/-77/626,# ny
r,12411,257639,64/49/47/88,-98/0/0/-55,0/0/0/0,244/-543/-175,0/0,-1148/-458/-14648,-593/235/145,-1697/-77/623,# ny
r,12412,257658,64/49/47/88,-147/0/0/-68,0/0/0/0,245/-542/-175,0/0,-1126/-518/-14660,-596/240/121,-1697/-76/620,# ny
r,12413,257679,64/49/47/88,-136/0/0/-94,0/0/0/0,249/-540/-175,0/0,-1068/-536/-14670,-593/241/110,-1696/-75/616,# ny
r,12414,257698,64/49/47/88,-165/0/0/-98,0/0/0/0,251/-538/-175,0/0,-1054/-530/-14632,-584/233/134,-1695/-75/611,# ny
r,12415,257719,63/49/47/87,-168/0/0/-89,0/0/0/0,255/-536/-175,0/0,-1052/-554/-14600,-567/223/143,-1695/-74/607,# ny
r,12416,257739,63/49/47/87,-167/0/0/-121,0/0/0/0,258/-534/-175,0/0,-1028/-618/-14614,-563/226/132,-1694/-73/602,# ny
r,12417,257759,63/49/47/87,-165/0/0/-133,0/0/0/0,261/-532/-175,0/0,-1038/-650/-14636,-559/224/150,-1693/-73/596,# ny
r,12418,257779,62/49/47/87,-162/0/0/-143,0/0/0/0,266/-529/-175,0/0,-1114/-674/-14666,-567/225/180,-1692/-72/591,# ny
r,12419,257799,62/49/47/87,-205/0/0/-98,0/0/0/0,269/-526/-175,0/0,-1078/-734/-14684,-568/232/170,-1691/-71/585,# ny
r,12420,257824,62/49/47/86,-197/0/0/-139,0/0/0/0,273/-524/-175,0/0,-1106/-770/-14639,-555/228/177,-1691/-70/578,# ny
r,12421,257844,61/49/47/86,-185/0/0/-105,0/0/0/0,278/-520/-175,0/0,-1114/-702/-14594,-550/222/216,-1690/-69/572,# ny
r,12422,257865,61/49/47/86,-181/0/0/-156,0/0/0/0,282/-517/-175,0/0,-1100/-722/-14550,-542/218/223,-1689/-68/565,# ny
r,12423,257890,60/49/47/85,-202/0/0/-133,0/0/0/0,287/-514/-175,0/0,-1058/-808/-14567,-541/224/188,-1688/-67/558,# ny
r,12424,257910,60/49/47/85,-208/0/0/-180,0/0/0/0,291/-510/-175,0/0,-1048/-784/-14589,-548/228/202,-1687/-65/550,# ny
