r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,17993,370870,88/99/0/90,0/0/0/1,0/0/0/0,37/-680/109,0/0,-1702/-696/-14834,-742/308/462,-1704/-109/874,# hw
r,17994,370889,88/99/0/90,0/0/0/0,0/0/0/0,37/-680/109,0/0,-1694/-696/-14842,-736/304/452,-1704/-109/874,# hw
r,17995,370909,88/99/0/90,0/0/0/4,0/0/0/0,37/-680/109,0/0,-1687/-694/-14862,-739/305/450,-1704/-109/874,# hw
r,17996,370930,88/99/0/90,0/0/0/5,0/0/0/0,37/-680/109,0/0,-1708/-696/-14872,-748/310/456,-1704/-109/874,# hw
r,17997,370949,88/99/0/90,0/0/0/8,0/0/0/0,37/-680/109,0/0,-1728/-716/-14875,-752/313/452,-1704/-109/874,# hw
r,17998,370969,88/99/0/90,0/0/0/5,0/0/0/0,37/-680/109,0/0,-1744/-728/-14880,-755/317/443,-1704/-109/875,# hw
r,17999,370989,88/99/0/90,0/0/0/4,0/0/0/0,37/-680/109,0/0,-1754/-724/-14838,-757/319/441,-1704/-109/875,# hw
r,18000,371009,88/99/0/90,0/0/0/2,0/0/0/0,37/-680/109,0/0,-1750/-706/-14767,-750/318/438,-1704/-109/875,# hw
r,18001,371029,88/99/0/90,0/0/0/0,0/0/0/0,37/-680/109,0/0,-1716/-724/-14717,-741/315/421,-1704/-109/875,# hw
r,18002,371049,88/99/0/90,0/0/0/0,0/0/0/0,37/-680/109,0/0,-1706/-736/-14656,-731/313/401,-1704/-109/875,# hw
r,18003,371071,88/99/0/90,0/0/0/0,0/0/0/0,37/-680/109,0/0,-1695/-720/-14594,-734/317/382,-1704/-109/875,# hw
r,18004,371097,88/99/0/90,0/0/0/-5,0/0/0/0,37/-680/109,0/0,-1674/-710/-14562,-734/318/365,-1704/-109/875,# hw
r,18005,371117,88/99/0/90,0/0/0/-9,0/0/0/0,37/-680/109,0/0,-1700/-734/-14498,-718/308/341,-1704/-109/874,# hw
r,18006,371138,88/99/0/90,0/0/0/-5,0/0/0/0,37/-680/109,0/0,-1729/-752/-14475,-706/300/335,-1704/-109/874,# hw
r,18007,371158,88/99/0/90,0/0/0/-7,0/0/0/0,37/-680/109,0/0,-1792/-782/-14432,-700/296/334,-1704/-109/874,# hw
r,18008,371177,88/99/0/90,0/0/0/-4,0/0/0/0,37/-680/109,0/0,-1816/-834/-14396,-698/296/325,-1704/-109/874,# hw
r,18009,371197,88/99/0/90,0/0/0/-6,0/0/0/0,37/-680/109,0/0,-1837/-850/-14375,-697/296/316,-1704/-109/874,# hw
r,18010,371218,88/99/0/90,0/0/0/-8,0/0/0/0,37/-680/109,0/0,-1860/-870/-14364,-692/293/319,-1704/-109/874,# hw
r,18011,371237,88/99/0/90,0/0/0/-13,0/0/0/0,37/-680/109,0/0,-1840/-874/-14328,-686/291/314,-1704/-109/874,# hw
r,18012,371257,88/99/0/90,0/0/0/-14,0/0/0/0,37/-680/109,0/0,-1794/-878/-14302,-679/290/298,-1704/-109/873,# hw
r,18013,371277,88/99/0/90,0/0/0/-8,0/0/0/0,37/-680/109,0/0,-1742/-885/-14294,-676/292/287,-1704/-109/873,# hw
r,18014,371298,88/99/0/90,0/0/0/-10,0/0/0/0,37/-680/109,0/0,-1704/-874/-14284,-680/297/289,-1704/-109/873,# hw
