r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,24253,499975,32/41/4/90,0/0/0/0,0/0/0/0,347/-250/-505,0/0,16/1650/-14589,-508/182/472,1636/-438/341,# hw
r,24254,499995,32/41/4/90,0/0/0/-4,0/0/0/0,347/-250/-505,0/0,16/1652/-14572,-509/182/473,1636/-438/341,# hw
r,24255,500016,32/41/4/90,0/0/0/0,0/0/0/0,347/-250/-505,0/0,18/1652/-14560,-507/181/473,1636/-438/341,# hw
r,24256,500035,32/41/4/90,0/0/0/-2,0/0/0/0,347/-249/-505,0/0,8/1650/-14558,-511/183/475,1636/-438/341,# hw
r,24257,500055,32/41/4/90,0/0/0/-2,0/0/0/0,347/-249/-505,0/0,10/1648/-14536,-511/183/476,1636/-438/341,# hw
r,24258,500077,32/41/4/90,0/0/0/-4,0/0/0/0,347/-249/-505,0/0,24/1662/-14502,-512/183/479,1636/-438/340,# hw
r,24259,500101,32/41/4/90,0/0/0/-2,0/0/0/0,347/-249/-505,0/0,20/1670/-14452,-508/180/480,1636/-438/340,# hw
r,24260,500127,32/41/4/90,0/0/0/-1,0/0/0/0,347/-249/-505,0/0,6/1692/-14386,-504/176/483,1636/-438/340,# hw
r,24261,500148,32/41/4/90,0/0/0/0,0/0/0/0,347/-249/-505,0/0,16/1706/-14334,-500/175/482,1636/-438/340,# hw
r,24262,500169,32/41/4/90,0/0/0/0,0/0/0/0,347/-249/-505,0/0,20/1740/-14294,-501/175/484,1636/-438/340,# hw
r,24263,500194,32/41/4/90,0/0/0/1,0/0/0/0,347/-249/-505,0/0,20/1718/-14303,-506/173/485,1636/-438/340,# hw
r,24264,500215,32/41/4/90,0/0/0/0,0/0/0/0,347/-249/-505,0/0,42/1792/-14174,-496/166/490,1636/-438/340,# hw
r,24265,500238,32/41/4/90,0/0/0/4,0/0/0/0,347/-249/-505,0/0,52/1866/-14128,-505/165/488,1636/-438/340,# hw
r,24266,500258,32/41/4/90,0/0/0/5,0/0/0/0,347/-249/-505,0/0,20/1864/-14048,-494/154/475,1636/-438/341,# hw
