r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,9637,199540,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1318/590/-14288,-679/307/596,-1705/-40/-66,#
r,9638,199559,20/49/35/64,0/0/-1/0,0/0/0/0,515/-45/-240,0/0,-1312/592/-14278,-681/309/593,-1705/-40/-66,#
r,9639,199579,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1312/598/-14288,-682/309/595,-1705/-40/-66,#
r,9640,199599,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1316/606/-14274,-681/308/594,-1705/-40/-66,#
r,9641,199620,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1318/612/-14270,-676/305/597,-1705/-40/-66,#
r,9642,199640,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1318/620/-14250,-673/304/597,-1705/-40/-66,#
r,9643,199659,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1330/612/-14242,-672/303/600,-1705/-40/-66,#
r,9644,199679,20/49/35/64,0/0/2/0,0/0/0/0,515/-45/-240,0/0,-1322/612/-14252,-675/304/599,-1705/-40/-66,#
r,9645,199699,20/49/35/64,0/0/2/0,0/0/0/0,515/-45/-240,0/0,-1326/610/-14272,-682/308/599,-1705/-40/-66,#
r,9646,199719,20/49/35/64,0/0/1/0,0/0/0/0,515/-45/-240,0/0,-1322/606/-14286,-684/309/596,-1705/-40/-66,#
r,9647,199740,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1318/604/-14282,-684/310/597,-1705/-40/-66,#
r,9648,199759,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1318/610/-14282,-684/309/596,-1705/-40/-66,#
r,9649,199779,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1308/616/-14286,-683/308/596,-1705/-40/-66,#
r,9650,199804,20/49/35/64,0/0/-3/0,0/0/0/0,515/-45/-240,0/0,-1306/632/-14266,-676/305/595,-1705/-40/-66,#
r,9651,199828,20/49/35/64,0/0/-1/0,0/0/0/0,515/-45/-240,0/0,-1302/642/-14284,-683/307/597,-1705/-40/-66,#
r,9652,199854,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1296/638/-14298,-690/312/594,-1705/-40/-66,#
r,9653,199880,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1308/630/-14298,-692/313/594,-1705/-40/-66,#
r,9654,199900,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1304/630/-14288,-691/313/594,-1705/-40/-66,#
r,9655,199921,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1304/634/-14302,-693/313/595,-1705/-40/-66,#
r,9656,199941,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1314/636/-14288,-689/311/596,-1705/-40/-66,#
r,9657,199961,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1308/652/-14270,-684/308/598,-1705/-40/-66,#
r,9658,199982,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1308/648/-14250,-681/307/600,-1705/-40/-66,#
r,9659,200008,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1290/656/-14248,-684/309/597,-1705/-40/-66,#
r,9660,200029,20/49/35/64,0/0/0/0,0/0/0/0,515/-45/-240,0/0,-1296/650/-14266,-687/311/594,-1705/-40/-66,#
