r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,156762,3237071,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1286/-316/-15575,-805/342/319,-1752/-106/-633,#
r,156763,3237091,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1288/-330/-15580,-805/341/321,-1752/-106/-633,#
r,156764,3237112,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1300/-334/-15586,-806/340/325,-1752/-106/-633,#
r,156765,3237132,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1310/-304/-15578,-808/338/333,-1752/-106/-633,#
r,156766,3237152,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1350/-292/-15566,-808/336/342,-1752/-106/-633,#
r,156767,3237167,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1390/-278/-15532,-805/330/356,-1752/-106/-633,#
r,156768,3237192,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1398/-230/-15470,-803/327/379,-1752/-106/-633,#
r,156769,3237211,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1394/-122/-15403,-807/330/409,-1752/-106/-633,#
r,156770,3237234,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1400/12/-15260,-796/324/454,-1752/-106/-633,#
r,156771,3237258,13/53/36/61,0/0/0/0,0/0/0/0,327/477/-196,0/0,-1422/130/-15180,-785/313/498,-1752/-106/-633,#
r,156772,3237279,13/53/36/61,-2/0/0/0,0/0/0/0,327/477/-196,0/0,-1474/314/-15056,-772/299/562,-1752/-106/-633,#
r,156773,3237305,13/53/36/61,-14/0/0/0,0/0/0/0,327/478/-196,0/0,-1500/394/-14970,-757/288/591,-1752/-106/-633,#
r,156774,3237326,13/53/36/61,-26/0/0/-1,0/0/0/0,327/478/-196,0/0,-1528/480/-14884,-739/277/616,-1752/-106/-633,#
r,156775,3237345,13/53/36/61,-25/0/0/-1,0/0/0/0,327/478/-196,0/0,-1530/598/-14817,-734/269/636,-1752/-106/-634,#
r,156776,3237365,13/53/36/61,-30/0/0/-4,0/0/0/0,326/478/-196,0/0,-1522/720/-14772,-737/267/657,-1752/-106/-634,#
r,156777,3237384,13/53/36/61,-43/0/0/-5,0/0/0/0,326/479/-196,0/0,-1486/786/-14696,-730/262/661,-1753/-106/-635,#
r,156778,3237405,13/53/36/61,-52/0/0/-10,0/0/0/0,325/479/-196,0/0,-1436/834/-14596,-707/249/663,-1753/-107/-636,#
r,156779,3237425,13/53/36/61,-53/0/0/-5,0/0/0/0,324/480/-196,0/0,-1426/866/-14502,-686/235/669,-1753/-107/-637,#
r,156780,3237447,13/53/36/61,-61/0/0/-1,0/0/0/0,323/481/-196,0/0,-1394/947/-14422,-678/226/682,-1753/-107/-638,#
r,156781,3237472,12/53/36/61,-74/0/0/0,0/0/0/0,321/483/-196,0/0,-1352/1020/-14362,-666/217/681,-1754/-107/-641,#
r,156782,3237494,12/53/36/61,-82/0/0/0,0/0/0/0,320/484/-196,0/0,-1296/1094/-14289,-648/204/687,-1754/-107/-643,#
r,156783,3237515,12/53/36/61,-106/0/0/0,0/0/0/0,319/485/-196,0/0,-1258/1188/-14184,-627/191/705,-1754/-107/-645,#
r,156784,3237540,12/53/36/61,-127/0/0/0,0/0/0/0,317/486/-196,0/0,-1176/1296/-14092,-597/182/719,-1755/-107/-647,#
r,156785,3237568,12/53/36/61,-87/0/0/0,0/0/0/0,316/488/-196,0/0,-1116/1366/-14008,-575/175/729,-1755/-108/-649,#
r,156786,3237587,11/53/36/61,-134/0/0/0,0/0/0/0,314/489/-196,0/0,-1078/1442/-13922,-552/171/738,-1756/-108/-652,#
r,156787,3237607,11/53/36/61,-150/0/0/0,0/0/0/0,312/491/-196,0/0,-1070/1510/-13838,-528/166/754,-1756/-108/-654,#
r,156788,3237627,11/53/36/61,-155/0/0/0,0/0/0/0,310/493/-196,0/0,-1050/1530/-13800,-506/162/757,-1757/-108/-657,#
r,156789,3237647,10/53/36/61,-184/0/0/0,0/0/0/0,307/495/-196,0/0,-1026/1526/-13786,-489/159/758,-1757/-108/-661,#
r,156790,3237668,10/53/36/61,-161/0/0/0,0/0/0/0,305/497/-196,0/0,-1046/1548/-13762,-479/158/789,-1758/-109/-664,#
r,156791,3237689,9/53/36/61,-242/0/0/-1,0/0/0/0,299/502/-196,0/0,-1022/1524/-13774,-468/157/786,-1760/-109/-672,#
r,156792,3237709,9/53/36/61,-203/0/0/-1,0/0/0/0,295/504/-196,0/0,-947/1504/-13734,-447/149/761,-1760/-110/-677,#
r,156793,3237729,8/53/36/61,-218/0/0/-1,0/0/0/0,292/507/-196,0/0,-884/1510/-13714,-431/142/738,-1761/-110/-682,#
r,156794,3237749,8/53/36/61,-264/1/0/-1,0/0/0/0,289/509/-196,0/0,-885/1554/-13689,-410/129/754,-1762/-110/-686,#
r,156795,3237770,7/53/36/61,-229/3/0/-3,0/0/0/0,285/512/-195,0/0,-852/1534/-13674,-400/128/739,-1763/-110/-692,#
r,156796,3237789,7/53/36/61,-258/12/0/-2,0/0/0/0,281/515/-195,0/0,-734/1520/-13630,-373/119/702,-1764/-111/-697,#
r,156797,3237809,6/53/36/61,-268/23/0/-4,0/0/0/0,277/518/-195,0/0,-650/1466/-13616,-358/120/652,-1765/-111/-703,#
r,156798,3237829,6/53/36/61,-281/16/0/-8,0/0/0/0,272/521/-195,0/0,-674/1516/-13620,-345/105/662,-1766/-111/-708,#
r,156799,3237849,5/53/36/61,-301/24/0/-3,0/0/0/0,268/525/-194,0/0,-664/1502/-13608,-332/97/640,-1767/-111/-714,#
r,156800,3237869,5/53/36/61,-295/22/0/-1,0/0/0/0,264/528/-194,0/0,-514/1378/-13536,-294/86/557,-1768/-111/-720,#
r,156801,3237889,4/53/36/61,-294/34/2/0,0/0/0/0,259/531/-193,0/0,-476/1384/-13500,-289/82/541,-1768/-111/-726,#
r,156802,3237909,4/53/36/61,-307/34/4/1,0/0/0/0,255/534/-192,0/0,-471/1382/-13508,-293/86/523,-1769/-110/-732,#
r,156803,3237929,3/53/36/61,-291/51/7/10,0/0/0/0,250/537/-191,0/0,-396/1258/-13496,-269/78/451,-1769/-110/-738,#
r,156804,3237949,2/53/36/61,-295/46/13/14,0/0/0/0,245/541/-190,0/0,-378/1232/-13486,-261/72/435,-1770/-109/-744,#
r,156805,3237969,2/54/37/61,-308/62/11/4,0/0/0/0,241/544/-189,0/0,-414/1230/-13488,-265/74/432,-1770/-109/-750,#
r,156806,3237989,1/54/37/61,-304/81/10/11,0/0/0/0,237/547/-187,0/0,-340/1134/-13417,-244/68/380,-1770/-108/-756,#
r,156807,3238009,1/54/37/61,-308/60/20/11,0/0/0/0,232/550/-186,0/0,-338/1124/-13372,-219/55/369,-1769/-107/-762,#
r,156808,3238029,0/54/37/61,-286/105/26/14,0/0/0/0,228/553/-184,0/0,-378/1126/-13339,-216/53/366,-1769/-106/-768,#
r,156809,3238049,-1/54/37/61,-317/115/26/17,0/0/0/0,223/556/-181,0/0,-314/1072/-13272,-195/45/330,-1768/-104/-774,#
r,156810,3238069,-1/54/37/61,-297/134/27/11,0/0/0/0,219/559/-178,0/0,-358/1048/-13222,-186/39/336,-1767/-103/-780,#
r,156811,3238089,-2/55/37/61,-305/125/54/12,0/0/0/0,215/562/-175,0/0,-460/1036/-13220,-197/44/366,-1765/-101/-785,#
r,156812,3238109,-2/55/37/61,-313/136/28/16,0/0/0/0,211/565/-172,0/0,-476/924/-13236,-199/50/351,-1763/-99/-791,#
r,156813,3238129,-3/55/37/61,-269/155/48/7,0/0/0/0,207/568/-168,0/0,-508/910/-13217,-211/55/365,-1761/-97/-797,#
r,156814,3238153,-4/56/37/61,-265/166/45/24,0/0/0/0,202/571/-165,0/0,-596/846/-13208,-225/62/379,-1759/-95/-803,#
r,156815,3238175,-4/56/37/61,-275/180/44/11,0/0/0/0,198/574/-161,0/0,-596/742/-13136,-210/57/353,-1756/-92/-808,#
r,156816,3238195,-5/56/37/61,-297/174/58/17,0/0/0/0,194/577/-156,0/0,-562/784/-13074,-205/51/362,-1754/-90/-814,#
r,156817,3238215,-5/57/37/61,-269/220/73/20,0/0/0/0,190/580/-152,0/0,-592/768/-13056,-223/59/363,-1750/-87/-820,#
r,156818,3238235,-6/57/38/61,-275/206/85/16,0/0/0/0,185/582/-146,0/0,-524/698/-13074,-241/75/323,-1747/-84/-825,#
r,156819,3238255,-6/58/38/61,-253/240/67/14,0/0/0/0,182/585/-141,0/0,-578/686/-13075,-240/72/343,-1743/-81/-831,#
r,156820,3238275,-7/58/38/61,-260/252/107/26,0/0/0/0,178/588/-135,0/0,-660/624/-13053,-243/72/350,-1738/-78/-836,#
r,156821,3238295,-7/58/38/61,-282/232/67/20,0/0/0/0,174/590/-130,0/0,-610/496/-13050,-247/80/323,-1734/-75/-842,#
r,156822,3238315,-8/59/38/61,-251/266/77/13,0/0/0/0,169/593/-123,0/0,-626/448/-13125,-288/105/306,-1729/-72/-847,#
r,156823,3238335,-8/59/39/61,-264/230/122/19,0/0/0/0,166/595/-117,0/0,-678/452/-13136,-305/109/317,-1723/-69/-852,#
r,156824,3238355,-9/60/39/62,-274/267/91/22,0/0/0/0,162/597/-111,0/0,-592/318/-13098,-302/113/254,-1718/-66/-857,#
r,156825,3238379,-9/60/39/62,-219/258/123/36,0/0/0/0,158/600/-104,0/0,-480/200/-13124,-331/144/159,-1712/-62/-862,#
r,156826,3238401,-10/61/39/62,-219/250/124/37,0/0/0/0,155/601/-97,0/0,-544/180/-13167,-377/169/149,-1706/-59/-867,#
r,156827,3238421,-10/62/40/62,-198/275/94/53,0/0/0/0,152/603/-89,0/0,-580/84/-13114,-363/166/139,-1699/-55/-871,#
r,156828,3238447,-10/62/40/62,-163/295/93/71,0/0/0/0,149/605/-82,0/0,-620/68/-13062,-360/168/151,-1692/-52/-875,#
