r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,94830,1958872,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1218/-214/-14760,-429/185/352,-1707/11/-191,#
r,94831,1958897,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1220/-164/-14750,-443/185/375,-1707/11/-191,#
r,94832,1958916,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1208/-64/-14736,-463/187/413,-1707/11/-191,#
r,94833,1958936,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1204/60/-14708,-479/185/461,-1707/11/-191,#
r,94834,1958956,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1194/182/-14686,-480/167/505,-1707/11/-191,#
r,94835,1958976,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1202/154/-14578,-483/156/548,-1707/11/-191,#
r,94836,1958997,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1228/348/-14425,-479/143/590,-1707/11/-191,#
r,94837,1959024,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1218/462/-14389,-487/142/622,-1707/11/-191,#
r,94838,1959044,29/42/45/42,0/0/0/0,0/0/0/0,466/16/-249,0/0,-1254/552/-14339,-492/140/648,-1707/11/-191,#
r,94839,1959066,29/42/45/42,1/0/0/0,0/0/0/0,466/16/-249,0/0,-1294/656/-14267,-486/121/678,-1707/11/-191,#
r,94840,1959092,29/42/45/42,2/0/0/1,0/0/0/0,466/16/-249,0/0,-1286/824/-14220,-487/106/719,-1707/11/-191,#
r,94841,1959112,29/42/45/42,2/0/0/3,0/0/0/0,466/16/-249,0/0,-1266/1074/-14150,-489/92/776,-1707/10/-191,#
r,94842,1959131,29/42/45/42,8/1/0/7,0/0/0/0,466/15/-249,0/0,-1260/1222/-13992,-467/65/818,-1707/10/-191,#
r,94843,1959152,29/42/45/42,5/5/0/11,0/0/0/0,466/15/-249,0/0,-1288/1310/-13836,-429/30/846,-1707/11/-190,#
r,94844,1959172,29/42/45/42,7/12/1/14,0/0/0/0,466/15/-249,0/0,-1270/1424/-13762,-421/12/883,-1706/11/-190,#
r,94845,1959192,29/42/45/42,10/11/2/33,0/0/0/0,466/14/-249,0/0,-1262/1582/-13708,-431/2/944,-1706/11/-189,#
r,94846,1959211,29/42/45/42,21/24/2/54,0/0/0/0,467/13/-248,0/0,-1400/1632/-13560,-412/-22/1004,-1706/11/-188,#
r,94847,1959232,29/42/45/42,21/33/1/53,0/0/0/0,467/12/-248,0/0,-1418/1558/-13553,-429/-12/998,-1706/11/-187,#
r,94848,1959252,29/42/45/42,39/48/0/81,0/0/0/0,468/11/-247,0/0,-1442/1560/-13558,-463/8/1011,-1705/12/-185,#
r,94849,1959272,29/43/45/42,42/40/0/90,0/0/0/0,468/9/-247,0/0,-1516/1648/-13508,-468/4/1061,-1705/12/-183,#
