r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,12016,447440,10/120/7/65,5/0/0/0,240/2336/621/67,491/-39/359,0/0,-878/-1264/-12984,-429/234/516,-71/-360/-127,#l_ch
r,12017,447480,10/120/7/65,11/0/0/0,271/2335/622/68,491/-38/359,0/0,-864/-1272/-13098,-440/242/511,-71/-360/-127,#l_ch
r,12018,447520,10/120/7/65,7/0/0/0,234/2335/620/67,491/-38/359,0/0,-830/-1282/-13184,-457/254/502,-72/-360/-126,#l_ch
r,12019,447560,10/120/7/65,10/0/0/0,262/2334/622/65,491/-37/359,0/0,-774/-1342/-13238,-446/254/484,-72/-360/-126,#l_ch
r,12020,447600,10/120/7/65,17/0/0/0,209/2332/622/64,491/-37/359,0/0,-734/-1360/-13234,-445/257/483,-72/-360/-125,#l_ch
r,12021,447640,10/120/7/65,16/0/0/0,264/2334/621/66,491/-36/359,0/0,-704/-1392/-13232,-448/262/476,-73/-360/-124,#l_ch
r,12022,447679,10/120/7/65,9/0/0/0,254/2337/622/67,491/-36/359,0/0,-724/-1406/-13192,-438/257/484,-73/-360/-124,#l_ch
r,12023,447720,10/120/7/65,16/0/0/0,247/2334/619/68,491/-35/359,0/0,-734/-1374/-13117,-429/251/498,-73/-360/-123,#l_ch
r,12024,447760,10/120/7/65,16/0/0/0,273/2337/621/65,491/-35/359,0/0,-700/-1350/-13139,-434/255/494,-74/-360/-123,#l_ch
r,12025,447799,10/120/7/65,13/0/0/0,245/2337/622/66,491/-35/359,0/0,-690/-1414/-13110,-425/250/482,-74/-360/-122,#l_ch
r,12026,447839,10/120/7/65,10/0/0/0,261/2333/622/69,491/-34/359,0/0,-702/-1452/-13116,-430/254/483,-74/-360/-122,#l_ch
r,12027,447872,10/120/7/65,11/0/0/0,262/2335/622/69,491/-34/359,0/0,-744/-1448/-13050,-415/244/493,-74/-360/-122,#l_ch
r,12028,447906,10/120/7/65,11/0/0/0,241/2336/620/66,491/-34/359,0/0,-774/-1384/-13052,-421/243/504,-75/-360/-121,#l_ch
r,12029,447945,10/120/7/65,24/0/0/0,268/2334/621/66,491/-33/359,0/0,-764/-1334/-13058,-424/242/501,-75/-359/-120,#l_ch
r,12030,447987,10/120/7/65,18/0/0/0,255/2332/622/64,491/-32/359,0/0,-842/-1250/-13046,-432/236/524,-76/-359/-119,#l_ch
r,12031,448026,10/120/7/65,19/0/0/0,266/2336/621/72,492/-32/359,0/0,-974/-1216/-12967,-421/219/548,-76/-359/-118,#l_ch
r,12032,448067,11/120/7/65,21/0/0/0,301/2339/622/68,492/-31/359,0/0,-1180/-1042/-12794,-394/180/630,-77/-359/-117,#l_ch
r,12033,448107,11/120/7/65,38/0/0/4,304/2335/620/302,492/-29/359,0/0,-1356/-878/-12648,-357/132/700,-78/-359/-115,#l_ch
r,12034,448147,11/120/7/65,57/0/0/6,298/2336/620/315,492/-27/359,0/0,-1590/-421/-12676,-388/102/847,-80/-359/-112,#l_ch
r,12035,448187,11/120/7/65,84/0/0/19,384/2337/623/298,492/-23/359,0/0,-1512/-180/-12600,-395/92/875,-82/-358/-107,#l_ch
r,12036,448226,12/120/7/65,77/0/0/54,412/2338/620/371,492/-18/359,0/0,-1637/78/-12398,-370/57/941,-85/-358/-101,#l_ch
r,12037,448266,12/120/7/66,160/0/0/48,438/2334/621/413,493/-11/360,0/0,-1586/48/-12086,-298/22/920,-89/-357/-92,#l_ch
r,12038,448306,13/120/7/66,158/0/0/77,469/2337/620/421,493/-3/360,0/0,-1408/18/-11896,-282/22/885,-93/-356/-81,#l_ch
r,12039,448347,13/120/7/66,165/0/0/147,512/2338/620/453,493/5/361,0/0,-1240/-78/-11600,-230/11/836,-98/-355/-68,#l_ch
r,12040,448387,14/120/7/67,210/0/0/168,504/2335/620/504,493/15/361,0/0,-1250/-32/-11420,-218/11/837,-103/-353/-54,#l_ch
r,12041,448427,15/120/7/68,219/0/0/155,504/2333/621/528,493/27/362,0/0,-1120/-38/-11226,-187/3/786,-109/-352/-38,#l_ch
r,12042,448467,16/120/7/68,228/5/4/191,557/2567/852/560,493/39/363,0/0,-985/182/-10972,-189/10/769,-116/-350/-20,#l_ch
r,12043,448506,17/120/7/69,216/10/8/223,535/2571/883/592,492/53/365,0/0,-744/100/-10640,-89/-27/671,-122/-349/-1,#l_ch
r,12044,448548,18/120/7/70,227/16/13/186,543/2603/916/580,491/67/367,0/0,-744/188/-10568,-96/-20/700,-130/-348/19,#l_ch
r,12045,448588,19/120/7/71,235/32/19/241,565/2589/888/605,489/81/369,0/0,-518/-58/-10232,-20/-32/587,-137/-347/40,#l_ch
r,12046,448628,20/121/7/72,254/52/30/241,550/2609/899/604,486/96/371,0/0,-364/-148/-9878,24/-35/552,-145/-347/62,#l_ch
r,12047,448667,21/121/7/73,232/51/28/230,576/2655/958/619,483/110/375,0/0,-72/52/-9488,90/-51/491,-153/-348/84,#l_ch
r,12048,448708,22/121/7/74,222/118/59/266,585/2683/1059/641,478/124/381,0/0,-88/18/-9400,90/-47/455,-162/-350/107,#l_ch
r,12049,448747,23/122/7/75,197/149/93/257,596/2758/1024/646,472/136/388,0/0,-100/-216/-9324,98/-45/387,-172/-354/130,#l_ch
r,12050,448788,23/122/8/76,201/178/106/270,548/2808/1048/643,465/148/396,0/0,-52/-162/-9314,63/-11/393,-183/-360/154,#l_ch
r,12051,448828,24/123/8/77,171/197/112/277,544/2786/1102/642,457/158/406,0/0,224/-112/-8974,112/-16/320,-196/-368/179,#l_ch
r,12052,448868,25/124/9/78,153/241/131/247,544/2870/1177/638,447/167/418,0/0,398/-196/-8970,60/32/275,-210/-378/204,#l_ch
r,12053,448908,26/125/9/79,160/282/139/258,538/2869/1175/668,436/174/431,0/0,374/-718/-9128,58/55/145,-226/-389/229,#l_ch
r,12054,448947,26/126/10/80,144/321/116/262,526/2809/1190/586,425/179/445,0/0,364/-634/-9342,21/78/142,-243/-401/255,#l_ch
r,12055,448988,27/128/10/81,63/343/169/271,561/2846/1183/616,412/182/460,0/0,1184/-1102/-9578,-24/143/-123,-262/-415/280,#l_ch
r,12056,449028,27/129/11/82,18/357/140/234,397/2793/1204/569,399/182/475,0/0,956/-1004/-9716,-106/189/-34,-280/-431/302,#l_ch
r,12057,449069,27/130/12/83,-1/355/160/217,240/2823/1206/587,387/180/490,0/0,452/-1134/-9970,-204/249/32,-298/-447/323,#l_ch
r,12058,449108,27/132/12/84,-4/368/155/172,-223/2732/1209/564,374/176/504,0/0,386/-1450/-9638,-132/213/-11,-318/-463/344,#l_ch
r,12059,449147,27/133/13/85,-25/375/159/122,-225/2748/1190/553,360/172/518,0/0,900/-1534/-10110,-280/318/-183,-338/-480/365,#l_ch
r,12060,449187,26/135/14/85,-80/368/171/128,-226/2725/1197/506,348/166/532,0/0,1422/-1626/-10064,-241/303/-301,-358/-496/385,#l_ch
r,12061,449227,26/136/14/85,-77/373/143/74,-360/2684/1174/498,335/158/544,0/0,1126/-1506/-10478,-370/367/-242,-377/-513/401,#l_ch
r,12062,449268,26/138/15/86,-82/345/150/58,-429/2612/1154/431,323/150/556,0/0,376/-1432/-10184,-264/265/-84,-396/-529/417,#l_ch
