r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,20495,422734,17/84/36/60,0/0/0/2,0/0/0/0,539/-4/130,0/0,-1460/-1282/-14480,-469/209/486,-1570/300/-31,#
r,20496,422754,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1446/-1266/-14460,-472/212/484,-1570/300/-31,#
r,20497,422773,17/84/36/60,0/0/0/2,0/0/0/0,539/-4/130,0/0,-1438/-1282/-14462,-470/212/481,-1570/300/-31,#
r,20498,422794,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1442/-1274/-14472,-468/210/482,-1570/300/-31,#
r,20499,422814,17/84/36/60,0/0/0/2,0/0/0/0,539/-4/130,0/0,-1446/-1270/-14467,-461/205/483,-1570/300/-31,#
r,20500,422834,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1454/-1260/-14458,-459/204/484,-1570/300/-31,#
r,20501,422855,17/84/36/60,0/0/0/1,0/0/0/0,539/-4/130,0/0,-1468/-1276/-14448,-456/202/484,-1570/300/-31,#
r,20502,422874,17/84/36/60,0/0/0/-2,0/0/0/0,539/-4/130,0/0,-1472/-1286/-14470,-458/203/483,-1570/300/-31,#
r,20503,422895,17/84/36/60,0/0/0/1,0/0/0/0,539/-4/130,0/0,-1480/-1312/-14470,-456/202/484,-1570/300/-31,#
r,20504,422914,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1476/-1298/-14482,-459/203/485,-1570/300/-31,#
r,20505,422934,17/84/36/60,0/0/0/1,0/0/0/0,539/-4/130,0/0,-1470/-1304/-14472,-459/204/487,-1570/300/-31,#
r,20506,422955,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1448/-1292/-14452,-457/205/486,-1570/300/-31,#
r,20507,422975,17/84/36/60,0/0/0/1,0/0/0/0,539/-4/130,0/0,-1446/-1304/-14450,-452/202/486,-1570/300/-31,#
r,20508,422995,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1448/-1294/-14446,-449/199/484,-1570/300/-31,#
r,20509,423015,17/84/36/60,0/0/0/1,0/0/0/0,539/-4/130,0/0,-1450/-1290/-14434,-450/200/484,-1570/300/-31,#
r,20510,423035,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1446/-1298/-14442,-451/200/483,-1570/300/-31,#
r,20511,423054,17/84/36/60,0/0/0/1,0/0/0/0,539/-4/130,0/0,-1444/-1306/-14432,-448/199/484,-1570/300/-31,#
r,20512,423076,17/84/36/60,0/0/0/2,0/0/0/0,539/-4/130,0/0,-1454/-1298/-14424,-444/196/488,-1570/300/-31,#
r,20513,423096,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1458/-1290/-14424,-444/194/493,-1570/300/-31,#
r,20514,423122,17/84/36/60,0/0/0/1,0/0/0/0,539/-4/130,0/0,-1472/-1296/-14412,-437/190/498,-1570/300/-31,#
r,20515,423147,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1446/-1302/-14396,-431/187/503,-1570/300/-31,#
r,20516,423168,17/84/36/60,0/0/0/2,0/0/0/0,539/-4/130,0/0,-1426/-1300/-14400,-428/186/499,-1570/300/-31,#
r,20517,423187,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1420/-1294/-14396,-426/185/499,-1570/300/-31,#
r,20518,423207,17/84/36/60,0/0/0/1,0/0/0/0,539/-4/130,0/0,-1404/-1282/-14386,-421/181/501,-1570/300/-31,#
r,20519,423227,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1400/-1268/-14402,-422/180/505,-1570/300/-31,#
r,20520,423248,17/84/36/60,0/0/0/2,0/0/0/0,539/-4/130,0/0,-1404/-1268/-14384,-419/178/506,-1570/300/-31,#
r,20521,423275,17/84/36/60,0/0/0/-1,0/0/0/0,539/-4/130,0/0,-1402/-1256/-14362,-418/179/507,-1570/300/-31,#
