r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,84076,1731547,3/56/11/74,-65/0/0/0,0/0/0/0,308/488/-318,0/0,28/594/-13808,-409/82/641,1689/-264/-610,#
r,84077,1731568,3/56/11/74,-48/0/0/0,0/0/0/0,307/489/-318,0/0,2/584/-13782,-398/77/631,1688/-264/-611,#
r,84078,1731587,3/56/11/74,-78/0/0/0,0/0/0/0,305/490/-318,0/0,-36/532/-13796,-394/78/632,1687/-263/-613,#
r,84079,1731607,3/56/11/74,-80/0/0/0,0/0/0/0,305/491/-318,0/0,-24/536/-13798,-390/79/637,1687/-263/-614,#
r,84080,1731627,3/56/11/74,-92/0/0/0,0/0/0/0,304/492/-318,0/0,24/564/-13782,-386/85/637,1686/-263/-616,#
r,84081,1731647,3/56/11/74,-70/0/0/0,0/0/0/0,303/492/-318,0/0,122/612/-13767,-384/93/632,1685/-262/-617,#
r,84082,1731668,3/56/11/74,-67/0/0/0,0/0/0/0,302/493/-318,0/0,200/644/-13758,-380/101/624,1685/-262/-619,#
r,84083,1731690,2/56/11/74,-70/0/0/0,0/0/0/0,300/494/-318,0/0,288/610/-13730,-383/117/599,1684/-262/-621,#
r,84084,1731711,2/56/11/74,-65/0/0/0,0/0/0/0,299/495/-318,0/0,432/530/-13664,-383/138/559,1683/-261/-623,#
r,84085,1731731,2/56/11/74,-67/0/0/0,0/0/0/0,298/496/-318,0/0,530/466/-13646,-394/159/521,1682/-261/-624,#
r,84086,1731751,2/56/11/74,-48/0/0/0,0/0/0/0,297/497/-318,0/0,644/412/-13620,-398/175/479,1682/-261/-626,#
r,84087,1731771,2/56/11/74,-89/0/0/0,0/0/0/0,296/498/-318,0/0,744/330/-13570,-400/190/432,1681/-261/-627,#
r,84088,1731791,2/56/11/74,-82/0/0/2,0/0/0/0,295/499/-318,0/0,822/266/-13525,-403/202/401,1680/-260/-628,#
r,84089,1731811,2/56/11/74,-46/0/0/5,0/0/0/0,294/499/-318,0/0,854/232/-13475,-405/210/387,1680/-260/-629,#
r,84090,1731831,2/56/11/74,-42/0/0/4,0/0/0/0,294/500/-318,0/0,888/211/-13474,-408/220/363,1680/-260/-630,#
