r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,80541,1660223,80/37/46/58,0/0/-1/0,0/0/0/0,246/-465/-294,0/0,-847/454/-15074,-667/256/715,-1793/-97/479,#
r,80542,1660243,80/37/46/58,0/0/3/0,0/0/0/0,246/-465/-294,0/0,-838/460/-15100,-672/259/714,-1793/-97/479,#
r,80543,1660263,80/37/46/58,0/0/-1/0,0/0/0/0,246/-465/-294,0/0,-818/467/-15103,-666/259/708,-1793/-97/479,#
r,80544,1660290,80/37/46/58,0/0/2/0,0/0/0/0,246/-465/-294,0/0,-798/456/-15098,-663/262/701,-1793/-97/479,#
r,80545,1660312,80/37/46/58,0/0/1/0,0/0/0/0,246/-465/-294,0/0,-746/419/-15102,-663/269/682,-1793/-97/479,#
r,80546,1660332,80/37/46/58,0/0/-1/0,0/0/0/0,246/-465/-294,0/0,-694/423/-15134,-663/277/670,-1793/-97/479,#
r,80547,1660357,80/37/46/58,0/0/2/0,0/0/0/0,246/-465/-294,0/0,-616/392/-15196,-664/290/644,-1793/-97/479,#
r,80548,1660377,80/37/46/58,0/0/-1/0,0/0/0/0,246/-465/-294,0/0,-518/278/-15196,-663/310/585,-1793/-97/479,#
r,80549,1660403,80/37/46/58,0/0/1/0,0/0/0/0,246/-465/-294,0/0,-458/258/-15224,-686/335/546,-1793/-97/479,#
r,80550,1660426,80/37/46/58,-6/0/-1/0,0/0/0/0,246/-465/-294,0/0,-450/314/-15266,-701/345/540,-1793/-97/479,#
r,80551,1660455,80/37/46/58,-11/0/-1/0,0/0/0/0,246/-464/-294,0/0,-344/316/-15332,-727/382/479,-1793/-97/479,#
r,80552,1660479,80/37/46/58,-16/0/1/0,0/0/0/0,246/-464/-294,0/0,-320/326/-15396,-753/405/450,-1793/-97/478,#
r,80553,1660499,80/37/46/58,-28/0/1/0,0/0/0/0,247/-464/-294,0/0,-308/360/-15436,-764/411/440,-1793/-97/478,#
r,80554,1660524,80/37/46/58,-30/-2/2/0,0/0/0/0,247/-464/-294,0/0,-258/350/-15470,-774/420/419,-1793/-97/477,#
r,80555,1660545,80/37/46/58,-27/-5/1/0,0/0/0/0,248/-463/-294,0/0,-180/316/-15360,-742/415/389,-1793/-97/476,#
r,80556,1660566,80/37/46/58,-40/-7/0/0,0/0/0/0,248/-463/-294,0/0,-142/268/-15224,-728/417/363,-1793/-97/476,#
r,80557,1660592,80/37/46/58,-32/-11/0/0,0/0/0/0,249/-462/-294,0/0,-110/208/-15120,-712/412/348,-1793/-97/475,#
r,80558,1660611,80/37/46/58,-64/-12/-1/0,0/0/0/0,250/-462/-294,0/0,-82/146/-15086,-702/409/337,-1793/-97/474,#
r,80559,1660632,79/37/46/58,-58/-13/0/-10,0/0/0/0,250/-461/-294,0/0,-48/110/-15108,-699/413/320,-1793/-97/472,#
r,80560,1660651,79/37/46/58,-77/-17/-1/-16,0/0/0/0,251/-460/-295,0/0,-52/114/-15125,-703/415/320,-1793/-97/470,#
r,80561,1660672,79/37/46/58,-56/-19/-1/-11,0/0/0/0,253/-459/-295,0/0,-84/138/-15136,-694/407/329,-1793/-97/468,#
r,80562,1660692,79/37/46/58,-95/-21/0/-23,0/0/0/0,254/-457/-295,0/0,-112/176/-15152,-690/405/350,-1793/-97/466,#
