r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,74690,1537896,-2/81/9/89,24/0/2/0,0/0/0/0,377/532/-49,0/0,-108/-258/-14058,-601/336/369,-1728/-88/-508,#
r,74691,1537915,-2/81/9/89,26/0/0/0,0/0/0/0,378/531/-49,0/0,-126/-282/-14052,-595/331/363,-1728/-88/-508,#
r,74692,1537936,-2/81/9/89,38/0/0/0,0/0/0/0,379/531/-49,0/0,-150/-304/-14046,-593/330/364,-1728/-88/-507,#
r,74693,1537955,-2/81/9/89,60/0/-1/0,0/0/0/0,379/530/-49,0/0,-154/-348/-14036,-586/327/360,-1728/-88/-506,#
r,74694,1537975,-2/81/9/89,33/0/-2/0,0/0/0/0,380/530/-49,0/0,-168/-372/-14038,-589/329/362,-1728/-88/-505,#
r,74695,1537996,-2/81/9/89,42/0/-2/0,0/0/0/0,381/529/-49,0/0,-190/-392/-14014,-589/328/359,-1727/-88/-504,#
r,74696,1538015,-2/81/9/89,60/0/0/0,0/0/0/0,381/528/-49,0/0,-228/-382/-14020,-597/330/363,-1727/-88/-503,#
r,74697,1538036,-2/81/9/89,46/0/0/0,0/0/0/0,382/527/-49,0/0,-264/-410/-14014,-596/328/367,-1727/-87/-502,#
r,74698,1538056,-2/81/9/89,64/0/2/0,0/0/0/0,383/526/-49,0/0,-296/-416/-14024,-598/328/373,-1727/-87/-501,#
r,74699,1538076,-1/81/9/89,65/0/2/0,0/0/0/0,384/525/-49,0/0,-340/-444/-14022,-591/322/373,-1727/-87/-500,#
r,74700,1538095,-1/81/9/89,84/0/2/0,0/0/0/0,386/524/-49,0/0,-392/-464/-14024,-592/319/371,-1726/-87/-498,#
r,74701,1538115,-1/81/9/89,93/0/0/0,0/0/0/0,387/523/-49,0/0,-436/-482/-13992,-587/313/374,-1726/-87/-497,#
r,74702,1538135,-1/81/9/89,55/0/0/0,0/0/0/0,387/522/-49,0/0,-460/-500/-13966,-589/313/379,-1726/-86/-495,#
r,74703,1538154,-1/81/9/89,62/0/-1/0,0/0/0/0,389/521/-49,0/0,-456/-520/-13952,-582/310/382,-1726/-86/-494,#
r,74704,1538175,-1/81/9/89,93/0/-1/0,0/0/0/0,390/520/-49,0/0,-442/-534/-13936,-581/310/381,-1726/-86/-492,#
r,74705,1538195,0/81/9/89,81/0/-1/0,0/0/0/0,392/518/-49,0/0,-442/-540/-13906,-580/311/380,-1725/-86/-491,#
r,74706,1538215,0/81/9/89,93/0/-1/0,0/0/0/0,392/517/-49,0/0,-456/-544/-13889,-581/310/382,-1725/-86/-489,#
r,74707,1538237,0/81/9/89,87/0/0/0,0/0/0/0,396/514/-49,0/0,-419/-586/-13832,-570/307/367,-1725/-85/-485,#
r,74708,1538258,0/81/9/89,97/0/1/0,0/0/0/0,397/512/-49,0/0,-394/-630/-13817,-568/310/353,-1724/-85/-483,#
r,74709,1538282,0/81/9/89,122/0/0/0,0/0/0/0,398/511/-49,0/0,-384/-636/-13789,-566/310/351,-1724/-85/-481,#
r,74710,1538304,1/81/9/89,118/0/1/0,0/0/0/0,400/509/-49,0/0,-362/-640/-13774,-569/310/348,-1724/-84/-479,#
r,74711,1538324,1/81/9/89,133/0/0/0,0/0/0/0,402/507/-49,0/0,-320/-658/-13734,-561/307/349,-1723/-84/-476,#
r,74712,1538349,1/81/9/89,130/0/0/0,0/0/0/0,403/505/-49,0/0,-324/-652/-13686,-547/299/366,-1723/-84/-474,#
r,74713,1538368,1/81/9/89,135/0/-1/0,0/0/0/0,405/503/-49,0/0,-342/-658/-13562,-529/288/376,-1723/-83/-472,#
r,74714,1538389,2/81/9/89,133/0/0/0,0/0/0/0,408/501/-49,0/0,-298/-660/-13416,-499/276/367,-1722/-83/-469,#
r,74715,1538409,2/81/9/89,130/0/0/0,0/0/0/0,409/499/-49,0/0,-258/-624/-13314,-487/268/367,-1722/-83/-467,#
r,74716,1538436,2/81/9/89,111/0/5/0,0/0/0/0,411/497/-49,0/0,-276/-596/-13239,-473/257/375,-1721/-82/-464,#
r,74717,1538457,2/81/9/89,137/0/4/0,0/0/0/0,414/495/-48,0/0,-260/-574/-13184,-467/249/381,-1721/-82/-461,#
r,74718,1538476,3/81/9/89,133/0/0/0,0/0/0/0,415/492/-48,0/0,-190/-626/-13106,-447/241/357,-1720/-81/-458,#
r,74719,1538496,3/81/9/89,174/0/0/0,0/0/0/0,418/490/-48,0/0,-150/-608/-13044,-439/235/362,-1720/-81/-455,#
r,74720,1538516,3/81/9/89,163/0/0/0,0/0/0/0,420/487/-48,0/0,-224/-602/-12988,-432/224/379,-1720/-81/-452,#
r,74721,1538536,4/81/9/89,175/0/-1/0,0/0/0/0,422/484/-48,0/0,-206/-656/-12950,-436/232/367,-1719/-80/-449,#
r,74722,1538556,4/81/9/89,153/0/0/0,0/0/0/0,425/482/-49,0/0,-190/-680/-12903,-430/229/358,-1719/-80/-446,#
r,74723,1538577,4/81/9/89,188/0/-1/0,0/0/0/0,427/479/-49,0/0,-256/-690/-12858,-444/231/380,-1718/-79/-442,#
r,74724,1538597,5/81/9/89,191/0/0/0,0/0/0/0,429/476/-49,0/0,-298/-704/-12806,-449/229/384,-1718/-79/-439,#
r,74725,1538617,5/81/9/89,198/0/0/0,0/0/0/0,431/473/-49,0/0,-308/-714/-12716,-450/229/380,-1717/-78/-435,#
r,74726,1538636,5/81/9/89,195/0/1/0,0/0/0/0,434/470/-49,0/0,-312/-730/-12574,-421/210/376,-1717/-78/-432,#
r,74727,1538656,6/81/9/89,180/0/-1/0,0/0/0/0,436/466/-49,0/0,-334/-750/-12482,-412/202/378,-1716/-77/-428,#
r,74728,1538676,6/81/9/89,173/0/2/0,0/0/0/0,439/463/-48,0/0,-382/-772/-12372,-396/190/380,-1716/-77/-424,#
r,74729,1538695,7/81/9/89,203/0/-2/0,0/0/0/0,442/460/-49,0/0,-410/-756/-12282,-398/185/390,-1715/-76/-421,#
r,74730,1538716,7/81/9/89,207/0/2/0,0/0/0/0,445/456/-48,0/0,-421/-734/-12194,-395/180/396,-1715/-76/-417,#
r,74731,1538736,7/81/9/89,188/0/-2/0,0/0/0/0,447/453/-49,0/0,-412/-738/-12068,-378/170/395,-1714/-75/-413,#
r,74732,1538757,8/81/9/89,214/0/2/0,0/0/0/0,450/449/-48,0/0,-384/-704/-11928,-364/161/398,-1714/-74/-409,#
r,74733,1538777,8/81/9/89,226/0/-2/0,0/0/0/0,452/445/-49,0/0,-370/-620/-11772,-358/149/415,-1713/-74/-405,#
r,74734,1538796,9/81/9/89,200/4/1/0,0/0/0/0,455/442/-48,0/0,-380/-562/-11578,-335/128/428,-1713/-73/-400,#
r,74735,1538816,9/81/9/89,214/14/0/0,0/0/0/0,458/438/-48,0/0,-406/-516/-11478,-307/106/448,-1712/-72/-396,#
r,74736,1538836,9/81/9/89,187/23/4/0,0/0/0/0,461/434/-48,0/0,-421/-558/-11462,-289/95/456,-1711/-71/-392,#
r,74737,1538856,10/81/9/89,235/40/0/0,0/0/0/0,463/430/-47,0/0,-498/-598/-11490,-284/88/489,-1710/-70/-388,#
r,74738,1538883,11/82/9/89,223/55/-1/0,0/0/0/0,469/422/-45,0/0,-712/-620/-11504,-302/87/520,-1708/-67/-380,#
r,74739,1538903,11/82/9/89,210/73/0/0,0/0/0/0,471/419/-43,0/0,-786/-650/-11428,-292/75/514,-1707/-66/-376,#
r,74740,1538923,11/82/9/89,190/60/-2/0,0/0/0/0,474/415/-41,0/0,-828/-690/-11304,-270/59/502,-1706/-64/-372,#
r,74741,1538943,12/82/9/89,187/108/1/0,0/0/0/0,476/411/-39,0/0,-954/-698/-11228,-246/38/525,-1704/-62/-369,#
r,74742,1538963,12/82/9/89,169/104/-4/0,0/0/0/0,479/407/-37,0/0,-1046/-716/-11202,-236/27/547,-1703/-60/-365,#
r,74743,1538983,13/82/9/89,190/124/6/0,0/0/0/0,481/404/-34,0/0,-1110/-788/-11184,-229/21/542,-1701/-57/-362,#
