r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,47325,975182,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1404/-788/-14484,-730/287/345,-1652/252/-298,#
r,47326,975202,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1408/-808/-14516,-735/290/348,-1652/252/-298,#
r,47327,975222,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1402/-818/-14532,-736/292/347,-1652/252/-298,#
r,47328,975242,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1372/-820/-14524,-732/290/339,-1652/252/-298,#
r,47329,975262,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1350/-810/-14488,-726/288/334,-1652/252/-298,#
r,47330,975282,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1340/-772/-14438,-714/279/340,-1652/252/-298,#
r,47331,975302,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1318/-718/-14386,-699/268/350,-1652/252/-298,#
r,47332,975321,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1310/-700/-14316,-685/260/352,-1652/252/-298,#
r,47333,975342,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1298/-710/-14267,-676/257/347,-1652/252/-298,#
r,47334,975362,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1298/-698/-14253,-673/255/344,-1652/252/-298,#
r,47335,975382,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1320/-660/-14292,-679/251/354,-1652/252/-298,#
r,47336,975402,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1346/-600/-14312,-687/249/369,-1652/252/-298,#
r,47337,975422,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1350/-552/-14300,-690/248/377,-1652/252/-298,#
r,47338,975442,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1352/-524/-14298,-681/237/383,-1652/252/-298,#
r,47339,975462,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1364/-452/-14292,-665/215/404,-1652/252/-298,#
r,47340,975482,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1390/-326/-14274,-667/195/434,-1652/252/-298,#
r,47341,975502,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1358/-180/-14256,-691/184/472,-1652/252/-298,#
r,47342,975521,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1332/12/-14246,-730/187/525,-1652/252/-298,#
r,47343,975542,12/69/41/43,0/0/0/0,0/0/0/0,503/149/-31,0/0,-1316/176/-14230,-769/194/578,-1652/252/-298,#
r,47344,975562,12/69/41/43,0/0/0/1,0/0/0/0,503/149/-31,0/0,-1312/232/-14166,-785/194/595,-1652/252/-298,#
r,47345,975582,12/69/41/43,0/0/0/8,0/0/0/0,503/149/-31,0/0,-1292/235/-14125,-791/193/589,-1652/252/-298,#
r,47346,975601,12/69/41/43,0/0/0/10,0/0/0/0,503/149/-31,0/0,-1304/264/-14189,-829/207/602,-1652/252/-297,#
r,47347,975622,12/69/41/43,0/0/0/14,0/0/0/0,503/149/-31,0/0,-1336/328/-14342,-883/227/637,-1652/252/-297,#
r,47348,975643,12/69/41/43,0/0/0/10,0/0/0/0,503/149/-31,0/0,-1352/366/-14478,-922/241/653,-1652/252/-297,#
r,47349,975662,12/69/41/43,0/0/0/15,0/0/0/0,503/149/-31,0/0,-1382/348/-14528,-935/246/648,-1652/251/-296,#
r,47350,975681,12/69/41/43,0/0/0/25,0/0/0/0,504/149/-31,0/0,-1420/346/-14544,-940/242/654,-1652/251/-296,#
r,47351,975702,12/69/41/44,0/0/0/20,0/0/0/0,504/148/-31,0/0,-1488/419/-14530,-935/229/691,-1652/251/-296,#
r,47352,975731,12/69/41/44,0/0/0/33,0/0/0/0,504/148/-31,0/0,-1598/482/-14478,-918/207/729,-1652/251/-295,#
r,47353,975750,12/69/41/44,1/0/0/48,0/0/0/0,504/148/-31,0/0,-1634/482/-14458,-921/204/721,-1652/251/-294,#
r,47354,975771,12/69/41/44,8/0/0/50,0/0/0/0,504/147/-31,0/0,-1642/488/-14546,-946/215/703,-1652/251/-294,#
r,47355,975791,12/69/41/44,11/0/0/33,0/0/0/0,505/147/-30,0/0,-1662/540/-14656,-970/220/720,-1651/251/-292,#
r,47356,975810,12/69/41/44,19/0/0/61,0/0/0/0,505/146/-30,0/0,-1692/586/-14662,-981/220/748,-1651/251/-291,#
r,47357,975831,12/69/41/44,25/0/0/59,0/0/0/0,506/145/-30,0/0,-1674/558/-14596,-977/222/743,-1651/250/-290,#
r,47358,975851,12/69/41/44,33/0/0/62,0/0/0/0,506/143/-30,0/0,-1612/530/-14502,-976/229/718,-1650/250/-288,#
r,47359,975871,12/69/41/44,33/0/0/48,0/0/0/0,507/142/-30,0/0,-1596/534/-14430,-978/234/720,-1650/249/-286,#
r,47360,975890,13/69/41/44,42/0/0/69,0/0/0/0,507/141/-30,0/0,-1640/554/-14384,-979/234/745,-1649/249/-283,#
r,47361,975911,13/69/41/45,58/0/0/55,0/0/0/0,507/139/-29,0/0,-1644/556/-14396,-988/236/752,-1649/249/-281,#
r,47362,975931,13/69/41/45,62/0/0/56,0/0/0/0,508/137/-29,0/0,-1588/502/-14484,-1021/259/720,-1648/248/-278,#
r,47363,975950,13/69/41/45,65/0/0/75,0/0/0/0,509/135/-29,0/0,-1530/426/-14572,-1048/282/691,-1648/247/-275,#
r,47364,975971,13/69/41/45,62/0/0/102,0/0/0/0,509/133/-29,0/0,-1538/348/-14580,-1060/291/681,-1647/247/-272,#
r,47365,975991,13/69/41/45,80/0/-2/103,0/0/0/0,510/130/-28,0/0,-1530/272/-14550,-1061/294/670,-1646/246/-269,#
r,47366,976011,13/69/41/45,89/0/-5/115,0/0/0/0,511/128/-28,0/0,-1504/258/-14598,-1081/308/661,-1645/245/-265,#
r,47367,976031,13/69/41/46,93/0/-20/106,0/0/0/0,512/125/-28,0/0,-1482/260/-14680,-1075/324/657,-1645/244/-262,#
r,47368,976050,14/69/41/46,55/0/-39/129,0/0/0/0,513/122/-28,0/0,-1488/256/-14706,-1118/337/651,-1644/243/-258,#
r,47369,976071,14/69/41/46,57/0/-38/122,0/0/0/0,514/119/-28,0/0,-1510/188/-14672,-1116/340/635,-1643/241/-254,#
r,47370,976091,14/69/41/46,94/0/-41/134,0/0/0/0,515/116/-28,0/0,-1540/134/-14688,-1127/350/619,-1642/240/-250,#
r,47371,976111,14/69/41/47,66/0/-68/90,0/0/0/0,516/113/-28,0/0,-1516/84/-14764,-1150/368/592,-1642/238/-246,#
r,47372,976131,14/69/41/47,61/-2/-78/109,0/0/0/0,517/109/-28,0/0,-1484/14/-14872,-1165/387/563,-1641/236/-242,#
r,47373,976151,14/69/41/47,101/-13/-97/127,0/0/0/0,518/106/-28,0/0,-1444/-36/-14896,-1152/389/541,-1641/233/-238,#
r,47374,976170,15/68/40/47,106/-20/-102/154,0/0/0/0,519/102/-29,0/0,-1450/-34/-14846,-1132/380/532,-1641/230/-234,#
