r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,30725,631469,10/105/7/90,0/0/0/2,0/0/0/0,442/403/227,0/0,-2100/-1258/-14330,-469/205/546,-1567/100/-426,#
r,30726,631489,10/105/7/90,0/0/0/3,0/0/0/0,442/403/227,0/0,-2096/-1252/-14330,-468/204/549,-1567/100/-426,#
r,30727,631514,10/105/7/90,0/0/0/1,0/0/0/0,442/402/227,0/0,-2088/-1270/-14330,-465/204/550,-1567/100/-426,#
r,30728,631536,10/105/7/90,0/0/0/0,0/0/0/0,442/402/227,0/0,-2086/-1306/-14332,-460/205/542,-1567/100/-426,#
r,30729,631556,10/105/7/90,0/0/0/0,0/0/0/0,442/402/227,0/0,-2080/-1334/-14324,-457/206/537,-1567/100/-426,#
r,30730,631582,10/105/7/90,0/0/0/0,0/0/0/0,442/402/227,0/0,-2054/-1380/-14322,-452/207/531,-1567/100/-426,#
r,30731,631601,10/105/7/90,0/0/0/-2,0/0/0/0,442/403/227,0/0,-2010/-1404/-14264,-444/206/520,-1567/100/-426,#
r,30732,631623,10/105/7/90,0/0/0/-6,0/0/0/0,442/403/227,0/0,-1958/-1402/-14194,-436/209/500,-1567/100/-426,#
r,30733,631649,10/105/7/90,0/0/0/0,0/0/0/0,442/403/227,0/0,-1854/-1376/-14096,-424/207/467,-1567/100/-426,#
r,30734,631669,10/105/7/90,0/0/0/0,0/0/0/0,442/403/227,0/0,-1784/-1414/-14042,-411/207/451,-1567/100/-426,#
r,30735,631689,10/105/7/90,0/0/0/0,0/0/0/0,442/403/227,0/0,-1694/-1474/-14017,-402/215/423,-1567/100/-426,#
r,30736,631709,10/105/7/90,1/0/0/5,0/0/0/0,442/403/227,0/0,-1620/-1496/-13989,-393/220/398,-1567/100/-426,#
r,30737,631729,10/105/7/90,7/0/0/3,0/0/0/0,443/402/227,0/0,-1584/-1530/-13934,-375/216/380,-1567/100/-426,#
r,30738,631749,10/105/7/90,16/0/0/2,0/0/0/0,443/402/227,0/0,-1560/-1538/-13896,-361/213/365,-1567/100/-425,#
r,30739,631769,10/105/7/90,19/0/0/1,0/0/0/0,443/402/227,0/0,-1508/-1546/-13872,-357/217/348,-1567/100/-425,#
r,30740,631790,10/105/7/90,17/0/0/0,0/0/0/0,443/401/227,0/0,-1472/-1554/-13820,-341/215/331,-1567/100/-425,#
r,30741,631811,10/105/7/90,30/0/0/0,0/0/0/0,444/401/227,0/0,-1462/-1588/-13750,-317/205/314,-1567/101/-424,#
r,30742,631831,10/105/7/90,35/0/0/-1,0/0/0/0,444/400/227,0/0,-1472/-1648/-13688,-293/196/302,-1567/101/-423,#
r,30743,631850,10/105/7/90,57/0/0/0,0/0/0/0,445/399/227,0/0,-1466/-1660/-13658,-284/194/300,-1567/101/-422,#
r,30744,631870,10/105/7/90,40/0/0/-1,0/0/0/0,446/398/227,0/0,-1436/-1670/-13648,-278/193/287,-1567/102/-422,#
r,30745,631890,10/105/7/90,55/0/0/0,0/0/0/0,447/397/227,0/0,-1450/-1700/-13634,-262/187/281,-1568/102/-420,#
r,30746,631911,10/105/7/90,67/0/0/0,0/0/0/0,447/396/227,0/0,-1464/-1712/-13602,-247/180/277,-1568/103/-419,#
r,30747,631931,11/105/7/90,61/0/0/2,0/0/0/0,448/395/227,0/0,-1482/-1716/-13586,-235/173/282,-1568/103/-418,#
r,30748,631950,11/105/7/90,100/0/0/-1,0/0/0/0,449/393/227,0/0,-1490/-1712/-13586,-229/167/277,-1568/104/-416,#
r,30749,631971,11/105/7/90,92/0/0/1,0/0/0/0,450/391/227,0/0,-1516/-1745/-13575,-220/161/272,-1569/105/-414,#
r,30750,631990,11/105/7/90,110/0/0/-1,0/0/0/0,451/390/227,0/0,-1538/-1829/-13572,-213/159/268,-1569/106/-413,#
r,30751,632010,11/105/7/90,82/0/0/2,0/0/0/0,452/388/227,0/0,-1552/-1862/-13625,-218/163/266,-1569/106/-411,#
r,30752,632031,11/105/7/90,121/0/0/-1,0/0/0/0,453/386/227,0/0,-1594/-1874/-13634,-221/160/263,-1570/107/-409,#
r,30753,632050,12/105/7/90,129/0/0/1,0/0/0/0,455/384/227,0/0,-1690/-1887/-13594,-205/142/276,-1570/108/-406,#
r,30754,632071,12/105/7/90,133/0/0/-1,0/0/0/0,456/381/227,0/0,-1779/-1874/-13528,-192/129/297,-1571/109/-404,#
r,30755,632091,12/105/7/90,95/0/0/1,0/0/0/0,458/379/227,0/0,-1842/-1850/-13502,-180/121/316,-1571/110/-402,#
r,30756,632111,12/105/7/90,122/0/0/-1,0/0/0/0,459/376/227,0/0,-1860/-1824/-13470,-173/114/327,-1571/111/-399,#
