r,sequence,timestamp,deg,deg/sec,mA,endpoint,grip/rotation,torque,force,ori,#
r,9764,354119,67/82/14/89,-57/0/0/0,-360/2134/489/233,246/626/-18,0/0,-872/-580/-12898,-212/82/446,-53/-23/655,#l_sk
r,9765,354152,66/82/14/89,-40/0/0/0,-366/2131/485/232,249/624/-18,0/0,-826/-469/-12884,-197/82/448,-53/-23/652,#l_sk
r,9766,354184,66/82/14/89,-67/0/0/0,-383/2135/486/229,250/624/-18,0/0,-720/-534/-12903,-192/89/414,-53/-23/651,#l_sk
r,9767,354218,66/82/14/89,-64/0/0/0,-347/2131/487/228,251/623/-18,0/0,-600/-678/-12975,-204/107/357,-53/-23/649,#l_sk
r,9768,354252,66/82/14/89,-42/0/0/0,-331/2133/483/232,253/622/-18,0/0,-610/-634/-12944,-182/98/347,-53/-23/647,#l_sk
r,9769,354284,66/82/14/89,-65/0/0/0,-325/2131/484/230,254/621/-18,0/0,-556/-562/-12903,-177/90/342,-53/-23/646,#l_sk
r,9770,354319,66/82/14/89,-43/0/0/0,-350/2132/487/226,256/620/-18,0/0,-467/-550/-12858,-166/89/314,-53/-24/644,#l_sk
r,9771,354354,66/82/14/89,-48/0/0/0,-300/2131/484/232,257/619/-18,0/0,-292/-996/-12834,-149/96/212,-53/-24/642,#l_sk
r,9772,354393,65/82/14/89,-93/0/0/-9,-318/2133/484/-226,260/618/-18,0/0,-252/-1362/-12836,-136/105/195,-53/-24/639,#l_sk
r,9773,354433,65/82/14/89,-64/0/0/-14,-375/2133/489/-246,264/616/-18,0/0,-550/-1254/-12764,-104/87/281,-52/-24/635,#l_sk
r,9774,354474,65/82/14/89,-98/0/0/-10,-409/2133/484/-291,267/614/-18,0/0,-702/-1064/-12820,-124/85/336,-52/-25/631,#l_sk
r,9775,354514,64/82/14/88,-96/0/0/-6,-406/2129/486/-260,271/612/-18,0/0,-616/-866/-12886,-141/92/327,-52/-25/627,#l_sk
r,9776,354554,64/82/14/88,-96/0/0/-11,-374/2132/489/-265,273/610/-18,0/0,-456/-658/-12894,-154/92/304,-52/-25/623,#l_sk
r,9777,354593,63/82/14/88,-96/0/0/-8,-386/2130/484/-245,277/608/-18,0/0,-358/-846/-12912,-140/84/243,-52/-26/619,#l_sk
r,9778,354634,63/82/14/88,-93/0/0/-17,-404/2130/485/-268,281/606/-18,0/0,-473/-1020/-12932,-130/81/255,-52/-26/615,#l_sk
r,9779,354673,63/82/14/88,-69/0/0/-11,-469/2136/485/-225,284/603/-18,0/0,-662/-935/-12950,-121/68/312,-51/-26/610,#l_sk
r,9780,354713,62/82/14/88,-122/0/0/-4,-444/2132/485/-253,289/601/-18,0/0,-726/-896/-13006,-128/67/320,-51/-27/606,#l_sk
r,9781,354753,62/82/14/88,-77/0/0/-5,-391/2133/486/-244,292/599/-18,0/0,-688/-828/-13094,-149/76/317,-51/-27/602,#l_sk
r,9782,354794,61/82/14/88,-93/0/0/-5,-454/2136/488/-252,295/596/-18,0/0,-600/-932/-13158,-159/84/282,-51/-27/597,#l_sk
r,9783,354833,61/82/14/88,-128/0/0/-7,-410/2134/489/-240,299/594/-18,0/0,-616/-980/-13158,-155/84/286,-51/-28/593,#l_sk
r,9784,354873,61/82/14/88,-121/0/0/-6,-444/2130/487/-260,304/591/-18,0/0,-694/-970/-13128,-149/80/312,-50/-28/588,#l_sk
r,9785,354913,60/82/14/88,-90/0/0/-6,-472/2127/487/-252,308/588/-18,0/0,-722/-1058/-13164,-151/84/305,-50/-29/583,#l_sk
r,9786,354953,60/82/14/88,-99/0/0/-5,-369/2132/489/-269,311/585/-18,0/0,-718/-1114/-13164,-149/85/306,-50/-29/578,#l_sk
r,9787,354993,59/82/14/88,-102/0/0/-5,-463/2133/486/-232,316/582/-18,0/0,-642/-1182/-13180,-145/88/278,-50/-29/574,#l_sk
r,9788,355033,59/82/14/88,-121/0/0/-3,-437/2131/486/-251,320/579/-18,0/0,-616/-1198/-13148,-139/87/275,-50/-30/569,#l_sk
r,9789,355073,58/82/14/88,-87/0/0/-3,-451/2134/486/-259,324/576/-18,0/0,-672/-1196/-13160,-143/90/284,-49/-30/563,#l_sk
r,9790,355113,58/82/14/88,-141/0/0/-7,-461/2135/485/-243,328/572/-18,0/0,-742/-1172/-13175,-144/88/304,-49/-31/558,#l_sk
r,9791,355153,57/82/14/88,-127/0/0/-5,-508/2133/487/-248,333/569/-18,0/0,-658/-1188/-13186,-142/91/275,-49/-31/552,#l_sk
r,9792,355193,57/82/14/88,-152/0/0/-8,-467/2133/484/-256,338/565/-18,0/0,-616/-1206/-13134,-137/88/262,-48/-32/547,#l_sk
r,9793,355232,56/82/14/88,-141/0/0/-13,-434/2133/490/-239,343/561/-18,0/0,-652/-1244/-13170,-146/96/260,-48/-32/541,#l_sk
